  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:29:15  03/05/2024 jbnv     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1000      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.7000299E-01   2.8311310E-03   1.0137725E+01   1.8961128E+00
   2.7265897E-01   3.8712707E-03   1.0135960E+01   1.8968986E+00
   2.7784216E-01  -1.4229420E-03   1.0112639E+01   1.8982079E+00
   2.8037354E-01   4.4445554E-03   1.0099829E+01   1.8992136E+00
   2.8286722E-01   3.5695392E-03   1.0090240E+01   1.8992808E+00
   2.8773838E-01  -1.5483452E-03   1.0049713E+01   1.9005533E+00
   2.9005122E-01   9.7697123E-04   9.9882040E+00   1.9019983E+00
   2.9326838E-01   7.8766560E-04   9.9996271E+00   1.9024606E+00
   2.9681531E-01  -1.3004398E-04   9.9310951E+00   1.9029241E+00
   3.0072582E-01  -9.9875231E-04   9.7765703E+00   1.9060156E+00
   3.0503684E-01   1.4627920E-04   9.7758751E+00   1.9054271E+00
   3.0722085E-01  -1.1032575E-03   9.7689228E+00   1.9052887E+00
   3.1113708E-01   2.8932672E-03   9.7145758E+00   1.9060222E+00
   3.1318206E-01  -3.0840700E-04   9.4713783E+00   1.9102623E+00
   3.1708843E-01   2.8113390E-03   9.5731897E+00   1.9088670E+00
   3.2087353E-01  -5.6658182E-03   9.3939533E+00   1.9102670E+00
   3.2458708E-01   7.0501730E-05   9.3624048E+00   1.9104170E+00
   3.2825875E-01   5.6145741E-03   9.2864952E+00   1.9104632E+00
   3.3003354E-01   4.2342371E-03   9.1158915E+00   1.9125631E+00
   3.3342880E-01  -2.0948760E-03   9.0845852E+00   1.9125181E+00
   3.3681822E-01  -9.4376353E-04   9.0471830E+00   1.9118409E+00
   3.4018105E-01   1.0129343E-03   8.9800959E+00   1.9111505E+00
   3.4352434E-01   7.6105911E-04   8.8184032E+00   1.9119496E+00
   3.4677044E-01   3.8484912E-03   8.6300077E+00   1.9132649E+00
   3.5146469E-01   2.6237417E-03   8.5211439E+00   1.9140958E+00
   3.5449970E-01   9.7903027E-04   8.4460678E+00   1.9145032E+00
   3.5754475E-01  -8.6412270E-04   8.3621826E+00   1.9148326E+00
   3.6058813E-01   4.9513683E-04   8.2153234E+00   1.9154363E+00
   3.6358330E-01   2.4747665E-03   8.1351395E+00   1.9156508E+00
