  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   21:54:50  02/28/2024 cgix     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      990      0.000E+00      1.713E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00  -2.5080598E-03  -9.3405545E-01  -3.9971235E-01
   1.7133401E-03  -1.5662825E-02  -1.5727069E+02  -1.5389874E+00
   3.3410131E-03   4.7204085E-03  -1.7099419E+00  -4.0171173E-01
   4.8873024E-03  -3.6396480E-03  -1.3510420E+00  -4.1011545E-01
   6.5109064E-03  -7.1343471E-04  -1.4139729E+00  -4.0998620E-01
   8.2156900E-03  -3.3950372E-04  -1.4817473E+00  -4.0764943E-01
   1.0005713E-02  -1.5881805E-03  -1.4749893E+00  -4.0550262E-01
   1.1885238E-02  -1.8877737E-03  -1.4353969E+00  -4.0357748E-01
   1.3858738E-02  -8.4582996E-04  -1.3705701E+00  -4.0109906E-01
   1.5930913E-02  -1.2576092E-03  -1.3308111E+00  -3.9883783E-01
   1.8106699E-02  -8.6288498E-04  -1.2786951E+00  -3.9716551E-01
   2.0391272E-02  -1.0659723E-04  -1.2343372E+00  -3.9564854E-01
   2.2790074E-02  -7.7694749E-06  -1.1922103E+00  -3.9436990E-01
   2.5261726E-02   1.1526811E-04  -1.1422598E+00  -3.9268348E-01
   2.7776634E-02   1.7088754E-04  -1.0946218E+00  -3.9087847E-01
   3.0253056E-02   8.8151771E-04  -1.0690374E+00  -3.8955414E-01
   3.2635123E-02   6.7937147E-04  -1.0134058E+00  -3.8757348E-01
   3.4923341E-02   9.0882659E-04  -9.7956967E-01  -3.8594115E-01
   3.7136246E-02   5.9498166E-04  -8.3766353E-01  -3.8211358E-01
   3.9242070E-02   1.1917409E-04  -8.4761000E-01  -3.8112906E-01
   4.1334987E-02   8.5693486E-05  -8.6992383E-01  -3.8030604E-01
   4.3378580E-02   5.5713725E-04  -8.8052005E-01  -3.7980837E-01
   4.5378026E-02   4.7127137E-04  -8.5861570E-01  -3.7897211E-01
   4.7331411E-02   4.3636400E-04  -8.0168861E-01  -3.7765992E-01
   4.9243376E-02  -2.8951470E-05  -6.8779987E-01  -3.7569487E-01
   5.1112711E-02  -3.1136579E-04  -6.2114739E-01  -3.7509641E-01
   5.2950248E-02   1.2651400E-04  -6.0794622E-01  -3.7409225E-01
   5.4761194E-02  -2.3806462E-04  -6.0439765E-01  -3.7359232E-01
   5.6529213E-02   1.6541885E-04  -5.9591889E-01  -3.7303281E-01
   5.8277745E-02   4.2215246E-04  -5.7318956E-01  -3.7237731E-01
   6.0038134E-02   5.7899859E-04  -5.3459990E-01  -3.7167025E-01
   6.1810467E-02  -9.9712772E-05  -4.8741749E-01  -3.7143552E-01
   6.3540399E-02   5.7660055E-04  -4.4034359E-01  -3.7114233E-01
   6.5206558E-02   8.2998868E-04  -3.7571535E-01  -3.7071639E-01
   6.6814721E-02   1.0601281E-03  -3.5395747E-01  -3.7011117E-01
