  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   22:52:41  03/05/2024 nhtt     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.342E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.6766717E-01   2.6780190E-02   7.9832015E+00   6.7787868E-01
   2.7058524E-01   2.3866700E-02   8.0037985E+00   6.8672335E-01
   2.7345541E-01   2.1691864E-02   8.0132618E+00   6.7840034E-01
   2.7719823E-01   2.2719372E-02   8.0552769E+00   6.7464495E-01
   2.8085074E-01   2.5470501E-02   8.0978403E+00   6.7079848E-01
   2.8353608E-01   2.1371897E-02   7.9886165E+00   6.6849124E-01
   2.8705043E-01   2.5616353E-02   8.1762114E+00   6.6856247E-01
   2.9049966E-01   1.3175975E-02   8.2320776E+00   6.6437978E-01
   2.9389322E-01   2.7743699E-02   8.0809641E+00   6.7350614E-01
   2.9723495E-01   4.1766576E-02   8.1182117E+00   6.2591523E-01
   3.0071697E-01   7.0019476E-03   8.2059946E+00   6.3796288E-01
   3.0360827E-01   2.8564690E-02   8.2279158E+00   6.4562064E-01
   3.0762255E-01   2.9596968E-02   8.1677094E+00   6.4365876E-01
   3.1080899E-01   2.4512334E-02   8.1864452E+00   6.3972294E-01
   3.1397355E-01   2.0774623E-02   8.2174320E+00   6.3231456E-01
   3.1712553E-01   1.8315136E-02   8.2038450E+00   6.2967974E-01
   3.2102990E-01   2.6943838E-02   8.1937714E+00   6.2747669E-01
   3.2412896E-01   1.7457779E-02   8.2068310E+00   6.2547064E-01
   3.2726353E-01   1.8521721E-02   8.2425556E+00   6.1857367E-01
   3.3038107E-01   2.2090340E-02   8.2541113E+00   6.1718792E-01
   3.3396813E-01   5.1053729E-02   8.1843443E+00   6.0809994E-01
   3.3715391E-01   1.8593080E-02   8.0809393E+00   5.9686965E-01
   3.4113315E-01   3.5246093E-02   8.1090631E+00   6.0979503E-01
   3.4372854E-01   2.1131447E-02   8.1854916E+00   6.0759646E-01
   3.4757635E-01   1.8245410E-02   8.1432819E+00   6.0389292E-01
   3.5054466E-01   2.3054890E-02   8.1190128E+00   6.0068649E-01
   3.5458267E-01   2.5525147E-02   7.9529428E+00   5.9316939E-01
   3.5762164E-01   1.9938633E-02   7.9518070E+00   5.9367591E-01
   3.6075646E-01   2.8253039E-02   7.9721231E+00   5.9209335E-01
   3.6397025E-01   2.6922641E-02   7.9707985E+00   5.8669299E-01
   3.6724192E-01   2.1477440E-02   7.9260182E+00   5.8574933E-01
   3.7086296E-01   4.9202815E-02   7.6448460E+00   5.8197868E-01
   3.7399194E-01   1.2572154E-03   7.9813833E+00   5.8762115E-01
   3.7757617E-01   1.2725864E-02   7.7022786E+00   5.7678705E-01
   3.8099891E-01   2.5687721E-02   7.6234426E+00   5.6955290E-01
   3.8421452E-01   2.7465984E-02   7.6313739E+00   5.6193358E-01
   3.8791162E-01   2.8423948E-02   7.6077709E+00   5.5985540E-01
   3.9104116E-01   2.6837086E-02   7.5883451E+00   5.5746484E-01
   3.9415821E-01   3.2285988E-02   7.4886885E+00   5.5422151E-01
   3.9725864E-01   2.6007794E-02   7.3936620E+00   5.5251890E-01
   4.0065160E-01   1.5095915E-02   7.2486982E+00   5.5389422E-01
   4.0436375E-01   2.8268697E-02   7.3250346E+00   5.6571251E-01
   4.0751600E-01   2.6198849E-03   7.2404099E+00   5.5885351E-01
   4.1132623E-01   2.6865315E-02   7.0588508E+00   5.4727185E-01
   4.1434869E-01   2.3985876E-02   6.9991741E+00   5.4175752E-01
   4.1736695E-01   2.9674374E-02   6.9191704E+00   5.3465825E-01
   4.2083639E-01   3.6771934E-02   6.8290710E+00   5.2807951E-01
   4.2381120E-01   1.8894387E-02   6.7930770E+00   5.2721179E-01
   4.2779896E-01   5.3526193E-02   6.7281175E+00   5.2716166E-01
   4.3077484E-01   3.9058905E-02   6.5517569E+00   5.2635795E-01
   4.3475580E-01   2.5873715E-02   6.4064264E+00   5.2481949E-01
   4.3773782E-01   3.4627222E-04   6.3523493E+00   5.2716464E-01
   4.4094497E-01  -1.2489965E-02   6.2332525E+00   6.1381739E-01
   4.4429114E-01   6.8137324E-03   6.0148568E+00   5.2394313E-01
   4.4769272E-01  -1.8244030E-02   6.0122662E+00   5.0891644E-01
   4.5127255E-01   7.5939842E-02   5.9601068E+00   4.9444121E-01
   4.5431244E-01   3.9237756E-03   5.8410826E+00   4.9299887E-01
   4.5800743E-01   2.8363170E-02   5.7060518E+00   4.9616578E-01
   4.6103689E-01   1.7592067E-02   5.5690050E+00   4.9828976E-01
   4.6419713E-01   6.4645601E-03   5.1444268E+00   5.5344641E-01
   4.6739250E-01   3.8009375E-02   5.3371630E+00   4.9087161E-01
   4.7058019E-01   1.6804906E-02   5.3352523E+00   4.9177992E-01
   4.7483706E-01   2.0431293E-02   5.2250495E+00   4.8468381E-01
   4.7778484E-01   4.2742375E-02   4.9141722E+00   4.7559413E-01
   4.8076046E-01   3.6025844E-03   4.7736659E+00   4.7394577E-01
   4.8437732E-01   1.8229421E-02   4.7691736E+00   4.7494972E-01
   4.8759288E-01   2.4317807E-02   4.7464509E+00   4.7880810E-01
   4.9105147E-01   3.1849470E-02   4.5586882E+00   4.7376913E-01
   4.9436843E-01   1.2208101E-02   4.3217945E+00   4.6965849E-01
   4.9778476E-01   1.2430968E-02   4.2087483E+00   4.6733263E-01
   5.0127262E-01   7.7276370E-03   4.1230240E+00   4.6661779E-01
   5.0481623E-01   1.5009917E-02   4.0235219E+00   4.6316430E-01
   5.0836885E-01   2.9352875E-03   3.8965917E+00   4.5777854E-01
   5.1075131E-01   1.4007306E-02   3.4890897E+00   4.4717172E-01
   5.1413089E-01   1.4513507E-02   3.6972821E+00   4.4642684E-01
   5.1777947E-01  -1.4676872E-02   3.6542649E+00   4.4336617E-01
   5.2143937E-01   1.2060102E-02   3.4722791E+00   4.4082695E-01
   5.2388090E-01   1.7008601E-02   2.6283073E+00   4.3884221E-01
   5.2759552E-01  -2.2638913E-03   3.3321786E+00   4.4314691E-01
   5.3132087E-01   5.3989552E-03   3.1871397E+00   4.3927240E-01
   5.3501850E-01   4.6090493E-03   2.0741680E+00   4.2904356E-01
   5.3736436E-01  -1.6988687E-02   3.2334611E+00   4.2903408E-01
   5.4172081E-01   4.6740030E-03   2.1224248E+00   4.2239565E-01
   5.4492366E-01   4.3693502E-02   1.9357711E+00   4.2262828E-01
   5.4782254E-01  -6.0559958E-02   2.4085305E+00   4.2851380E-01
   5.5132270E-01   1.1418848E-03   2.0363631E+00   4.2126232E-01
   5.5449396E-01  -1.0950041E-02   1.9184520E+00   4.1865185E-01
   5.5762422E-01   9.2536481E-03   1.7929256E+00   4.1560084E-01
   5.6134003E-01   1.1241557E-03   1.4676675E+00   4.1233665E-01
   5.6464744E-01  -1.4779081E-02   1.4748024E+00   4.1129285E-01
   5.6788200E-01  -1.8575519E-02   1.3498822E+00   4.0793678E-01
   5.7127529E-01  -2.3920488E-02   1.0196012E+00   4.0832144E-01
   5.7469243E-01  -1.4229617E-02   1.0316226E+00   4.0864506E-01
   5.7800716E-01  -2.5044719E-02   8.7725252E-01   4.0831581E-01
   5.8112931E-01  -2.8920889E-02   7.3732996E-01   4.0809146E-01
   5.8457696E-01  -2.6509091E-02   5.9879071E-01   4.0724948E-01
   5.8799058E-01  -2.4867339E-02   5.0470024E-01   4.0496492E-01
   5.9117067E-01  -2.4049819E-02   3.7851131E-01   4.0343973E-01
   5.9460521E-01  -1.7683977E-02   1.7246781E-01   4.0244049E-01
