  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   01:32:43  03/06/2024 iqiq     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.6039132E-01  -2.6498450E-04   5.9270806E+00  -4.9106565E-01
   2.6407558E-01   3.3693810E-03   5.9734087E+00  -4.8712996E-01
   2.6758695E-01   1.2274227E-02   5.9582620E+00  -4.8389885E-01
   2.7028894E-01  -2.5722329E-03   5.9752293E+00  -5.1172936E-01
   2.7384743E-01  -1.3419024E-02   5.9893246E+00  -5.0015467E-01
   2.7721179E-01   7.1772267E-03   6.0080495E+00  -5.2122003E-01
   2.8088212E-01   5.5020805E-03   5.9643354E+00  -5.2220857E-01
   2.8404811E-01   1.1918019E-02   6.0072732E+00  -5.3381932E-01
   2.8731799E-01   1.7166787E-03   6.0127525E+00  -5.4490107E-01
   2.9060173E-01   1.3551270E-02   6.0521402E+00  -5.5516875E-01
   2.9387429E-01  -4.9318369E-03   6.0252991E+00  -5.6318086E-01
   2.9711485E-01   4.1694555E-04   6.0248079E+00  -5.6328040E-01
   3.0023777E-01   5.3378851E-03   6.0444932E+00  -5.6984824E-01
   3.0398843E-01  -1.0846473E-04   6.0268769E+00  -5.8515626E-01
   3.0773124E-01  -1.0949296E-02   6.0077066E+00  -6.0766119E-01
   3.1070212E-01   4.2183525E-03   6.0317841E+00  -5.9719676E-01
   3.1362900E-01  -4.9140523E-03   6.0257354E+00  -5.9729791E-01
   3.1736112E-01   1.1394392E-02   6.0159783E+00  -6.2440389E-01
   3.2107380E-01   2.4510110E-02   5.9814086E+00  -6.3632417E-01
   3.2379538E-01   9.6660852E-03   5.9767852E+00  -6.5291244E-01
   3.2734320E-01  -7.4271350E-03   5.9484353E+00  -6.5312701E-01
   3.3068857E-01  -1.5357737E-02   5.9047432E+00  -6.5281558E-01
   3.3391315E-01  -1.2236186E-02   5.8986244E+00  -6.6479272E-01
   3.3721495E-01  -4.8221063E-04   5.9009929E+00  -6.8887478E-01
   3.4044516E-01   8.2035642E-03   5.9018621E+00  -6.8841952E-01
   3.4439364E-01  -1.2470845E-02   5.8378849E+00  -7.0067197E-01
   3.4748670E-01  -6.0642473E-03   5.7887244E+00  -7.1205127E-01
   3.5053074E-01  -9.4897274E-05   5.8122501E+00  -7.2079504E-01
   3.5428995E-01   5.0778827E-03   5.7748032E+00  -7.2953582E-01
   3.5725284E-01  -1.6267467E-02   5.7534456E+00  -7.3204106E-01
   3.6090565E-01  -5.0789407E-03   5.6842694E+00  -7.4101782E-01
   3.6380050E-01  -6.3503403E-03   5.6602578E+00  -7.4647701E-01
   3.6742866E-01  -8.8918898E-03   5.6491146E+00  -7.5351292E-01
   3.7116480E-01  -7.8203175E-03   5.6297379E+00  -7.6400304E-01
   3.7392229E-01  -1.7254538E-03   5.5687976E+00  -7.6845360E-01
   3.7788686E-01   3.7847580E-03   5.4103022E+00  -7.8044367E-01
   3.8102987E-01  -3.2595431E-03   5.4938121E+00  -7.7933174E-01
   3.8422468E-01  -6.9709639E-03   5.4979215E+00  -7.8646499E-01
   3.8771850E-01   1.4403687E-02   5.2137179E+00  -8.0643588E-01
   3.9062712E-01  -1.9090232E-02   5.3099203E+00  -7.8528053E-01
   3.9452493E-01   9.4430018E-03   5.3366585E+00  -8.0626673E-01
   3.9783487E-01   7.1036024E-03   5.2086596E+00  -8.1180596E-01
   4.0100676E-01   2.4668362E-02   5.1409178E+00  -8.1320280E-01
   4.0461591E-01  -3.2802250E-02   5.0839949E+00  -8.2714671E-01
   4.0720060E-01  -1.3677455E-02   5.1193233E+00  -8.2820821E-01
   4.1062784E-01   8.0378372E-03   5.0477262E+00  -8.4370905E-01
   4.1434988E-01  -4.8134839E-03   4.9810724E+00  -8.4931648E-01
   4.1797304E-01   1.6455074E-03   4.9063902E+00  -8.5578519E-01
   4.2063189E-01  -4.1573010E-03   4.8010540E+00  -8.6541158E-01
   4.2421195E-01  -9.7671049E-03   4.7446737E+00  -8.7005675E-01
   4.2717674E-01   2.5715737E-03   4.7079582E+00  -8.7453175E-01
   4.3060225E-01   5.2022948E-03   4.6662669E+00  -8.7920749E-01
   4.3388671E-01  -1.6430819E-04   4.6387639E+00  -8.8768280E-01
   4.3746105E-01  -2.6436104E-02   4.4623580E+00  -9.1094655E-01
   4.4108814E-01   1.2238800E-02   4.3941250E+00  -9.0538001E-01
   4.4479662E-01   1.3445466E-04   4.3600760E+00  -9.1310632E-01
   4.4756564E-01  -6.6244560E-03   4.3257093E+00  -9.1823387E-01
   4.5048723E-01  -2.8997360E-02   4.2389994E+00  -9.2456251E-01
   4.5405716E-01   1.4644520E-02   4.0637388E+00  -9.3032604E-01
   4.5812815E-01   1.5170058E-02   4.0106673E+00  -9.4136268E-01
   4.6043906E-01  -1.2487290E-02   3.9901676E+00  -9.4054204E-01
   4.6414098E-01   3.2287647E-04   3.9462233E+00  -9.5042849E-01
   4.6796092E-01   8.3311982E-03   3.7932026E+00  -9.5913130E-01
   4.7049451E-01   2.6553329E-02   3.7104836E+00  -9.6793348E-01
   4.7405872E-01   7.2954275E-04   3.6096048E+00  -9.8280066E-01
   4.7777605E-01   8.7654674E-03   3.5498760E+00  -9.9265736E-01
   4.8144743E-01   1.7048541E-02   3.5147665E+00  -9.8871970E-01
   4.8431224E-01   5.1370636E-03   3.4246979E+00  -9.9817425E-01
   4.8806471E-01   2.7933195E-02   3.2540352E+00  -1.0130351E+00
   4.9086553E-01  -5.0873384E-03   3.1801343E+00  -1.0185136E+00
   4.9464598E-01   1.2189131E-02   3.1223137E+00  -1.0281535E+00
   4.9752787E-01   4.7517098E-03   3.0751512E+00  -1.0354925E+00
   5.0115770E-01  -7.0942397E-04   2.8521841E+00  -1.0547893E+00
   5.0438380E-01   4.8499485E-03   2.8066015E+00  -1.0546080E+00
   5.0802737E-01   6.9508208E-03   2.7376342E+00  -1.0628631E+00
   5.1080757E-01  -1.3423934E-02   2.6903107E+00  -1.0673290E+00
   5.1462603E-01   2.4267267E-02   2.4944007E+00  -1.0787251E+00
   5.1782399E-01  -2.7996937E-02   2.3781133E+00  -1.0840328E+00
   5.2101171E-01   4.6355566E-03   2.3290756E+00  -1.0934985E+00
   5.2472246E-01  -1.9937356E-03   2.2046738E+00  -1.1051887E+00
   5.2778572E-01  -1.2669373E-02   2.1272976E+00  -1.1126841E+00
   5.3088206E-01  -1.3224720E-03   2.0468123E+00  -1.1173100E+00
   5.3460765E-01   8.6135501E-03   1.9237177E+00  -1.1276983E+00
   5.3769308E-01  -7.1008480E-04   1.8336140E+00  -1.1362746E+00
   5.4117447E-01  -1.0236305E-02   1.6691535E+00  -1.1417103E+00
   5.4464877E-01  -8.2594715E-03   1.5660123E+00  -1.1515533E+00
   5.4787910E-01  -2.1975458E-02   1.5076146E+00  -1.1593331E+00
   5.5096000E-01  -2.5230269E-03   1.4278042E+00  -1.1637249E+00
   5.5454701E-01  -5.8638114E-03   1.2471999E+00  -1.1722921E+00
   5.5805528E-01  -1.2110796E-02   1.1383102E+00  -1.1764967E+00
   5.6147408E-01  -4.6880210E-05   1.0324000E+00  -1.1843321E+00
   5.6482756E-01   1.2773464E-02   8.8328588E-01  -1.1883413E+00
   5.6785941E-01  -1.8990852E-02   7.8732002E-01  -1.1879719E+00
   5.7131249E-01  -1.3509398E-02   7.4215657E-01  -1.1976374E+00
   5.7474548E-01  -2.0701541E-03   6.4728355E-01  -1.2032278E+00
   5.7810146E-01  -3.0556018E-02   4.7835886E-01  -1.2065449E+00
   5.8166128E-01   4.0482711E-03   3.0578101E-01  -1.2093207E+00
   5.8439475E-01   7.1135131E-03   2.7716428E-01  -1.2070917E+00
   5.8775496E-01  -9.7142458E-03   1.8386051E-01  -1.2089828E+00
   5.9128886E-01  -3.3876918E-02   7.7004083E-02  -1.2141012E+00
   5.9491163E-01  -1.0402200E-02  -5.6936648E-02  -1.2055558E+00
   5.9820771E-01  -3.1158398E-03  -1.7087911E-01  -1.2116740E+00
   6.0138983E-01  -2.1443576E-02  -2.8931376E-01  -1.2108345E+00
   6.0455775E-01  -1.3300417E-02  -3.5337165E-01  -1.2095644E+00
   6.0773796E-01  -2.1814946E-03  -4.4545603E-01  -1.2034035E+00
   6.1108500E-01  -6.1858874E-03  -6.1398631E-01  -1.2072598E+00
   6.1481714E-01  -2.2736458E-02  -7.0799172E-01  -1.2057511E+00
   6.1757290E-01  -1.3916766E-02  -7.4032682E-01  -1.2029424E+00
   6.2147701E-01  -1.0666672E-02  -8.3244067E-01  -1.2061782E+00
   6.2430793E-01   1.5240619E-03  -9.0874600E-01  -1.1992178E+00
   6.2806594E-01  -1.3817158E-02  -1.1850985E+00  -1.1977553E+00
   6.3113242E-01  -1.8526293E-02  -1.2429281E+00  -1.1961195E+00
   6.3504612E-01   2.0820862E-02  -1.2114552E+00  -1.1852814E+00
   6.3789588E-01  -2.7901050E-02  -1.3197838E+00  -1.1866915E+00
   6.4112788E-01  -4.2909174E-03  -1.4514304E+00  -1.1843632E+00
   6.4497137E-01  -7.5021670E-03  -1.5883111E+00  -1.1677306E+00
   6.4848995E-01  -2.4665443E-02  -1.7381500E+00  -1.1864010E+00
   6.5108627E-01  -1.9346336E-02  -1.7284313E+00  -1.1709254E+00
