  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:50:49  02/28/2024 rjju     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      944      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.7935568E-01  -6.7385205E-04   3.3981552E+00   1.8319649E+00
   1.8178059E-01   1.1988392E-04   3.6033623E+00   1.8335339E+00
   1.8432675E-01   1.0390193E-03   3.6639423E+00   1.8336313E+00
   1.8700022E-01  -2.3471154E-03   3.8329849E+00   1.8342474E+00
   1.8980734E-01  -9.1822207E-05   3.9064486E+00   1.8343215E+00
   1.9264650E-01   2.9349052E-03   4.1183491E+00   1.8348083E+00
   1.9550014E-01   2.8486006E-04   4.2152891E+00   1.8347337E+00
   1.9836664E-01   2.0311531E-03   4.3637486E+00   1.8347191E+00
   2.0124316E-01   1.6182611E-03   4.4958954E+00   1.8343707E+00
   2.0412968E-01   3.8716919E-04   4.6257000E+00   1.8340682E+00
   2.0702463E-01   1.8246235E-04   4.7075100E+00   1.8339602E+00
   2.0978804E-01  -4.3472019E-04   4.8949380E+00   1.8341662E+00
   2.1231170E-01   1.5207874E-03   5.0149770E+00   1.8339453E+00
   2.1453975E-01   1.7401052E-03   5.0834503E+00   1.8338859E+00
   2.1655895E-01  -9.7474828E-04   5.1926732E+00   1.8338652E+00
   2.1843149E-01  -5.0060934E-04   5.2750883E+00   1.8340559E+00
   2.2039767E-01   4.8174773E-04   5.4420323E+00   1.8349054E+00
   2.2246215E-01  -5.7586622E-05   5.4662018E+00   1.8347133E+00
   2.2462985E-01   3.6033452E-04   5.5223026E+00   1.8342358E+00
   2.2690594E-01   2.5175116E-04   5.6265111E+00   1.8333046E+00
   2.2921027E-01  -2.3776293E-03   5.6776576E+00   1.8333391E+00
   2.3162982E-01   2.3311538E-04   5.8133302E+00   1.8333840E+00
   2.3417035E-01  -7.0806604E-04   5.8570409E+00   1.8332056E+00
   2.3683791E-01   1.8385086E-04   5.9643359E+00   1.8327737E+00
   2.3963884E-01   1.3850181E-03   6.0473642E+00   1.8324127E+00
   2.4223235E-01   3.3583166E-04   6.1185188E+00   1.8321332E+00
   2.4493673E-01  -2.5640624E-03   6.1721411E+00   1.8321645E+00
   2.4751313E-01  -1.7350852E-04   6.3063083E+00   1.8326120E+00
   2.5021833E-01   4.5580338E-04   6.3571634E+00   1.8324611E+00
   2.5305882E-01   1.5874546E-03   6.4262381E+00   1.8324425E+00
   2.5604132E-01   1.5365642E-03   6.5048199E+00   1.8324317E+00
   2.5888768E-01   2.8146601E-03   6.5778031E+00   1.8325011E+00
   2.6133633E-01   3.1398403E-04   6.6514688E+00   1.8326290E+00
   2.6366436E-01   1.0313745E-05   6.6863394E+00   1.8326381E+00
   2.6586816E-01  -1.1667401E-03   6.7787809E+00   1.8329252E+00
   2.6817921E-01  -3.6674992E-03   6.7912230E+00   1.8331136E+00
   2.7060577E-01   1.7006459E-03   6.8328581E+00   1.8332130E+00
   2.7315372E-01   1.3273467E-04   6.9079928E+00   1.8339188E+00
   2.7582902E-01  -6.5363362E-04   6.9377265E+00   1.8339511E+00
   2.7863809E-01  -6.7832955E-04   6.9653201E+00   1.8339633E+00
   2.8157696E-01  -2.2318604E-04   7.0286121E+00   1.8344060E+00
   2.8441471E-01  -1.7560812E-03   7.0531435E+00   1.8345528E+00
   2.8712648E-01   1.3348227E-03   7.0875797E+00   1.8349283E+00
   2.8973335E-01   3.9411994E-04   7.1176486E+00   1.8350426E+00
   2.9247057E-01  -4.0478315E-03   7.1293740E+00   1.8351309E+00
   2.9534468E-01   2.5725523E-03   7.1612186E+00   1.8357147E+00
   2.9810405E-01   3.9417160E-04   7.1637874E+00   1.8357648E+00
   3.0100137E-01  -1.6107975E-03   7.1795592E+00   1.8361714E+00
   3.0372897E-01  -3.8250084E-03   7.1936455E+00   1.8366570E+00
   3.0636945E-01   1.5634418E-03   7.1903453E+00   1.8369353E+00
   3.0914196E-01  -2.1083194E-03   7.1814957E+00   1.8375211E+00
   3.1199095E-01   1.1365489E-03   7.1817102E+00   1.8379830E+00
   3.1472775E-01  -1.6995302E-03   7.1697354E+00   1.8385397E+00
   3.1760138E-01   4.7421086E-04   7.1520801E+00   1.8390411E+00
   3.2059520E-01  -8.6420804E-04   7.1317120E+00   1.8394883E+00
   3.2342222E-01   4.3958129E-04   7.1060266E+00   1.8399625E+00
   3.2556400E-01  -4.8265858E-03   7.0737138E+00   1.8400607E+00
   3.2715696E-01  -4.9023777E-03   7.0528870E+00   1.8402096E+00
   3.2882956E-01  -6.1793514E-03   7.0563326E+00   1.8404267E+00
   3.3058578E-01  -3.5312062E-03   7.0165114E+00   1.8406774E+00
   3.3242983E-01   1.6316700E-03   6.9496784E+00   1.8409065E+00
   3.3436605E-01   1.5083350E-04   6.9451222E+00   1.8410434E+00
   3.3639911E-01   3.9251042E-03   6.9206343E+00   1.8412262E+00
   3.3853382E-01   8.2535646E-04   6.8770270E+00   1.8414391E+00
   3.4105694E-01  -1.9441372E-02   6.7606044E+00   1.8424209E+00
   3.4241390E-01  -7.6318881E-03   6.7758017E+00   1.8426497E+00
   3.4383872E-01  -4.6366812E-03   6.7414656E+00   1.8431108E+00
   3.4690562E-01   2.7532937E-04   6.6802254E+00   1.8436600E+00
   3.4855500E-01   4.0077460E-03   6.6670027E+00   1.8438423E+00
   3.5028687E-01   3.3842768E-03   6.6045661E+00   1.8442227E+00
   3.5210532E-01  -1.4467393E-03   6.4928713E+00   1.8445891E+00
   3.5401469E-01  -1.1381079E-02   6.4274187E+00   1.8449455E+00
   3.5601953E-01  -5.4505793E-03   6.4020581E+00   1.8452556E+00
   3.5812461E-01  -1.0488227E-03   6.3551788E+00   1.8455039E+00
   3.6032996E-01   1.6055768E-03   6.3015385E+00   1.8457080E+00
   3.6199442E-01   3.4963035E-03   6.2478848E+00   1.8458370E+00
   3.6374211E-01  -1.1354701E-02   6.1584315E+00   1.8461128E+00
   3.6503738E-01  -2.5382699E-03   6.0940557E+00   1.8462796E+00
   3.6639744E-01   1.0864235E-02   5.9881058E+00   1.8466026E+00
   3.6782551E-01   5.5167722E-03   5.9874287E+00   1.8466996E+00
   3.7089941E-01   1.7912325E-03   5.9497914E+00   1.8467802E+00
   3.7255257E-01  -9.0867849E-03   5.8782840E+00   1.8467306E+00
   3.7391922E-01   3.7745261E-03   5.7942433E+00   1.8466187E+00
   3.7482557E-01   7.4823475E-03   5.7149930E+00   1.8464092E+00
   3.7677646E-01   5.1198541E-03   5.6891503E+00   1.8462797E+00
   3.7892735E-01  -4.2842431E-03   5.6000051E+00   1.8460555E+00
   3.8060614E-01  -4.9914297E-04   5.5284114E+00   1.8458530E+00
   3.8245702E-01   3.5399126E-03   5.4693723E+00   1.8454955E+00
   3.8345245E-01  -2.3054152E-03   5.4644008E+00   1.8453883E+00
   3.8559505E-01   2.3973205E-03   5.3575993E+00   1.8448907E+00
   3.8727185E-01   5.2623353E-03   5.2673273E+00   1.8444359E+00
   3.8912052E-01   9.4898039E-04   5.1641383E+00   1.8439497E+00
   3.9115867E-01   8.4513221E-03   5.1125946E+00   1.8436168E+00
   3.9225480E-01   7.9947142E-03   5.0896254E+00   1.8435494E+00
   3.9461422E-01  -5.8070938E-03   4.9312220E+00   1.8433269E+00
   3.9588311E-01   1.1909113E-03   4.8933973E+00   1.8432491E+00
   3.9721546E-01   3.4316611E-03   4.8483181E+00   1.8431439E+00
   3.9861444E-01   2.4408412E-03   4.8026724E+00   1.8430002E+00
   4.0162569E-01   3.4778444E-03   4.6904125E+00   1.8425542E+00
   4.0324518E-01   4.6010958E-03   4.6328554E+00   1.8422685E+00
   4.0494564E-01   5.4489356E-03   4.5175037E+00   1.8416934E+00
   4.0624321E-01  -1.5056135E-05   4.4317045E+00   1.8413801E+00
   4.0760565E-01   5.0992975E-03   4.3672366E+00   1.8409384E+00
   4.0903622E-01   2.5259762E-03   4.3302474E+00   1.8406953E+00
   4.1053832E-01   5.1814904E-03   4.2863908E+00   1.8404883E+00
   4.1377160E-01   5.0104628E-03   4.1638875E+00   1.8400700E+00
   4.1540104E-01   7.3014912E-03   4.0526266E+00   1.8397306E+00
   4.1662636E-01   7.3150243E-03   3.9764185E+00   1.8395362E+00
   4.1791296E-01   6.2037697E-03   3.9313278E+00   1.8393445E+00
   4.1926390E-01   1.7180942E-03   3.8874805E+00   1.8391912E+00
   4.2217180E-01   6.0413992E-03   3.7575231E+00   1.8389494E+00
   4.2373568E-01   8.5945791E-03   3.6936557E+00   1.8388346E+00
   4.2536980E-01   9.9660419E-03   3.5775580E+00   1.8386004E+00
   4.2697990E-01   8.1504490E-03   3.5343165E+00   1.8384963E+00
   4.2857581E-01   7.8293961E-03   3.4551268E+00   1.8383496E+00
   4.3015039E-01   8.3642937E-03   3.3979175E+00   1.8382792E+00
   4.3166104E-01   6.1176787E-03   3.3053772E+00   1.8381897E+00
   4.3319055E-01   7.0273783E-03   3.2326739E+00   1.8381339E+00
   4.3468824E-01   7.1629682E-03   3.1568668E+00   1.8380724E+00
   4.3617263E-01   5.3724158E-03   3.0706010E+00   1.8380080E+00
   4.3913019E-01   5.6306166E-03   2.9520936E+00   1.8379349E+00
   4.4060236E-01   1.0391138E-02   2.8753436E+00   1.8379072E+00
   4.4206217E-01   1.3701583E-02   2.7738507E+00   1.8378719E+00
   4.4351408E-01   1.1364402E-02   2.7237954E+00   1.8378435E+00
   4.4497469E-01   2.0492587E-03   2.6749825E+00   1.8378092E+00
   4.4784600E-01  -2.6936941E-03   2.5414598E+00   1.8377625E+00
   4.4925305E-01   2.1273808E-03   2.4515069E+00   1.8377446E+00
   4.5063969E-01   7.7091251E-03   2.3697081E+00   1.8377354E+00
   4.5201081E-01   9.2769237E-03   2.2631137E+00   1.8377289E+00
   4.5336896E-01   5.3347815E-03   2.1995661E+00   1.8377188E+00
   4.5605826E-01   8.9338496E-03   2.1184206E+00   1.8377429E+00
   4.5739216E-01   1.0781368E-02   2.0559814E+00   1.8377855E+00
   4.5872051E-01   9.6873650E-03   1.9640768E+00   1.8378347E+00
   4.6136373E-01   1.5787521E-02   1.8152548E+00   1.8379028E+00
   4.6267995E-01   9.8905442E-03   1.7517442E+00   1.8378847E+00
   4.6399325E-01  -6.3880542E-03   1.7108608E+00   1.8378404E+00
   4.6661195E-01   1.3425227E-02   1.6148725E+00   1.8378042E+00
   4.6791765E-01   1.5814036E-02   1.5396281E+00   1.8378092E+00
   4.6922103E-01   1.0927456E-02   1.4596738E+00   1.8378016E+00
   4.7052211E-01   6.5066083E-03   1.3839248E+00   1.8377597E+00
   4.7311771E-01   8.0958279E-03   1.2281636E+00   1.8376261E+00
   4.7441247E-01   1.2131223E-02   1.1822994E+00   1.8376188E+00
   4.7570542E-01   1.1729412E-02   1.1139174E+00   1.8376615E+00
   4.7828677E-01   7.0073232E-03   9.8190159E-01   1.8378390E+00
   4.7957572E-01   6.9917575E-03   9.3887901E-01   1.8379009E+00
   4.8086405E-01   9.1840327E-03   9.0095168E-01   1.8379453E+00
   4.8343977E-01   9.9222427E-03   7.4584961E-01   1.8380233E+00
   4.8472750E-01   8.3339913E-03   6.8425876E-01   1.8380349E+00
   4.8601544E-01   6.8009011E-03   6.2506944E-01   1.8380378E+00
   4.8859280E-01   1.0340808E-02   4.9982107E-01   1.8380928E+00
   4.8988292E-01   1.4875099E-02   4.4951364E-01   1.8381387E+00
   4.9117419E-01   1.0146906E-02   4.1979697E-01   1.8381615E+00
   4.9376076E-01   1.1696305E-02   2.9464465E-01   1.8382866E+00
   4.9505636E-01   1.2766431E-02   2.0775372E-01   1.8383602E+00
   4.9635375E-01   1.0543606E-02   1.7008114E-01   1.8383837E+00
   4.9895519E-01   8.9838635E-03   8.5651865E-03   1.8385440E+00
   5.0026029E-01   5.8300691E-03  -6.0726099E-02   1.8387039E+00
   5.0156933E-01   2.7250322E-02  -1.0172229E-01   1.8388903E+00
   5.0418395E-01   7.3922062E-03  -1.9557771E-01   1.8392019E+00
   5.0551242E-01   1.2531352E-02  -2.5982091E-01   1.8394129E+00
   5.0685233E-01   3.3916580E-03  -2.6066533E-01   1.8396982E+00
   5.0820690E-01   5.1858299E-03  -3.2928997E-01   1.8398445E+00
   5.1096720E-01   1.1861705E-02  -4.8557258E-01   1.8401216E+00
   5.1236308E-01   8.6166132E-03  -5.4898614E-01   1.8403889E+00
   5.1433200E-01   1.3343615E-02  -6.1769897E-01   1.8407702E+00
   5.1539087E-01   1.8312630E-03  -6.3883454E-01   1.8408589E+00
   5.1767015E-01   5.4918076E-03  -7.5143611E-01   1.8415942E+00
   5.1889598E-01   4.7901031E-03  -7.5940394E-01   1.8416790E+00
   5.2153450E-01   9.3066534E-03  -8.6618334E-01   1.8420668E+00
   5.2289039E-01   1.1982563E-02  -9.2389590E-01   1.8421917E+00
   5.2424866E-01   3.3173920E-03  -9.7064239E-01   1.8422354E+00
   5.2560681E-01   1.3787916E-02  -1.0365452E+00   1.8422348E+00
   5.2831221E-01  -3.0477864E-03  -1.1196873E+00   1.8422017E+00
   5.2966636E-01   5.2062171E-03  -1.1471486E+00   1.8421937E+00
   5.3102249E-01   3.4022023E-04  -1.2188336E+00   1.8421646E+00
   5.3238106E-01  -1.9644614E-04  -1.2339456E+00   1.8421512E+00
   5.3510660E-01   1.7660562E-03  -1.3623250E+00   1.8420265E+00
   5.3647393E-01  -2.1701925E-03  -1.4210979E+00   1.8418697E+00
   5.3784454E-01   3.7101381E-03  -1.4787277E+00   1.8417085E+00
