  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   18:55:35  02/28/2024 tcgi     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.3542567E-01   1.1192116E-02   7.6406503E-01   1.2469327E+00
   1.3657510E-01   1.0426930E-02   8.0847603E-01   1.2472647E+00
   1.3904923E-01   1.3876232E-02   9.0731168E-01   1.2496372E+00
   1.4037985E-01   9.0861870E-03   9.4347847E-01   1.2505662E+00
   1.4177698E-01   6.3480115E-03   9.8184699E-01   1.2522935E+00
   1.4322765E-01   8.2711652E-03   1.0251319E+00   1.2528892E+00
   1.4606668E-01   9.0536093E-03   1.1357226E+00   1.2542951E+00
   1.4747727E-01   7.7971206E-03   1.1556209E+00   1.2549400E+00
   1.4889543E-01   8.9147771E-03   1.2026485E+00   1.2571979E+00
   1.5020010E-01   7.9309614E-03   1.2484664E+00   1.2584850E+00
   1.5290768E-01   7.2432007E-03   1.3489772E+00   1.2592777E+00
   1.5426558E-01   5.1288642E-03   1.3922067E+00   1.2611846E+00
   1.5569137E-01   7.9063699E-03   1.4341630E+00   1.2621324E+00
   1.5714471E-01   7.7074445E-03   1.4819020E+00   1.2634833E+00
   1.6002841E-01   9.3959160E-03   1.5810184E+00   1.2660480E+00
   1.6129318E-01   8.9643169E-03   1.6487420E+00   1.2667907E+00
   1.6262120E-01   8.8160159E-03   1.6856697E+00   1.2684968E+00
   1.6401561E-01   9.5929252E-03   1.7242093E+00   1.2699170E+00
   1.6623677E-01   7.8428760E-03   1.8072582E+00   1.2724015E+00
   1.6739561E-01   6.5511791E-03   1.8479487E+00   1.2738407E+00
   1.6988997E-01   7.2715511E-03   1.9159564E+00   1.2761525E+00
   1.7123146E-01   8.4590837E-03   1.9622605E+00   1.2753633E+00
   1.7264003E-01   7.5477897E-03   1.9901325E+00   1.2768953E+00
   1.7411901E-01   4.1893045E-03   2.0795267E+00   1.2822497E+00
   1.7665651E-01   4.8874295E-03   2.1783605E+00   1.2836173E+00
   1.7802121E-01   7.1483119E-03   2.1939335E+00   1.2850018E+00
   1.7945412E-01   8.2884375E-03   2.2360029E+00   1.2864665E+00
   1.8213406E-01   5.0542336E-03   2.3387682E+00   1.2896817E+00
   1.8340167E-01   4.9095540E-03   2.3854158E+00   1.2913046E+00
   1.8556800E-01   6.8219551E-03   2.4740307E+00   1.2942992E+00
   1.8673307E-01   6.0321009E-03   2.5112185E+00   1.2961189E+00
   1.8899819E-01   5.3357594E-03   2.5805914E+00   1.2990937E+00
   1.9011457E-01   4.2280140E-03   2.6146154E+00   1.3012816E+00
   1.9234049E-01   6.8973065E-03   2.6677413E+00   1.3041880E+00
   1.9345352E-01   5.1542907E-03   2.7107306E+00   1.3050770E+00
   1.9573821E-01   8.9284414E-03   2.7779312E+00   1.3073196E+00
   1.9695039E-01  -5.0782473E-03   2.8380454E+00   1.3089938E+00
   1.9906417E-01   1.1905720E-02   2.9245505E+00   1.3145474E+00
   2.0020097E-01   6.9060130E-03   2.9366946E+00   1.3142850E+00
   2.0264794E-01   5.5561482E-04   3.0126030E+00   1.3162889E+00
   2.0391761E-01   5.2864389E-03   3.0537333E+00   1.3180494E+00
   2.0515849E-01   1.0083774E-02   3.1010385E+00   1.3193574E+00
   2.0755896E-01  -1.6020596E-03   3.1944449E+00   1.3229229E+00
   2.0877877E-01   2.3032604E-03   3.2301469E+00   1.3238099E+00
   2.1134266E-01   3.7152257E-03   3.3064263E+00   1.3265367E+00
   2.1261853E-01   4.7469675E-03   3.3449037E+00   1.3275557E+00
   2.1389063E-01  -4.6065086E-04   3.3688943E+00   1.3295294E+00
   2.1643651E-01   1.4715346E-03   3.4805183E+00   1.3319985E+00
   2.1770266E-01   1.2574159E-03   3.5235367E+00   1.3334955E+00
   2.1896689E-01   3.2933666E-03   3.5463619E+00   1.3349559E+00
   2.2149637E-01   7.0971162E-03   3.6348522E+00   1.3362570E+00
   2.2261912E-01   1.4070307E-02   3.6889431E+00   1.3388884E+00
   2.2469470E-01  -1.8517807E-02   3.7448928E+00   1.3411933E+00
   2.2655511E-01   2.3622774E-02   3.8475196E+00   1.3481579E+00
   2.2755565E-01   2.6679900E-03   3.8455851E+00   1.3458180E+00
   2.2925133E-01  -1.6763382E-02   3.8865292E+00   1.3477533E+00
   2.3110119E-01   6.4995629E-03   3.9709189E+00   1.3518450E+00
   2.3314066E-01  -2.5458781E-03   4.0177760E+00   1.3527246E+00
   2.3423749E-01   5.2906753E-04   4.0384722E+00   1.3539186E+00
   2.3659843E-01  -3.0291142E-04   4.1264191E+00   1.3558676E+00
   2.3786816E-01   3.7006321E-04   4.1589808E+00   1.3566585E+00
   2.3920137E-01   8.1239583E-04   4.1956277E+00   1.3575339E+00
   2.4193951E-01  -2.1446639E-04   4.2741742E+00   1.3590255E+00
   2.4338754E-01  -1.1323885E-03   4.3175302E+00   1.3596362E+00
   2.4482629E-01   1.1035828E-03   4.3540716E+00   1.3601288E+00
   2.4625286E-01  -2.2269425E-03   4.4122658E+00   1.3609201E+00
   2.4907339E-01  -3.4498144E-04   4.4849272E+00   1.3620929E+00
   2.5054649E-01  -4.5825075E-03   4.5255222E+00   1.3629889E+00
   2.5194153E-01  -1.3179649E-03   4.5626349E+00   1.3634088E+00
   2.5335979E-01   6.5329857E-04   4.6036654E+00   1.3640052E+00
   2.5475699E-01   1.4121680E-03   4.6460023E+00   1.3644089E+00
   2.5753847E-01   1.1573997E-03   4.7280931E+00   1.3650233E+00
   2.5892040E-01  -1.8189342E-03   4.7641454E+00   1.3650916E+00
   2.6029679E-01   7.7436818E-04   4.7936616E+00   1.3655064E+00
   2.6168135E-01  -6.9128594E-04   4.8474526E+00   1.3661691E+00
   2.6405153E-01   4.7635641E-03   4.9203181E+00   1.3668847E+00
   2.6509026E-01  -1.1114723E-03   4.9335737E+00   1.3695884E+00
   2.6732612E-01  -1.0200199E-03   4.9928255E+00   1.3716201E+00
   2.6942840E-01  -3.4317744E-03   5.0305295E+00   1.3720804E+00
   2.7055904E-01  -1.6651991E-03   5.0635581E+00   1.3709801E+00
   2.7299270E-01  -1.0619481E-03   5.1245842E+00   1.3707532E+00
   2.7392843E-01  -5.1779281E-03   5.1378613E+00   1.3718197E+00
   2.7594256E-01  -5.4720335E-04   5.2077670E+00   1.3703903E+00
   2.7702579E-01  -2.8362018E-03   5.2055345E+00   1.3698317E+00
   2.7935740E-01   6.5318374E-03   5.2144561E+00   1.3719537E+00
   2.8058785E-01  -5.7105953E-03   5.2637963E+00   1.3689164E+00
   2.8275666E-01  -4.9688024E-03   5.3170180E+00   1.3857888E+00
   2.8451881E-01   3.8482910E-03   5.3430738E+00   1.3639272E+00
   2.8646159E-01   4.6069678E-03   5.3445425E+00   1.3514735E+00
   2.8808632E-01  -1.5041918E-02   5.3795815E+00   1.3624966E+00
   2.8987759E-01   4.4401125E-03   5.4227366E+00   1.3659563E+00
   2.9084095E-01   5.1419311E-03   5.4291983E+00   1.3687289E+00
   2.9319000E-01  -3.3319690E-03   5.4710135E+00   1.3956628E+00
   2.9495829E-01   1.7011033E-02   5.4689937E+00   1.3268635E+00
   2.9690784E-01  -3.3660370E-03   5.4850602E+00   1.3397992E+00
   2.9795632E-01  -1.8384965E-03   5.5288544E+00   1.3479275E+00
   3.0021316E-01  -4.4818893E-03   5.5569344E+00   1.3473601E+00
   3.0142692E-01  -1.1158769E-02   5.5600076E+00   1.3485633E+00
   3.0385131E-01   2.0139001E-03   5.5732245E+00   1.3407887E+00
   3.0501774E-01   3.3388911E-03   5.5794840E+00   1.3413514E+00
   3.0621454E-01  -8.9558847E-03   5.6085391E+00   1.3423191E+00
   3.0860123E-01  -2.9665664E-05   5.6328988E+00   1.3486646E+00
   3.0969787E-01   4.5031607E-03   5.6332889E+00   1.3506843E+00
   3.1202298E-01  -4.1272929E-03   5.6538005E+00   1.3321819E+00
   3.1320122E-01  -1.6411688E-04   5.6693435E+00   1.3443351E+00
   3.1554988E-01   2.2775084E-03   5.6644506E+00   1.3360318E+00
   3.1672078E-01  -6.0200621E-03   5.6618776E+00   1.3153793E+00
   3.1872162E-01  -4.0609958E-03   5.6429777E+00   1.3351524E+00
   3.2051206E-01  -1.2185905E-03   5.6759419E+00   1.3365340E+00
   3.2248604E-01   1.0217031E-03   5.6820884E+00   1.3263834E+00
   3.2352704E-01  -1.3596748E-03   5.6939383E+00   1.3168644E+00
   3.2564989E-01   5.7018520E-03   5.6862264E+00   1.3254955E+00
   3.2672724E-01  -5.3453650E-03   5.6865277E+00   1.3252174E+00
   3.2889712E-01  -3.8508449E-03   5.6682234E+00   1.3256774E+00
   3.3107582E-01   3.4950839E-03   5.6628108E+00   1.3129432E+00
   3.3216166E-01   3.4616869E-03   5.6782608E+00   1.2869266E+00
   3.3432260E-01  -2.7398285E-03   5.6730070E+00   1.3137914E+00
   3.3539554E-01   1.3467238E-02   5.6643901E+00   1.3116363E+00
   3.3752400E-01  -7.5719557E-03   5.6644483E+00   1.3068271E+00
   3.3962351E-01  -1.7003615E-03   5.6293845E+00   1.3027309E+00
   3.4066159E-01   3.8937798E-03   5.6233878E+00   1.3028002E+00
   3.4271386E-01  -3.4732143E-03   5.6189113E+00   1.3003923E+00
   3.4473354E-01   1.9866151E-04   5.5963426E+00   1.2972761E+00
   3.4573165E-01  -1.9204608E-03   5.5963964E+00   1.2964739E+00
   3.4770569E-01   2.0506238E-03   5.5808506E+00   1.2940148E+00
   3.4965199E-01  -1.3922352E-03   5.5913024E+00   1.2909337E+00
   3.5157201E-01  -2.6921553E-03   5.5586371E+00   1.2877921E+00
   3.5252240E-01   2.8207639E-04   5.5513458E+00   1.2869377E+00
   3.5440502E-01   7.5580209E-04   5.5331903E+00   1.2843877E+00
   3.5626447E-01   3.8747636E-03   5.5192075E+00   1.2822473E+00
   3.5810196E-01  -1.6229695E-03   5.4930773E+00   1.2799729E+00
   3.5991877E-01   2.1669294E-03   5.4731197E+00   1.2775283E+00
   3.6171660E-01   6.0046825E-04   5.4600878E+00   1.2753526E+00
   3.6349693E-01  -2.7743608E-04   5.4292593E+00   1.2726859E+00
   3.6526069E-01   2.1265210E-03   5.4054322E+00   1.2718174E+00
   3.6701024E-01   1.7753972E-03   5.3951635E+00   1.2693064E+00
   3.6874637E-01   2.0384793E-03   5.3680081E+00   1.2675024E+00
   3.7047055E-01   3.7006871E-03   5.3419447E+00   1.2647389E+00
   3.7218401E-01   9.0655582E-03   5.3103962E+00   1.2626573E+00
   3.7388763E-01   5.6294836E-03   5.2781291E+00   1.2603761E+00
   3.7558255E-01  -5.6506263E-04   5.2516785E+00   1.2631310E+00
   3.7726974E-01   2.0985417E-03   5.2091928E+00   1.2567476E+00
   3.7895027E-01   3.1005810E-03   5.1754251E+00   1.2566342E+00
   3.8052917E-01   5.8634360E-03   5.1624441E+00   1.2606699E+00
