  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   10:58:26  02/29/2024 ntjb     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      977      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   3.8392889E-01  -1.3365367E-04  -2.4713359E+00   1.8623813E+00
   3.8910252E-01   8.1445399E-04  -2.4119096E+00   1.8645625E+00
   3.9510056E-01  -2.9499910E-04  -2.2963610E+00   1.8703127E+00
   3.9856818E-01  -7.0361054E-04  -2.3220241E+00   1.8710421E+00
   4.0398219E-01  -3.3533957E-04  -2.3555827E+00   1.8716838E+00
   4.0930870E-01   6.6172128E-04  -2.3203156E+00   1.8708028E+00
   4.1469094E-01  -9.4442716E-04  -2.1821306E+00   1.8534837E+00
   4.1825351E-01   6.4910819E-05  -2.2518885E+00   1.8551342E+00
   4.2356959E-01   5.2801316E-04  -2.2521901E+00   1.8562564E+00
   4.2857170E-01   1.1402107E-03  -2.2445586E+00   1.8580716E+00
   4.3352404E-01   4.7858417E-04  -2.1858821E+00   1.8600184E+00
   4.3834394E-01  -4.7031586E-04  -2.1490712E+00   1.8613645E+00
   4.4301671E-01  -4.3523805E-03  -2.0871916E+00   1.8949976E+00
   4.4791058E-01   3.9963797E-03  -2.2597966E+00   1.8456815E+00
   4.5426711E-01   4.9340818E-03  -2.1119423E+00   1.8681836E+00
   4.5853770E-01   6.0480245E-04  -2.1292272E+00   1.8684633E+00
   4.6348143E-01  -6.1423639E-03  -2.0319774E+00   1.8644549E+00
   4.6920443E-01  -5.6613865E-04  -2.1174388E+00   1.8645128E+00
   4.7351256E-01  -1.4389016E-03  -2.1016018E+00   1.8630881E+00
   4.7817528E-01  -7.9772493E-04  -2.0558286E+00   1.8605272E+00
   4.8268282E-01  -8.3868363E-04  -2.0581398E+00   1.8595390E+00
   4.8715064E-01  -1.0812884E-03  -2.0504382E+00   1.8582962E+00
   4.9371728E-01  -3.8586248E-04  -2.0634217E+00   1.8578292E+00
   4.9804428E-01  -1.9998830E-04  -2.0645449E+00   1.8577144E+00
   5.0237185E-01  -6.6688546E-04  -2.0556214E+00   1.8574618E+00
   5.0881994E-01  -5.0058885E-04  -1.9862810E+00   1.8566556E+00
   5.1311445E-01  -1.0134010E-03  -2.0194542E+00   1.8569690E+00
   5.1739228E-01  -1.9535997E-03  -2.1158772E+00   1.8602527E+00
   5.2169722E-01   3.8392607E-03  -1.9919223E+00   1.8595257E+00
   5.2819026E-01  -4.4710157E-03  -2.0521126E+00   1.8595128E+00
   5.3253293E-01  -2.4398013E-03  -2.0720067E+00   1.8595699E+00
   5.3690165E-01   1.8502724E-03  -2.0474946E+00   1.8591877E+00
   5.4128206E-01   5.8640382E-04  -2.0179648E+00   1.8583436E+00
   5.4785496E-01   3.5312099E-04  -1.9862450E+00   1.8556247E+00
   5.5223149E-01   4.0678107E-04  -2.0242717E+00   1.8558967E+00
   5.5661643E-01   4.7587632E-04  -2.0308571E+00   1.8559791E+00
   5.6316322E-01   1.5447843E-04  -1.9683658E+00   1.8553827E+00
   5.6746358E-01   1.6313310E-04  -1.9464146E+00   1.8549523E+00
   5.7172406E-01   1.5410171E-04  -1.9390225E+00   1.8547658E+00
