  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   19:04:20  02/29/2024 tjbn     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   3.6437318E-01   3.6209801E-04  -1.5525267E+00  -4.2428887E-01
   3.7100032E-01  -1.5125149E-03  -1.5762764E+00  -4.2524502E-01
   3.7456444E-01  -1.0474726E-03  -1.5871603E+00  -4.2405242E-01
   3.7830675E-01  -5.3336308E-04  -1.5916532E+00  -4.2241067E-01
   3.8599235E-01   4.0144238E-04  -1.5523105E+00  -4.1753843E-01
   3.8981053E-01  -5.0519727E-04  -1.5506873E+00  -4.1667947E-01
   3.9360988E-01  -1.0833357E-03  -1.5230488E+00  -4.1198865E-01
   4.0084091E-01  -7.3762691E-05  -1.5306432E+00  -4.1067892E-01
   4.0393281E-01  -9.8078817E-05  -1.5307695E+00  -4.0930676E-01
   4.0986258E-01   6.7358051E-04  -1.4964737E+00  -4.0573975E-01
   4.1472250E-01  -1.0989867E-03  -1.4955996E+00  -4.0566429E-01
   4.1899693E-01   3.3543506E-04  -1.4823174E+00  -3.9815491E-01
   4.2487317E-01  -1.0464680E-03  -1.4783256E+00  -4.0084872E-01
   4.2916420E-01  -7.4635603E-04  -1.4802804E+00  -4.0019050E-01
   4.3389097E-01   3.1865347E-04  -1.4754391E+00  -3.9864579E-01
   4.3840402E-01   5.7693396E-04  -1.4455496E+00  -3.9591366E-01
   4.4283670E-01  -3.7579413E-04  -1.4252920E+00  -3.9366966E-01
   4.4772378E-01  -8.7781664E-04  -1.4058621E+00  -3.8982299E-01
   4.5267344E-01  -1.9714397E-03  -1.4564146E+00  -3.9406639E-01
   4.5923445E-01   5.5817612E-03  -1.3790284E+00  -3.8862148E-01
   4.6320456E-01  -3.5809798E-03  -1.4003749E+00  -3.8741657E-01
   4.6870533E-01  -3.7922182E-03  -1.4131119E+00  -3.8693997E-01
   4.7389278E-01   4.3870751E-03  -1.3890666E+00  -3.8600573E-01
   4.7770387E-01   1.4315059E-03  -1.3582630E+00  -3.8363567E-01
   4.8416531E-01  -8.7887648E-04  -1.3468865E+00  -3.8154075E-01
   4.8902935E-01  -6.8504561E-04  -1.3467046E+00  -3.7993380E-01
   4.9413046E-01  -4.9125265E-05  -1.3413776E+00  -3.7833589E-01
   4.9873197E-01   5.1056559E-04  -1.3181579E+00  -3.7731427E-01
   5.0283045E-01   3.2571197E-04  -1.3097862E+00  -3.7712801E-01
   5.0860471E-01   2.7289809E-04  -1.2944434E+00  -3.7584588E-01
   5.1229298E-01   4.9163139E-04  -1.2883496E+00  -3.7513217E-01
   5.1735032E-01  -5.9250160E-04  -1.2808306E+00  -3.7428921E-01
