  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   20:03:08  03/05/2024 rjju     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.6732937E-01   1.6762519E-02   9.3146276E+00   1.3809990E+00
   2.7080581E-01   1.1509453E-02   9.3385897E+00   1.3799977E+00
   2.7423596E-01   1.3147680E-02   9.3559561E+00   1.3793753E+00
   2.7694914E-01   1.8878637E-02   9.3633528E+00   1.3785521E+00
   2.8030574E-01   1.9512653E-02   9.3721752E+00   1.3781734E+00
   2.8362677E-01   1.6530644E-02   9.3763227E+00   1.3764390E+00
   2.8756964E-01   3.5704661E-02   9.3737745E+00   1.3748026E+00
   2.9082713E-01   1.6895095E-02   9.3703403E+00   1.3732474E+00
   2.9406431E-01   2.2329634E-02   9.3585911E+00   1.3731064E+00
   2.9727536E-01   1.7680285E-02   9.3760653E+00   1.3704953E+00
   3.0046278E-01   3.5083806E-03   9.3827887E+00   1.3694916E+00
   3.0425933E-01   1.7520681E-02   9.3590488E+00   1.3675759E+00
   3.0740318E-01  -1.5676242E-03   9.3266983E+00   1.3668827E+00
   3.1053147E-01   1.3598896E-02   9.3357782E+00   1.3674489E+00
   3.1426519E-01   1.2513924E-02   9.3478842E+00   1.3759384E+00
   3.1735390E-01   3.0173220E-02   9.3387966E+00   1.3691216E+00
   3.2075649E-01   2.1131795E-03   9.3234491E+00   1.3616620E+00
   3.2380617E-01   7.2721519E-02   9.2641296E+00   1.3614385E+00
   3.2740200E-01   3.2470535E-02   9.2650776E+00   1.3621153E+00
   3.3040339E-01   9.1207465E-03   9.2274170E+00   1.3452578E+00
   3.3397835E-01  -3.2726310E-02   9.1018543E+00   1.3575407E+00
   3.3739096E-01   1.8623820E-02   9.1364002E+00   1.3580446E+00
   3.4069234E-01   1.2293700E-02   9.1155024E+00   1.3558812E+00
   3.4372139E-01  -7.0464965E-03   8.9940968E+00   1.3618220E+00
   3.4763208E-01   2.8240809E-02   8.9539461E+00   1.3601179E+00
   3.5069346E-01  -1.4664853E-02   8.9048176E+00   1.3580887E+00
   3.5373056E-01   4.6702716E-02   8.7764940E+00   1.3608265E+00
   3.5732096E-01  -7.6713584E-02   8.6104326E+00   1.3540723E+00
   3.6095679E-01   1.7831229E-02   8.6731958E+00   1.3645161E+00
   3.6457634E-01   2.8754443E-02   8.5492096E+00   1.3489560E+00
   3.6758623E-01   1.5641170E-02   8.4910202E+00   1.3528727E+00
   3.7125698E-01   6.1429325E-02   8.4161158E+00   1.3590628E+00
   3.7426871E-01   1.7002011E-02   8.3167782E+00   1.3385179E+00
   3.7733361E-01   8.2107782E-03   8.2626820E+00   1.3533781E+00
   3.8041320E-01   1.6784733E-02   8.2308722E+00   1.3432202E+00
   3.8417062E-01  -1.1729003E-03   8.1369791E+00   1.3556572E+00
   3.8756844E-01   3.3648476E-02   7.8934317E+00   1.3015985E+00
   3.9057031E-01   3.0161167E-02   8.0536699E+00   1.3367385E+00
   3.9443761E-01   4.1602574E-02   7.7541232E+00   1.3091371E+00
   3.9707816E-01  -1.5511164E-02   7.6939898E+00   1.3216339E+00
   4.0110779E-01   4.3177295E-02   7.5522895E+00   1.3035396E+00
   4.0422392E-01   4.1069806E-02   7.5295081E+00   1.3022077E+00
   4.0740225E-01   8.1077507E-03   7.3837976E+00   1.2812687E+00
   4.1059300E-01   3.2030948E-02   7.3079948E+00   1.2899504E+00
   4.1403791E-01  -1.9057404E-02   7.1783628E+00   1.2763903E+00
   4.1774577E-01   9.7791199E-03   7.0055938E+00   1.2804388E+00
   4.2044562E-01   4.7841907E-02   6.9853601E+00   1.2881227E+00
   4.2441618E-01  -7.0998897E-03   6.7882290E+00   1.2662965E+00
   4.2767966E-01   7.5325435E-03   6.6689405E+00   1.2619748E+00
   4.3080044E-01   2.7936410E-02   6.6045637E+00   1.2605593E+00
   4.3415377E-01   8.8349469E-02   6.7489319E+00   1.2719047E+00
   4.3784079E-01   6.5997015E-03   6.3873334E+00   1.2560829E+00
   4.4070706E-01  -3.6221270E-02   6.2645173E+00   1.2487115E+00
   4.4436523E-01  -2.7378148E-03   6.1164923E+00   1.2415954E+00
   4.4800708E-01   1.4280865E-02   5.8566298E+00   1.2304862E+00
   4.5118222E-01   4.2831805E-02   5.8044057E+00   1.2289375E+00
   4.5418781E-01  -3.7066158E-02   5.6945271E+00   1.2270043E+00
   4.5756745E-01  -1.0666070E-02   5.5743790E+00   1.2218802E+00
   4.6130097E-01  -6.5324861E-03   5.4319720E+00   1.2223318E+00
   4.6446928E-01  -7.3849075E-03   5.2562070E+00   1.2166345E+00
   4.6762571E-01   1.6313840E-03   5.2042341E+00   1.2181153E+00
   4.7114098E-01  -6.3831019E-03   5.0667806E+00   1.2064452E+00
   4.7441986E-01  -1.9367279E-03   4.9156852E+00   1.2053856E+00
   4.7733492E-01  -8.1326049E-03   4.7672329E+00   1.2142226E+00
   4.8146114E-01  -8.1572654E-03   4.6336846E+00   1.2138808E+00
   4.8452869E-01   2.5725113E-03   4.4799013E+00   1.1915755E+00
   4.8757261E-01  -9.4811171E-03   4.3431025E+00   1.1942146E+00
   4.9059162E-01  -2.9788080E-03   4.2606664E+00   1.1883531E+00
   4.9457657E-01  -1.8298939E-02   4.0841017E+00   1.1795832E+00
   4.9753192E-01  -1.1938531E-02   3.9710648E+00   1.1853154E+00
   5.0143361E-01  -1.7648252E-02   3.7658610E+00   1.1816639E+00
   5.0435364E-01  -2.5701795E-02   3.6119094E+00   1.1777401E+00
   5.0824946E-01  -2.0291904E-02   3.4790535E+00   1.1761476E+00
   5.1116103E-01  -3.2435074E-02   3.3613420E+00   1.1728271E+00
   5.1398927E-01  -1.6724916E-02   3.2706804E+00   1.1713173E+00
   5.1765418E-01  -3.7359864E-02   2.9473808E+00   1.1676811E+00
   5.2123541E-01  -4.3636974E-02   2.8256423E+00   1.1642941E+00
   5.2475548E-01  -5.3749382E-02   2.7233815E+00   1.1616189E+00
   5.2823615E-01  -4.9095787E-02   2.6029708E+00   1.1600351E+00
   5.3083277E-01  -4.8904642E-02   2.4467521E+00   1.1577452E+00
   5.3428793E-01  -5.1269673E-02   2.2744710E+00   1.1539309E+00
   5.3775591E-01  -6.3019723E-02   2.1533976E+00   1.1504967E+00
   5.4125696E-01  -7.5438581E-02   1.9801189E+00   1.1475654E+00
   5.4479474E-01  -6.5980271E-02   1.7822176E+00   1.1448869E+00
   5.4749054E-01  -5.3270228E-02   1.7196655E+00   1.1430956E+00
   5.5117238E-01  -6.8965964E-02   1.5452207E+00   1.1417314E+00
   5.5454499E-01  -1.0864546E-01   1.3933932E+00   1.1414331E+00
   5.5757797E-01  -9.3352742E-02   1.1901609E+00   1.1314002E+00
   5.6144893E-01  -7.9312131E-02   1.0484434E+00   1.1372019E+00
   5.6426758E-01  -8.0070712E-02   9.6405953E-01   1.1388835E+00
   5.6750900E-01  -7.5734288E-02   7.8630894E-01   1.1344284E+00
   5.7087690E-01  -7.5532131E-02   6.0575539E-01   1.1329194E+00
   5.7424122E-01  -7.3516153E-02   4.3369314E-01   1.1315106E+00
   5.7760197E-01  -9.0973780E-02   2.9523560E-01   1.1289742E+00
   5.8093739E-01  -9.2952557E-02   1.8202478E-01   1.1287454E+00
   5.8429635E-01  -1.0793013E-01   5.2955836E-02   1.1293284E+00
   5.8765441E-01  -9.2721365E-02  -7.4418224E-02   1.1275561E+00
   5.9101504E-01  -1.0128018E-01  -3.0215299E-01   1.1255003E+00
   5.9438169E-01  -8.9407489E-02  -4.6383020E-01   1.1259514E+00
   5.9844249E-01  -7.0510864E-02  -6.2931955E-01   1.1265471E+00
   6.0151714E-01  -9.7235873E-02  -7.8016067E-01   1.1229155E+00
   6.0491627E-01  -1.0092188E-01  -8.5975718E-01   1.1266742E+00
   6.0808986E-01  -8.9104190E-02  -1.0102751E+00   1.1263127E+00
   6.1136866E-01  -9.8324820E-02  -1.2582484E+00   1.1256726E+00
   6.1453491E-01  -7.9399012E-02  -1.3543060E+00   1.1278902E+00
   6.1757582E-01  -1.3173646E-01  -1.4777179E+00   1.1278305E+00
   6.2156528E-01  -9.1218196E-02  -1.6708952E+00   1.1268024E+00
   6.2477863E-01  -8.7126158E-02  -1.7186774E+00   1.1279421E+00
   6.2794566E-01  -1.1583096E-01  -1.9141051E+00   1.1295100E+00
   6.3104665E-01  -9.2249177E-02  -2.0465429E+00   1.1310369E+00
   6.3478774E-01  -1.1060610E-01  -2.2181442E+00   1.1303051E+00
   6.3780326E-01  -1.0025451E-01  -2.2685051E+00   1.1320133E+00
   6.4176130E-01  -1.1977823E-01  -2.5309107E+00   1.1343504E+00
   6.4468151E-01  -7.1789093E-02  -2.6736281E+00   1.1328927E+00
   6.4849430E-01  -8.8090710E-02  -2.8043518E+00   1.1327796E+00
   6.5129679E-01  -8.0217369E-02  -2.8105681E+00   1.1361320E+00
   6.5496945E-01  -1.1340754E-01  -3.0167513E+00   1.1432873E+00
   6.5769333E-01  -8.4722206E-02  -3.1783092E+00   1.1382324E+00
   6.6130823E-01  -7.9430781E-02  -3.2886455E+00   1.1455408E+00
   6.6496056E-01  -1.0404536E-01  -3.4331121E+00   1.1445861E+00
   6.6856837E-01  -9.2288770E-02  -3.5972555E+00   1.1460123E+00
   6.7133754E-01  -8.1691749E-02  -3.6987000E+00   1.1483604E+00
   6.7492926E-01  -9.7275570E-02  -3.8266532E+00   1.1503183E+00
   6.7847961E-01  -8.9268066E-02  -3.9859321E+00   1.1499963E+00
   6.8107045E-01  -9.2102781E-02  -4.0148101E+00   1.1534450E+00
   6.8522334E-01  -7.1617700E-02  -4.1911750E+00   1.1515920E+00
   6.8777311E-01  -1.1935160E-01  -4.3061934E+00   1.1556716E+00
   6.9126540E-01  -6.5632686E-02  -4.4905429E+00   1.1546692E+00
   6.9512117E-01  -1.1590795E-01  -4.5863466E+00   1.1559609E+00
   6.9812953E-01  -7.7706747E-02  -4.7358313E+00   1.1533123E+00
   7.0187342E-01  -4.4987947E-02  -4.8180742E+00   1.1558552E+00
   7.0482218E-01  -9.3943335E-02  -4.9453602E+00   1.1569594E+00
   7.0849681E-01  -8.9244008E-02  -5.0492783E+00   1.1522839E+00
   7.1146852E-01  -8.6253822E-02  -5.0989251E+00   1.1597368E+00
   7.1522588E-01  -5.9127547E-02  -5.3059444E+00   1.1556147E+00
   7.1830630E-01  -8.1657156E-02  -5.3498278E+00   1.1572267E+00
   7.2147018E-01  -7.7971317E-02  -5.4574904E+00   1.1609163E+00
   7.2472352E-01  -3.7994351E-02  -5.5254545E+00   1.1580747E+00
   7.2804999E-01  -7.0414335E-02  -5.6984882E+00   1.1608222E+00
   7.3146814E-01  -5.7206243E-02  -5.8162346E+00   1.1611267E+00
   7.3496783E-01  -4.8211999E-02  -5.8525200E+00   1.1632820E+00
   7.3859531E-01  -9.3906201E-02  -5.9185252E+00   1.1669503E+00
   7.4137825E-01  -8.1221573E-02  -6.1053419E+00   1.1629395E+00
   7.4519008E-01  -1.3280763E-01  -6.1285262E+00   1.1636314E+00
   7.4812847E-01  -3.3100914E-02  -6.2594466E+00   1.1657382E+00
   7.5204170E-01  -4.7880925E-02  -6.3725367E+00   1.1577343E+00
   7.5513440E-01   6.8689632E-04  -6.4603057E+00   1.1585748E+00
   7.5823891E-01  -4.2583190E-02  -6.5424118E+00   1.1603348E+00
   7.6136166E-01  -7.0651315E-02  -6.6452355E+00   1.1613573E+00
   7.6535445E-01   1.0192765E-02  -6.7484164E+00   1.1606945E+00
   7.6797479E-01  -8.5204519E-02  -6.7923293E+00   1.1595970E+00
