  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   13:08:43  02/29/2024 cgix     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   3.7963191E-01  -2.4198499E-03  -2.3217249E+00   1.2480137E+00
   3.8467562E-01  -1.8002355E-03  -2.3366899E+00   1.2482076E+00
   3.8947946E-01  -8.6032217E-03  -2.3330028E+00   1.2474638E+00
   3.9461228E-01   4.4187512E-03  -2.2843738E+00   1.2470200E+00
   3.9961380E-01  -1.3006481E-03  -2.3093760E+00   1.2463757E+00
   4.0434170E-01  -9.6639888E-03  -2.2692165E+00   1.2433970E+00
   4.0942994E-01   1.1202770E-02  -2.2519178E+00   1.2429096E+00
   4.1411042E-01   7.1465103E-03  -2.2709644E+00   1.2437415E+00
   4.1924232E-01   9.0469280E-03  -2.2649937E+00   1.2435076E+00
   4.2380384E-01   3.3144516E-04  -2.2223091E+00   1.2440401E+00
   4.2860439E-01   1.2045330E-02  -2.2364032E+00   1.2440598E+00
   4.3383050E-01   1.8243320E-02  -2.2557302E+00   1.2441360E+00
   4.3903327E-01  -8.9626294E-03  -2.2156737E+00   1.2440212E+00
   4.4365874E-01   8.5083423E-03  -2.2225549E+00   1.2432410E+00
   4.4882923E-01  -8.7794941E-03  -2.1861279E+00   1.2423741E+00
   4.5407650E-01   6.2422771E-03  -2.1898460E+00   1.2416362E+00
   4.5914406E-01   6.0208961E-03  -2.1861310E+00   1.2407644E+00
   4.6372128E-01   4.8208693E-03  -2.1257713E+00   1.2390605E+00
   4.6845591E-01   4.8947772E-03  -2.1517801E+00   1.2372561E+00
   4.7334731E-01   5.1800301E-03  -2.1962216E+00   1.2374033E+00
   4.7867230E-01   2.5570539E-03  -2.1670575E+00   1.2376255E+00
   4.8331773E-01  -4.5003684E-04  -2.1352544E+00   1.2378472E+00
   4.8824131E-01   4.5564636E-03  -2.1241038E+00   1.2379417E+00
   4.9297628E-01   4.7303392E-03  -2.1003199E+00   1.2379441E+00
   4.9831262E-01   4.3919664E-03  -2.0827429E+00   1.2385181E+00
   5.0362509E-01   4.5100586E-03  -2.1017525E+00   1.2369567E+00
   5.0834817E-01   5.6307446E-03  -2.0683596E+00   1.2347035E+00
   5.1190352E-01   4.4047330E-03  -2.0737221E+00   1.2345939E+00
   5.1792669E-01   3.9290665E-03  -2.0710204E+00   1.2343724E+00
   5.2245414E-01   4.7656521E-03  -2.0548074E+00   1.2342237E+00
   5.2736664E-01   5.3847968E-03  -2.0278003E+00   1.2338728E+00
   5.3208846E-01   4.2494782E-03  -2.0018365E+00   1.2333390E+00
   5.3687817E-01   3.4925092E-03  -1.9870954E+00   1.2329383E+00
   5.4235554E-01   5.8802357E-03  -1.9696988E+00   1.2319907E+00
   5.4723448E-01   4.7790622E-03  -1.9618609E+00   1.2316827E+00
   5.5157202E-01   3.1263244E-03  -1.9459944E+00   1.2314510E+00
   5.5659330E-01   3.5237730E-03  -1.9368643E+00   1.2308708E+00
   5.6240606E-01   3.8795446E-03  -1.9119787E+00   1.2298001E+00
   5.6678182E-01   3.4807057E-03  -1.8909754E+00   1.2292293E+00
   5.7156903E-01   3.6425977E-03  -1.8749377E+00   1.2282493E+00
   5.7743990E-01   3.5373739E-03  -1.8490173E+00   1.2276102E+00
   5.8171475E-01   2.7258557E-03  -1.8331207E+00   1.2278490E+00
   5.8666348E-01   2.8637636E-03  -1.8201436E+00   1.2278061E+00
   5.9239221E-01   2.6372229E-03  -1.7952694E+00   1.2275704E+00
   5.9645593E-01   2.6313786E-03  -1.7683079E+00   1.2272983E+00
   6.0222685E-01   2.6494397E-03  -1.7308224E+00   1.2269602E+00
   6.0589951E-01   2.6985302E-03  -1.7183391E+00   1.2268609E+00
   6.1116922E-01   2.2518956E-03  -1.7088356E+00   1.2267243E+00
   6.1621338E-01   3.2551846E-04  -1.6882679E+00   1.2265249E+00
   6.2119758E-01   2.1881578E-03  -1.6707774E+00   1.2262754E+00
