  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   19:27:57  02/22/2024 gpju     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      704      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   6.3768011E-01  -6.0789986E-03  -1.6195123E+00   3.8733864E+00
   6.4547867E-01  -6.9898935E-03  -1.5945364E+00   3.8733668E+00
   6.5318751E-01  -7.0862398E-03  -1.5196557E+00   3.8734059E+00
   6.6086525E-01  -6.5845703E-03  -1.4653876E+00   3.8737586E+00
   6.6844481E-01  -7.0856027E-03  -1.4080607E+00   3.8739176E+00
   6.7594236E-01  -7.0463046E-03  -1.3414730E+00   3.8738499E+00
   6.8344587E-01  -8.7278066E-03  -1.2733812E+00   3.8735950E+00
   6.9096756E-01  -9.4142016E-03  -1.2053381E+00   3.8732276E+00
   6.9853222E-01  -9.4961580E-03  -1.1376647E+00   3.8728170E+00
   7.0612717E-01  -9.8069487E-03  -1.0744716E+00   3.8724301E+00
   7.1372879E-01  -1.0400053E-02  -1.0139002E+00   3.8720789E+00
   7.2131485E-01  -1.0733769E-02  -9.5231694E-01   3.8717213E+00
   7.2888410E-01  -1.1386332E-02  -8.9467901E-01   3.8713927E+00
   7.3642814E-01  -1.2000973E-02  -8.3835858E-01   3.8710856E+00
   7.4394017E-01  -1.1964061E-02  -7.8387767E-01   3.8708181E+00
   7.5143641E-01  -1.2327768E-02  -7.2949266E-01   3.8705857E+00
   7.5895303E-01  -1.2670247E-02  -6.7554283E-01   3.8703578E+00
   7.6651293E-01  -1.3086114E-02  -6.2739086E-01   3.8700850E+00
   7.7410543E-01  -1.2344671E-02  -6.1213619E-01   3.8700144E+00
   7.8173000E-01  -1.2291979E-02  -5.1892614E-01   3.8700020E+00
   7.8939503E-01  -1.2551016E-02  -5.1863140E-01   3.8698983E+00
   7.9718357E-01  -1.3426709E-02  -4.6698171E-01   3.8700128E+00
   8.0493665E-01  -1.4242915E-02  -4.7206223E-01   3.8700876E+00
   8.1273293E-01  -1.3458460E-02  -4.0616906E-01   3.8710930E+00
   8.2078326E-01  -1.4319433E-02  -4.1538930E-01   3.8711812E+00
   8.2894671E-01  -1.3780827E-02  -3.6149448E-01   3.8722973E+00
   8.3624816E-01  -1.3505975E-02  -3.4947559E-01   3.8732991E+00
   8.4391475E-01  -1.3943576E-02  -3.3587998E-01   3.8739378E+00
   8.5173905E-01  -1.3678713E-02  -3.1929889E-01   3.8743246E+00
   8.5941809E-01  -1.3825587E-02  -3.0552778E-01   3.8745103E+00
   8.6710155E-01  -1.4320890E-02  -2.8987476E-01   3.8745515E+00
   8.7480807E-01  -1.4857496E-02  -2.6930267E-01   3.8745568E+00
   8.8251108E-01  -1.4911442E-02  -2.4612620E-01   3.8745921E+00
   8.9020061E-01  -1.4979403E-02  -2.2140674E-01   3.8746870E+00
   8.9786190E-01  -1.5094694E-02  -1.9389290E-01   3.8748331E+00
   9.0550834E-01  -1.5363785E-02  -1.6493136E-01   3.8750231E+00
   9.1314280E-01  -1.5584401E-02  -1.3449022E-01   3.8752303E+00
   9.2077667E-01  -1.5511545E-02  -1.0144348E-01   3.8754115E+00
   9.2841774E-01  -1.5304457E-02  -6.4931028E-02   3.8755858E+00
   9.3514460E-01  -1.5322504E-02  -5.6418646E-02   3.8755560E+00
   9.4153214E-01  -1.6109472E-02   4.6355505E-02   3.8763597E+00
   9.4823897E-01  -1.6133599E-02   5.6004792E-02   3.8763070E+00
   9.5528120E-01  -1.5921928E-02   8.0135420E-02   3.8762286E+00
   9.6267551E-01  -1.5653046E-02   1.9286403E-01   3.8771791E+00
   9.7037441E-01  -1.6681502E-02   2.1990269E-01   3.8772588E+00
   9.7791821E-01  -1.7479677E-02   3.0705523E-01   3.8783913E+00
   9.8533964E-01  -1.6503008E-02   3.4959117E-01   3.8785386E+00
   9.9277598E-01  -1.6769456E-02   4.6378970E-01   3.8804724E+00
   1.0001276E+00  -1.6779127E-02   5.1746452E-01   3.8814411E+00
   1.0076082E+00  -1.6739454E-02   5.9275633E-01   3.8827188E+00
   1.0150265E+00  -1.6871408E-02   6.7069137E-01   3.8836312E+00
   1.0224712E+00  -1.7070388E-02   7.5231975E-01   3.8843870E+00
   1.0298926E+00  -1.6787177E-02   8.3705693E-01   3.8850210E+00
   1.0373372E+00  -1.6871924E-02   9.2240995E-01   3.8855395E+00
   1.0448613E+00  -1.6603213E-02   1.0042040E+00   3.8860016E+00
   1.0524557E+00  -1.6777767E-02   1.0833051E+00   3.8865077E+00
   1.0601234E+00  -1.6824411E-02   1.1608754E+00   3.8870902E+00
   1.0678676E+00  -1.6983671E-02   1.2357883E+00   3.8876932E+00
   1.0756270E+00  -1.6909631E-02   1.3100978E+00   3.8883259E+00
   1.0835129E+00  -1.7084004E-02   1.3826898E+00   3.8889542E+00
   1.0912310E+00  -1.7213682E-02   1.4561023E+00   3.8895841E+00
   1.0990517E+00  -1.7045343E-02   1.5244304E+00   3.8901460E+00
   1.1070141E+00  -1.6950853E-02   1.5874574E+00   3.8906989E+00
