  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   20:21:40  02/28/2024 httg     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      993      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.4274369E-01   5.6897625E-03   9.4839561E-01   7.0765251E-01
   1.4418532E-01   6.5155411E-03   9.8876619E-01   7.0732743E-01
   1.4569904E-01   6.8397266E-03   1.0205178E+00   7.0777327E-01
   1.4728843E-01   6.5301941E-03   1.0884849E+00   7.0795327E-01
   1.4868748E-01   8.9508360E-03   1.1139168E+00   7.0794946E-01
   1.5015648E-01   6.2279822E-03   1.1371280E+00   7.0829237E-01
   1.5331852E-01   5.6430544E-03   1.2128886E+00   7.0942968E-01
   1.5501907E-01   5.3452090E-03   1.2662616E+00   7.1021187E-01
   1.5680467E-01   5.9056184E-03   1.2873789E+00   7.1102583E-01
   1.5867953E-01   1.3525349E-03   1.3358451E+00   7.1187973E-01
   1.6060255E-01   5.1393728E-03   1.3818656E+00   7.1263576E-01
   1.6253468E-01   4.5736991E-03   1.4592334E+00   7.1289837E-01
   1.6448209E-01   3.5148968E-03   1.5555904E+00   7.1426684E-01
   1.6645332E-01   7.3512476E-03   1.5473908E+00   7.1456110E-01
   1.6844013E-01   9.0563074E-03   1.5571399E+00   7.1729040E-01
   1.7045628E-01   1.5853413E-03   1.5828305E+00   7.2456211E-01
   1.7244515E-01   3.8760570E-03   1.6411359E+00   7.2415674E-01
   1.7442074E-01   9.5836325E-03   1.8027331E+00   7.1993303E-01
   1.7649512E-01   5.0079762E-03   1.7973961E+00   7.2143751E-01
   1.7864974E-01   6.7515583E-03   1.7978626E+00   7.2328126E-01
   1.8075109E-01   6.1019282E-03   1.8230399E+00   7.2571683E-01
   1.8252970E-01   5.0218320E-03   1.8888631E+00   7.2277820E-01
   1.8437925E-01   4.7658733E-03   1.9550091E+00   7.2523344E-01
   1.8614139E-01   5.1363399E-03   1.9968706E+00   7.3800176E-01
   1.8792261E-01   2.1403439E-03   2.0467281E+00   7.3467475E-01
   1.8975836E-01   6.6559766E-03   2.0993359E+00   7.3155445E-01
   1.9168590E-01   7.5428640E-03   2.1327915E+00   7.3359072E-01
   1.9370982E-01   4.7917771E-03   2.1774497E+00   7.3374772E-01
   1.9555609E-01   7.7331285E-03   2.2268834E+00   7.3863262E-01
   1.9749467E-01   5.5408683E-03   2.2670498E+00   7.3916948E-01
   1.9953018E-01   4.1980017E-03   2.2981772E+00   7.3996532E-01
   2.0166747E-01   5.1700305E-03   2.3452153E+00   7.4267137E-01
   2.0322661E-01   5.1772865E-03   2.4135313E+00   7.4157250E-01
   2.0486370E-01   9.2112748E-03   2.4491315E+00   7.4132484E-01
   2.0658265E-01   7.5174971E-03   2.4893448E+00   7.4124134E-01
   2.0953341E-01   9.6253622E-03   2.5526688E+00   7.5162452E-01
   2.1097155E-01   2.6283856E-03   2.6011331E+00   7.4432451E-01
   2.1248160E-01   5.1259431E-03   2.6212513E+00   7.4453408E-01
   2.1406715E-01   6.4690462E-03   2.6533952E+00   7.4774575E-01
   2.1573198E-01   4.8488495E-03   2.6943598E+00   7.4867439E-01
   2.1745883E-01   6.3813939E-03   2.7204669E+00   7.4897057E-01
   2.1876197E-01   6.9161546E-03   2.7786334E+00   7.5012636E-01
   2.2096419E-01   1.0678283E-02   2.8436549E+00   7.5582558E-01
   2.2292039E-01   5.0164843E-03   2.8978348E+00   7.5380087E-01
   2.2461288E-01   8.5979737E-03   2.9194694E+00   7.7554882E-01
   2.2647883E-01  -1.0857895E-03   2.9397893E+00   7.6260614E-01
   2.2748236E-01  -4.2695897E-03   2.9523089E+00   7.5258899E-01
   2.2964245E-01   8.6105103E-03   2.9992330E+00   7.6828837E-01
   2.3080415E-01   1.1557511E-02   3.0194080E+00   7.5995922E-01
   2.3297797E-01   1.2859322E-02   3.1072288E+00   7.6501852E-01
   2.3461439E-01   9.3487669E-03   3.1280105E+00   7.5893909E-01
   2.3641852E-01   5.2805441E-03   3.1640940E+00   7.5856864E-01
   2.3840758E-01   3.1543882E-03   3.1848574E+00   7.5675595E-01
   2.3947731E-01   7.1705139E-04   3.2072647E+00   7.5537586E-01
   2.4177989E-01   8.9278668E-03   3.2521739E+00   7.5864965E-01
   2.4301824E-01   6.6591715E-03   3.2715714E+00   7.5910401E-01
   2.4568377E-01   5.0766799E-03   3.3223641E+00   7.5934017E-01
   2.4711731E-01   7.8078131E-03   3.3454688E+00   7.5957608E-01
   2.4862254E-01   9.1474801E-03   3.3737514E+00   7.5890851E-01
   2.5020301E-01   1.0551494E-02   3.4086123E+00   7.5879800E-01
   2.5176853E-01   6.6095605E-03   3.4322524E+00   7.5764322E-01
   2.5341231E-01   2.2053698E-03   3.4599943E+00   7.6007736E-01
   2.5513831E-01   7.4741710E-04   3.4824967E+00   7.5622320E-01
   2.5693017E-01   8.6803008E-03   3.5204253E+00   7.5797814E-01
   2.5871569E-01   6.5893936E-03   3.5500414E+00   7.5731170E-01
   2.6036659E-01   2.6354657E-03   3.5881612E+00   7.5779551E-01
   2.6210004E-01  -1.8886786E-03   3.6028001E+00   7.5723922E-01
   2.6387620E-01   5.5722333E-03   3.6352618E+00   7.5616372E-01
   2.6565000E-01   6.1622444E-03   3.6602352E+00   7.5590521E-01
   2.6742184E-01   5.2001718E-03   3.7009778E+00   7.5289762E-01
   2.6904905E-01   6.1008004E-03   3.7332976E+00   7.4834120E-01
   2.7075759E-01   3.9777430E-03   3.7514591E+00   7.4845183E-01
   2.7252686E-01   3.2810133E-03   3.7713521E+00   7.4890661E-01
   2.7429670E-01   6.3785575E-03   3.8005905E+00   7.4788243E-01
   2.7606711E-01   1.0081554E-02   3.8280780E+00   7.4658328E-01
   2.7783698E-01   6.8754489E-03   3.8561280E+00   7.4479783E-01
   2.7959356E-01   3.2545580E-03   3.8845165E+00   7.4266851E-01
   2.8133139E-01   4.7282316E-03   3.9071670E+00   7.4101788E-01
   2.8305304E-01   3.6410263E-03   3.9286370E+00   7.3930389E-01
   2.8475976E-01   1.0274149E-02   3.9506216E+00   7.3690856E-01
   2.8645384E-01   8.2610166E-03   3.9746137E+00   7.3552227E-01
   2.8813696E-01   6.5130582E-03   3.9919682E+00   7.3429316E-01
   2.8981018E-01   6.5237926E-03   4.0159822E+00   7.3196840E-01
   2.9147416E-01   8.2029849E-03   4.0324211E+00   7.2971857E-01
   2.9313013E-01   4.9553462E-03   4.0490704E+00   7.2783571E-01
   2.9476863E-01   5.7780701E-03   4.0634918E+00   7.2545183E-01
   2.9641268E-01   9.6007716E-03   4.0818844E+00   7.2366524E-01
   2.9805261E-01   9.3403226E-03   4.1020432E+00   7.2150588E-01
   2.9968849E-01   3.8614303E-03   4.1142907E+00   7.1955103E-01
   3.0132195E-01   9.6797105E-03   4.1318645E+00   7.1804738E-01
   3.0288565E-01   6.4048073E-03   4.1450067E+00   7.1567720E-01
   3.0450544E-01   6.3535902E-03   4.1596403E+00   7.1351171E-01
   3.0668449E-01   8.6103706E-03   4.1919842E+00   7.0946395E-01
   3.0864260E-01   7.8251176E-03   4.2034907E+00   7.1252853E-01
   3.0969140E-01   8.3387699E-03   4.2003679E+00   7.0963973E-01
   3.1194896E-01   3.9728652E-03   4.2176895E+00   7.1218216E-01
   3.1316310E-01   7.3534711E-03   4.2236209E+00   7.0924598E-01
   3.1577650E-01   6.0003125E-03   4.2358446E+00   7.0334816E-01
   3.1718200E-01   9.3231034E-03   4.2465439E+00   7.0152181E-01
