  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   15:14:29  02/29/2024 qiqb     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.932E+00
   time              pfxob_1         pfyob_1         pfzob_1
   3.8497257E-01   2.7031139E-03  -2.0140870E+00   6.7444336E-01
   3.8828740E-01   1.4440407E-03  -2.0287948E+00   6.7427129E-01
   3.9500237E-01   9.0829929E-04  -2.0542915E+00   6.7511272E-01
   3.9842057E-01   1.4132016E-03  -2.0643864E+00   6.7593712E-01
   4.0485686E-01   4.7700186E-03  -2.0032151E+00   6.7794561E-01
   4.1054660E-01   1.6429943E-03  -2.0136266E+00   6.7735296E-01
   4.1360658E-01   9.5407473E-04  -2.0218394E+00   6.7756951E-01
   4.2002565E-01   9.4295823E-04  -2.0433133E+00   6.7841673E-01
   4.2316493E-01   4.1409540E-03  -2.0237308E+00   6.7995238E-01
   4.2803940E-01   2.5707092E-03  -2.0242894E+00   6.7953163E-01
   4.3419403E-01   1.5084747E-03  -2.0185416E+00   6.7951727E-01
   4.3882713E-01   2.0147951E-03  -2.0115268E+00   6.8076557E-01
   4.4292691E-01   2.7263639E-03  -1.9991766E+00   6.8151903E-01
   4.4836566E-01   2.3096937E-03  -1.9926358E+00   6.8162924E-01
   4.5407546E-01   1.6411073E-03  -1.9945252E+00   6.8264121E-01
   4.5822161E-01   2.2401912E-03  -1.9948391E+00   6.8246877E-01
   4.6279278E-01   2.9926200E-03  -1.9518141E+00   6.8342137E-01
   4.6783248E-01   2.6456004E-03  -1.9593762E+00   6.8257844E-01
   4.7338873E-01   1.9480713E-03  -1.9796070E+00   6.8229455E-01
   4.7947788E-01   2.6397423E-03  -1.9922220E+00   6.8299097E-01
   4.8250613E-01   4.1246465E-03  -1.9425210E+00   6.8452686E-01
   4.8830989E-01   3.2605596E-03  -1.9428458E+00   6.8355137E-01
   4.9412555E-01   2.1120792E-03  -1.9521784E+00   6.8361545E-01
   4.9707964E-01   2.4946227E-03  -1.9547951E+00   6.8405432E-01
   5.0290823E-01   3.5992782E-03  -1.8863847E+00   6.8516761E-01
   5.0862235E-01   1.9937023E-03  -1.9009234E+00   6.8397313E-01
   5.1143956E-01   1.0210266E-03  -1.9148183E+00   6.8370485E-01
   5.1700413E-01   2.7518808E-03  -1.9267431E+00   6.8370926E-01
   5.2246451E-01   3.4452891E-03  -1.9059955E+00   6.8413311E-01
   5.2776778E-01   2.7715943E-03  -1.8710843E+00   6.8416691E-01
   5.3264689E-01   2.4631901E-03  -1.8565806E+00   6.8409234E-01
   5.3755355E-01   2.6893986E-03  -1.8506870E+00   6.8388021E-01
   5.4248708E-01   3.1937773E-03  -1.8078119E+00   6.8444169E-01
   5.4730368E-01   3.0162511E-03  -1.8126178E+00   6.8352020E-01
   5.5196363E-01   3.0641314E-03  -1.8290108E+00   6.8303668E-01
   5.5650657E-01   3.4956716E-03  -1.8321627E+00   6.8291008E-01
   5.6313998E-01   3.0767715E-03  -1.7298040E+00   6.8384498E-01
   5.6749475E-01   1.4740606E-03  -1.8079598E+00   6.8276691E-01
   5.7183552E-01   2.6645376E-03  -1.7940789E+00   6.8279272E-01
   5.7610250E-01   4.5638117E-03  -1.6910195E+00   6.8326926E-01
   5.8213693E-01   1.2355417E-03  -1.7442747E+00   6.8261105E-01
   5.8613002E-01   2.3752106E-03  -1.7553692E+00   6.8252569E-01
   5.9197176E-01   3.2334263E-03  -1.6312387E+00   6.8289167E-01
   5.9572911E-01   2.8038435E-03  -1.6597847E+00   6.8236864E-01
   6.0117298E-01   2.5582977E-03  -1.6949382E+00   6.8251014E-01
   6.0642380E-01   2.9876521E-03  -1.6754270E+00   6.8308860E-01
   6.1155635E-01   2.5129342E-03  -1.6206285E+00   6.8335170E-01
