  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   13:42:43  08/25/2023 jcer     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, vmax, vmaxsrf       
       1     1002      0.000E+00      2.280E+01
   time              pfxob_1         pfyob_1         pfzob_1         vmax_0          vmaxsrf_0
   3.2120827E-01   3.7376547E-05  -3.2266972E+00   5.7309625E-16   1.3345329E-01   1.7849807E-01
   3.4014100E-01   1.2913245E-03  -3.0989203E+00   5.7562549E-16   1.5597917E-01   2.1637990E-01
   3.6629733E-01  -3.9124789E-04  -2.9191988E+00   5.7229532E-16   1.5872945E-01   2.2999461E-01
   3.8651657E-01   6.2510039E-04  -2.7287297E+00   5.6314170E-16   1.6892999E-01   2.3889993E-01
   4.1130751E-01   1.2714482E-03  -2.5575867E+00   5.5263971E-16   1.2205941E-01   1.6269346E-01
   4.3178296E-01   2.5061719E-04  -2.4473612E+00   5.4742151E-16   1.2185758E-01   1.5131345E-01
   4.5661297E-01  -5.5609894E-04  -2.3542149E+00   5.4929192E-16   1.2183338E-01   1.6144858E-01
   4.8114344E-01  -8.0801593E-04  -2.2905288E+00   5.5572619E-16   1.3640790E-01   1.4851229E-01
   5.0295204E-01   2.7055337E-04  -2.2966785E+00   5.6487510E-16   1.4964198E-01   2.3112996E-01
   5.2730578E-01   1.8065518E-03  -2.3460460E+00   5.7561421E-16   1.9142434E-01   2.7822214E-01
   5.4778433E-01  -3.8507063E-05  -2.3818376E+00   5.7886856E-16   2.1565726E-01   2.5190172E-01
   5.7148105E-01  -1.3249574E-04  -2.4030190E+00   5.7566244E-16   1.2904023E-01   1.7366083E-01
   5.8931941E-01   3.3325511E-03  -2.3712981E+00   5.7246743E-16   1.3156144E-01   1.3817571E-01
   6.1610895E-01   1.7117354E-03  -2.2624359E+00   5.6854011E-16   1.3889368E-01   1.3654213E-01
   6.4090282E-01  -1.7280878E-04  -2.0812323E+00   5.6767751E-16   1.3902278E-01   1.4284052E-01
   6.5818626E-01  -6.6072948E-04  -1.9724238E+00   5.6875504E-16   1.4261003E-01   1.4834104E-01
   6.8554109E-01  -4.7628363E-04  -1.6908566E+00   5.7358408E-16   1.5397066E-01   2.3753281E-01
   7.0986062E-01  -9.2923274E-04  -1.4114716E+00   5.7338080E-16   1.4804564E-01   2.0557776E-01
   7.2797036E-01  -5.1406631E-04  -1.2179754E+00   5.6968556E-16   1.6408072E-01   2.1226981E-01
   7.5554264E-01  -1.7880354E-03  -9.5372951E-01   5.5852283E-16   1.5164222E-01   1.6538461E-01
   7.7177131E-01  -2.7537767E-03  -8.2661939E-01   5.5253733E-16   1.5227519E-01   1.5567032E-01
   8.0098498E-01  -4.5282431E-03  -7.0919991E-01   5.4975869E-16   1.5436976E-01   1.5204877E-01
   8.2074481E-01  -3.4150381E-03  -6.4199322E-01   5.5199935E-16   1.5615948E-01   1.5527080E-01
   8.4361935E-01  -3.8012001E-03  -6.0606104E-01   5.5908828E-16   1.5852848E-01   1.7190295E-01
   8.6927742E-01  -4.5957197E-03  -6.3426340E-01   5.7015291E-16   2.0322767E-01   2.2128177E-01
   8.8628030E-01  -6.3905991E-03  -6.8288058E-01   5.7478025E-16   1.8474625E-01   2.5085327E-01
   9.1156936E-01  -5.9464765E-03  -7.3499221E-01   5.7607822E-16   1.7908132E-01   2.5779828E-01
   9.3720216E-01  -5.8822902E-03  -7.2116834E-01   5.7193989E-16   1.6842452E-01   1.6906774E-01
   9.5479876E-01  -5.5688517E-03  -6.9515222E-01   5.6990833E-16   1.6955049E-01   1.6964296E-01
   9.8251992E-01  -6.3216407E-03  -4.4814441E-01   5.6748481E-16   1.7117196E-01   1.7152447E-01
   1.0028405E+00  -6.4526391E-03  -3.6879429E-01   5.6818065E-16   1.7126966E-01   1.7314467E-01
   1.0263641E+00  -6.7202882E-03  -9.6837856E-02   5.7239183E-16   1.6965057E-01   1.9546407E-01
   1.0528915E+00  -7.5513287E-03   2.3673372E-01   5.7554121E-16   1.6840428E-01   2.3062043E-01
   1.0700713E+00  -7.7465731E-03   4.7112218E-01   5.7317915E-16   1.6613878E-01   2.1679431E-01
   1.0938318E+00  -6.8567945E-03   7.7833372E-01   5.6446138E-16   1.6233014E-01   1.8553554E-01
   1.1166341E+00  -7.8149233E-03   9.9371618E-01   5.5584896E-16   1.5776116E-01   1.7032631E-01
   1.1372855E+00  -8.7094717E-03   1.1513520E+00   5.5089985E-16   1.5966812E-01   1.7649929E-01
   1.1655205E+00  -9.3120439E-03   1.3470619E+00   5.5066708E-16   1.6900219E-01   1.9023804E-01
   1.1894301E+00  -8.9765573E-03   1.3749089E+00   5.5592599E-16   1.7801319E-01   2.0296676E-01
   1.2056816E+00  -8.8686198E-03   1.3798202E+00   5.6216698E-16   1.8407620E-01   2.1176121E-01
   1.2286499E+00  -7.2090374E-03   1.3456826E+00   5.7084774E-16   1.9253975E-01   2.2478704E-01
   1.2537833E+00  -6.5921000E-03   1.3066329E+00   5.7523897E-16   2.0153412E-01   2.3743598E-01
   1.2809922E+00  -5.7435893E-03   1.2815613E+00   5.7357011E-16   2.1036057E-01   2.4553154E-01
   1.2993031E+00  -4.5516165E-03   1.3075149E+00   5.7120794E-16   2.1607691E-01   2.5167575E-01
   1.3244261E+00  -4.0922798E-03   1.4075278E+00   5.6877871E-16   2.2197965E-01   2.5023481E-01
   1.3470616E+00  -2.9076505E-03   1.5392557E+00   5.6925866E-16   2.2493841E-01   2.4238439E-01
   1.3725820E+00  -1.3610726E-03   1.7438619E+00   5.7191230E-16   2.2650239E-01   2.4233633E-01
   1.3909142E+00   1.7837733E-04   1.9291692E+00   5.7425234E-16   2.2823964E-01   2.4154110E-01
   1.4146242E+00   1.3247486E-05   2.2317758E+00   5.7327513E-16   2.3178147E-01   2.3878922E-01
   1.4391462E+00  -6.9762376E-04   2.4965656E+00   5.6654286E-16   2.3130223E-01   2.4063940E-01
   1.4616375E+00  -3.0327353E-03   2.7192314E+00   5.5589401E-16   2.3129348E-01   2.3642667E-01
   1.4847780E+00  -2.8463383E-03   2.8778317E+00   5.4921150E-16   2.3030858E-01   2.3556809E-01
   1.5014243E+00  -1.3290705E-03   2.9545560E+00   5.4903802E-16   2.2903597E-01   2.3432145E-01
   1.5267794E+00  -1.2647669E-03   3.0281720E+00   5.5271526E-16   2.2622634E-01   2.3140046E-01
   1.5501468E+00   4.8231948E-04   3.0365031E+00   5.6034337E-16   2.2273630E-01   2.2779334E-01
   1.5711939E+00   2.4875700E-03   2.9872513E+00   5.6893340E-16   2.2139823E-01   2.2462425E-01
   1.5933666E+00   3.8166812E-03   2.9218843E+00   5.7388626E-16   2.2792277E-01   2.3448616E-01
   1.6190342E+00   5.4673492E-03   2.8484864E+00   5.7539271E-16   2.3510659E-01   2.4478754E-01
   1.6374747E+00   7.1616266E-03   2.8182943E+00   5.7342256E-16   2.3975268E-01   2.5154695E-01
   1.6645648E+00   7.9404628E-03   2.8176055E+00   5.7000013E-16   2.4736920E-01   2.6202360E-01
   1.6894008E+00   8.0287615E-03   2.8644125E+00   5.6850157E-16   2.5324547E-01   2.7200589E-01
   1.7135491E+00   9.3651284E-03   2.9448926E+00   5.6940255E-16   2.5836518E-01   2.8055990E-01
   1.7310563E+00   9.5239505E-03   3.0168898E+00   5.7089422E-16   2.6191431E-01   2.8525120E-01
   1.7574600E+00   8.2904994E-03   3.1566043E+00   5.7203989E-16   2.6657611E-01   2.8033966E-01
   1.7746123E+00   6.9728177E-03   3.2452185E+00   5.6988573E-16   2.6853427E-01   2.7523419E-01
   1.7989377E+00   6.0411650E-03   3.3408101E+00   5.6270765E-16   2.7132633E-01   2.7607009E-01
   1.8215296E+00   4.9262671E-03   3.3636789E+00   5.5523047E-16   2.7464268E-01   2.7904594E-01
   1.8448361E+00   3.2544120E-03   3.3133652E+00   5.5168124E-16   2.7680272E-01   2.8145006E-01
   1.8685666E+00   1.4182575E-03   3.1981900E+00   5.5335614E-16   2.7766129E-01   2.8293449E-01
   1.8923627E+00  -1.2197271E-04   3.0161276E+00   5.5871114E-16   2.7807990E-01   2.8336841E-01
   1.9141085E+00  -3.0476059E-04   2.7861762E+00   5.6592606E-16   2.7760887E-01   2.8283077E-01
   1.9355817E+00  -1.2354498E-03   2.4843576E+00   5.7164385E-16   2.7661493E-01   2.8109914E-01
   1.9633849E+00  -9.7996835E-04   2.1188002E+00   5.7400596E-16   2.7448988E-01   2.7774179E-01
   1.9834660E+00  -1.8434430E-03   1.8351737E+00   5.7144024E-16   2.7217650E-01   2.7551737E-01
   2.0095294E+00  -1.7174855E-03   1.6294105E+00   5.6923378E-16   2.6839563E-01   2.7191910E-01
   2.0279379E+00  -2.2428827E-03   1.4751362E+00   5.6801352E-16   2.6553726E-01   2.6925680E-01
   2.0523059E+00  -4.0106056E-03   1.2918080E+00   5.6851967E-16   2.6030990E-01   2.6404095E-01
   2.0760531E+00  -5.5799200E-03   1.1426486E+00   5.7038966E-16   2.5352186E-01   2.5681660E-01
   2.1002073E+00  -7.4954159E-03   9.5824075E-01   5.7245441E-16   2.5131327E-01   2.4812953E-01
   2.1184764E+00  -1.0273252E-02   8.5447091E-01   5.6982474E-16   2.5251731E-01   2.4958165E-01
   2.1424537E+00  -1.2464113E-02   7.9234195E-01   5.6459325E-16   2.5430867E-01   2.5281015E-01
   2.1664257E+00  -1.4153093E-02   6.5509039E-01   5.5776712E-16   2.5261071E-01   2.5490314E-01
   2.1908426E+00  -1.6160622E-02   4.4357091E-01   5.5324942E-16   2.5097454E-01   2.5237617E-01
   2.2109237E+00  -1.8014999E-02   1.9119203E-01   5.5379935E-16   2.4867693E-01   2.4934326E-01
   2.2309730E+00  -1.8561849E-02  -5.0959940E-04   5.5655131E-16   2.4622492E-01   2.4757460E-01
   2.2579491E+00  -1.7895417E-02  -4.3732354E-01   5.6440918E-16   2.4065870E-01   2.4095620E-01
   2.2788513E+00  -1.8898351E-02  -6.7892617E-01   5.6945538E-16   2.3395845E-01   2.3520978E-01
   2.3011649E+00  -1.8206881E-02  -9.5636946E-01   5.7235811E-16   2.2751579E-01   2.2913459E-01
   2.3292329E+00  -1.7465200E-02  -1.3022920E+00   5.7149334E-16   2.1716492E-01   2.2050962E-01
   2.3517866E+00  -1.5415126E-02  -1.5190758E+00   5.6967201E-16   2.0855330E-01   2.2863068E-01
   2.3674896E+00  -1.3854514E-02  -1.6324040E+00   5.6907527E-16   2.0247954E-01   2.3466899E-01
   2.3964896E+00  -1.4064645E-02  -1.7805471E+00   5.6946676E-16   1.9284549E-01   2.4640802E-01
   2.4196754E+00  -1.3669139E-02  -1.8156475E+00   5.7055049E-16   1.9960584E-01   2.5549823E-01
   2.4366686E+00  -1.3988872E-02  -1.8104736E+00   5.7170102E-16   2.0442362E-01   2.6373619E-01
   2.4601238E+00  -1.4736664E-02  -1.7554269E+00   5.7075367E-16   2.1078633E-01   2.7421093E-01
   2.4871435E+00  -1.4285553E-02  -1.6799920E+00   5.6632628E-16   2.1791463E-01   2.8642249E-01
   2.5094540E+00  -1.4556399E-02  -1.6237137E+00   5.5930713E-16   2.2332062E-01   2.9704773E-01
   2.5335267E+00  -1.4796236E-02  -1.5931908E+00   5.5439937E-16   2.2905061E-01   2.9548073E-01
   2.5514634E+00  -1.4091535E-02  -1.5907125E+00   5.5323089E-16   2.3312607E-01   2.8907219E-01
   2.5775361E+00  -1.4606893E-02  -1.6143910E+00   5.5586299E-16   2.3530361E-01   2.6373681E-01
   2.6005449E+00  -1.3164895E-02  -1.6606419E+00   5.6145388E-16   2.3635453E-01   2.4777824E-01
   2.6256335E+00  -1.0735040E-02  -1.7331265E+00   5.6782945E-16   2.3442574E-01   2.4566330E-01
   2.6437650E+00  -1.0670489E-02  -1.7817090E+00   5.7071301E-16   2.3672929E-01   2.4349189E-01
   2.6711338E+00  -7.1015311E-03  -1.8304777E+00   5.7211321E-16   2.3943797E-01   2.4659756E-01
   2.6885941E+00  -5.2028424E-03  -1.8278210E+00   5.7098840E-16   2.4073327E-01   2.4800429E-01
   2.7119322E+00  -3.1946176E-03  -1.7802700E+00   5.6952383E-16   2.4227954E-01   2.4976082E-01
   2.7381039E+00  -9.6744020E-04  -1.6635517E+00   5.6897517E-16   2.4381904E-01   2.5152355E-01
   2.7630403E+00  -7.5373781E-04  -1.4893565E+00   5.6950467E-16   2.4476945E-01   2.5300825E-01
   2.7811875E+00   5.0777860E-04  -1.3478780E+00   5.7021104E-16   2.4511047E-01   2.5369328E-01
   2.8087485E+00  -3.7904974E-04  -1.0786693E+00   5.6915405E-16   2.4507785E-01   2.5426447E-01
   2.8270617E+00  -7.5274782E-04  -9.0092152E-01   5.6680200E-16   2.4485603E-01   2.5434399E-01
   2.8521233E+00  -4.6715947E-04  -6.7168826E-01   5.6046005E-16   2.4427655E-01   2.5381580E-01
   2.8760102E+00  -7.6465178E-05  -5.0418037E-01   5.5544773E-16   2.4321169E-01   2.5274745E-01
   2.8937960E+00  -1.0554121E-03  -4.0171018E-01   5.5396495E-16   2.4258858E-01   2.5181589E-01
   2.9202659E+00  -2.1456140E-03  -2.9018652E-01   5.5554842E-16   2.4187191E-01   2.5006139E-01
   2.9444563E+00  -1.4878482E-03  -2.4627247E-01   5.6064248E-16   2.4416587E-01   2.5069940E-01
   2.9601657E+00  -1.2728414E-03  -2.4293725E-01   5.6481353E-16   2.4710909E-01   2.5559473E-01
   2.9849560E+00   5.9608545E-04  -2.4686348E-01   5.6925093E-16   2.5419906E-01   2.6363167E-01
   3.0121925E+00   1.0442184E-03  -2.5327963E-01   5.7158101E-16   2.6131979E-01   2.7277640E-01
   3.0295684E+00   2.0966169E-03  -2.4594611E-01   5.7084462E-16   2.6537904E-01   2.7620947E-01
   3.0538678E+00   2.9610498E-03  -1.9691396E-01   5.6916887E-16   2.7046609E-01   2.8158894E-01
   3.0800445E+00   3.1538280E-03  -8.8146627E-02   5.6826646E-16   2.7518776E-01   2.8604981E-01
   3.0970011E+00   3.5006120E-03   4.1629020E-03   5.6830442E-16   2.7766830E-01   2.8820243E-01
   3.1226628E+00   3.3540223E-03   1.6329455E-01   5.6900105E-16   2.8049082E-01   2.9015845E-01
   3.1496074E+00   1.3175984E-03   3.7368813E-01   5.6880036E-16   2.8209013E-01   2.9064029E-01
   3.1678839E+00   2.3560609E-04   5.2096444E-01   5.6713927E-16   2.8232282E-01   2.9000008E-01
   3.1938202E+00  -1.1251486E-03   7.3243093E-01   5.6238890E-16   2.8135267E-01   2.8900650E-01
   3.2174456E+00  -2.0845430E-03   8.7292266E-01   5.5752778E-16   2.7912274E-01   2.8663546E-01
   3.2349138E+00  -3.2631312E-03   9.5019317E-01   5.5545329E-16   2.7708623E-01   2.8408220E-01
   3.2620640E+00  -3.9321426E-03   1.0355488E+00   5.5567865E-16   2.7499008E-01   2.7869546E-01
   3.2791038E+00  -4.5263697E-03   1.0622246E+00   5.5801763E-16   2.7245790E-01   2.7445593E-01
   3.3029294E+00  -5.0322227E-03   1.0644832E+00   5.6347215E-16   2.6784316E-01   2.6783249E-01
   3.3282967E+00  -5.0820806E-03   1.0403455E+00   5.6782558E-16   2.6077995E-01   2.6088992E-01
   3.3557143E+00  -4.2538336E-03   1.0214494E+00   5.7035482E-16   2.5139120E-01   2.5319940E-01
   3.3736222E+00  -3.6580868E-03   1.0197825E+00   5.6992061E-16   2.4502108E-01   2.4741983E-01
   3.3986995E+00  -3.4564028E-03   1.0616997E+00   5.6856255E-16   2.3614806E-01   2.3843503E-01
   3.4161720E+00  -3.7272172E-03   1.1152472E+00   5.6796593E-16   2.2992101E-01   2.3166578E-01
   3.4427595E+00  -4.2611444E-03   1.2483652E+00   5.6814216E-16   2.2001928E-01   2.2133036E-01
   3.4686470E+00  -5.2648131E-03   1.4222687E+00   5.6903626E-16   2.1798225E-01   2.1939762E-01
   3.4864707E+00  -6.5659755E-03   1.5684656E+00   5.6939191E-16   2.1666770E-01   2.1839461E-01
   3.5139122E+00  -9.2770392E-03   1.8032838E+00   5.6723658E-16   2.1428037E-01   2.1607669E-01
   3.5321982E+00  -1.0545601E-02   1.9592389E+00   5.6486324E-16   2.1211265E-01   2.2019048E-01
   3.5548215E+00  -1.3085215E-02   2.1435368E+00   5.5959539E-16   2.0883051E-01   2.2761796E-01
   3.5808213E+00  -1.5144229E-02   2.2890773E+00   5.5604912E-16   2.0713437E-01   2.3391262E-01
   3.5991280E+00  -1.6935356E-02   2.3694384E+00   5.5522729E-16   2.0993765E-01   2.3739946E-01
   3.6247675E+00  -1.8555583E-02   2.4436972E+00   5.5778067E-16   2.1324818E-01   2.4058355E-01
   3.6492326E+00  -1.9486228E-02   2.4679749E+00   5.6289797E-16   2.1558021E-01   2.4213551E-01
   3.6732430E+00  -2.0257475E-02   2.4685562E+00   5.6702905E-16   2.1721752E-01   2.4293745E-01
   3.6909754E+00  -2.0773536E-02   2.4667559E+00   5.6889570E-16   2.1806788E-01   2.4507885E-01
   3.7176917E+00  -2.1961842E-02   2.4809992E+00   5.6964956E-16   2.2033536E-01   2.4789815E-01
   3.7415500E+00  -2.2607785E-02   2.5239952E+00   5.6871179E-16   2.2464292E-01   2.4879248E-01
   3.7647202E+00  -2.3446003E-02   2.6022327E+00   5.6804941E-16   2.2746612E-01   2.5054386E-01
   3.7871177E+00  -2.5283812E-02   2.7100747E+00   5.6823862E-16   2.3314682E-01   2.4752207E-01
   3.8098698E+00  -2.8071150E-02   2.8551168E+00   5.6878739E-16   2.3788007E-01   2.5291055E-01
   3.8300157E+00  -3.1734344E-02   3.0122435E+00   5.6891508E-16   2.4158362E-01   2.5703368E-01
   3.8553886E+00  -3.6076970E-02   3.1921699E+00   5.6668061E-16   2.4506660E-01   2.6163369E-01
   3.8743200E+00  -3.9997052E-02   3.3303993E+00   5.6420155E-16   2.4655713E-01   2.6437396E-01
   3.8996074E+00  -4.5014180E-02   3.4911549E+00   5.5944954E-16   2.5783285E-01   2.6705462E-01
   3.9220972E+00  -4.9733158E-02   3.5800622E+00   5.5660451E-16   2.7183849E-01   2.6844126E-01
   3.9438856E+00  -5.4291826E-02   3.6286697E+00   5.5570957E-16   2.8159738E-01   2.8147173E-01
   3.9663587E+00  -5.7848673E-02   3.6280587E+00   5.5761338E-16   2.9095814E-01   2.8689626E-01
   3.9923143E+00  -6.3989423E-02   3.5654116E+00   5.6333811E-16   3.0988082E-01   3.0380139E-01
   4.0120072E+00  -6.7442223E-02   3.4890442E+00   5.6619785E-16   3.2428378E-01   3.1964862E-01
   4.0363050E+00  -7.4009046E-02   3.3552828E+00   5.6860872E-16   3.3463639E-01   3.3253258E-01
   4.0604453E+00  -7.7405453E-02   3.2497535E+00   5.6893880E-16   3.4721181E-01   3.6447352E-01
   4.0830240E+00  -8.0943316E-02   3.1556313E+00   5.6872561E-16   3.6433762E-01   3.8553810E-01
   4.1051369E+00  -8.5158192E-02   3.0874236E+00   5.6804004E-16   3.7509969E-01   4.0053675E-01
   4.1265483E+00  -9.1673605E-02   2.9852607E+00   5.6787370E-16   3.8271633E-01   3.9867169E-01
   4.1516428E+00  -9.9748507E-02   2.9539242E+00   5.6808890E-16   3.9384702E-01   4.0324211E-01
   4.1722765E+00  -1.0514914E-01   2.9007719E+00   5.6811262E-16   4.0800664E-01   4.1552758E-01
   4.1962738E+00  -1.1313434E-01   2.8298769E+00   5.6662396E-16   4.1859493E-01   4.2512023E-01
   4.2190990E+00  -1.2113368E-01   2.7958920E+00   5.6425248E-16   4.2652553E-01   4.3152842E-01
   4.2389784E+00  -1.2792024E-01   2.6846242E+00   5.6090829E-16   4.3440178E-01   4.3943393E-01
   4.2623186E+00  -1.3647084E-01   2.5337873E+00   5.5740867E-16   4.4319847E-01   4.4844502E-01
   4.2849646E+00  -1.4454420E-01   2.3498373E+00   5.5646428E-16   4.5247900E-01   4.5884416E-01
   4.3109398E+00  -1.5242977E-01   2.0608230E+00   5.5857964E-16   4.6079907E-01   4.6361607E-01
   4.3328896E+00  -1.5870440E-01   1.7585133E+00   5.6233083E-16   4.6721718E-01   4.6683407E-01
   4.3548951E+00  -1.6298012E-01   1.4421082E+00   5.6578963E-16   4.7135335E-01   4.7449699E-01
   4.3775363E+00  -1.6734485E-01   1.1009187E+00   5.6804327E-16   4.7647697E-01   4.7891748E-01
   4.4006238E+00  -1.7241055E-01   7.4813008E-01   5.6896368E-16   4.7820985E-01   4.7906408E-01
   4.4237213E+00  -1.7910300E-01   3.7345499E-01   5.6791563E-16   4.7206292E-01   4.7781637E-01
   4.4469113E+00  -1.8102866E-01   8.3238356E-02   5.6740185E-16   4.7025958E-01   4.8364437E-01
   4.4704075E+00  -1.8572366E-01  -1.9984637E-01   5.6745644E-16   4.6354213E-01   5.2141619E-01
   4.4912434E+00  -1.9434544E-01  -4.4459644E-01   5.6790907E-16   4.8825336E-01   5.5822867E-01
   4.5123425E+00  -1.9253595E-01  -6.5967852E-01   5.6829473E-16   5.2590185E-01   4.5729741E-01
   4.5381851E+00  -1.8743487E-01  -8.6836076E-01   5.6682619E-16   4.8315623E-01   4.4731411E-01
   4.5591416E+00  -2.0729834E-01  -1.0590621E+00   5.6478468E-16   4.5276356E-01   4.3739983E-01
   4.5812478E+00  -2.0091179E-01  -1.2052426E+00   5.6197015E-16   4.4080341E-01   4.2793319E-01
   4.6075644E+00  -1.9548573E-01  -1.4564790E+00   5.5815564E-16   4.4330087E-01   4.1220114E-01
   4.6294436E+00  -1.9489650E-01  -1.8122255E+00   5.5739167E-16   4.5118526E-01   4.0297669E-01
   4.6495676E+00  -1.9418475E-01  -1.7951359E+00   5.5847894E-16   4.6116960E-01   3.9280173E-01
   4.6722665E+00  -1.9368893E-01  -2.0841429E+00   5.6100882E-16   4.7621447E-01   3.7541661E-01
   4.6960793E+00  -1.7813426E-01  -2.4059973E+00   5.6437318E-16   5.4497892E-01   6.0551107E-01
   4.7197204E+00  -1.7720322E-01  -2.6680539E+00   5.6692201E-16   7.0769405E-01   7.6976198E-01
   4.7442803E+00  -1.6665675E-01  -2.8987987E+00   5.6848563E-16   9.0107429E-01   9.5951062E-01
   4.7629642E+00  -1.6204961E-01  -3.0462584E+00   5.6821972E-16   6.6471440E-01   4.7486284E-01
   4.7880630E+00  -1.5193997E-01  -3.2040651E+00   5.6766793E-16   7.3618621E-01   7.3653752E-01
   4.8084025E+00  -1.3781923E-01  -3.3241811E+00   5.6756528E-16   5.4782909E-01   6.6642773E-01
   4.8337884E+00  -1.2757587E-01  -3.3635571E+00   5.6771663E-16   6.8400967E-01   6.8869627E-01
   4.8548865E+00  -1.1961062E-01  -3.3533890E+00   5.6779350E-16   6.1380929E-01   6.3790631E-01
   4.8793259E+00  -1.0981199E-01  -3.3147125E+00   5.6716278E-16   6.5943408E-01   5.5109835E-01
   4.8989096E+00  -9.9947855E-02  -3.2750270E+00   5.6531508E-16   7.0211852E-01   5.6823748E-01
   4.9230223E+00  -8.8414475E-02  -3.1777523E+00   5.6270744E-16   7.6107579E-01   7.5440550E-01
   4.9499135E+00  -7.5119048E-02  -3.0779402E+00   5.5906117E-16   7.9619342E-01   8.0359274E-01
   4.9693499E+00  -6.2540747E-02  -3.0347080E+00   5.5745043E-16   7.9347360E-01   6.4661610E-01
   4.9942851E+00  -4.9988139E-02  -2.9949105E+00   5.5835417E-16   8.6701685E-01   8.5686046E-01
   5.0181441E+00  -3.8803559E-02  -2.9729993E+00   5.6101988E-16   7.7409959E-01   8.2805908E-01
   5.0384107E+00  -2.7699376E-02  -2.9476268E+00   5.6380345E-16   9.0690923E-01   8.1249386E-01
   5.0609469E+00  -1.4912887E-02  -2.9126601E+00   5.6628266E-16   9.6200371E-01   9.0884447E-01
   5.0862212E+00  -2.5299659E-03  -2.8662958E+00   5.6808933E-16   1.0908685E+00   9.5763570E-01
   5.1061945E+00   7.5880545E-03  -2.8340960E+00   5.6835032E-16   7.6216274E-01   9.3654382E-01
   5.1300926E+00   1.6858552E-02  -2.7172086E+00   5.6763336E-16   7.9343408E-01   9.3683058E-01
   5.1544666E+00   2.6922328E-02  -2.4694622E+00   5.6758180E-16   8.5878748E-01   7.0304674E-01
   5.1736302E+00   3.3072975E-02  -2.4899364E+00   5.6764130E-16   5.9459424E-01   6.1689174E-01
   5.1975980E+00   3.9797429E-02  -2.1840637E+00   5.6773236E-16   4.2646855E-01   3.2678008E-01
   5.2212057E+00   4.5459453E-02  -1.9567692E+00   5.6674270E-16   3.6365813E-01   3.1749237E-01
   5.2452822E+00   4.8447173E-02  -1.6914688E+00   5.6490110E-16   3.1747285E-01   3.0680421E-01
   5.2673974E+00   5.0570317E-02  -1.3472574E+00   5.6249769E-16   2.8743419E-01   2.9523703E-01
   5.2900224E+00   5.2752413E-02  -1.2494469E+00   5.6009535E-16   2.8126329E-01   2.9567051E-01
   5.3121204E+00   5.4129612E-02  -1.0098348E+00   5.5847974E-16   2.8126124E-01   2.9776937E-01
   5.3328209E+00   5.6144495E-02  -8.0353212E-01   5.5858482E-16   2.8097010E-01   2.9922399E-01
   5.3573499E+00   5.8764931E-02  -6.1532199E-01   5.6058054E-16   2.8037593E-01   3.0010822E-01
   5.3809719E+00   5.9621137E-02  -4.0950987E-01   5.6366845E-16   2.7983737E-01   3.0028746E-01
   5.4037318E+00   6.0702536E-02  -1.6831432E-01   5.6609303E-16   2.7988723E-01   2.9976520E-01
   5.4261723E+00   6.1213803E-02  -1.9613558E-02   5.6765692E-16   2.7969655E-01   2.9796478E-01
   5.4490614E+00   6.1472308E-02   1.6917656E-01   5.6833952E-16   2.7879506E-01   2.9483956E-01
