  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   00:10:43  08/26/2023 sogp     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing p, pfxob, pfyob, pfzob, pfob, vmax and others       
       1     1002      0.000E+00      2.280E+01
   time              p_1             pfxob_1         pfyob_1         pfzob_1         pfob_1          vmax_0          vmaxsrf_0
   8.6686498E-01   1.6670024E+03  -5.3638332E-03  -7.9294354E-01   5.6158168E-16   7.9296166E-01   1.6288970E-01   2.0772038E-01
   8.8901007E-01   1.6678015E+03  -4.1682338E-03  -5.7551581E-01   5.6450257E-16   5.7553095E-01   1.6443978E-01   2.1123174E-01
   9.1132671E-01   1.6645768E+03  -6.5024383E-03  -8.0716354E-01   5.6512492E-16   8.0718976E-01   1.6606945E-01   2.0571454E-01
   9.3323112E-01   1.6694136E+03  -2.5230665E-03  -7.1605557E-01   5.6052045E-16   7.1605998E-01   1.6716006E-01   1.7010853E-01
   9.5824045E-01   1.6730062E+03   5.0677062E-04  -6.5193117E-01   5.5759946E-16   6.5193135E-01   1.6782492E-01   1.7249835E-01
   9.7954124E-01   1.6683823E+03  -1.0277391E-02  -4.5893371E-01   5.5995834E-16   4.5904878E-01   1.6782072E-01   1.7375477E-01
   1.0049357E+00   1.6721416E+03  -7.2733578E-03  -3.3114570E-01   5.6252226E-16   3.3122557E-01   1.6732083E-01   1.7461915E-01
   1.0255334E+00   1.6767527E+03  -7.9028048E-03  -1.4601032E-02   5.6335695E-16   1.6602544E-02   1.6642189E-01   2.1592622E-01
   1.0472122E+00   1.6803378E+03  -8.6550135E-03   3.0277699E-01   5.6461480E-16   3.0290067E-01   1.6485627E-01   2.0472594E-01
   1.0718132E+00   1.6804369E+03  -7.6561682E-03   4.7837543E-01   5.5953382E-16   4.7843668E-01   1.8064463E-01   2.4430884E-01
   1.0924162E+00   1.6875862E+03  -6.5793050E-03   8.0906653E-01   5.5144169E-16   8.0909330E-01   1.5936039E-01   1.8292548E-01
