  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   19:11:55  02/15/2024 xsog     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      991      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   3.7998527E-01   2.8761756E-04  -2.4313300E+00   1.8675333E+00
   3.8456300E-01   5.7480484E-04  -2.3946831E+00   1.8669209E+00
   3.8914430E-01   3.1453915E-04  -2.3533957E+00   1.8662142E+00
   3.9379677E-01   8.2091807E-04  -2.3258865E+00   1.8655044E+00
   3.9993900E-01   6.7596673E-04  -2.2842448E+00   1.8649839E+00
   4.0494809E-01   7.1140280E-04  -2.2697055E+00   1.8646051E+00
   4.0982729E-01   9.6162024E-04  -2.2428312E+00   1.8641189E+00
   4.1488218E-01   1.0603486E-03  -2.2135503E+00   1.8632964E+00
   4.1977277E-01   9.8458398E-04  -2.1904695E+00   1.8627555E+00
   4.2469844E-01   1.0153045E-03  -2.1510346E+00   1.8623672E+00
   4.2962384E-01   1.2102337E-03  -2.1445653E+00   1.8621209E+00
   4.3316275E-01   7.4859877E-04  -2.1181717E+00   1.8619971E+00
   4.3841720E-01   1.5309120E-03  -2.1350782E+00   1.8617665E+00
   4.4350654E-01   9.4586430E-04  -2.1067824E+00   1.8615905E+00
   4.4837961E-01   7.1803777E-04  -2.0527747E+00   1.8607273E+00
   4.5303968E-01  -6.2352797E-04  -2.0909014E+00   1.8622069E+00
   4.5899808E-01   1.5735055E-03  -2.1189640E+00   1.8630496E+00
   4.6332151E-01   1.7169882E-03  -2.0812955E+00   1.8623635E+00
   4.6893910E-01  -1.0587492E-03  -2.2266161E+00   1.8634158E+00
   4.7314095E-01   2.7407873E-03  -1.8568835E+00   1.8578449E+00
   4.7792059E-01   5.8188443E-03  -2.0898347E+00   1.8616892E+00
   4.8345363E-01  -2.3022178E-03  -2.0413957E+00   1.8601943E+00
   4.8727983E-01  -2.7277328E-03  -2.0297978E+00   1.8593779E+00
   4.9270400E-01   1.2806583E-03  -2.0177143E+00   1.8587313E+00
   4.9779013E-01   9.0168719E-04  -2.0262041E+00   1.8589678E+00
   5.0294495E-01  -2.8015935E-04  -2.0341985E+00   1.8593806E+00
   5.0874227E-01   4.9706368E-04  -2.0139809E+00   1.8593097E+00
   5.1263988E-01   1.1310674E-03  -2.0142288E+00   1.8590961E+00
   5.1847452E-01  -5.2313437E-04  -1.9836876E+00   1.8577803E+00
   5.2235878E-01  -6.3851656E-04  -2.0102046E+00   1.8584049E+00
   5.2817893E-01   1.5616557E-04  -2.0340910E+00   1.8590556E+00
   5.3205556E-01   4.0275545E-04  -2.0318127E+00   1.8591524E+00
   5.3786612E-01   3.5452502E-04  -1.9629916E+00   1.8569988E+00
   5.4173720E-01  -9.2632812E-04  -1.9984396E+00   1.8567529E+00
   5.4754007E-01  -4.9225474E-04  -2.0205832E+00   1.8567421E+00
   5.5140638E-01   4.0007624E-04  -1.9841169E+00   1.8565844E+00
   5.5720276E-01  -4.9559062E-04  -1.9283185E+00   1.8551487E+00
   5.6299555E-01  -3.6058907E-04  -1.9736469E+00   1.8554270E+00
   5.6685555E-01  -1.5270851E-05  -1.9735739E+00   1.8556991E+00
   5.7264298E-01  -2.6032462E-04  -1.9140512E+00   1.8556081E+00
   5.7649976E-01  -4.0365281E-04  -1.8272003E+00   1.8545096E+00
   5.8228368E-01   4.2854352E-03  -1.8236691E+00   1.8558582E+00
   5.8613867E-01  -5.3696992E-04  -1.8345195E+00   1.8551856E+00
   5.9191918E-01  -2.8399380E-03  -1.8599471E+00   1.8548142E+00
   5.9577233E-01   7.8327151E-04  -1.8403056E+00   1.8547478E+00
   6.0155201E-01  -1.6588327E-03  -1.7106314E+00   1.8535103E+00
   6.0733175E-01   1.4940919E-03  -1.8375626E+00   1.8535520E+00
   6.1118490E-01  -1.3093142E-03  -1.6618686E+00   1.8538339E+00
   6.1696458E-01   5.2935502E-05  -1.6955631E+00   1.8531584E+00
   6.2081772E-01   4.4650160E-04  -1.6972593E+00   1.8531340E+00
   6.2659740E-01  -2.1748962E-03  -1.6460037E+00   1.8535528E+00
   6.3045055E-01  -2.8628149E-04  -1.5282044E+00   1.8541270E+00
   6.3652408E-01  -8.8463252E-04  -1.5781406E+00   1.8540063E+00
   6.4107376E-01  -9.0269628E-04  -1.5658231E+00   1.8541733E+00
   6.4606637E-01  -5.4123043E-04  -1.5041759E+00   1.8544141E+00
   6.5126330E-01  -7.1344065E-04  -1.4351157E+00   1.8540915E+00
   6.5575767E-01  -9.6780964E-04  -1.3950341E+00   1.8537407E+00
   6.6152614E-01  -1.1862741E-03  -1.3557190E+00   1.8534870E+00
   6.6521698E-01  -9.1217976E-04  -1.3250922E+00   1.8534163E+00
   6.7137605E-01  -5.5121409E-04  -1.2702836E+00   1.8533814E+00
   6.7601246E-01  -4.0123655E-04  -1.2307316E+00   1.8533734E+00
   6.8112409E-01  -6.2419631E-04  -1.1754293E+00   1.8533561E+00
   6.8675971E-01  -5.4852938E-04  -1.1231190E+00   1.8533174E+00
   6.8979055E-01  -5.5742741E-04  -1.1043786E+00   1.8533040E+00
   6.9631445E-01  -4.2334266E-04  -1.0416800E+00   1.8532709E+00
   6.9964910E-01  -4.7292578E-04  -1.0116221E+00   1.8532722E+00
   7.0629656E-01  -5.5505062E-04  -9.5695883E-01   1.8533146E+00
   7.0961154E-01  -1.3640535E-03  -8.8619703E-01   1.8534238E+00
   7.1665156E-01   1.9871364E-03  -8.7916243E-01   1.8532834E+00
   7.2020084E-01   3.4822522E-05  -8.7009346E-01   1.8532809E+00
   7.2374040E-01  -1.3276192E-04  -7.9962635E-01   1.8532310E+00
   7.2950643E-01  -5.6466321E-04  -7.8570104E-01   1.8530349E+00
   7.3526800E-01   5.4503107E-05  -7.3036373E-01   1.8526571E+00
   7.3836660E-01   2.9031833E-05  -7.1107250E-01   1.8526028E+00
   7.4503636E-01  -2.5859731E-04  -6.2362713E-01   1.8523653E+00
   7.4851483E-01   3.5779070E-04  -6.1879259E-01   1.8522968E+00
   7.5544864E-01   1.7547174E-05  -6.0630983E-01   1.8521639E+00
   7.5864589E-01  -2.7426917E-04  -5.4491276E-01   1.8521600E+00
   7.6544529E-01   1.6184718E-05  -5.3351653E-01   1.8521173E+00
   7.6888078E-01  -8.3184081E-05  -5.2639633E-01   1.8520790E+00
   7.7573222E-01  -2.3857370E-05  -4.6502513E-01   1.8521066E+00
   7.7914864E-01   2.2194228E-05  -4.6464470E-01   1.8521053E+00
   7.8255904E-01  -2.4529730E-04  -4.5942628E-01   1.8521287E+00
   7.8936273E-01  -1.0420682E-03  -3.5956362E-01   1.8526496E+00
   7.9275650E-01  -4.8248164E-04  -3.6842284E-01   1.8526481E+00
   7.9952866E-01  -4.4018542E-04  -3.8973105E-01   1.8525518E+00
   8.0290741E-01  -6.4585666E-04  -3.9044693E-01   1.8525717E+00
   8.0965102E-01  -7.5867638E-04  -3.3521688E-01   1.8529240E+00
   8.1301630E-01  -7.1810436E-04  -3.4194407E-01   1.8529477E+00
   8.1973451E-01  -8.1172027E-04  -3.1301919E-01   1.8533766E+00
   8.2308781E-01  -1.0728353E-03  -3.1606063E-01   1.8533983E+00
   8.2978356E-01  -1.2947115E-03  -2.8800526E-01   1.8535979E+00
   8.3312631E-01  -8.6523662E-04  -2.9200539E-01   1.8535994E+00
   8.3980227E-01  -1.4190216E-03  -2.5063926E-01   1.8539395E+00
   8.4313577E-01  -1.3938020E-03  -2.6187178E-01   1.8539519E+00
   8.4646642E-01  -1.2059252E-03  -2.6703244E-01   1.8539823E+00
   8.5311991E-01  -1.5971723E-03  -1.8130141E-01   1.8544843E+00
   8.5644311E-01  -1.6363466E-03  -1.9408815E-01   1.8544754E+00
   8.6308330E-01  -1.7203516E-03  -2.2871535E-01   1.8543751E+00
   8.6640048E-01  -1.7640144E-03  -2.3504832E-01   1.8543885E+00
   8.7302989E-01  -1.9586680E-03  -1.7385510E-01   1.8548244E+00
   8.7634254E-01  -2.0553954E-03  -1.8346730E-01   1.8547614E+00
   8.8296431E-01  -2.2189941E-03  -1.3000861E-01   1.8546143E+00
   8.8627380E-01  -2.4291372E-03  -1.3831753E-01   1.8546141E+00
   8.9289081E-01  -2.5000987E-03  -1.4339748E-01   1.8546326E+00
