  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:15:17  02/16/2024 iqiq     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      994      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.4219455E-01   1.2221896E-03   1.1209694E+00  -3.5012111E-01
   1.4360130E-01   2.5307003E-03   1.1426613E+00  -3.4898165E-01
   1.4507841E-01   1.5800881E-03   1.1692832E+00  -3.5072261E-01
   1.4662935E-01   3.3567019E-03   1.1985894E+00  -3.4975272E-01
   1.4825785E-01   1.7068951E-03   1.2260523E+00  -3.4852675E-01
   1.4996777E-01   1.2401264E-03   1.2559747E+00  -3.4473822E-01
   1.5176319E-01   1.1094003E-03   1.2824920E+00  -3.4704405E-01
   1.5364838E-01   1.1201827E-03   1.3074564E+00  -3.4729806E-01
   1.5556028E-01   2.0362998E-03   1.3378510E+00  -3.4618467E-01
   1.5747666E-01   2.6776288E-03   1.3735945E+00  -3.4552369E-01
   1.5948887E-01   5.5050291E-04   1.4098766E+00  -3.4528267E-01
   1.6115730E-01   3.1040548E-03   1.4768357E+00  -3.4533775E-01
   1.6272597E-01   3.6639841E-03   1.5040838E+00  -3.4606880E-01
   1.6437308E-01   2.4021997E-03   1.5175396E+00  -3.4348801E-01
   1.6610254E-01   3.5627002E-03   1.5328773E+00  -3.4218881E-01
   1.6786081E-01   3.4982429E-03   1.5556356E+00  -3.3890846E-01
   1.6916935E-01   1.7802259E-03   1.6557993E+00  -3.3594644E-01
   1.7198600E-01   6.7786905E-03   1.6360302E+00  -3.3830655E-01
   1.7350081E-01   2.5276116E-03   1.6314462E+00  -3.3588278E-01
   1.7509134E-01   2.6517734E-03   1.6396060E+00  -3.3814111E-01
   1.7676142E-01   1.9756209E-03   1.6712890E+00  -3.4168103E-01
   1.7848088E-01   4.7914195E-03   1.7190126E+00  -3.3691308E-01
   1.8028632E-01   2.0839942E-03   1.7476228E+00  -3.2536322E-01
   1.8212278E-01   2.7272573E-03   1.7975557E+00  -3.2695943E-01
   1.8397422E-01   3.4143871E-03   1.8192676E+00  -3.3158290E-01
   1.8583213E-01   2.2189210E-03   1.8547026E+00  -3.2917085E-01
   1.8767500E-01   2.1217917E-03   1.8699847E+00  -3.2750225E-01
   1.8950553E-01   2.6014009E-03   1.8873479E+00  -3.2808185E-01
   1.9112214E-01   3.7280850E-03   1.9291102E+00  -3.2808888E-01
   1.9403078E-01  -3.9130187E-04   1.9865032E+00  -3.2669589E-01
   1.9559506E-01   2.1347778E-03   2.0062962E+00  -3.2764384E-01
