  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:40:50  02/21/2024 ribq     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.6027092E-01  -1.0124535E-02   5.9265842E+00  -5.0414056E-01
   2.6396218E-01   3.7734872E-03   5.9474220E+00  -4.8988146E-01
   2.6760885E-01   7.9846280E-03   5.9593616E+00  -4.8393282E-01
   2.7031627E-01  -5.8448943E-03   5.9816875E+00  -5.3060114E-01
   2.7387863E-01  -1.0636493E-02   5.9813266E+00  -5.0493491E-01
   2.7746266E-01   2.8874369E-03   6.0135298E+00  -5.3007418E-01
   2.8040767E-01  -2.6049331E-04   5.9561391E+00  -5.1419646E-01
   2.8361371E-01  -7.9169270E-04   6.0424938E+00  -5.3509980E-01
   2.8770554E-01   4.4736569E-03   6.0063372E+00  -5.5048138E-01
   2.9068500E-01  -3.9499498E-04   5.9971428E+00  -5.5928367E-01
   2.9392067E-01   1.6847536E-03   6.0054889E+00  -5.5848503E-01
   2.9713377E-01   4.7098924E-03   6.0180259E+00  -5.6651843E-01
   3.0019963E-01   8.3652511E-03   6.0332441E+00  -5.6465167E-01
   3.0382353E-01   1.0672601E-02   6.0212779E+00  -5.9631997E-01
   3.0763698E-01  -8.8236909E-03   6.0147328E+00  -6.0594594E-01
   3.1061944E-01   9.4435858E-03   6.0101366E+00  -6.1948735E-01
   3.1354284E-01  -9.3794037E-03   6.0148277E+00  -5.9939921E-01
   3.1733227E-01  -6.3100383E-03   5.9952459E+00  -6.2516397E-01
   3.2103971E-01  -4.7760289E-03   5.9832172E+00  -6.3257873E-01
   3.2440898E-01   1.7282745E-03   6.0026975E+00  -6.4641297E-01
   3.2706431E-01  -6.9450028E-03   5.9414201E+00  -6.5294313E-01
   3.3104673E-01  -8.5223317E-03   5.9018126E+00  -6.7004383E-01
   3.3437553E-01  -2.8887666E-03   5.8935919E+00  -6.7575538E-01
   3.3766329E-01   2.1123530E-03   5.8972492E+00  -6.8767107E-01
   3.4087989E-01  -7.8330785E-03   5.8545909E+00  -6.9991684E-01
   3.4403256E-01  -4.4784290E-03   5.8341861E+00  -6.9986421E-01
   3.4712467E-01  -2.5376272E-03   5.7791948E+00  -7.1358156E-01
   3.5091907E-01   4.1846288E-03   5.7843981E+00  -7.1853340E-01
   3.5392067E-01   9.3846451E-03   5.7749701E+00  -7.2798842E-01
   3.5761225E-01  -1.3475087E-02   5.7739406E+00  -7.2831023E-01
   3.6052468E-01  -1.0935307E-03   5.7113347E+00  -7.4000865E-01
   3.6414874E-01  -2.2122413E-03   5.6325593E+00  -7.4898213E-01
   3.6783281E-01  -7.8103985E-03   5.6002016E+00  -7.5529015E-01
   3.7079915E-01  -2.7612557E-03   5.6071057E+00  -7.6431417E-01
   3.7439093E-01  -9.0136630E-03   5.5999684E+00  -7.6700878E-01
   3.7752822E-01  -9.9307206E-03   5.4634738E+00  -7.7330935E-01
   3.8063920E-01   1.0479123E-03   5.4318018E+00  -7.8233802E-01
   3.8418999E-01  -1.6712630E-02   5.3933163E+00  -7.8937459E-01
   3.8758799E-01  -1.8281597E-03   5.4286590E+00  -7.8614980E-01
   3.9047348E-01   3.5892772E-03   5.4242263E+00  -7.9081553E-01
   3.9398080E-01   9.1345888E-03   5.2263675E+00  -8.1381440E-01
   3.9748046E-01  -3.3375742E-05   5.1869664E+00  -8.1215203E-01
   4.0068352E-01   1.6283602E-02   5.1843953E+00  -8.1798720E-01
   4.0428925E-01  -1.9909391E-02   5.1438389E+00  -8.2681692E-01
   4.0736356E-01  -1.7167574E-03   5.1154795E+00  -8.3226395E-01
   4.1053605E-01  -3.7505552E-03   5.0218291E+00  -8.3948880E-01
   4.1375208E-01   1.1192522E-02   4.9654498E+00  -8.4875160E-01
   4.1759500E-01  -2.9909892E-03   4.8549576E+00  -8.5617274E-01
   4.2056206E-01  -1.1942349E-02   4.8086305E+00  -8.6829531E-01
   4.2375636E-01   5.5901990E-03   4.7818890E+00  -8.7007099E-01
   4.2761931E-01   1.5266103E-02   4.6798644E+00  -8.8402152E-01
   4.3086702E-01  -6.2519703E-03   4.6014500E+00  -8.9086336E-01
   4.3410021E-01   3.3304424E-03   4.5670476E+00  -8.8716203E-01
   4.3760145E-01  -2.7927132E-02   4.5286169E+00  -8.9299667E-01
   4.4122878E-01   1.4158725E-02   4.3844280E+00  -9.0379530E-01
   4.4391665E-01   4.0246150E-03   4.3255572E+00  -9.1155750E-01
   4.4763011E-01  -1.0269484E-02   4.3110590E+00  -9.2020130E-01
   4.5103195E-01  -3.4238808E-03   4.2191391E+00  -9.2813075E-01
   4.5437238E-01  -3.6045129E-03   4.1500659E+00  -9.3508649E-01
   4.5799863E-01   3.5285330E-03   4.0305552E+00  -9.3812329E-01
   4.6083683E-01  -4.5595076E-03   3.9260950E+00  -9.4943482E-01
   4.6485293E-01   3.6536357E-03   3.8498065E+00  -9.5177323E-01
   4.6827132E-01   9.0177758E-03   3.8201871E+00  -9.5905113E-01
   4.7084463E-01   4.9739690E-03   3.7557313E+00  -9.6212590E-01
   4.7437441E-01   1.1237195E-02   3.6167123E+00  -9.8746300E-01
   4.7757477E-01   8.1024095E-03   3.5281687E+00  -9.9335420E-01
   4.8132548E-01   1.7514594E-02   3.5105281E+00  -9.8993540E-01
   4.8415664E-01  -1.8230470E-02   3.4208596E+00  -9.9946070E-01
   4.8787552E-01   2.5795819E-02   3.2366476E+00  -1.0139689E+00
   4.9099416E-01  -2.6332747E-02   3.1391146E+00  -1.0207579E+00
   4.9441105E-01   2.9957596E-02   3.0836987E+00  -1.0274119E+00
   4.9746487E-01  -2.0876003E-02   3.0694311E+00  -1.0360681E+00
   5.0094086E-01   3.4640156E-02   2.9390399E+00  -1.0455383E+00
   5.0442666E-01  -4.7495987E-04   2.7866371E+00  -1.0534959E+00
   5.0731134E-01   1.1939795E-02   2.7315724E+00  -1.0603431E+00
   5.1119483E-01  -9.1939569E-03   2.6485052E+00  -1.0674948E+00
   5.1472253E-01   1.3544238E-02   2.4808261E+00  -1.0797353E+00
   5.1757526E-01   2.9559713E-02   2.4255195E+00  -1.0885326E+00
   5.2074915E-01  -3.1898443E-02   2.3493114E+00  -1.0924233E+00
   5.2397102E-01   6.7863818E-03   2.2345531E+00  -1.1005563E+00
   5.2824825E-01   2.5384376E-02   2.1144295E+00  -1.1121799E+00
