  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   12:40:53  02/26/2024 isnw     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      939      0.000E+00      1.713E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.7175314E-01  -4.0203871E-04   2.7392173E+00   1.8298032E+00
   1.7411557E-01   1.1963872E-03   2.8551886E+00   1.8302555E+00
   1.7659612E-01  -4.9054110E-04   2.9858818E+00   1.8307123E+00
   1.7920069E-01   1.5857011E-03   3.2042267E+00   1.8321033E+00
   1.8193550E-01   1.5918476E-03   3.2617970E+00   1.8320563E+00
   1.8480705E-01  -1.0552453E-03   3.3807125E+00   1.8325752E+00
   1.8758507E-01   1.1665537E-03   3.5284481E+00   1.8331909E+00
   1.9050200E-01   1.3333556E-03   3.6639733E+00   1.8336862E+00
   1.9346242E-01   8.4479852E-04   3.8124871E+00   1.8340702E+00
   1.9643188E-01   1.7259801E-03   3.9516118E+00   1.8343602E+00
   1.9917947E-01   1.2722741E-03   4.0806079E+00   1.8345543E+00
   2.0206444E-01   5.5903837E-04   4.1728301E+00   1.8345318E+00
   2.0503578E-01   4.2021652E-03   4.3889198E+00   1.8349617E+00
   2.0797116E-01   1.3443532E-03   4.4920650E+00   1.8348447E+00
   2.1088925E-01  -4.2734950E-04   4.6145601E+00   1.8346611E+00
   2.1386401E-01  -4.2857188E-05   4.7026744E+00   1.8345952E+00
   2.1684563E-01   5.0310581E-04   4.9280863E+00   1.8349602E+00
   2.1979208E-01   2.4907542E-03   4.9933891E+00   1.8348956E+00
   2.2282635E-01   1.0616332E-03   5.1541829E+00   1.8348651E+00
   2.2575966E-01   2.5861331E-03   5.2632856E+00   1.8337131E+00
   2.2863403E-01   8.6478272E-04   5.3627663E+00   1.8331418E+00
   2.3149614E-01  -9.8396784E-05   5.4671049E+00   1.8328826E+00
   2.3441254E-01   2.5214322E-03   5.5688076E+00   1.8328533E+00
   2.3734958E-01   4.2400087E-04   5.6719627E+00   1.8329421E+00
   2.4028945E-01   2.8941785E-03   5.7694082E+00   1.8330542E+00
   2.4315293E-01   3.0406325E-03   5.8610892E+00   1.8331882E+00
   2.4594773E-01   1.1796016E-03   5.9495378E+00   1.8333168E+00
   2.4888229E-01   1.9158206E-04   6.0285869E+00   1.8334574E+00
   2.5099215E-01  -4.0513440E-04   6.1234837E+00   1.8336122E+00
   2.5320747E-01  -2.8013983E-03   6.1609316E+00   1.8336089E+00
   2.5553361E-01   4.7871964E-03   6.2214246E+00   1.8336182E+00
   2.5797603E-01   2.7938422E-03   6.3475199E+00   1.8343544E+00
   2.6054054E-01  -3.7977956E-03   6.3768477E+00   1.8343202E+00
   2.6323330E-01   1.5040392E-03   6.4421639E+00   1.8341016E+00
   2.6563701E-01   1.4285001E-04   6.4884973E+00   1.8340888E+00
   2.6793191E-01   3.1095594E-03   6.5905066E+00   1.8342661E+00
   2.7034140E-01  -2.4543332E-03   6.6176896E+00   1.8342193E+00
   2.7287135E-01   6.4425089E-04   6.6752954E+00   1.8341309E+00
   2.7552781E-01   5.8934296E-04   6.7202916E+00   1.8344380E+00
   2.7831709E-01   4.3367612E-04   6.7758565E+00   1.8346833E+00
   2.8041175E-01  -1.9883881E-03   6.8103051E+00   1.8346751E+00
   2.8261113E-01   2.3933959E-03   6.8667893E+00   1.8351650E+00
   2.8492051E-01  -1.3514773E-03   6.8824835E+00   1.8352323E+00
   2.8734535E-01   4.3687513E-04   6.9185324E+00   1.8352611E+00
   2.8989142E-01   1.4566060E-03   6.9699392E+00   1.8359872E+00
   2.9256478E-01  -1.3573368E-03   6.9832821E+00   1.8360864E+00
   2.9537183E-01   2.0463817E-04   7.0213113E+00   1.8366646E+00
   2.9819348E-01   1.6256138E-03   7.0428824E+00   1.8368112E+00
   3.0115622E-01  -2.4552366E-03   7.0681524E+00   1.8376032E+00
   3.0403081E-01   6.1968565E-03   7.0911469E+00   1.8381991E+00
   3.0647558E-01  -1.7180190E-04   7.0957818E+00   1.8388395E+00
   3.0904257E-01  -2.3577537E-03   7.1102743E+00   1.8394302E+00
   3.1173792E-01  -1.2969386E-04   7.1067538E+00   1.8397139E+00
   3.1456804E-01  -1.7774383E-03   7.1163492E+00   1.8402510E+00
   3.1753966E-01  -2.8998940E-03   7.1143312E+00   1.8405421E+00
   3.2048535E-01   6.5853586E-03   7.0850315E+00   1.8408636E+00
   3.2357833E-01   1.6694613E-03   7.0763612E+00   1.8411891E+00
   3.2569927E-01  -4.3597825E-05   7.0665927E+00   1.8414536E+00
   3.2792628E-01  -1.0291871E-03   7.0477276E+00   1.8418466E+00
   3.3026463E-01  -2.2119987E-03   7.0144315E+00   1.8421078E+00
   3.3271992E-01   3.5790078E-04   7.0068860E+00   1.8421955E+00
   3.3529794E-01  -5.6355945E-03   6.9566078E+00   1.8427584E+00
   3.3799839E-01   1.8329993E-03   6.9144840E+00   1.8428421E+00
   3.4118509E-01  -2.5360587E-03   6.8654928E+00   1.8439131E+00
   3.4289891E-01   9.5847587E-05   6.8523698E+00   1.8440038E+00
   3.4469840E-01  -1.9753089E-03   6.8326888E+00   1.8441222E+00
   3.4658790E-01  -5.5616756E-04   6.7822075E+00   1.8443012E+00
   3.4857184E-01  -8.2498593E-03   6.7327495E+00   1.8445324E+00
   3.5065502E-01  -7.4094809E-03   6.6838608E+00   1.8447890E+00
   3.5284233E-01   3.3360098E-03   6.6125145E+00   1.8450683E+00
   3.5509750E-01  -1.4557955E-03   6.5779901E+00   1.8452635E+00
   3.5746545E-01  -1.3549388E-03   6.5380259E+00   1.8454337E+00
   3.5982355E-01  -2.7445762E-03   6.4943147E+00   1.8456063E+00
   3.6194751E-01  -6.5924767E-03   6.3388615E+00   1.8467107E+00
   3.6417761E-01  -3.0960829E-03   6.3233395E+00   1.8468223E+00
   3.6607862E-01  -1.9005899E-03   6.2893062E+00   1.8468562E+00
   3.6807463E-01  -3.7868889E-03   6.2563410E+00   1.8468422E+00
   3.7017044E-01  -9.7253063E-04   6.1950459E+00   1.8468304E+00
   3.7234232E-01  -5.7056062E-03   6.1177492E+00   1.8468534E+00
   3.7462279E-01  -3.1614208E-03   5.9378905E+00   1.8469403E+00
   3.7626806E-01   5.4428619E-03   5.9051461E+00   1.8469057E+00
   3.7799561E-01   1.2699182E-03   5.9125509E+00   1.8468244E+00
   3.7980950E-01  -2.1614125E-03   5.8691654E+00   1.8466843E+00
   3.8171411E-01   4.1809790E-03   5.8433452E+00   1.8465649E+00
   3.8371396E-01  -2.5416205E-03   5.7413654E+00   1.8464050E+00
   3.8573727E-01   5.2025663E-03   5.6262627E+00   1.8462697E+00
   3.8786176E-01   2.4880937E-03   5.5524073E+00   1.8461342E+00
   3.9009246E-01   2.7656292E-03   5.4783897E+00   1.8459889E+00
   3.9243469E-01  -2.1560534E-03   5.3385816E+00   1.8451879E+00
   3.9426047E-01   5.0910527E-04   5.2978740E+00   1.8450464E+00
   3.9533332E-01   9.4219865E-03   5.2753286E+00   1.8447579E+00
   3.9764261E-01  -1.1784593E-02   5.2308645E+00   1.8440604E+00
   3.9888459E-01  -2.2307001E-02   5.2154403E+00   1.8437635E+00
   4.0155789E-01  -3.6654387E-02   5.1360564E+00   1.8433633E+00
   4.0299562E-01  -1.5663585E-02   5.0125823E+00   1.8430908E+00
   4.0440124E-01   1.0179352E-01   4.4821143E+00   1.8410934E+00
   4.0587714E-01   2.6758889E-02   4.7365417E+00   1.8397555E+00
   4.0742683E-01   9.3725929E-03   4.7761850E+00   1.8395714E+00
   4.0903842E-01   1.1140300E-04   4.7563000E+00   1.8395747E+00
   4.1073057E-01  -4.0911047E-05   4.7246346E+00   1.8396784E+00
   4.1250730E-01  -9.5282629E-04   4.6121593E+00   1.8400521E+00
   4.1437247E-01   6.7983851E-06   4.5515494E+00   1.8402498E+00
   4.1627422E-01   2.4514166E-03   4.2840571E+00   1.8416505E+00
   4.1827103E-01   1.2874206E-03   4.2951035E+00   1.8417342E+00
   4.2013302E-01   7.3362375E-04   4.3044672E+00   1.8417835E+00
   4.2191252E-01  -6.7053927E-04   4.2765746E+00   1.8417466E+00
   4.2375165E-01  -1.8075427E-04   4.1817336E+00   1.8415889E+00
   4.2535996E-01   8.3418970E-04   4.1213942E+00   1.8415002E+00
   4.2704871E-01   3.7029537E-04   3.9461856E+00   1.8413768E+00
   4.2882189E-01   1.3105484E-03   3.8942640E+00   1.8414077E+00
   4.3062153E-01   6.9819018E-04   3.8106625E+00   1.8415273E+00
   4.3226567E-01   1.8265629E-03   3.7106869E+00   1.8417658E+00
   4.3398550E-01   1.9724695E-03   3.6352196E+00   1.8419054E+00
   4.3547678E-01   2.8330013E-03   3.5912070E+00   1.8419437E+00
   4.3704259E-01   1.3401849E-03   3.5311315E+00   1.8419607E+00
   4.3863297E-01   9.3521184E-04   3.4646108E+00   1.8419251E+00
   4.4021818E-01   2.6232132E-04   3.4010236E+00   1.8418391E+00
   4.4167998E-01   1.2193833E-03   3.2968931E+00   1.8416066E+00
   4.4321483E-01   1.8272516E-03   3.2447529E+00   1.8414100E+00
   4.4619039E-01   6.3896197E-04   3.0742283E+00   1.8406734E+00
   4.4766530E-01   1.4612760E-04   3.0225143E+00   1.8404046E+00
   4.4913718E-01   2.9550327E-04   2.9649985E+00   1.8401279E+00
   4.5060369E-01   3.2820349E-04   2.8841665E+00   1.8397412E+00
   4.5206612E-01   2.1679940E-04   2.8026414E+00   1.8393549E+00
   4.5352155E-01   7.4682443E-04   2.7532761E+00   1.8390926E+00
