  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   10:29:12  02/26/2024 qiqb     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      337      0.000E+00      2.367E+00
   time              pfxob_1         pfyob_1         pfzob_1
   6.3552529E-01  -7.0958687E-03  -1.6658657E+00   3.8733127E+00
   6.4340419E-01  -7.1042445E-03  -1.6411960E+00   3.8732772E+00
   6.5118450E-01  -6.9379676E-03  -1.5649818E+00   3.8732314E+00
   6.5890265E-01  -7.1930247E-03  -1.5109850E+00   3.8735397E+00
   6.6649777E-01  -7.9548489E-03  -1.4525052E+00   3.8736825E+00
   6.7401189E-01  -7.9636713E-03  -1.3886791E+00   3.8736012E+00
   6.8149996E-01  -7.3794881E-03  -1.3199948E+00   3.8733852E+00
   6.8902749E-01  -7.1584298E-03  -1.2507629E+00   3.8730958E+00
   6.9661653E-01  -7.8921374E-03  -1.1822546E+00   3.8727460E+00
   7.0427239E-01  -8.7336525E-03  -1.1170398E+00   3.8723774E+00
   7.1196610E-01  -9.2223175E-03  -1.0532196E+00   3.8720078E+00
   7.1949774E-01  -9.4988393E-03  -9.8936027E-01   3.8716335E+00
   7.2694468E-01  -9.8650288E-03  -9.2934138E-01   3.8712881E+00
   7.3446006E-01  -1.0088722E-02  -8.7243950E-01   3.8709774E+00
   7.4191087E-01  -1.0988513E-02  -8.1666714E-01   3.8706949E+00
   7.4936247E-01  -1.1120508E-02  -7.9187143E-01   3.8706219E+00
   7.5687248E-01  -1.1641518E-02  -6.8484330E-01   3.8704355E+00
   7.6440072E-01  -1.1918074E-02  -6.6429901E-01   3.8702686E+00
   7.7191776E-01  -1.2082071E-02  -5.9795916E-01   3.8698628E+00
   7.7948999E-01  -1.1632371E-02  -5.8582228E-01   3.8697727E+00
   7.8721273E-01  -1.2044732E-02  -5.0627083E-01   3.8697183E+00
   7.9514873E-01  -1.2567027E-02  -5.0682366E-01   3.8696432E+00
   8.0283594E-01  -1.3301057E-02  -4.4271168E-01   3.8699150E+00
   8.1040919E-01  -1.2790131E-02  -4.5336285E-01   3.8699915E+00
   8.1828600E-01  -1.3563699E-02  -3.9160687E-01   3.8710518E+00
   8.2605171E-01  -1.3353686E-02  -3.7847349E-01   3.8718381E+00
   8.3382028E-01  -1.3635097E-02  -3.8838744E-01   3.8719368E+00
   8.4160554E-01  -1.3740974E-02  -3.1387720E-01   3.8730981E+00
   8.4941494E-01  -1.4460552E-02  -3.1543627E-01   3.8736792E+00
   8.5696399E-01  -1.4480638E-02  -3.0521014E-01   3.8740962E+00
   8.6459184E-01  -1.4908536E-02  -2.9207343E-01   3.8743269E+00
