  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   12:10:22  02/16/2024 bnvl     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   3.6451268E-01  -6.1449816E-04  -1.5896358E+00  -4.2744651E-01
   3.6974043E-01   1.0345103E-03  -1.5779321E+00  -4.2443192E-01
   3.7550402E-01   6.4420106E-04  -1.4810461E+00  -4.1739109E-01
   3.7860370E-01  -2.4137596E-04  -1.4871801E+00  -4.1715178E-01
   3.8433546E-01  -1.2516661E-03  -1.5346487E+00  -4.1686374E-01
   3.9051476E-01  -3.7925143E-04  -1.5486381E+00  -4.1542572E-01
   3.9342174E-01   9.6586905E-04  -1.5453650E+00  -4.1374239E-01
   3.9883563E-01   1.5401279E-03  -1.4727410E+00  -4.0888888E-01
   4.0384260E-01  -1.8233943E-03  -1.4878756E+00  -4.0866572E-01
   4.0852010E-01  -1.2304799E-03  -1.5004516E+00  -4.0669405E-01
   4.1498175E-01   1.2007141E-03  -1.4839376E+00  -4.0244946E-01
   4.1936564E-01   5.0183444E-04  -1.4496588E+00  -4.0118405E-01
   4.2355683E-01  -2.0208054E-04  -1.4389632E+00  -4.0017045E-01
   4.2817765E-01  -1.2307800E-04  -1.4364016E+00  -3.9869791E-01
   4.3302774E-01  -4.5381610E-05  -1.4353544E+00  -3.9680946E-01
   4.3780595E-01  -2.2309359E-04  -1.4314003E+00  -3.9566779E-01
   4.4303662E-01  -3.4099146E-05  -1.4177818E+00  -3.9342651E-01
   4.4861850E-01   2.1352487E-04  -1.4007604E+00  -3.9180213E-01
   4.5414352E-01  -2.4207446E-04  -1.3884842E+00  -3.9029598E-01
   4.5954016E-01   9.0683701E-05  -1.3806659E+00  -3.8908911E-01
   4.6228459E-01  -3.5611720E-05  -1.3761101E+00  -3.8822713E-01
   4.6733350E-01  -3.4298428E-04  -1.3662921E+00  -3.8640445E-01
   4.7418657E-01   1.7019354E-04  -1.3503851E+00  -3.8464788E-01
   4.7921216E-01  -2.3553037E-04  -1.3355508E+00  -3.8290310E-01
   4.8437691E-01  -6.5847271E-05  -1.3250667E+00  -3.8149306E-01
   4.8931873E-01  -2.5793529E-04  -1.3168253E+00  -3.8018343E-01
   4.9425203E-01  -3.1615983E-04  -1.3015611E+00  -3.7850931E-01
   4.9676242E-01  -2.0534583E-04  -1.2993495E+00  -3.7808040E-01
   5.0343949E-01   1.8944866E-04  -1.2850337E+00  -3.7654722E-01
   5.0736099E-01   1.5528353E-04  -1.2782441E+00  -3.7613684E-01
   5.1270640E-01   4.5265950E-04  -1.2545551E+00  -3.7453747E-01
   5.1756024E-01   4.4210526E-04  -1.2258922E+00  -3.7329248E-01
   5.2251512E-01  -2.4462704E-04  -1.2485921E+00  -3.7390089E-01
   5.2819115E-01   3.8697562E-04  -1.2516825E+00  -3.7242818E-01
   5.3238034E-01   4.9605529E-04  -1.2238357E+00  -3.7111652E-01
   5.3699893E-01   1.4773040E-04  -1.1980876E+00  -3.6996314E-01
   5.4170817E-01   1.7212093E-04  -1.1877041E+00  -3.6955476E-01
   5.4821396E-01   3.5205757E-04  -1.1751047E+00  -3.6851802E-01
   5.5230033E-01  -1.3585390E-04  -1.1681688E+00  -3.6842328E-01
   5.5638236E-01  -1.1926472E-04  -1.1577554E+00  -3.6784527E-01
   5.6279176E-01   1.0262741E-03  -1.1410656E+00  -3.6742938E-01
   5.6672287E-01  -4.6307294E-05  -1.1264327E+00  -3.6667532E-01
   5.7215095E-01   1.1159744E-03  -1.0682603E+00  -3.6417630E-01
   5.7718796E-01  -5.7982514E-05  -1.0805292E+00  -3.6576867E-01
   5.8184165E-01  -9.2424493E-04  -1.1047019E+00  -3.6565560E-01
   5.8699656E-01   1.6471138E-03  -1.1162149E+00  -3.6459857E-01
   5.9087712E-01   1.0838916E-03  -1.0743080E+00  -3.6260551E-01
   5.9745628E-01  -9.1027787E-06  -1.0368314E+00  -3.6058408E-01
   6.0232228E-01  -2.3543126E-04  -1.0323284E+00  -3.6033300E-01
   6.0705698E-01   2.9231937E-04  -1.0306838E+00  -3.5971621E-01
   6.1157930E-01  -1.8673493E-03  -1.0222633E+00  -3.5920522E-01
   6.1708164E-01  -4.5011361E-04  -9.9355513E-01  -3.5903555E-01
   6.2050211E-01  -1.3651446E-04  -9.8007125E-01  -3.5855329E-01
   6.2658834E-01   7.5575976E-05  -9.7030216E-01  -3.5817409E-01
   6.3068128E-01   4.5212051E-05  -9.6941525E-01  -3.5754484E-01
   6.3566744E-01   7.9228543E-04  -9.4429183E-01  -3.5667503E-01
   6.4130551E-01   1.4782285E-03  -9.2289054E-01  -3.5613754E-01
   6.4546001E-01   1.4184886E-03  -9.1036093E-01  -3.5548803E-01
   6.5123540E-01   8.3011709E-04  -8.7491512E-01  -3.5482326E-01
   6.5541202E-01   1.6902722E-04  -8.9579737E-01  -3.5392898E-01
   6.6070592E-01   8.2642504E-04  -8.8372004E-01  -3.5319573E-01
   6.6602945E-01   3.3365807E-03  -8.7006599E-01  -3.5154045E-01
   6.7073750E-01  -4.6213467E-05  -8.5276103E-01  -3.5063758E-01
   6.7537302E-01   4.8487241E-04  -8.3731443E-01  -3.5034814E-01
   6.8091637E-01   8.2650915E-04  -8.2395995E-01  -3.5018566E-01
   6.8496281E-01   1.1997172E-03  -8.1735736E-01  -3.5066748E-01
   6.9069457E-01   1.0400650E-03  -7.9341632E-01  -3.4995231E-01
   6.9505465E-01  -1.1071052E-03  -7.7098823E-01  -3.4873012E-01
   7.0026517E-01  -1.3402534E-03  -7.8764915E-01  -3.4916404E-01
   7.0545238E-01   2.6599553E-03  -7.4703467E-01  -3.4840932E-01
   7.0964497E-01  -1.1195934E-03  -7.4399793E-01  -3.4753212E-01
   7.1524614E-01   3.8587020E-04  -7.2798193E-01  -3.4727427E-01
   7.1948695E-01   8.3517714E-04  -7.1668452E-01  -3.4702629E-01
   7.2521853E-01   8.7140920E-04  -7.0076239E-01  -3.4622854E-01
   7.2959644E-01  -1.7631000E-03  -6.8136215E-01  -3.4569356E-01
   7.3405635E-01  -2.8325309E-04  -6.6863108E-01  -3.4405541E-01
   7.3964220E-01   1.7521536E-03  -6.5484470E-01  -3.4440124E-01
   7.4506438E-01   4.8999526E-03  -6.4998794E-01  -3.4433907E-01
   7.4898624E-01   1.1275623E-03  -6.3613462E-01  -3.4398782E-01
   7.5399119E-01   1.1988982E-03  -6.0940611E-01  -3.4362933E-01
   7.5979704E-01   1.0028302E-03  -6.0141057E-01  -3.4351426E-01
   7.6495868E-01  -1.0965157E-03  -5.8672237E-01  -3.4331083E-01
   7.6943719E-01   1.0774346E-03  -5.6883734E-01  -3.4371132E-01
   7.7388781E-01   8.4148441E-04  -5.6697428E-01  -3.4438840E-01
   7.7930748E-01   7.5518276E-04  -5.3439099E-01  -3.4381345E-01
   7.8351742E-01  -5.4748696E-05  -5.1461017E-01  -3.4340525E-01
   7.8861415E-01   5.0479942E-04  -5.1609379E-01  -3.4384885E-01
   7.9408449E-01   2.2851933E-04  -4.9575034E-01  -3.4462845E-01
   7.9910535E-01   4.0582023E-03  -4.8320624E-01  -3.4363651E-01
   8.0390227E-01  -1.7329780E-04  -4.7277775E-01  -3.4316653E-01
   8.0816692E-01  -1.1241153E-03  -4.5373419E-01  -3.4281459E-01
   8.1310374E-01  -2.0835230E-04  -4.3207157E-01  -3.4298617E-01
   8.1881881E-01  -7.7741810E-05  -4.2263272E-01  -3.4326485E-01
   8.2312095E-01  -1.8014525E-04  -4.1167992E-01  -3.4319240E-01
   8.2762980E-01  -3.0984500E-04  -3.9952379E-01  -3.4325346E-01
   8.3222508E-01  -1.6452331E-04  -3.7958035E-01  -3.4334660E-01
   8.3921874E-01   4.6338624E-05  -3.6223194E-01  -3.4342340E-01
   8.4385747E-01  -1.0569159E-04  -3.4512895E-01  -3.4338725E-01
   8.4846622E-01  -4.5959245E-05  -3.2515106E-01  -3.4325790E-01
   8.5315758E-01  -2.4097673E-05  -3.1830439E-01  -3.4318006E-01
   8.5832971E-01  -2.9847265E-04  -2.4977951E-01  -3.4233913E-01
   8.6364865E-01   5.1706953E-05  -2.5721458E-01  -3.4278047E-01
   8.6791039E-01  -3.8355612E-04  -2.8263485E-01  -3.4374350E-01
   8.7317777E-01  -2.7984410E-04  -2.9299626E-01  -3.4417334E-01
   8.7766784E-01  -3.4215208E-04  -2.6322493E-01  -3.4371641E-01
   8.8289505E-01   3.9467725E-04  -2.7833086E-01  -3.4431365E-01
   8.8779646E-01  -8.7261311E-04  -2.0728248E-01  -3.4281757E-01
   8.9207518E-01  -4.4240159E-04  -1.5565410E-01  -3.4274721E-01
   8.9702833E-01  -8.1087690E-04  -1.4820045E-01  -3.4286729E-01
   9.0276223E-01  -1.2504867E-03  -1.5511604E-01  -3.4281260E-01
   9.0699941E-01  -1.2574221E-03  -1.5514860E-01  -3.4282497E-01
   9.1124558E-01  -1.2199815E-03  -1.4425983E-01  -3.4319341E-01
   9.1757673E-01  -1.2017838E-03  -1.0438918E-01  -3.4341788E-01
   9.2179555E-01  -1.1690861E-03  -7.3124267E-02  -3.4343582E-01
   9.2603463E-01  -1.2075680E-03  -6.0343832E-02  -3.4334812E-01
   9.3246305E-01  -1.3238407E-03  -5.0746437E-02  -3.4334335E-01
   9.3707228E-01  -1.5339403E-03  -4.3170720E-02  -3.4484035E-01
   9.4202131E-01  -5.9246563E-04  -1.2320762E-02  -3.4435737E-01
   9.4637936E-01  -1.2410737E-03  -3.1243851E-03  -3.4327027E-01
   9.5125288E-01  -1.6446428E-03   3.1677342E-03  -3.4307212E-01
   9.5674890E-01  -1.7898032E-03   2.8695356E-02  -3.4324041E-01
   9.6084571E-01  -2.2768485E-03   1.0338178E-01  -3.4446022E-01
   9.6719289E-01  -1.2331051E-03   7.6958187E-02  -3.4389949E-01
   9.7159111E-01  -1.4657920E-03   5.9470423E-02  -3.4382913E-01
   9.7605962E-01  -1.7604829E-03   6.0579482E-02  -3.4397173E-01
   9.8074162E-01  -1.8593152E-03   9.8769769E-02  -3.4443858E-01
   9.8572391E-01  -1.0734996E-03   1.8500631E-01  -3.4462175E-01
   9.9106658E-01  -2.7051186E-03   1.3371526E-01  -3.4397304E-01
   9.9666601E-01  -4.6915104E-04   1.5411001E-01  -3.4437525E-01
   9.9967742E-01  -5.4410490E-04   2.1662283E-01  -3.4569296E-01
   1.0061594E+00  -1.1129478E-03   2.1158803E-01  -3.4545794E-01
   1.0115352E+00  -1.2586284E-03   2.0014153E-01  -3.4806120E-01
   1.0164709E+00  -1.0257312E-04   2.2771807E-01  -3.4868029E-01
   1.0214275E+00  -1.1335390E-03   2.6283890E-01  -3.4712389E-01
   1.0251588E+00  -2.2693097E-03   3.3592460E-01  -3.4732270E-01
   1.0314848E+00  -7.1348064E-04   3.0299807E-01  -3.4784570E-01
   1.0362469E+00  -1.1452325E-03   2.9487440E-01  -3.4750482E-01
   1.0412793E+00  -3.1589351E-03   3.4245652E-01  -3.4948048E-01
   1.0454541E+00  -1.7592955E-03   3.4821174E-01  -3.4829888E-01
   1.0498655E+00  -4.3523579E-04   3.5711935E-01  -3.4847605E-01
   1.0547290E+00  -1.2390522E-03   3.8003129E-01  -3.4832811E-01
   1.0600910E+00  -1.8265345E-03   4.0621912E-01  -3.4800723E-01
   1.0657500E+00  -1.1020530E-03   4.4450319E-01  -3.4827948E-01
