  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   18:20:22  02/26/2024 iqiq     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   3.7937561E-01  -3.1728733E-02  -2.2865560E+00   1.2469425E+00
   3.8432011E-01   8.9735776E-04  -2.3035393E+00   1.2467644E+00
   3.8970146E-01   9.7961907E-05  -2.2930775E+00   1.2466180E+00
   3.9413175E-01  -1.8616991E-02  -2.2623363E+00   1.2461625E+00
   3.9983854E-01  -1.2185355E-02  -2.2609730E+00   1.2454571E+00
   4.0399623E-01   4.2471680E-04  -2.2543087E+00   1.2453452E+00
   4.0904993E-01  -3.3190749E-03  -2.2463100E+00   1.2452143E+00
   4.1404834E-01   1.1886376E-02  -2.2177427E+00   1.2452629E+00
   4.1919464E-01  -2.0562233E-03  -2.2127550E+00   1.2447948E+00
   4.2352355E-01   2.1160084E-03  -2.1989121E+00   1.2444612E+00
   4.2966115E-01  -5.2377293E-03  -2.1678922E+00   1.2439435E+00
   4.3407327E-01   1.1466919E-02  -2.2042747E+00   1.2435050E+00
   4.3882760E-01   6.5340875E-03  -2.1606634E+00   1.2433803E+00
   4.4346756E-01   1.1254610E-02  -2.1861420E+00   1.2424132E+00
   4.4812286E-01   3.7788900E-03  -2.1455839E+00   1.2419100E+00
   4.5297137E-01  -3.3676361E-03  -2.1358256E+00   1.2413607E+00
   4.5937875E-01   3.7157370E-04  -2.1534133E+00   1.2409556E+00
   4.6288055E-01   4.3557142E-03  -2.1432111E+00   1.2407415E+00
   4.6864185E-01   5.3609298E-03  -2.1056004E+00   1.2402931E+00
   4.7273910E-01   3.3535277E-03  -2.1253450E+00   1.2397277E+00
   4.7876883E-01  -3.5165976E-05  -2.0863519E+00   1.2393034E+00
   4.8322654E-01   5.1874141E-03  -2.1057823E+00   1.2389292E+00
   4.8760426E-01   5.7610101E-03  -2.0936570E+00   1.2386425E+00
   4.9398744E-01   4.0240320E-03  -2.0728867E+00   1.2382263E+00
   4.9793133E-01   4.2358781E-03  -2.0574427E+00   1.2377294E+00
   5.0340521E-01   4.0003313E-03  -2.0500886E+00   1.2370775E+00
   5.0850558E-01   3.2184341E-03  -2.0394332E+00   1.2363310E+00
   5.1328611E-01   2.6789368E-03  -2.0372601E+00   1.2357811E+00
   5.1783758E-01   3.9203763E-03  -2.0038941E+00   1.2352885E+00
   5.2201104E-01   6.5637147E-03  -2.0085778E+00   1.2346436E+00
   5.2788198E-01   5.1610009E-03  -2.0011036E+00   1.2339163E+00
   5.3278416E-01   3.1313687E-03  -1.9716648E+00   1.2335062E+00
   5.3824395E-01   2.7424651E-03  -1.9651756E+00   1.2329109E+00
   5.4164886E-01   4.7046025E-03  -1.9182498E+00   1.2325323E+00
   5.4787868E-01   5.2954052E-03  -1.9313134E+00   1.2317173E+00
   5.5215532E-01   3.9020714E-03  -1.9145341E+00   1.2312154E+00
   5.5745745E-01   3.1913230E-03  -1.8926380E+00   1.2307997E+00
   5.6264895E-01   3.4844580E-03  -1.8733702E+00   1.2304690E+00
   5.6719309E-01   3.5912008E-03  -1.8523585E+00   1.2301058E+00
   5.7245344E-01   3.1271386E-03  -1.8377415E+00   1.2296861E+00
   5.7641339E-01   3.3463403E-03  -1.8263354E+00   1.2293752E+00
   5.8077919E-01   3.2434850E-03  -1.8124601E+00   1.2290062E+00
   5.8559245E-01   3.1582350E-03  -1.7841461E+00   1.2285855E+00
   5.9089911E-01   3.3263287E-03  -1.7667770E+00   1.2281487E+00
   5.9674972E-01   3.3182942E-03  -1.7469358E+00   1.2277427E+00
   6.0281861E-01   3.1662195E-03  -1.7209363E+00   1.2272980E+00
   6.0586089E-01   2.5900127E-03  -1.6687542E+00   1.2266099E+00
   6.1196423E-01   2.3558601E-03  -1.6692197E+00   1.2261840E+00
   6.1502475E-01   2.1677488E-03  -1.6700526E+00   1.2261556E+00
   6.2116462E-01   2.5042130E-03  -1.6664183E+00   1.2262294E+00
   6.2731379E-01   2.5893913E-03  -1.5948927E+00   1.2264366E+00
   6.3040823E-01   2.3797981E-03  -1.5925533E+00   1.2262709E+00
   6.3661760E-01   8.1834965E-04  -1.5816993E+00   1.2261597E+00
   6.3973314E-01   1.5328862E-03  -1.5688236E+00   1.2262039E+00
   6.4598864E-01   2.4020532E-03  -1.4953768E+00   1.2261257E+00
   6.5227872E-01   1.3954344E-03  -1.4982164E+00   1.2259763E+00
   6.5543634E-01   1.8586926E-03  -1.4951321E+00   1.2259935E+00
   6.6178066E-01   2.6479859E-03  -1.4502614E+00   1.2259357E+00
   6.6496766E-01   2.1661615E-03  -1.4062743E+00   1.2254453E+00
   6.7132056E-01   2.0048588E-03  -1.4057699E+00   1.2256656E+00
   6.7448711E-01   2.3846922E-03  -1.3965614E+00   1.2258868E+00
   6.8080258E-01   2.7190424E-03  -1.3361363E+00   1.2262849E+00
   6.8395203E-01   1.7795111E-03  -1.3331829E+00   1.2262199E+00
   6.9023615E-01   1.6113240E-03  -1.3054740E+00   1.2263930E+00
   6.9612962E-01   9.9090859E-04  -1.2550997E+00   1.2266772E+00
   6.9888389E-01   1.1413767E-03  -1.2634083E+00   1.2267251E+00
   7.0410806E-01   1.2181951E-03  -1.2256624E+00   1.2267721E+00
   7.0902723E-01   8.6361181E-04  -1.2128055E+00   1.2268198E+00
   7.1424741E-01   7.7910721E-04  -1.1715184E+00   1.2271105E+00
   7.2000259E-01   9.7758905E-04  -1.1598803E+00   1.2270492E+00
   7.2620147E-01   6.4670626E-04  -1.1484783E+00   1.2269479E+00
   7.2930378E-01  -7.7988621E-04  -1.0910417E+00   1.2269436E+00
   7.3414248E-01   9.7099371E-04  -1.0993651E+00   1.2268437E+00
   7.3931283E-01   9.5695141E-04  -1.0879136E+00   1.2270081E+00
   7.4457806E-01   8.6076028E-04  -1.0578022E+00   1.2272813E+00
   7.5038296E-01   8.2445395E-04  -9.9122202E-01   1.2275040E+00
   7.5347996E-01   6.3279067E-04  -9.9876601E-01   1.2274095E+00
   7.5951481E-01   3.9882908E-04  -1.0062569E+00   1.2273263E+00
   7.6504630E-01   1.1055529E-03  -9.6638149E-01   1.2273883E+00
   7.7002943E-01   6.4874272E-04  -9.4594270E-01   1.2273235E+00
   7.7378064E-01  -1.3599974E-03  -8.4837103E-01   1.2280731E+00
   7.8014052E-01  -1.1619630E-03  -8.8219076E-01   1.2276858E+00
   7.8472042E-01   5.4163771E-04  -8.7928104E-01   1.2276189E+00
   7.8920144E-01   7.1723317E-04  -8.0727547E-01   1.2276946E+00
   7.9371136E-01   1.0856440E-03  -8.0454671E-01   1.2276057E+00
   7.9868358E-01   1.1549297E-03  -8.0964923E-01   1.2275357E+00
   8.0308288E-01   1.6767791E-04  -7.9255110E-01   1.2275592E+00
   8.0793315E-01   6.8837107E-04  -7.4525613E-01   1.2277441E+00
   8.1328058E-01   2.9388806E-04  -6.5580666E-01   1.2281742E+00
   8.1890440E-01   5.0399114E-05  -6.7526698E-01   1.2280201E+00
   8.2432657E-01   4.8273680E-04  -6.9176775E-01   1.2278697E+00
   8.2959670E-01  -6.1872212E-04  -6.1957788E-01   1.2281097E+00
   8.3210385E-01  -1.9169481E-04  -6.1634624E-01   1.2281065E+00
   8.3913696E-01   1.0149029E-04  -6.0716653E-01   1.2279890E+00
   8.4371471E-01   1.6513704E-04  -4.9706283E-01   1.2283801E+00
   8.4812677E-01  -4.8359248E-04  -5.1704043E-01   1.2282455E+00
   8.5362291E-01   1.8924533E-03  -5.3548765E-01   1.2280046E+00
   8.5776031E-01  -2.4577165E-03  -5.0957608E-01   1.2280958E+00
   8.6232179E-01  -1.0411098E-03  -3.8060141E-01   1.2287004E+00
   8.6717880E-01  -2.1992264E-04  -4.2835790E-01   1.2282118E+00
   8.7202966E-01  -3.8128379E-03  -4.2282411E-01   1.2281258E+00
   8.7687951E-01   2.2486635E-03  -3.7892601E-01   1.2282548E+00
   8.8163710E-01  -1.6239462E-03  -2.7903056E-01   1.2286235E+00
   8.8818026E-01   3.5908434E-04  -3.1024680E-01   1.2285103E+00
   8.9274734E-01   7.9271611E-04  -3.0846661E-01   1.2284336E+00
   8.9725548E-01  -7.2649587E-03  -2.8022459E-01   1.2284517E+00
   9.0206349E-01   5.8472622E-04  -1.3881977E-01   1.2289988E+00
   9.0696836E-01  -5.7927081E-03  -1.6526696E-01   1.2288779E+00
   9.1189271E-01  -1.7426343E-03  -1.8493517E-01   1.2287259E+00
   9.1683918E-01  -1.8217446E-03  -1.6251120E-01   1.2287513E+00
