  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   11:31:13  02/26/2024 iqbp     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.7112728E-01   1.2841990E-04   9.4617195E+00   3.4286852E+00
   2.7417028E-01   3.3353560E-03   9.4816017E+00   3.4257267E+00
   2.7717909E-01   2.2568747E-03   9.5024538E+00   3.4260902E+00
   2.8015569E-01  -7.1830824E-03   9.5292912E+00   3.4256997E+00
   2.8456435E-01  -6.0175970E-04   9.5826750E+00   3.4259501E+00
   2.8747049E-01  -2.4332965E-02   9.5716801E+00   3.4257643E+00
   2.9035500E-01   1.7218601E-02   9.5727301E+00   3.4274366E+00
   2.9463157E-01   1.3485612E-02   9.5593710E+00   3.4272568E+00
   2.9747331E-01   2.8364345E-02   9.5600872E+00   3.4317186E+00
   3.0030280E-01  -2.9230705E-02   9.5721827E+00   3.4281902E+00
   3.0452839E-01   4.2454675E-02   9.5730104E+00   3.4279120E+00
   3.0731657E-01   2.9451746E-02   9.5826120E+00   3.4286661E+00
   3.1012243E-01  -1.3010149E-02   9.5897169E+00   3.4280415E+00
   3.1436419E-01   3.6398713E-02   9.5261812E+00   3.4255888E+00
   3.1722021E-01  -1.7194344E-02   9.5260448E+00   3.4331999E+00
   3.2011449E-01  -2.7438916E-02   9.5275984E+00   3.4382281E+00
   3.2444182E-01   1.4749924E-02   9.4616566E+00   3.4357653E+00
   3.2735562E-01  -3.4526665E-02   9.5301752E+00   3.4374638E+00
   3.3029115E-01   1.1783469E-02   9.5544233E+00   3.4397044E+00
   3.3481559E-01  -4.3017846E-02   9.4510937E+00   3.4362688E+00
   3.3787420E-01  -1.6950073E-02   9.4050121E+00   3.4318807E+00
   3.4096000E-01  -1.7218087E-02   9.2919226E+00   3.4286852E+00
   3.4407702E-01   6.7773662E-03   9.2205782E+00   3.4257903E+00
   3.4722081E-01  -6.6800050E-02   9.2552710E+00   3.4104044E+00
   3.5061777E-01  -3.1815704E-02   9.1664124E+00   3.4292009E+00
   3.5436293E-01   6.9649488E-02   9.1462460E+00   3.4367526E+00
   3.5849196E-01  -5.8326825E-02   8.9814491E+00   3.4287078E+00
   3.6071259E-01  -2.3306614E-02   8.9647923E+00   3.4281394E+00
   3.6299255E-01   2.9336909E-02   8.8909941E+00   3.4280236E+00
   3.6689734E-01  -3.3760015E-02   8.7137270E+00   3.4420507E+00
   3.7032253E-01  -2.0728244E-02   8.6356850E+00   3.4344919E+00
   3.7383059E-01  -2.2016909E-02   8.6045189E+00   3.4343872E+00
   3.7769821E-01  -3.0122248E-02   8.5799904E+00   3.4383738E+00
   3.8153204E-01  -2.1811586E-02   8.3748503E+00   3.4278500E+00
   3.8359392E-01  -5.2962866E-02   8.3253717E+00   3.4274940E+00
   3.8803205E-01  -1.7898472E-04   8.2429476E+00   3.4257684E+00
   3.9023313E-01  -4.5961838E-02   8.1688681E+00   3.4274054E+00
   3.9497095E-01  -6.3407579E-03   8.0745316E+00   3.4212918E+00
   3.9751899E-01  -2.2602625E-02   8.0021429E+00   3.4141772E+00
   4.0187931E-01   9.7957617E-03   7.9194360E+00   3.4093781E+00
   4.0422434E-01  -4.6836976E-02   7.8379002E+00   3.3994453E+00
   4.0668657E-01  -2.0929394E-02   7.7353082E+00   3.3964670E+00
   4.1022694E-01  -2.7551409E-02   7.5825887E+00   3.3933287E+00
   4.1380656E-01  -6.0795311E-02   7.5136857E+00   3.3902810E+00
   4.1734716E-01   1.3365080E-02   7.3479371E+00   3.3778732E+00
   4.2082447E-01  -6.9076501E-02   7.3220191E+00   3.3822632E+00
   4.2443982E-01   2.7869767E-02   7.1465588E+00   3.3716035E+00
   4.2819643E-01  -1.1881015E-01   7.0644875E+00   3.3741515E+00
   4.3021673E-01  -3.5167925E-02   6.9423900E+00   3.3675425E+00
   4.3400940E-01  -1.2800734E-02   6.8113813E+00   3.3532238E+00
   4.3765974E-01  -4.4719946E-02   6.7151928E+00   3.3768406E+00
   4.4154856E-01  -4.0114958E-02   6.5437531E+00   3.3703380E+00
   4.4363999E-01  -5.4626666E-02   6.5273991E+00   3.3633776E+00
   4.4814178E-01  -4.4148684E-02   6.4019914E+00   3.3595910E+00
   4.5056286E-01  -5.8828451E-02   6.2592797E+00   3.3374579E+00
   4.5547059E-01  -3.1645391E-02   6.1263614E+00   3.3640382E+00
   4.5790190E-01  -3.3979315E-02   5.9847298E+00   3.3382814E+00
   4.6032193E-01  -7.4246332E-02   5.8974690E+00   3.3415651E+00
   4.6513474E-01  -3.1891346E-02   5.6963086E+00   3.3251438E+00
   4.6753258E-01  -9.1757454E-02   5.6084909E+00   3.3387144E+00
   4.7175747E-01  -5.8130480E-02   5.3747358E+00   3.3324778E+00
   4.7402963E-01  -5.4329000E-02   5.3240385E+00   3.3322022E+00
   4.7846037E-01  -4.1693717E-02   5.1032109E+00   3.3288636E+00
   4.8044473E-01  -5.2003272E-02   5.0784192E+00   3.3271422E+00
   4.8471606E-01  -5.4660838E-02   4.9628334E+00   3.3258605E+00
   4.8701319E-01  -5.1432390E-02   4.8385305E+00   3.3244407E+00
   4.9184352E-01  -3.9612141E-02   4.6235986E+00   3.3176913E+00
   4.9425992E-01  -5.8162432E-02   4.5153537E+00   3.3191018E+00
   4.9667472E-01  -6.0167424E-02   4.3825641E+00   3.3167765E+00
   5.0097239E-01  -8.6326525E-02   4.1697583E+00   3.3064184E+00
   5.0501633E-01  -3.5852630E-02   3.9658291E+00   3.3104477E+00
   5.0719124E-01  -5.2941684E-02   3.9027128E+00   3.3093359E+00
   5.1168734E-01  -5.6480389E-02   3.7651782E+00   3.3064101E+00
   5.1410460E-01  -6.8729982E-02   3.6790006E+00   3.3049664E+00
   5.1895261E-01  -6.0069855E-02   3.5070903E+00   3.3026268E+00
   5.2139074E-01  -6.5989800E-02   3.3701198E+00   3.3013413E+00
   5.2384526E-01  -5.9094049E-02   3.2328229E+00   3.2991760E+00
   5.2876091E-01  -5.4374613E-02   2.9726417E+00   3.2957463E+00
   5.3123546E-01  -5.1057491E-02   2.8838012E+00   3.2943041E+00
   5.3370672E-01  -5.1525041E-02   2.7612314E+00   3.2923710E+00
   5.3863215E-01  -5.5014204E-02   2.5534496E+00   3.2897010E+00
   5.4110456E-01  -4.3174654E-02   2.4394395E+00   3.2875443E+00
