  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   15:52:28  02/16/2024 tcgi     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      995      0.000E+00      1.713E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.4361589E-01   5.0484799E-03   1.0846659E+00   7.1262914E-01
   1.4500192E-01   3.1807700E-03   1.1151825E+00   7.1303684E-01
   1.4798532E-01   4.6196110E-03   1.1942102E+00   7.1317011E-01
   1.4958982E-01   4.0657036E-03   1.2250279E+00   7.1330041E-01
   1.5095438E-01   9.3577998E-03   1.2744354E+00   7.1320933E-01
   1.5238717E-01   7.6538171E-03   1.3150605E+00   7.1305633E-01
   1.5389161E-01   7.0099663E-03   1.3506069E+00   7.1326578E-01
   1.5547127E-01   7.2234250E-03   1.3943710E+00   7.1369272E-01
   1.5712990E-01   6.8878173E-03   1.4238437E+00   7.1424341E-01
   1.5887147E-01   6.8943496E-03   1.4573303E+00   7.1494359E-01
   1.6070011E-01   4.3793530E-03   1.4935541E+00   7.1531755E-01
   1.6259424E-01   3.5282869E-03   1.5327442E+00   7.1641302E-01
   1.6446888E-01   5.1342072E-03   1.5872163E+00   7.1388525E-01
   1.6632837E-01   1.8423164E-03   1.6788479E+00   7.1318805E-01
   1.6789572E-01   9.4211753E-03   1.7988826E+00   7.2279388E-01
   1.6954143E-01   3.7789522E-03   1.7902128E+00   7.2667783E-01
   1.7126943E-01   4.5286785E-03   1.7821233E+00   7.2378486E-01
   1.7308384E-01   3.4004014E-03   1.7776328E+00   7.2675073E-01
   1.7493203E-01   1.8640803E-03   1.8013507E+00   7.2550029E-01
   1.7678963E-01   6.3723717E-03   1.8659794E+00   7.2652382E-01
   1.7866020E-01   1.9805133E-03   1.9437064E+00   7.2850531E-01
   1.8054864E-01   8.0380887E-03   2.0092103E+00   7.3087788E-01
   1.8222786E-01   8.8403476E-03   2.0695531E+00   7.3072463E-01
   1.8399106E-01   5.4896832E-03   2.1012607E+00   7.2700143E-01
   1.8584241E-01   9.1350144E-03   2.1271131E+00   7.3881936E-01
   1.8774293E-01   3.7223394E-03   2.1585181E+00   7.4217010E-01
   1.8967992E-01   6.2862360E-03   2.2044756E+00   7.3809075E-01
   1.9162209E-01   3.4353200E-03   2.2523944E+00   7.3968410E-01
   1.9353396E-01   1.9951710E-03   2.3153219E+00   7.3889560E-01
   1.9550739E-01   1.4250824E-02   2.3529186E+00   7.4188602E-01
   1.9750871E-01   7.2656600E-03   2.3995576E+00   7.4513239E-01
   1.9897437E-01   3.0792514E-03   2.4530945E+00   7.4487573E-01
   2.0051330E-01  -1.1667154E-03   2.4949486E+00   7.4817526E-01
   2.0212919E-01   8.2295118E-03   2.5232780E+00   7.4866652E-01
   2.0382586E-01   1.0004858E-02   2.5540726E+00   7.4409091E-01
   2.0560737E-01   8.1275981E-03   2.5986154E+00   7.4634618E-01
   2.0731193E-01   7.1189892E-03   2.6198010E+00   7.5386351E-01
   2.0866299E-01   7.2650285E-03   2.6897116E+00   7.5959361E-01
   2.1138242E-01   9.6620312E-03   2.7624187E+00   7.4220788E-01
   2.1281791E-01   8.2231434E-03   2.7812192E+00   7.5138015E-01
   2.1396206E-01  -2.8834719E-04   2.8183653E+00   7.5287020E-01
   2.1642482E-01   6.5324735E-03   2.8604944E+00   7.5210202E-01
   2.1774933E-01   6.7619975E-03   2.8914640E+00   7.5236309E-01
   2.1896273E-01   5.1503689E-03   2.9104261E+00   7.5457847E-01
   2.2104801E-01   7.6995571E-03   2.9781399E+00   7.5679326E-01
   2.2324984E-01   9.3368785E-03   3.0234804E+00   7.5821632E-01
   2.2478767E-01   9.8782592E-03   3.0797668E+00   7.6196194E-01
   2.2634873E-01   4.9119918E-03   3.1202164E+00   7.6828122E-01
   2.2806978E-01   9.4438195E-03   3.1378629E+00   7.6240021E-01
   2.2996725E-01  -2.2041351E-04   3.1628482E+00   7.6700306E-01
   2.3098771E-01   3.9630202E-03   3.1905293E+00   7.6943040E-01
   2.3318428E-01   7.6615415E-03   3.2378545E+00   7.6505530E-01
   2.3436558E-01   1.0331450E-02   3.2524300E+00   7.6762736E-01
   2.3690838E-01   2.9215149E-03   3.3206930E+00   7.6495034E-01
   2.3827590E-01   4.9733296E-03   3.3423650E+00   7.6240462E-01
   2.3971181E-01   3.6755139E-03   3.3655837E+00   7.6227456E-01
