  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   13:53:52  02/26/2024 jupc     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1000      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00  -4.1165095E-04   5.3061719E+00   1.7926096E+00
   2.6860072E-03   1.8206261E-02  -2.5106102E+02   1.0692596E-02
   7.2857058E-03  -7.7208965E-03   5.2886248E+00   1.8741467E+00
   1.0418228E-02  -3.0040783E-03   5.2633147E+00   1.8302832E+00
   1.3542918E-02   1.9100351E-04   5.2416139E+00   1.8184320E+00
   1.6987890E-02   2.5636640E-03   5.3456807E+00   1.7690327E+00
   2.0256620E-02   1.6237921E-03   5.2625771E+00   1.8119825E+00
   2.3357935E-02   3.6891337E-04   5.2589388E+00   1.8175133E+00
   2.6777133E-02   2.3606149E-04   5.2740083E+00   1.8214390E+00
   3.0546799E-02  -1.4336820E-03   5.2904325E+00   1.8230546E+00
   3.2574143E-02  -1.1490789E-04   5.2965770E+00   1.8231350E+00
   3.6938004E-02   1.9133461E-03   5.3314738E+00   1.8217558E+00
   3.9284911E-02   2.4849768E-03   5.3268328E+00   1.8207822E+00
   4.4336621E-02   3.6797664E-04   5.3658810E+00   1.8197248E+00
   4.7053460E-02   1.8749908E-03   5.4105477E+00   1.8201824E+00
   4.9906138E-02   8.4572018E-04   5.4274011E+00   1.8202498E+00
   5.2901447E-02   2.8901448E-04   5.4702258E+00   1.8215485E+00
   5.6046527E-02   1.1536918E-03   5.5094638E+00   1.8225716E+00
   5.9348855E-02   5.1171432E-04   5.5496311E+00   1.8238367E+00
   6.2816307E-02   9.4729703E-04   5.5963702E+00   1.8253497E+00
   6.6457123E-02   5.1885168E-04   5.6447220E+00   1.8270344E+00
   7.0279986E-02   3.8439361E-04   5.7153378E+00   1.8290114E+00
   7.3680706E-02   4.4588163E-04   5.7707930E+00   1.8304144E+00
   7.7251457E-02   1.4849518E-03   5.8347325E+00   1.8317633E+00
   8.1000753E-02   1.0110748E-03   5.9051561E+00   1.8329499E+00
   8.4510982E-02   2.2207307E-04   5.9853115E+00   1.8341488E+00
   8.8196725E-02  -8.5163716E-04   6.0668249E+00   1.8351799E+00
   9.1828585E-02   3.4679295E-05   6.1627278E+00   1.8364788E+00
   9.5364496E-02   6.4192654E-04   6.2492290E+00   1.8371905E+00
   9.9005863E-02  -3.9712748E-05   6.3316107E+00   1.8385711E+00
   1.0219811E-01   7.8534550E-04   6.4168000E+00   1.8395857E+00
   1.0545164E-01   6.4911394E-05   6.5077858E+00   1.8414781E+00
   1.0879450E-01  -6.9039734E-04   6.5756054E+00   1.8424172E+00
   1.1491904E-01  -1.6348327E-04   6.7471042E+00   1.8454149E+00
   1.1794513E-01  -8.6182856E-04   6.8210917E+00   1.8467348E+00
   1.2090375E-01  -1.7729242E-03   6.9076228E+00   1.8481332E+00
   1.2390973E-01  -1.0564991E-03   7.0048780E+00   1.8493699E+00
