  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:13:18  02/14/2024 liqi     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      943      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.8391375E-01   5.5523706E-03   3.8488400E+00   1.8320318E+00
   1.8646248E-01  -1.7092236E-03   3.9137721E+00   1.8320185E+00
   1.8913864E-01  -1.2839522E-03   4.1021676E+00   1.8321418E+00
   1.9174887E-01  -1.0471708E-03   4.1771736E+00   1.8320953E+00
   1.9418058E-01   4.2486108E-06   4.3588376E+00   1.8323092E+00
   1.9651958E-01   2.8365073E-03   4.4308009E+00   1.8322856E+00
   1.9897555E-01   1.9979610E-03   4.5214882E+00   1.8322610E+00
   2.0155430E-01   3.1401061E-03   4.7374115E+00   1.8329830E+00
   2.0412442E-01   7.3594233E-04   4.7990966E+00   1.8329625E+00
   2.0653464E-01  -1.1620645E-03   4.9437704E+00   1.8331339E+00
   2.0899774E-01   1.0391613E-03   5.0151057E+00   1.8331826E+00
   2.1158400E-01  -3.2696580E-03   5.1966796E+00   1.8336329E+00
   2.1429956E-01  -3.5830852E-04   5.2645130E+00   1.8335882E+00
   2.1697097E-01  -5.8250519E-04   5.3629780E+00   1.8335055E+00
   2.1951963E-01  -3.2827945E-04   5.5452390E+00   1.8339306E+00
   2.2219573E-01  -1.2021287E-03   5.6047049E+00   1.8334979E+00
   2.2500564E-01  -1.7360405E-03   5.7103705E+00   1.8328755E+00
   2.2774599E-01  -1.7010600E-03   5.8128929E+00   1.8322579E+00
   2.3054767E-01  -2.0452421E-03   5.9141808E+00   1.8317183E+00
   2.3330276E-01  -1.7073686E-03   6.0106106E+00   1.8313104E+00
   2.3604578E-01  -5.6646392E-04   6.0960112E+00   1.8310587E+00
   2.3872954E-01   1.5575761E-03   6.1982737E+00   1.8309813E+00
   2.4127987E-01  -1.6514214E-03   6.2896991E+00   1.8309772E+00
   2.4377096E-01  -4.6391855E-03   6.3245230E+00   1.8310810E+00
   2.4603702E-01   4.2904151E-04   6.4509106E+00   1.8318430E+00
   2.4830000E-01   5.3295451E-03   6.4771228E+00   1.8318219E+00
   2.5067613E-01  -1.6774354E-03   6.5591006E+00   1.8317211E+00
   2.5317103E-01   1.1904484E-03   6.6274300E+00   1.8320208E+00
   2.5566381E-01  -1.0354057E-03   6.6670084E+00   1.8320540E+00
   2.5828123E-01   5.1056081E-03   6.7710152E+00   1.8324549E+00
   2.6060423E-01   2.9343155E-03   6.8051991E+00   1.8324568E+00
   2.6290309E-01  -2.6025462E-03   6.8814106E+00   1.8324621E+00
   2.6515043E-01  -1.2927684E-03   6.9172511E+00   1.8325850E+00
   2.6751015E-01  -8.5036567E-04   6.9587564E+00   1.8326284E+00
   2.6998782E-01  -1.5043839E-03   7.0508151E+00   1.8330498E+00
   2.7258942E-01   1.2443290E-03   7.0726285E+00   1.8329685E+00
   2.7493963E-01   7.8828738E-04   7.1204457E+00   1.8325998E+00
   2.7735290E-01   5.1898579E-03   7.1402059E+00   1.8326923E+00
   2.7982834E-01   3.2319673E-03   7.2036414E+00   1.8330379E+00
   2.8242758E-01  -7.5149024E-04   7.2244377E+00   1.8329946E+00
   2.8515676E-01   2.6494106E-03   7.2640414E+00   1.8330749E+00
   2.8800127E-01   1.2313076E-03   7.2955112E+00   1.8332667E+00
   2.9084980E-01  -4.4133331E-04   7.3117547E+00   1.8337252E+00
   2.9330200E-01   6.5683261E-03   7.3419213E+00   1.8341618E+00
   2.9577026E-01   6.6581070E-03   7.3616552E+00   1.8344469E+00
   2.9836193E-01   3.5020020E-03   7.3721189E+00   1.8351444E+00
   3.0108318E-01   3.5878294E-04   7.3907156E+00   1.8356042E+00
   3.0394050E-01   4.6547134E-03   7.3883352E+00   1.8360906E+00
   3.0677363E-01   5.8604013E-03   7.3976159E+00   1.8363806E+00
   3.0966598E-01   3.3613686E-03   7.3919582E+00   1.8370068E+00
   3.1231183E-01   6.8268301E-03   7.3672013E+00   1.8374327E+00
   3.1500328E-01   4.6914993E-03   7.3758044E+00   1.8376960E+00
   3.1782928E-01   2.6449687E-03   7.3496161E+00   1.8382465E+00
   3.2071871E-01   1.1715320E-03   7.3342595E+00   1.8386487E+00
   3.2358709E-01   1.3495189E-03   7.3025284E+00   1.8391126E+00
   3.2643762E-01   3.7199706E-03   7.2750702E+00   1.8393890E+00
   3.2878900E-01   1.5063663E-03   7.2455363E+00   1.8395215E+00
   3.3010212E-01  -5.5615784E-04   7.1942544E+00   1.8397712E+00
   3.3233324E-01   1.4726547E-02   7.1509242E+00   1.8411859E+00
   3.3353314E-01   6.2530455E-03   7.1586313E+00   1.8412906E+00
   3.3611596E-01   1.0091457E-02   7.1335154E+00   1.8412551E+00
   3.3750501E-01   1.0074741E-02   7.1209607E+00   1.8412613E+00
   3.3896351E-01   4.9134443E-04   7.0783572E+00   1.8414011E+00
   3.4144506E-01   3.1197025E-04   6.9826670E+00   1.8419385E+00
   3.4277964E-01   1.5656695E-03   6.9579339E+00   1.8421615E+00
   3.4418094E-01   6.2985411E-03   6.9183841E+00   1.8423117E+00
   3.4547859E-01   6.5693492E-03   6.8794265E+00   1.8424246E+00
   3.4827176E-01   3.1068369E-03   6.8161631E+00   1.8425928E+00
   3.4977394E-01   2.3769501E-03   6.7808790E+00   1.8426702E+00
   3.5135126E-01   1.9196789E-03   6.7492304E+00   1.8427706E+00
   3.5300741E-01   4.0665921E-03   6.6925859E+00   1.8430171E+00
   3.5474637E-01   3.6788671E-03   6.6352682E+00   1.8431346E+00
   3.5598016E-01   2.0352146E-03   6.5477362E+00   1.8434268E+00
   3.5863584E-01   2.7134621E-03   6.5020323E+00   1.8438301E+00
   3.6006409E-01   2.3228044E-03   6.4606481E+00   1.8440126E+00
   3.6156374E-01   3.8933337E-03   6.4159784E+00   1.8441762E+00
   3.6313841E-01   2.5221810E-04   6.3657207E+00   1.8443265E+00
   3.6479178E-01  -4.2236206E-04   6.3234930E+00   1.8444685E+00
   3.6652783E-01   7.3019513E-03   6.2375817E+00   1.8447404E+00
   3.6798462E-01   1.4375755E-02   6.1542430E+00   1.8449553E+00
   3.6951429E-01  -1.0919997E-03   6.0941038E+00   1.8451355E+00
   3.7135902E-01   2.5377008E-03   6.0362539E+00   1.8453714E+00
   3.7339285E-01  -1.1153991E-03   5.9905810E+00   1.8454776E+00
   3.7563518E-01  -2.6097719E-03   5.9451294E+00   1.8454528E+00
   3.7684110E-01   9.8039173E-03   5.8544445E+00   1.8453904E+00
   3.7852126E-01   2.1493837E-02   5.8214002E+00   1.8453138E+00
   3.8037366E-01   1.3344777E-02   5.6659207E+00   1.8450981E+00
   3.8210997E-01  -3.0869627E-02   5.6066999E+00   1.8449504E+00
   3.8370299E-01  -1.1406261E-02   5.5405688E+00   1.8448043E+00
   3.8545933E-01   2.2091316E-03   5.4792509E+00   1.8447196E+00
   3.8739568E-01   3.1962995E-03   5.4225445E+00   1.8446549E+00
   3.8843703E-01   2.0600688E-03   5.3931770E+00   1.8446248E+00
   3.9067861E-01   4.8150416E-03   5.2844830E+00   1.8444988E+00
   3.9188412E-01   3.1933852E-03   5.1939583E+00   1.8443714E+00
   3.9429063E-01   1.0919415E-03   5.0867281E+00   1.8440658E+00
   3.9598417E-01  -9.9263818E-04   5.0096312E+00   1.8437630E+00
   3.9785129E-01   6.7645353E-03   4.8923059E+00   1.8429812E+00
   3.9885545E-01   5.3752917E-03   4.8753810E+00   1.8427466E+00
   4.0101686E-01   1.9332001E-03   4.8230538E+00   1.8419063E+00
   4.0217930E-01  -2.0418211E-04   4.7677574E+00   1.8413117E+00
   4.0468144E-01   1.6405961E-03   4.6816950E+00   1.8405564E+00
   4.0602708E-01   5.2390276E-03   4.6124544E+00   1.8401405E+00
   4.0744004E-01   6.2964177E-03   4.5055079E+00   1.8396063E+00
   4.0892363E-01  -1.4414061E-03   4.3961358E+00   1.8391041E+00
   4.1167274E-01   1.9306159E-03   4.3154407E+00   1.8386903E+00
   4.1315120E-01   2.3036390E-03   4.2594733E+00   1.8385439E+00
   4.1470361E-01   8.6148223E-04   4.2053590E+00   1.8384185E+00
   4.1633365E-01   8.3753868E-04   4.1155982E+00   1.8382264E+00
   4.1786972E-01   1.1043844E-03   4.0394845E+00   1.8380733E+00
   4.1948262E-01   2.5100328E-03   3.9175179E+00   1.8377823E+00
   4.2102915E-01   2.4893563E-03   3.8638382E+00   1.8376684E+00
   4.2261103E-01   2.6770553E-03   3.7702603E+00   1.8374567E+00
   4.2420170E-01   2.7751422E-03   3.7299671E+00   1.8373778E+00
   4.2715791E-01   3.5481313E-03   3.5897868E+00   1.8371845E+00
   4.2860278E-01   1.9629460E-03   3.5260174E+00   1.8371108E+00
   4.3009809E-01   2.6644627E-04   3.4533052E+00   1.8370535E+00
   4.3159300E-01  -3.1472690E-04   3.3600018E+00   1.8370193E+00
   4.3307367E-01   3.0174952E-03   3.2493384E+00   1.8370118E+00
   4.3455234E-01   2.8597552E-03   3.1618159E+00   1.8370489E+00
   4.3747774E-01   1.6965069E-03   3.0308061E+00   1.8372154E+00
   4.3894160E-01   1.9365796E-03   2.9676588E+00   1.8373406E+00
   4.4037861E-01   3.1084449E-03   2.9164448E+00   1.8374122E+00
   4.4179654E-01   2.5526814E-03   2.8393424E+00   1.8374714E+00
   4.4319993E-01   1.6890001E-03   2.7683892E+00   1.8375242E+00
   4.4595090E-01   2.4471404E-03   2.6113262E+00   1.8375533E+00
   4.4729757E-01   2.9124664E-03   2.5107107E+00   1.8375298E+00
   4.4863066E-01   2.5225368E-03   2.4554749E+00   1.8375169E+00
   4.4995359E-01   2.1077932E-03   2.3938601E+00   1.8375095E+00
   4.5256808E-01   1.1864004E-03   2.2579229E+00   1.8375255E+00
   4.5386440E-01   1.6507166E-03   2.2104783E+00   1.8375121E+00
   4.5515519E-01   2.3838070E-03   2.1465557E+00   1.8374890E+00
   4.5772418E-01   2.2001942E-03   2.0070574E+00   1.8373998E+00
   4.5900384E-01   6.9795112E-04   1.9479492E+00   1.8373456E+00
   4.6028051E-01   1.1577252E-02   1.8783333E+00   1.8372838E+00
   4.6282688E-01   1.2622873E-03   1.7391077E+00   1.8371872E+00
   4.6409678E-01  -5.3058245E-04   1.6677909E+00   1.8371292E+00
   4.6663046E-01   6.4425425E-05   1.5518932E+00   1.8370128E+00
   4.6789443E-01  -2.0313335E-03   1.4921155E+00   1.8369594E+00
   4.6915656E-01  -2.4559407E-03   1.4200231E+00   1.8369266E+00
   4.7167563E-01   5.8917438E-05   1.2971174E+00   1.8368800E+00
   4.7293279E-01   1.4676221E-04   1.2674942E+00   1.8368707E+00
   4.7418827E-01  -4.1252663E-03   1.1585867E+00   1.8368403E+00
   4.7669470E-01   3.0388162E-05   1.0285975E+00   1.8367593E+00
   4.7794580E-01  -4.7094710E-04   9.9291515E-01   1.8367227E+00
   4.7919571E-01   4.0725758E-03   8.5361028E-01   1.8365628E+00
   4.8169243E-01   1.1871412E-04   7.6399714E-01   1.8364208E+00
   4.8293975E-01  -1.1086565E-02   7.3904639E-01   1.8363926E+00
   4.8543113E-01  -9.2911348E-03   5.5871075E-01   1.8364429E+00
   4.8667318E-01   6.1514867E-03   5.3021783E-01   1.8364727E+00
   4.8791343E-01   6.2823612E-03   5.3817785E-01   1.8364782E+00
   4.9039060E-01   1.7024322E-03   3.6446986E-01   1.8365160E+00
   4.9162826E-01  -2.4149583E-03   2.8789005E-01   1.8365920E+00
   4.9286550E-01   2.8714270E-03   2.5556770E-01   1.8366293E+00
   4.9533939E-01   5.8095339E-03   9.2922971E-02   1.8368659E+00
   4.9657646E-01  -6.9543906E-03   7.8075649E-03   1.8370806E+00
   4.9905238E-01  -8.9211753E-03  -6.5373003E-02   1.8373501E+00
   5.0029194E-01  -3.4969146E-04  -5.2793182E-02   1.8374314E+00
   5.0153309E-01  -2.3034097E-04  -1.4505167E-01   1.8376989E+00
   5.0402141E-01   3.6146806E-03  -3.2866749E-01   1.8381921E+00
   5.0526929E-01  -2.1598439E-03  -3.3549067E-01   1.8383354E+00
   5.0777501E-01  -2.3111752E-03  -4.6990308E-01   1.8388909E+00
   5.0903457E-01   3.2291871E-03  -4.8037425E-01   1.8391287E+00
   5.1030046E-01  -3.2492615E-03  -4.9400547E-01   1.8393673E+00
   5.1286197E-01   1.1940070E-04  -6.6866034E-01   1.8398854E+00
   5.1416707E-01  -1.0563223E-04  -7.1354163E-01   1.8400569E+00
   5.1548606E-01   1.0889872E-02  -7.3869616E-01   1.8402188E+00
   5.1758939E-01  -6.3796663E-03  -8.3245039E-01   1.8405654E+00
   5.1872057E-01   4.6287081E-04  -9.0907729E-01   1.8406938E+00
   5.2113098E-01  -1.2780054E-03  -1.0034758E+00   1.8408381E+00
   5.2241069E-01   6.9481065E-03  -1.0580090E+00   1.8409743E+00
   5.2371347E-01   4.6130698E-04  -1.0647649E+00   1.8410203E+00
   5.2631563E-01  -2.9502099E-03  -1.1316136E+00   1.8412154E+00
   5.2760899E-01  -1.0019460E-02  -1.2276118E+00   1.8412399E+00
   5.2890110E-01  -1.1886737E-02  -1.2858380E+00   1.8411832E+00
   5.3111386E-01  -2.1654358E-03  -1.3680091E+00   1.8409989E+00
   5.3309369E-01  -6.8748556E-03  -1.4051815E+00   1.8408939E+00
   5.3415841E-01   2.8246590E-03  -1.4323145E+00   1.8408965E+00
   5.3645027E-01   5.1651443E-03  -1.5396264E+00   1.8408434E+00
   5.3768283E-01   2.4471518E-03  -1.5884292E+00   1.8407464E+00
   5.4029542E-01   4.3973406E-03  -1.6420749E+00   1.8404832E+00
