  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   14:30:35  02/22/2024 pnht     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing tfxob, tfyob, tfzob       
       1      999      0.000E+00      3.341E+00
   time              tfxob_1         tfyob_1         tfzob_1
   2.7287954E-01   4.0374822E-03   1.0186103E+01   1.9219669E+00
   2.7805856E-01   3.2387278E-03   1.0152029E+01   1.9234966E+00
   2.8058791E-01   4.9347924E-03   1.0140154E+01   1.9243181E+00
   2.8307974E-01   2.7571232E-03   1.0120075E+01   1.9250715E+00
   2.8786656E-01   1.8540127E-03   1.0060116E+01   1.9264177E+00
   2.9025677E-01   3.0493159E-03   1.0049229E+01   1.9265684E+00
   2.9494455E-01   3.1651242E-03   9.9840002E+00   1.9281662E+00
   2.9706454E-01   4.5661554E-03   9.9732504E+00   1.9283369E+00
   3.0153924E-01   2.6635977E-03   9.8719044E+00   1.9298903E+00
   3.0371141E-01   2.0994009E-03   9.8275223E+00   1.9308609E+00
   3.0805010E-01   3.0228682E-03   9.7873440E+00   1.9309587E+00
   3.0988938E-01   1.8754762E-03   9.7670650E+00   1.9311368E+00
   3.1383708E-01   1.3258101E-03   9.5253344E+00   1.9348686E+00
   3.1781101E-01   4.0142569E-03   9.5954733E+00   1.9335440E+00
   3.2161143E-01  -2.7218586E-04   9.5393238E+00   1.9335750E+00
   3.2347915E-01  -1.4230314E-03   9.4938765E+00   1.9337757E+00
   3.2719660E-01   2.0828564E-03   9.1920319E+00   1.9363098E+00
   3.3082169E-01   2.3870547E-03   9.3341932E+00   1.9344733E+00
   3.3431917E-01  -1.9947316E-03   9.1293039E+00   1.9353750E+00
   3.3772546E-01   1.3613168E-03   9.0688362E+00   1.9350890E+00
   3.4114668E-01   4.8890067E-03   8.9883413E+00   1.9349704E+00
   3.4448877E-01   1.8664385E-03   8.8401594E+00   1.9356000E+00
   3.4775525E-01   3.6377429E-03   8.6859198E+00   1.9367018E+00
   3.5095096E-01   3.3090902E-03   8.6043015E+00   1.9366903E+00
   3.5409626E-01  -8.1759761E-04   8.5181541E+00   1.9363248E+00
   3.5720649E-01   1.0548150E-03   8.4575672E+00   1.9360769E+00
   3.6026740E-01   8.6838519E-04   8.3308392E+00   1.9360050E+00
   3.6478120E-01   2.0189688E-03   8.1320448E+00   1.9359629E+00
   3.6773613E-01   1.9947537E-03   8.0478182E+00   1.9358450E+00
   3.7061265E-01   1.2343855E-03   7.9607229E+00   1.9355762E+00
   3.7482557E-01   2.3201611E-04   7.8026524E+00   1.9350626E+00
   3.7758771E-01   2.7179299E-03   7.7253594E+00   1.9347531E+00
   3.8033012E-01   2.0222417E-03   7.6366258E+00   1.9342462E+00
   3.8447651E-01   2.0865663E-03   7.4818363E+00   1.9333254E+00
   3.8719463E-01   2.1949930E-03   7.3730426E+00   1.9328473E+00
   3.9114848E-01   1.6000846E-03   7.2387986E+00   1.9321582E+00
   3.9370197E-01   2.0866545E-03   7.1143270E+00   1.9316251E+00
   3.9745426E-01   2.3358047E-03   6.9944415E+00   1.9306859E+00
   4.0114176E-01   3.1832117E-03   6.8815517E+00   1.9296904E+00
   4.0477854E-01   1.4598122E-03   6.7497702E+00   1.9287496E+00
   4.0717545E-01   7.2597373E-05   6.6636667E+00   1.9282608E+00
   4.1073579E-01   2.7753813E-03   6.4898281E+00   1.9276333E+00
   4.1427603E-01   1.9275423E-03   6.3833146E+00   1.9269621E+00
   4.1783279E-01  -1.1881578E-03   6.2227001E+00   1.9263247E+00
   4.2130837E-01   2.5115877E-03   6.1237969E+00   1.9258412E+00
   4.2469519E-01   2.6662478E-03   5.9655242E+00   1.9253643E+00
   4.2799872E-01   3.1091834E-03   5.8272090E+00   1.9249943E+00
   4.3124315E-01   1.8387550E-03   5.7160487E+00   1.9246440E+00
   4.3443674E-01   2.5091982E-03   5.5333366E+00   1.9244397E+00
   4.3758366E-01   1.7440704E-03   5.4350586E+00   1.9242001E+00
   4.4068962E-01   5.3140521E-04   5.3539815E+00   1.9236797E+00
   4.4477549E-01   1.7963918E-03   5.2033343E+00   1.9227788E+00
   4.4780326E-01   1.2396201E-03   4.9966378E+00   1.9221460E+00
   4.5080486E-01   9.6096774E-04   4.9120073E+00   1.9214989E+00
   4.5477283E-01  -2.1389802E-04   4.7670045E+00   1.9204988E+00
   4.5770764E-01   4.7523266E-05   4.6514187E+00   1.9196827E+00
