  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   15:09:47  02/16/2024 cisn     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      858      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.0049375E-01  -5.7012415E-03   3.1331351E+00   3.2636678E+00
   2.0296101E-01  -4.1959719E-03   3.2148442E+00   3.2669499E+00
   2.0550886E-01   3.3370429E-03   3.2903090E+00   3.2694395E+00
   2.0806344E-01   6.6586435E-03   3.3838432E+00   3.2721159E+00
   2.1068712E-01   4.0402785E-03   3.4573483E+00   3.2747664E+00
   2.1338090E-01   6.3610654E-03   3.5457966E+00   3.2776184E+00
   2.1620940E-01   6.4155292E-03   3.6384332E+00   3.2802091E+00
   2.1917932E-01   2.5710491E-03   3.7419515E+00   3.2834074E+00
   2.2229771E-01   9.0065291E-03   3.8621228E+00   3.2866178E+00
   2.2557205E-01   1.0230517E-02   3.9579403E+00   3.2906985E+00
   2.2901009E-01   8.0887694E-03   4.0698853E+00   3.2938938E+00
   2.3252788E-01   5.6253793E-03   4.1767659E+00   3.2975509E+00
   2.3586622E-01   1.2083633E-02   4.2895293E+00   3.3001590E+00
   2.3834892E-01  -8.7335110E-03   4.4229493E+00   3.3046958E+00
   2.4095574E-01   3.8133236E-03   4.4967585E+00   3.3065698E+00
   2.4363707E-01   1.2439032E-02   4.5768733E+00   3.3078322E+00
   2.4626377E-01   4.1692755E-03   4.6646285E+00   3.3103828E+00
   2.4878481E-01   1.1434737E-02   4.7466936E+00   3.3126371E+00
   2.5131497E-01   5.2569085E-03   4.8204989E+00   3.3172705E+00
   2.5380066E-01   1.3953021E-02   4.8877473E+00   3.3157892E+00
   2.5627437E-01   1.0017803E-02   4.9575787E+00   3.3167498E+00
   2.5872037E-01   8.2935793E-03   5.0339074E+00   3.3386171E+00
   2.6128867E-01   8.6629838E-03   5.1131306E+00   3.3428290E+00
   2.6398537E-01   4.0922095E-03   5.1820354E+00   3.3275261E+00
   2.6681691E-01   3.6009166E-03   5.1988111E+00   3.3125353E+00
   2.6961598E-01  -9.9280826E-04   5.2563071E+00   3.3127115E+00
   2.7234995E-01   1.2944916E-02   5.3814135E+00   3.3226817E+00
   2.7502221E-01   9.3231462E-03   5.4502950E+00   3.3252404E+00
   2.7763835E-01   9.9410648E-03   5.4947343E+00   3.3218374E+00
   2.8020608E-01   6.7436867E-03   5.5140953E+00   3.3232272E+00
   2.8273171E-01   1.0144605E-02   5.6264343E+00   3.3286703E+00
   2.8521663E-01   4.5076474E-03   5.6688547E+00   3.3214629E+00
   2.8766397E-01   1.8826459E-02   5.5732002E+00   3.3128815E+00
   2.9008898E-01  -1.5751981E-04   5.6832595E+00   3.3143635E+00
   2.9249346E-01   6.7146020E-03   5.7249379E+00   3.3144145E+00
   2.9487848E-01   9.2604216E-03   5.7624640E+00   3.3132930E+00
   2.9724607E-01   1.0288034E-02   5.7957392E+00   3.3138077E+00
   2.9959849E-01  -1.5912125E-02   5.8267636E+00   3.3135645E+00
   3.0193907E-01   1.5857363E-02   5.8540978E+00   3.3161316E+00
