  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   15:09:47  02/16/2024 cisn     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      858      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   7.3397827E-01  -2.2276532E-02  -5.7479653E+00   3.1253927E+00
   7.3578691E-01  -7.5450666E-02  -5.7973166E+00   3.1261630E+00
   7.3764479E-01  -2.6020810E-02  -5.8040824E+00   3.1274340E+00
   7.3952848E-01  -7.6692901E-03  -5.6855793E+00   3.1217699E+00
   7.4149942E-01   1.1477140E-02  -5.6898522E+00   3.1290278E+00
   7.4340641E-01  -1.4620770E-02  -5.7321124E+00   3.1283033E+00
   7.4525744E-01   1.7284129E-02  -5.7031960E+00   3.1256251E+00
   7.4716413E-01   5.5739868E-02  -5.7114296E+00   3.1218040E+00
   7.4903619E-01   3.1929002E-03  -5.7224712E+00   3.1265883E+00
   7.5084466E-01   1.4287099E-02  -5.7739425E+00   3.1242058E+00
   7.5259477E-01  -1.4102459E-03  -5.7451019E+00   3.1261208E+00
   7.5428843E-01  -5.6441735E-02  -5.7478786E+00   3.1249800E+00
   7.5593209E-01  -3.8215064E-02  -5.6969366E+00   3.1239076E+00
   7.5753891E-01   4.6291859E-03  -5.6801085E+00   3.1227195E+00
   7.5914884E-01   7.3692342E-03  -5.6968851E+00   3.1252944E+00
   7.6075870E-01  -2.5344264E-02  -5.6873412E+00   3.1259072E+00
   7.6244909E-01  -1.0174831E-02  -5.6338592E+00   3.1265914E+00
   7.6422399E-01  -9.8148268E-03  -5.6031799E+00   3.1249521E+00
   7.6603329E-01  -3.4857232E-02  -5.5347762E+00   3.1245377E+00
   7.6787102E-01   1.4097240E-02  -5.5166278E+00   3.1275904E+00
   7.6966256E-01  -9.5694242E-03  -5.5346389E+00   3.1237614E+00
   7.7138168E-01   3.1183728E-03  -5.5075006E+00   3.1207173E+00
   7.7307940E-01   5.1637560E-02  -5.4756975E+00   3.1247554E+00
   7.7486205E-01   2.4219252E-02  -5.4840775E+00   3.1266658E+00
   7.7673388E-01  -9.1217458E-03  -5.5685463E+00   3.1288328E+00
   7.7869922E-01   9.8353820E-03  -5.5318990E+00   3.1209455E+00
   7.8076285E-01  -1.0226964E-01  -5.4078035E+00   3.1222327E+00
   7.8283799E-01   7.8014843E-02  -5.2222762E+00   3.1205792E+00
   7.8487802E-01  -4.0583378E-03  -5.3121457E+00   3.1218662E+00
   7.8688836E-01  -5.4128136E-02  -5.2175360E+00   3.1199985E+00
   7.8888005E-01   9.3548298E-03  -5.2359385E+00   3.1205604E+00
   7.9086453E-01   1.1073945E-02  -5.1707869E+00   3.1208248E+00
   7.9289299E-01  -8.9682482E-02  -5.1027703E+00   3.1205151E+00
   7.9492331E-01  -4.6520110E-02  -5.1116529E+00   3.1227410E+00
   7.9695916E-01  -1.3869188E-02  -5.0689301E+00   3.1207047E+00
   7.9900283E-01   7.1797296E-03  -5.0210915E+00   3.1235182E+00
   8.0104434E-01   6.4237779E-03  -4.9534082E+00   3.1244802E+00
   8.0309027E-01   2.1705689E-02  -4.9008541E+00   3.1254003E+00
   8.0514312E-01   2.7988937E-02  -4.8745489E+00   3.1255560E+00
   8.0714673E-01   2.7647911E-02  -4.8194199E+00   3.1244612E+00
   8.0921358E-01  -1.2899385E-02  -4.8392730E+00   3.1230309E+00
   8.1125194E-01  -6.9243610E-02  -4.7061520E+00   3.1265900E+00
   8.1335390E-01  -1.1394688E-01  -4.6436772E+00   3.1290081E+00
   8.1538165E-01  -8.2396738E-02  -4.5399246E+00   3.1308208E+00
   8.1730396E-01  -2.1431867E-02  -4.5619373E+00   3.1318133E+00
   8.1932235E-01  -3.9903585E-02  -4.5100541E+00   3.1306984E+00
   8.2132125E-01  -7.8603394E-02  -4.4830260E+00   3.1328866E+00
   8.2325917E-01   6.0472317E-02  -4.3942108E+00   3.1316202E+00
   8.2524574E-01   6.8944551E-02  -4.3636088E+00   3.1320767E+00
   8.2722807E-01   1.0288873E-01  -4.2037387E+00   3.1305776E+00
   8.2929742E-01   3.3638246E-02  -4.1209989E+00   3.1303244E+00
   8.3073872E-01  -4.6502020E-02  -4.1119413E+00   3.1273086E+00
   8.3225209E-01   3.1057389E-02  -4.1323819E+00   3.1280043E+00
   8.3384115E-01  -1.7059974E-02  -4.0242991E+00   3.1287031E+00
   8.3550966E-01  -3.4288522E-02  -4.0020156E+00   3.1287756E+00
   8.3726162E-01  -6.4310255E-03  -3.9486551E+00   3.1280930E+00
   8.3910114E-01  -1.8471817E-02  -3.8900425E+00   3.1274450E+00
   8.4102780E-01  -3.8234368E-02  -3.8233833E+00   3.1271131E+00
   8.4301716E-01  -4.5391982E-03  -3.7574785E+00   3.1268175E+00
   8.4527099E-01  -7.9796448E-02  -3.7144642E+00   3.1230133E+00
   8.4648317E-01  -2.2617323E-02  -3.7132461E+00   3.1266289E+00
   8.4775591E-01   3.7721060E-02  -3.6059244E+00   3.1281707E+00
   8.5049546E-01  -6.8565905E-02  -3.5200603E+00   3.1271148E+00
   8.5196882E-01  -6.1650701E-02  -3.4626234E+00   3.1269159E+00
   8.5351586E-01  -3.1673916E-02  -3.3887939E+00   3.1253855E+00
   8.5514021E-01  -7.1690246E-02  -3.3858154E+00   3.1268728E+00
   8.5684586E-01  -2.7218072E-02  -3.3466971E+00   3.1268675E+00
   8.5863674E-01  -8.1615930E-04  -3.2348022E+00   3.1263545E+00
   8.6051714E-01   3.3281546E-02  -3.2052801E+00   3.1273129E+00
   8.6248142E-01   1.4070545E-02  -3.0811005E+00   3.1274965E+00
   8.6442977E-01  -1.9598462E-02  -3.0312772E+00   3.1277277E+00
   8.6636096E-01  -2.6670055E-02  -2.9605918E+00   3.1292408E+00
   8.6830640E-01  -3.9890375E-02  -2.8542247E+00   3.1306012E+00
   8.7029278E-01  -1.2766494E-03  -2.8418136E+00   3.1302683E+00
   8.7229919E-01   2.8085906E-02  -2.7990572E+00   3.1334770E+00
   8.7431037E-01   4.1196369E-02  -2.6583502E+00   3.1289172E+00
   8.7628973E-01  -2.3266016E-02  -2.6315675E+00   3.1308160E+00
   8.7980419E-01   4.1204721E-02  -2.3335254E+00   3.1262789E+00
   8.8169432E-01  -8.9723151E-03  -2.3323016E+00   3.1318841E+00
   8.8357192E-01   1.0304126E-03  -2.2441399E+00   3.1255345E+00
   8.8543165E-01   1.2999998E-02  -2.1411397E+00   3.1235363E+00
   8.8732278E-01   6.0074039E-02  -2.1036470E+00   3.1239231E+00
   8.8918465E-01   2.7966507E-02  -2.1200862E+00   3.1259296E+00
   8.9102143E-01  -1.8620005E-02  -1.9760016E+00   3.1276033E+00
   8.9288199E-01   5.1038589E-02  -1.9620996E+00   3.1271513E+00
   8.9474839E-01  -8.9375665E-03  -1.8716964E+00   3.1321287E+00
   8.9661747E-01  -1.1339956E-02  -1.8849534E+00   3.1283369E+00
   8.9848137E-01  -7.7875912E-02  -1.8404644E+00   3.1271338E+00
   9.0033317E-01  -4.8116405E-02  -1.6923536E+00   3.1292753E+00
   9.0216774E-01   3.2415930E-02  -1.5483223E+00   3.1278450E+00
   9.0397936E-01   8.3100170E-02  -1.4502963E+00   3.1282835E+00
   9.0577346E-01   5.4355003E-02  -1.4129779E+00   3.1290536E+00
   9.0754640E-01   4.5015849E-02  -1.2950141E+00   3.1296003E+00
   9.0915036E-01  -1.4758337E-02  -1.2010765E+00   3.1348014E+00
   9.1083449E-01   9.0228487E-03  -1.1716852E+00   3.1290421E+00
   9.1260284E-01   4.7082018E-02  -1.0773463E+00   3.1302605E+00
   9.1445959E-01   3.0396758E-02  -9.9861991E-01   3.1307285E+00
   9.1640919E-01   5.4254260E-02  -9.9827468E-01   3.1320179E+00
   9.1832513E-01  -3.3454981E-02  -9.5123780E-01   3.1351900E+00
   9.2033690E-01  -1.6491631E-02  -8.5620326E-01   3.1321909E+00
   9.2238146E-01   2.6038587E-02  -7.9699928E-01   3.1306372E+00
   9.2446011E-01  -2.9075989E-02  -7.2127086E-01   3.1403289E+00
   9.2641407E-01   3.3007212E-02  -6.4912945E-01   3.1305959E+00
   9.2833382E-01   4.0576458E-02  -6.0184813E-01   3.1331134E+00
   9.3022567E-01  -2.1434681E-02  -4.4422540E-01   3.1363871E+00
   9.3221211E-01  -1.1847186E-02  -3.9833042E-01   3.1357198E+00
   9.3421483E-01   7.1485108E-03  -2.8442669E-01   3.1378019E+00
   9.3621093E-01   2.2578528E-02  -2.1599759E-01   3.1380768E+00
   9.3820167E-01  -7.4720883E-04  -2.1593848E-01   3.1384189E+00
   9.4018799E-01  -7.7926707E-03  -1.2021418E-01   3.1385870E+00
   9.4217050E-01  -5.1511843E-03  -8.2994774E-02   3.1390626E+00
   9.4414943E-01  -1.3465061E-02   8.3164625E-02   3.1394534E+00
   9.4612473E-01  -5.6583872E-03   4.0181082E-02   3.1404018E+00
   9.4809628E-01   1.8734621E-02   1.0787128E-01   3.1419587E+00
   9.5006406E-01  -3.4383326E-03   2.0856094E-01   3.1427670E+00
   9.5202798E-01  -7.5836986E-02   2.3827115E-01   3.1435971E+00
   9.5398808E-01  -4.2469840E-02   4.2672843E-01   3.1497188E+00
   9.5592237E-01  -5.0207507E-04   4.3336490E-01   3.1465871E+00
   9.5782959E-01  -1.5692832E-02   4.3443310E-01   3.1475971E+00
   9.5971298E-01  -5.4723709E-03   5.4666340E-01   3.1505995E+00
   9.6157449E-01   4.7403495E-03   6.1837560E-01   3.1502330E+00
   9.6341503E-01   1.3190037E-02   7.7801466E-01   3.1530709E+00
   9.6523488E-01  -1.0769163E-02   7.9499125E-01   3.1546090E+00
   9.6702826E-01  -2.2147011E-02   8.5909355E-01   3.1634893E+00
   9.6879631E-01  -8.3546536E-03   8.7238908E-01   3.1636529E+00
   9.7054005E-01  -4.3756790E-03   9.2878824E-01   3.1640604E+00
   9.7226048E-01   4.2318232E-02   9.7983479E-01   3.1646776E+00
   9.7395819E-01  -5.7695918E-03   1.0654590E+00   3.1703761E+00
   9.7563392E-01  -9.5289685E-03   1.1625829E+00   3.1736968E+00
   9.7728837E-01  -7.9830419E-03   1.1735986E+00   3.1741178E+00
   9.7892207E-01  -1.0863573E-02   1.2549776E+00   3.1750836E+00
   9.8053557E-01  -1.1305579E-02   1.2511492E+00   3.1767385E+00
   9.8212945E-01  -1.8264348E-02   1.2655735E+00   3.1768246E+00
   9.8370421E-01  -6.5072989E-03   1.3345683E+00   3.1789544E+00
   9.8526031E-01  -4.5057740E-02   1.3958015E+00   3.1810539E+00
   9.8679823E-01  -5.6019600E-02   1.4608718E+00   3.1820669E+00
   9.8831844E-01  -3.1726159E-02   1.4996667E+00   3.1804521E+00
   9.8982149E-01  -4.3107517E-02   1.5662552E+00   3.1848733E+00
   9.9130774E-01  -3.3823185E-02   1.6658554E+00   3.1936851E+00
   9.9423361E-01  -4.1049123E-02   1.6952691E+00   3.2026870E+00
   9.9576104E-01   4.3099220E-03   1.7295742E+00   3.1882281E+00
   9.9736488E-01   8.2268519E-03   1.7712467E+00   3.1831024E+00
   9.9904883E-01  -4.6564043E-02   1.8599943E+00   3.1974270E+00
   1.0008171E+00  -4.1721866E-02   1.9025953E+00   3.1936934E+00
   1.0025512E+00  -8.7556038E-03   2.0181277E+00   3.1903267E+00
   1.0042191E+00  -6.2952181E-03   2.0217395E+00   3.1905761E+00
   1.0057547E+00  -3.9238770E-02   2.0836973E+00   3.2083771E+00
   1.0072550E+00  -4.2994756E-02   2.1333110E+00   3.2038975E+00
   1.0087366E+00  -5.0649524E-02   2.2383955E+00   3.1972904E+00
   1.0115423E+00  -1.7040959E-02   2.2555006E+00   3.2003644E+00
   1.0129224E+00  -1.9012785E-02   2.2921462E+00   3.2055717E+00
   1.0142767E+00   1.4574020E-02   2.3222752E+00   3.2028267E+00
   1.0155643E+00  -5.6605652E-02   2.3122387E+00   3.2167954E+00
   1.0181495E+00   4.9894519E-02   2.5027792E+00   3.2038150E+00
   1.0193934E+00  -2.5787141E-02   2.4864321E+00   3.2260873E+00
   1.0206997E+00  -1.7636089E-02   2.5194724E+00   3.2188153E+00
   1.0234007E+00   1.6233576E-02   2.6106198E+00   3.2098742E+00
   1.0246959E+00  -3.3012770E-02   2.6744745E+00   3.2324157E+00
   1.0260558E+00  -1.0582574E-02   2.6696057E+00   3.2238786E+00
   1.0274838E+00  -2.8982243E-02   2.7389066E+00   3.2252491E+00
   1.0302358E+00  -2.2745792E-02   2.8195775E+00   3.2276542E+00
   1.0316596E+00  -2.7675172E-02   2.8657062E+00   3.2380106E+00
   1.0331292E+00  -3.6980450E-02   2.9113016E+00   3.2327640E+00
   1.0345761E+00  -3.4692844E-03   2.9398351E+00   3.2268147E+00
   1.0359809E+00  -2.6519315E-02   2.9806113E+00   3.2422931E+00
   1.0390050E+00   1.2182117E-02   3.0857859E+00   3.2270589E+00
   1.0405384E+00  -3.5464350E-02   3.1785815E+00   3.2532706E+00
   1.0421486E+00  -1.2014303E-02   3.1921871E+00   3.2431190E+00
   1.0438392E+00   5.1187053E-03   3.2614388E+00   3.2379909E+00
   1.0455154E+00  -2.8239243E-02   3.2622988E+00   3.2464318E+00
   1.0472755E+00  -4.8369858E-02   3.3357396E+00   3.2581697E+00
   1.0491235E+00   2.3211069E-02   3.4071522E+00   3.2447534E+00
   1.0510640E+00   7.1625169E-03   3.4425695E+00   3.2599916E+00
   1.0531015E+00   4.3043312E-02   3.4796128E+00   3.2543197E+00
   1.0552409E+00   1.5710665E-02   3.6125355E+00   3.2473490E+00
   1.0574872E+00  -4.1751239E-02   3.6476698E+00   3.2666454E+00
   1.0598458E+00  -1.4510304E-02   3.6838253E+00   3.2640738E+00
   1.0623224E+00   3.4955435E-02   3.7722309E+00   3.2524917E+00
   1.0649228E+00   3.2448683E-02   3.8938336E+00   3.2589731E+00
   1.0676533E+00  -5.9951367E-03   3.9468892E+00   3.2713997E+00
   1.0704244E+00  -5.1413797E-02   4.0078249E+00   3.2855155E+00
   1.0731957E+00  -2.0421715E-03   4.0714507E+00   3.2864082E+00
   1.0753735E+00   4.9547829E-02   4.1840973E+00   3.2752681E+00
   1.0776603E+00   9.3000364E-03   4.2765436E+00   3.2818532E+00
   1.0800614E+00  -7.0140921E-03   4.3266058E+00   3.2841702E+00
   1.0825825E+00  -9.7448835E-03   4.3682742E+00   3.2868295E+00
   1.0852298E+00   1.7485773E-02   4.4883432E+00   3.2895675E+00
   1.0880009E+00   2.8111078E-02   4.5566010E+00   3.2965267E+00
   1.0907722E+00   3.8613886E-02   4.5697908E+00   3.2944539E+00
   1.0935434E+00   1.8212054E-02   4.6585073E+00   3.2946768E+00
   1.0963145E+00   7.1090274E-03   4.8261452E+00   3.3016827E+00
   1.0990685E+00   6.5364376E-02   4.8504677E+00   3.2994733E+00
   1.1017708E+00  -2.1168025E-02   4.8702164E+00   3.3042781E+00
   1.1044333E+00   5.8823776E-02   5.0107765E+00   3.3038733E+00
   1.1070539E+00   3.3729684E-02   5.0271630E+00   3.3108261E+00
   1.1096368E+00  -5.8930349E-02   5.0789804E+00   3.3188248E+00
   1.1121860E+00   2.1903735E-02   5.1458578E+00   3.3161566E+00
   1.1147038E+00   5.0663881E-02   5.2255116E+00   3.3138952E+00
   1.1171921E+00   2.0680886E-02   5.2546415E+00   3.3140237E+00
   1.1196539E+00   4.5092147E-02   5.3747668E+00   3.3175845E+00
   1.1220900E+00   4.3939341E-02   5.3842645E+00   3.3166187E+00
   1.1245041E+00  -4.3416873E-02   5.4162097E+00   3.3220775E+00
   1.1268996E+00  -3.4341000E-02   5.4191318E+00   3.3187215E+00
   1.1289413E+00   1.7604414E-02   5.4833894E+00   3.3213730E+00
   1.1310019E+00   1.5123537E-02   5.5622377E+00   3.3173709E+00
   1.1330789E+00   6.2997234E-03   5.6290922E+00   3.3197832E+00
   1.1352597E+00   5.7225432E-02   5.6933780E+00   3.3395875E+00
   1.1375495E+00   8.8658668E-02   5.7258105E+00   3.3339143E+00
   1.1398615E+00   9.4582401E-02   5.7158322E+00   3.3122399E+00
   1.1421621E+00  -4.4055576E-03   5.7124496E+00   3.3209665E+00
   1.1444547E+00  -8.0111720E-02   5.7544336E+00   3.3262715E+00
   1.1467397E+00   1.4225505E-03   5.8025799E+00   3.3300948E+00
   1.1489495E+00   3.2907738E-03   5.8444705E+00   3.3313434E+00
   1.1511656E+00   2.2304263E-02   5.8928246E+00   3.3293841E+00
   1.1533210E+00   2.9871102E-02   5.9085274E+00   3.3280723E+00
   1.1555657E+00   4.0421315E-02   5.8889956E+00   3.3351696E+00
   1.1577786E+00   1.4802404E-02   5.9564772E+00   3.3312528E+00
   1.1600310E+00  -3.1090945E-03   6.0364819E+00   3.3314559E+00
   1.1622574E+00   2.6292372E-02   6.0310082E+00   3.3363595E+00
   1.1644608E+00   4.5282267E-02   5.9766345E+00   3.3327632E+00
   1.1666436E+00   6.0386494E-02   5.9969296E+00   3.3427801E+00
   1.1688079E+00   2.7206192E-02   6.0261154E+00   3.3340094E+00
   1.1709563E+00   8.6385803E-03   6.0408101E+00   3.3389413E+00
   1.1730911E+00   3.4560423E-02   6.0394225E+00   3.3351636E+00
   1.1752143E+00   4.9975049E-02   6.0082903E+00   3.3369265E+00
   1.1773272E+00   6.1021853E-02   6.1051474E+00   3.3352036E+00
   1.1794312E+00   3.0052092E-02   6.1507235E+00   3.3366034E+00
   1.1814241E+00  -9.5007839E-03   6.1313310E+00   3.3313687E+00
   1.1835155E+00   1.6881414E-03   6.1350942E+00   3.3287578E+00
   1.1856022E+00   1.7850073E-02   6.1611910E+00   3.3382597E+00
   1.1876848E+00   1.0038707E-02   6.1721058E+00   3.3347132E+00
   1.1897471E+00   4.0887307E-02   6.0709996E+00   3.3229501E+00
   1.1916372E+00   7.0543818E-02   6.0775995E+00   3.3263199E+00
   1.1935123E+00   6.3221395E-02   6.1155224E+00   3.3206792E+00
   1.1953950E+00   3.9420180E-02   6.1226578E+00   3.3119252E+00
   1.1972739E+00   4.1686725E-02   6.0680184E+00   3.3100152E+00
   1.1991457E+00   3.1860504E-02   6.0822492E+00   3.3151345E+00
   1.2010134E+00  -1.9743716E-02   6.1021333E+00   3.3054326E+00
   1.2028803E+00  -1.3947347E-02   6.0722814E+00   3.2919791E+00
   1.2047461E+00   2.4300687E-02   6.0650873E+00   3.2932386E+00
   1.2066102E+00   2.5119184E-02   6.0631108E+00   3.2936504E+00
   1.2084726E+00   2.0447422E-02   6.0538745E+00   3.2925999E+00
   1.2103841E+00   3.1197602E-02   6.0230560E+00   3.2908697E+00
   1.2122880E+00   3.5278533E-02   6.0441957E+00   3.2865968E+00
   1.2140886E+00   5.7690397E-02   5.9815850E+00   3.2907536E+00
   1.2159725E+00   1.2629552E-02   6.0189490E+00   3.2853279E+00
   1.2178466E+00   2.8931232E-02   5.9339600E+00   3.2849078E+00
   1.2197262E+00   2.7246168E-02   5.9928689E+00   3.2962511E+00
   1.2215941E+00  -1.1516613E-03   5.9457378E+00   3.2936454E+00
   1.2234452E+00   1.3236249E-02   5.8811102E+00   3.2804987E+00
   1.2252802E+00  -8.4681837E-03   5.8109736E+00   3.2769113E+00
   1.2270988E+00   1.8704824E-02   5.8331623E+00   3.2706163E+00
   1.2289014E+00   5.9895169E-02   5.8119512E+00   3.2910235E+00
   1.2306871E+00   1.5291668E-02   5.7844129E+00   3.2782135E+00
   1.2324555E+00   2.4942830E-02   5.7316399E+00   3.2727079E+00
   1.2342068E+00   1.5927842E-02   5.7069225E+00   3.2725537E+00
   1.2359408E+00   1.0062654E-02   5.6266146E+00   3.2681024E+00
   1.2376574E+00   1.8497612E-02   5.6300001E+00   3.2636647E+00
   1.2393589E+00   1.4113387E-02   5.5844913E+00   3.2634265E+00
   1.2410451E+00   2.2242876E-02   5.5654540E+00   3.2605741E+00
   1.2427163E+00   2.8999396E-02   5.4668565E+00   3.2582471E+00
   1.2443727E+00   3.4184560E-02   5.4694967E+00   3.2564962E+00
   1.2460141E+00   3.6152691E-02   5.4638467E+00   3.2538657E+00
   1.2476407E+00   3.0750055E-02   5.4248247E+00   3.2523689E+00
   1.2492522E+00   1.1875234E-02   5.3843060E+00   3.2501404E+00
   1.2508490E+00  -1.2886650E-02   5.3631935E+00   3.2491910E+00
   1.2524314E+00   4.5872345E-03   5.2814007E+00   3.2469833E+00
   1.2540004E+00   1.5710998E-02   5.2554884E+00   3.2474141E+00
   1.2555569E+00   2.7025124E-02   5.1890497E+00   3.2409415E+00
   1.2571021E+00   1.5811637E-02   5.1468048E+00   3.2431793E+00
   1.2586371E+00   1.9502128E-02   5.0792427E+00   3.2413239E+00
   1.2616810E+00   3.3249203E-02   5.0227976E+00   3.2376921E+00
   1.2631924E+00   2.9057512E-02   4.9805279E+00   3.2352970E+00
   1.2646978E+00   3.0873358E-02   4.9449563E+00   3.2335131E+00
   1.2661979E+00   1.1092070E-02   4.9107323E+00   3.2318685E+00
   1.2676930E+00   8.7167220E-03   4.8697319E+00   3.2296369E+00
   1.2691839E+00   5.8234767E-03   4.7616644E+00   3.2268608E+00
   1.2706707E+00  -1.5411084E-02   4.7332644E+00   3.2248101E+00
   1.2736317E+00   1.0128853E-02   4.6155367E+00   3.2207100E+00
   1.2751056E+00   8.2160849E-03   4.5972733E+00   3.2188983E+00
   1.2765747E+00   8.4878867E-03   4.5005317E+00   3.2169683E+00
   1.2780393E+00   8.3126407E-03   4.4690261E+00   3.2150733E+00
   1.2794993E+00   7.5141410E-03   4.4113984E+00   3.2138815E+00
   1.2809547E+00   1.3492023E-02   4.3971596E+00   3.2121823E+00
   1.2838525E+00   2.2456182E-02   4.2664351E+00   3.2093148E+00
   1.2852952E+00   1.0459526E-02   4.2299600E+00   3.2073154E+00
   1.2867341E+00   7.9406220E-03   4.1904178E+00   3.2060256E+00
   1.2881690E+00   6.5173390E-03   4.1434488E+00   3.2044644E+00
   1.2896001E+00  -2.3466216E-02   4.0818334E+00   3.2028208E+00
   1.2924522E+00   1.7807193E-02   3.9681239E+00   3.1996322E+00
   1.2938738E+00   2.2883829E-02   3.8502612E+00   3.1984942E+00
   1.2952931E+00   1.4528356E-02   3.8343396E+00   3.1978254E+00
   1.2967103E+00   6.0131727E-03   3.7749178E+00   3.1962941E+00
   1.2981259E+00  -2.0077307E-02   3.7298892E+00   3.1951766E+00
   1.3009536E+00   1.9191884E-03   3.6186647E+00   3.1833007E+00
   1.3023663E+00  -1.1163171E-03   3.5698576E+00   3.1899390E+00
   1.3037785E+00  -2.0599499E-02   3.4942641E+00   3.1885967E+00
   1.3051903E+00  -1.5041956E-02   3.4390767E+00   3.1872413E+00
   1.3066021E+00  -6.8621901E-03   3.3827212E+00   3.1858809E+00
   1.3094263E+00  -5.3472258E-04   3.1926959E+00   3.1838095E+00
   1.3108393E+00   8.5137123E-03   3.1434467E+00   3.1820738E+00
   1.3122532E+00  -1.5633524E-03   3.1115463E+00   3.1813471E+00
   1.3136685E+00   4.0156860E-02   3.1031158E+00   3.1670763E+00
   1.3165053E+00  -1.5280877E-03   2.9478328E+00   3.1787512E+00
   1.3179281E+00  -5.0895200E-03   2.8917556E+00   3.1767223E+00
   1.3193548E+00  -6.0243974E-03   2.8290415E+00   3.1763458E+00
   1.3207856E+00  -1.9704252E-02   2.7735391E+00   3.1752112E+00
   1.3222213E+00   3.2242496E-02   2.7567198E+00   3.1739776E+00
   1.3251081E+00   4.3875445E-02   2.5777702E+00   3.1729274E+00
   1.3265604E+00   1.9855259E-03   2.4786797E+00   3.1706002E+00
   1.3280196E+00  -3.1898264E-02   2.4424577E+00   3.1704569E+00
   1.3294855E+00  -3.4400001E-02   2.3333468E+00   3.1688094E+00
   1.3309455E+00   5.3227539E-03   2.2488036E+00   3.1668744E+00
   1.3323996E+00  -1.1630412E-02   2.1783376E+00   3.1658142E+00
   1.3352913E+00   4.3258522E-02   2.0913568E+00   3.1640186E+00
   1.3367213E+00   8.5673723E-03   2.0248730E+00   3.1650774E+00
   1.3381534E+00  -3.8012993E-02   1.9682109E+00   3.1651704E+00
   1.3395869E+00  -3.7957516E-02   1.8633435E+00   3.1620703E+00
   1.3410232E+00  -5.0213896E-02   1.7702494E+00   3.1618633E+00
   1.3439020E+00  -6.4120822E-02   1.6448778E+00   3.1516612E+00
   1.3453579E+00   3.9293092E-02   1.5722125E+00   3.1485040E+00
   1.3468251E+00   8.9599937E-02   1.5360022E+00   3.1712732E+00
   1.3483063E+00  -7.5838365E-02   1.4549625E+00   3.1787021E+00
   1.3498025E+00  -3.8643852E-02   1.3866526E+00   3.1588995E+00
   1.3513137E+00   7.1324646E-02   1.3365262E+00   3.1721551E+00
   1.3536208E+00   1.2709905E-01   1.1999649E+00   3.1729507E+00
   1.3548615E+00   2.9697904E-02   1.1129349E+00   3.1697848E+00
   1.3575321E+00  -1.2602817E-01   9.0439939E-01   3.1683121E+00
   1.3589684E+00  -1.1350534E-01   9.0167439E-01   3.1731191E+00
   1.3604765E+00  -3.5711650E-02   8.1647950E-01   3.1712940E+00
   1.3620601E+00  -2.2153731E-02   7.7750576E-01   3.1731901E+00
   1.3637227E+00   7.1727028E-03   8.1948143E-01   3.1708829E+00
   1.3654685E+00   2.8287707E-02   7.5704300E-01   3.1725156E+00
   1.3673016E+00   9.0347782E-02   6.4759088E-01   3.1802447E+00
   1.3692265E+00   6.9250800E-02   4.2852724E-01   3.1782069E+00
   1.3712474E+00   3.1358271E-04   2.7133942E-01   3.1785755E+00
   1.3733695E+00  -8.8431360E-03   1.4492659E-01   3.1771381E+00
   1.3755976E+00  -6.6758743E-03   6.9521405E-02   3.1784637E+00
   1.3779372E+00  -2.4556670E-02  -1.4723879E-02   3.1787441E+00
   1.3797808E+00  -1.1343212E-02  -2.6736017E-02   3.1760767E+00
   1.3817164E+00   3.4004401E-02  -5.6510355E-02   3.1769986E+00
   1.3837489E+00  -3.6153361E-02  -1.5824515E-01   3.1805975E+00
   1.3858830E+00  -3.8373999E-02  -2.9701853E-01   3.1852725E+00
   1.3881238E+00   5.2292896E-03  -4.1205177E-01   3.1858478E+00
   1.3903470E+00   4.3619983E-02  -5.8510071E-01   3.1853256E+00
   1.3924091E+00   9.5449552E-02  -6.2948936E-01   3.1885219E+00
   1.3943295E+00   1.1592231E-02  -7.8746182E-01   3.1861219E+00
   1.3963460E+00   9.3792252E-02  -7.7770668E-01   3.1808429E+00
   1.3984632E+00  -6.6114888E-02  -9.4774854E-01   3.1882832E+00
   1.4006207E+00  -1.9413089E-02  -9.6302998E-01   3.1847503E+00
   1.4028672E+00  -2.9364477E-03  -1.0223794E+00   3.1847932E+00
   1.4051107E+00  -3.9236087E-02  -1.0842435E+00   3.1816370E+00
   1.4073149E+00   1.1554847E-02  -1.1507548E+00   3.1808901E+00
   1.4094647E+00  -1.3882096E-02  -1.2706281E+00   3.1796818E+00
   1.4115124E+00   5.5575994E-04  -1.4041146E+00   3.1791675E+00
   1.4134617E+00   1.1333407E-02  -1.5149666E+00   3.1788068E+00
   1.4153392E+00   7.5845107E-02  -1.6304911E+00   3.1774807E+00
   1.4172661E+00   9.8028183E-02  -1.6260483E+00   3.1746736E+00
   1.4190999E+00   3.4868080E-02  -1.6456674E+00   3.1745899E+00
   1.4209861E+00   3.8024426E-02  -1.7734299E+00   3.1760004E+00
   1.4229462E+00   1.3427753E-02  -1.8153648E+00   3.1756170E+00
   1.4249066E+00   2.7608775E-02  -1.8862637E+00   3.1745598E+00
   1.4268793E+00  -5.1070388E-02  -1.9674587E+00   3.1717780E+00
   1.4288541E+00  -3.3223152E-02  -2.0214410E+00   3.1726182E+00
   1.4308629E+00   5.0046006E-03  -2.0960355E+00   3.1741827E+00
