  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   21:13:44  02/15/2024 jupc     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      924      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   3.9845866E-01  -2.5717760E-03  -2.3136518E+00   3.1778405E+00
   4.0363950E-01  -1.1905303E-03  -2.3302665E+00   3.1765695E+00
   4.0849173E-01  -1.7456493E-03  -2.2948065E+00   3.1757429E+00
   4.1325673E-01  -3.7591206E-03  -2.2889678E+00   3.1747525E+00
   4.1807914E-01  -2.3112923E-03  -2.3321259E+00   3.1737337E+00
   4.2535031E-01  -7.4608889E-03  -2.2575612E+00   3.1726239E+00
   4.2802036E-01  -5.4723574E-03  -2.2904475E+00   3.1717808E+00
   4.3376759E-01  -1.8537361E-03  -2.2607400E+00   3.1701338E+00
   4.4010392E-01  -2.8351841E-03  -2.2316802E+00   3.1686788E+00
   4.4351164E-01  -2.5252984E-03  -2.2434554E+00   3.1679082E+00
   4.4708976E-01  -6.0450641E-04  -2.2456284E+00   3.1670380E+00
   4.5479161E-01  -8.3526882E-04  -2.2256546E+00   3.1648352E+00
   4.5893371E-01  -1.1335729E-03  -2.1986275E+00   3.1634347E+00
   4.6322322E-01  -7.0983008E-04  -2.1939175E+00   3.1620793E+00
   4.6746123E-01  -3.9920812E-03  -2.1823332E+00   3.1608293E+00
   4.7166523E-01  -2.7729834E-03  -2.1876802E+00   3.1596479E+00
   4.8002279E-01  -2.4651932E-03  -2.1756530E+00   3.1576500E+00
   4.8414662E-01  -3.2220895E-03  -2.1615388E+00   3.1567647E+00
   4.8820445E-01  -3.4133720E-03  -2.1549106E+00   3.1558576E+00
   4.9219552E-01  -3.0184546E-03  -2.1527703E+00   3.1549788E+00
   4.9614331E-01  -2.9360086E-03  -2.1394162E+00   3.1541934E+00
   5.0382787E-01  -3.4437431E-03  -2.1358967E+00   3.1527579E+00
   5.0756955E-01  -3.9952197E-03  -2.1267223E+00   3.1519785E+00
   5.1124525E-01  -2.9479044E-03  -2.1379385E+00   3.1512661E+00
   5.1841253E-01  -2.9262304E-03  -2.0866749E+00   3.1499722E+00
   5.2185374E-01  -4.1059954E-03  -2.0657647E+00   3.1491930E+00
   5.2848625E-01  -4.2864676E-03  -2.0563791E+00   3.1467361E+00
   5.3169847E-01   1.6084798E-03  -2.0442903E+00   3.1457529E+00
   5.3762281E-01  -4.9921782E-03  -2.0379303E+00   3.1445358E+00
   5.4282397E-01  -1.0419155E-02  -2.0121908E+00   3.1431589E+00
   5.4768062E-01  -2.1244651E-03  -1.9217497E+00   3.1366055E+00
   5.5229998E-01   3.4773117E-04  -1.9263326E+00   3.1358786E+00
   5.5672759E-01  -4.6935235E-03  -1.9905115E+00   3.1374764E+00
   5.6303984E-01   2.9285005E-03  -2.0019996E+00   3.1400528E+00
   5.6765592E-01  -4.7634477E-03  -1.9768869E+00   3.1413012E+00
   5.7274508E-01  -1.9592773E-02  -1.9034110E+00   3.1415474E+00
   5.7835597E-01  -3.0603684E-03  -1.8812217E+00   3.1404271E+00
   5.8137345E-01  -6.4376714E-03  -1.8865598E+00   3.1396985E+00
   5.8759952E-01  -7.1948059E-03  -1.9027860E+00   3.1379738E+00
   5.9050578E-01  -7.5515504E-03  -1.8923447E+00   3.1366005E+00
   5.9676147E-01   1.1711206E-03  -1.7599920E+00   3.1354651E+00
   6.0012585E-01  -3.9379848E-03  -1.7612846E+00   3.1339135E+00
   6.0736758E-01  -6.1797346E-03  -1.7930219E+00   3.1315486E+00
   6.1126226E-01  -8.5308272E-03  -1.8115585E+00   3.1307473E+00
   6.1535162E-01  -1.3079736E-02  -1.7946690E+00   3.1300457E+00
   6.2165803E-01  -7.2581121E-03  -1.6993353E+00   3.1282406E+00
   6.2638831E-01  -2.0019149E-03  -1.6224618E+00   3.1276500E+00
   6.3112575E-01  -6.5007466E-03  -1.6313453E+00   3.1271276E+00
   6.3578606E-01  -8.1271268E-03  -1.6202750E+00   3.1276972E+00
   6.4029431E-01  -8.4049028E-04  -1.5903605E+00   3.1293170E+00
   6.4635968E-01  -7.9276878E-03  -1.6146579E+00   3.1296918E+00
   6.5006155E-01  -8.5986257E-03  -1.5901407E+00   3.1303627E+00
