  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:47:44  02/22/2024 jupc     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      909      0.000E+00      3.344E+00
   time              pfxob_1         pfyob_1         pfzob_1
   3.7401026E-01  -2.5623057E-02   8.6987801E+00   3.9790077E+00
   3.7701347E-01  -2.7384838E-02   8.3039455E+00   3.9828923E+00
   3.7997216E-01  -2.9719405E-02   8.2664156E+00   3.9829428E+00
   3.8284016E-01  -2.9574603E-02   8.2674026E+00   3.9814122E+00
   3.8840407E-01  -2.9092263E-02   8.2454920E+00   3.9793940E+00
   3.9113796E-01  -2.8494174E-02   8.2036438E+00   3.9790428E+00
   3.9383340E-01  -2.8537786E-02   8.0716963E+00   3.9796357E+00
   3.9652154E-01  -3.0502701E-02   7.9133940E+00   3.9807057E+00
   4.0185070E-01  -3.4206528E-02   7.6583762E+00   3.9814394E+00
   4.0448785E-01  -3.5139143E-02   7.5719752E+00   3.9814839E+00
   4.0709931E-01  -3.5407428E-02   7.4971304E+00   3.9814193E+00
   4.0968144E-01  -3.8034476E-02   7.3781490E+00   3.9812191E+00
   4.1472808E-01  -3.8089313E-02   7.2627883E+00   3.9811647E+00
   4.1717553E-01  -3.8232144E-02   7.1926837E+00   3.9810617E+00
   4.2193094E-01  -3.9841384E-02   7.0428195E+00   3.9811568E+00
   4.2426232E-01  -3.9296456E-02   6.9404135E+00   3.9813788E+00
   4.2657289E-01  -3.9629657E-02   6.7720613E+00   3.9819312E+00
   4.3114758E-01  -4.2262442E-02   6.6433024E+00   3.9825482E+00
   4.3341440E-01  -4.3798972E-02   6.5638642E+00   3.9828143E+00
   4.3790895E-01  -4.5733832E-02   6.4198656E+00   3.9834294E+00
   4.4013670E-01  -4.6046708E-02   6.3400431E+00   3.9838095E+00
   4.4456965E-01  -4.6430018E-02   6.1932554E+00   3.9844944E+00
   4.4676608E-01  -4.7436737E-02   6.0988183E+00   3.9848831E+00
   4.5111996E-01  -4.9107011E-02   5.9370747E+00   3.9853797E+00
   4.5327815E-01  -5.0178476E-02   5.8126893E+00   3.9857965E+00
   4.5756167E-01  -5.3646810E-02   5.6055026E+00   3.9866490E+00
   4.6180651E-01  -5.5583183E-02   5.4955640E+00   3.9871013E+00
