  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   22:11:33  02/15/2024 tgtc     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.932E+00
   time              pfxob_1         pfyob_1         pfzob_1
   3.8349977E-01   2.6660641E-03  -1.9884875E+00   6.7444485E-01
   3.9027023E-01   1.2526107E-03  -2.0137982E+00   6.7469531E-01
   3.9517123E-01   1.8706890E-03  -2.0332563E+00   6.7536372E-01
   4.0057454E-01   4.2326758E-03  -1.9877774E+00   6.7717481E-01
   4.0348050E-01   3.5136587E-03  -1.9888557E+00   6.7729419E-01
   4.0973550E-01   1.1352904E-03  -1.9981699E+00   6.7733550E-01
   4.1309950E-01   1.2587986E-03  -2.0048637E+00   6.7794216E-01
   4.2002416E-01   2.1399786E-03  -1.9915782E+00   6.7936963E-01
   4.2300278E-01   2.0004690E-03  -1.9938916E+00   6.7944252E-01
   4.2942867E-01   3.0544861E-03  -1.9867228E+00   6.7932785E-01
   4.3339172E-01   2.6063884E-03  -1.9749712E+00   6.8038654E-01
   4.3776101E-01   2.1757653E-03  -1.9729714E+00   6.8109995E-01
   4.4257814E-01   2.6014887E-03  -1.9453436E+00   6.8289101E-01
   4.4788903E-01   1.8539658E-03  -1.9514792E+00   6.8215388E-01
   4.5349476E-01   1.6486222E-03  -1.9672785E+00   6.8160999E-01
   4.5889181E-01   2.5343171E-03  -1.9786538E+00   6.8203443E-01
   4.6410355E-01   4.2231749E-03  -1.9033872E+00   6.8367296E-01
   4.6932161E-01   1.7511924E-03  -1.9241718E+00   6.8300104E-01
   4.7212791E-01   1.5158759E-03  -1.9342389E+00   6.8294859E-01
   4.7816849E-01   1.8092013E-03  -1.9573057E+00   6.8331331E-01
   4.8428267E-01   4.3109735E-03  -1.9049720E+00   6.8500066E-01
   4.8719534E-01   4.0111644E-03  -1.9049598E+00   6.8465793E-01
   4.9296805E-01   1.7470736E-03  -1.9102794E+00   6.8386024E-01
   4.9913123E-01   2.4275549E-03  -1.9169724E+00   6.8426698E-01
   5.0230515E-01   2.6682927E-03  -1.9122113E+00   6.8452018E-01
