  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   18:45:02  02/22/2024 snwl     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       4      142      4.887E-03      5.469E-01
   time              pfxob_1         pfyob_1         pfzob_1
   3.6310381E-01   3.8773401E-03   6.5055542E+00   3.8496213E+00
   3.6776477E-01   2.3404562E-03   6.4068770E+00   3.8504980E+00
   3.7235260E-01   3.0712464E-03   6.2485704E+00   3.8509572E+00
   3.7697491E-01   6.0625741E-04   6.1016278E+00   3.8508294E+00
   3.8182837E-01   2.4470307E-03   5.9558053E+00   3.8500986E+00
   3.8667148E-01   2.9447030E-03   5.8506145E+00   3.8497026E+00
   3.9153683E-01   1.4469125E-03   5.6017938E+00   3.8483756E+00
   3.9623210E-01   7.5483676E-03   5.4912400E+00   3.8478799E+00
   4.0080309E-01   1.6938922E-03   5.2575006E+00   3.8459156E+00
   4.0530759E-01   2.8511300E-03   5.1590161E+00   3.8452241E+00
   4.0984851E-01   1.4867074E-03   4.9114056E+00   3.8427999E+00
   4.1428435E-01   3.1268329E-03   4.8155899E+00   3.8419271E+00
   4.1839537E-01   2.9000789E-03   4.6606369E+00   3.8408790E+00
   4.2186439E-01   6.1669841E-04   4.3148284E+00   3.8377898E+00
   4.2550686E-01   1.0382008E-03   4.2759466E+00   3.8369887E+00
   4.2924979E-01   6.9510366E-04   4.1833262E+00   3.8362918E+00
   4.3292117E-01   1.0982169E-03   4.0288000E+00   3.8356915E+00
   4.3647432E-01   1.2325123E-04   3.8387845E+00   3.8352032E+00
   4.3983662E-01   1.0043910E-03   3.6415074E+00   3.8347614E+00
   4.4311389E-01  -1.8548389E-03   3.4639356E+00   3.8343327E+00
   4.4636738E-01  -3.4989472E-04   3.3191326E+00   3.8339765E+00
   4.4953111E-01  -6.7165052E-04   3.1833191E+00   3.8336685E+00
   4.5266610E-01   6.0297869E-04   3.0494998E+00   3.8334227E+00
   4.5576209E-01  -5.1754434E-04   2.9084654E+00   3.8332465E+00
   4.5876417E-01  -1.9133788E-04   2.7602229E+00   3.8331220E+00
   4.6170712E-01   1.4434137E-03   2.6199670E+00   3.8330975E+00
   4.6454439E-01  -1.2800408E-03   2.4773333E+00   3.8331614E+00
   4.6728417E-01   9.2704641E-04   2.3844614E+00   3.8332365E+00
   4.6995711E-01  -2.5440176E-04   2.2117002E+00   3.8334684E+00
   4.7258407E-01  -4.2202719E-04   2.1171999E+00   3.8335555E+00
   4.7518063E-01   7.3141383E-04   2.0026557E+00   3.8337536E+00
   4.7775671E-01  -9.2882384E-04   1.8764523E+00   3.8340106E+00
   4.8031783E-01   2.1263484E-03   1.7471682E+00   3.8342426E+00
   4.8286664E-01   7.9699792E-04   1.6200538E+00   3.8345046E+00
   4.8540404E-01  -4.8835197E-04   1.5052505E+00   3.8348525E+00
   4.8793045E-01   4.7710779E-04   1.3840655E+00   3.8352888E+00
   4.9044505E-01  -7.8519405E-04   1.2655517E+00   3.8358116E+00
   4.9294710E-01  -6.2369090E-04   1.1530082E+00   3.8364196E+00
   4.9543589E-01  -1.2682880E-03   1.0381472E+00   3.8370860E+00
   4.9791124E-01  -1.5096242E-03   9.2477858E-01   3.8377659E+00
   5.0037360E-01   1.7969139E-04   8.0925745E-01   3.8384390E+00
   5.0282353E-01  -1.5782713E-03   7.0246333E-01   3.8390820E+00
   5.0526243E-01  -2.4706745E-03   5.9018672E-01   3.8396749E+00
   5.0769198E-01  -4.0059839E-03   4.7748071E-01   3.8402216E+00
   5.1011372E-01   1.5808895E-05   3.6016813E-01   3.8407257E+00
   5.1252949E-01  -1.5243853E-03   2.7527279E-01   3.8410425E+00
   5.1494098E-01  -1.6253120E-03   1.6343328E-01   3.8414352E+00
   5.1734996E-01  -3.2198057E-03   9.7675979E-02   3.8416748E+00
   5.1975811E-01  -2.6823725E-03  -2.6546786E-02   3.8419385E+00
   5.2216697E-01   2.4660344E-03  -1.2288240E-01   3.8422441E+00
   5.2457905E-01   1.2900282E-03  -2.0097335E-01   3.8424711E+00
   5.2699721E-01  -2.9413404E-03  -2.9429543E-01   3.8427565E+00
   5.2942485E-01  -9.6403919E-03  -3.8936630E-01   3.8431108E+00
   5.3186530E-01  -8.6812954E-04  -4.9757016E-01   3.8433776E+00
   5.3432137E-01  -5.1183687E-03  -6.4409709E-01   3.8435256E+00
   5.3679526E-01  -5.5446681E-03  -6.9995439E-01   3.8436034E+00
   5.3928828E-01   5.5241119E-04  -7.9321420E-01   3.8436182E+00
   5.4179901E-01  -3.4232989E-03  -8.9465410E-01   3.8435562E+00
   5.4432493E-01  -2.6546340E-03  -1.0297952E+00   3.8434372E+00
   5.4686320E-01  -6.8874490E-03  -1.0903184E+00   3.8433163E+00
