  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   20:05:49  02/16/2024 liqi     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.6675129E-01   2.8406020E-02   7.9727173E+00   6.7594570E-01
   2.7065775E-01   2.4828875E-02   7.9970126E+00   6.8994933E-01
   2.7352878E-01   2.0127496E-02   8.0208483E+00   6.8107343E-01
   2.7727315E-01   1.6676931E-02   8.0511065E+00   6.7400247E-01
   2.8092808E-01   2.6307810E-02   8.0781908E+00   6.7067069E-01
   2.8361443E-01   1.2794563E-02   8.0996666E+00   6.7519307E-01
   2.8713125E-01   2.0277813E-02   8.1157837E+00   6.6632926E-01
   2.9058361E-01   1.8929349E-02   8.1474218E+00   6.6469783E-01
   2.9397947E-01   2.4131093E-02   8.1638927E+00   6.6138530E-01
   2.9728368E-01   1.6399669E-02   8.1409988E+00   6.5108353E-01
   3.0056638E-01   3.2654386E-02   8.1422567E+00   6.5889454E-01
   3.0382463E-01   2.2352308E-02   8.1802197E+00   6.4347821E-01
   3.0703977E-01   2.5754435E-02   8.2018824E+00   6.4187551E-01
   3.1102750E-01   2.5237203E-02   8.1754484E+00   6.3042700E-01
   3.1419125E-01   1.3810322E-02   8.1936035E+00   6.3358331E-01
   3.1734180E-01   8.8726385E-03   8.2294827E+00   6.2941110E-01
   3.2046542E-01   2.7248750E-02   8.2057066E+00   6.2561488E-01
   3.2434589E-01   1.9963279E-02   8.2075853E+00   6.2225819E-01
   3.2748678E-01   2.4772618E-02   8.1973963E+00   6.1683869E-01
   3.3101451E-01   1.7711418E-02   8.1985111E+00   6.1461198E-01
   3.3443975E-01   6.4211614E-02   8.1630039E+00   6.0632217E-01
   3.3761400E-01   4.1551445E-02   8.1079702E+00   6.0534722E-01
   3.4080985E-01  -3.3065699E-02   8.0958920E+00   6.0703838E-01
   3.4403065E-01   3.8076952E-02   8.1220779E+00   6.0807264E-01
   3.4781763E-01   1.0887813E-02   8.1069613E+00   6.0478133E-01
   3.5077974E-01   2.3891879E-02   8.0965109E+00   6.0233229E-01
   3.5380352E-01   1.9127047E-02   7.9927258E+00   5.9459794E-01
   3.5786813E-01   3.0103546E-02   7.9472756E+00   5.9015960E-01
   3.6100987E-01   2.2141794E-02   7.9698324E+00   5.8902824E-01
   3.6422816E-01   2.4520680E-02   7.9749050E+00   5.8619082E-01
   3.6749277E-01   1.4845490E-02   7.8969746E+00   5.8520913E-01
   3.7093842E-01   4.5137755E-03   8.0628328E+00   6.0546577E-01
   3.7411124E-01   1.6043914E-02   7.8589492E+00   5.8084828E-01
   3.7745032E-01   2.1386104E-02   7.6244745E+00   5.7383275E-01
   3.8108540E-01   3.5477974E-02   7.6350546E+00   5.6465465E-01
   3.8438615E-01   2.6200313E-02   7.6875200E+00   5.5564785E-01
   3.8706413E-01   2.6783204E-02   7.6676664E+00   5.5419910E-01
   3.9116308E-01   2.2370365E-02   7.5127764E+00   5.5389333E-01
   3.9427614E-01   2.4585571E-02   7.4334297E+00   5.5550599E-01
   3.9737433E-01   2.4518657E-02   7.3042955E+00   5.5837965E-01
   4.0076035E-01   3.0666072E-02   7.3895555E+00   5.6031227E-01
   4.0407896E-01   4.1087773E-02   7.3119974E+00   5.6512141E-01
   4.0769178E-01   2.3933660E-02   7.1813235E+00   5.6503463E-01
   4.1128844E-01   2.2234403E-02   7.0573649E+00   5.4990804E-01
   4.1430742E-01   1.9863041E-02   6.9171305E+00   5.3722590E-01
   4.1799265E-01   3.9941173E-02   6.8966036E+00   5.3000849E-01
   4.2082810E-01   3.5769906E-02   6.8756428E+00   5.2701581E-01
   4.2382425E-01   1.1486699E-02   6.7984300E+00   5.2394950E-01
   4.2781213E-01   3.6545895E-02   6.6873569E+00   5.2443326E-01
   4.3079388E-01   3.0358592E-02   6.5553670E+00   5.2401191E-01
   4.3378091E-01   3.7384473E-02   6.4706492E+00   5.2652770E-01
   4.3775153E-01  -6.7727487E-05   6.3111048E+00   5.3139275E-01
   4.4101095E-01   8.3938032E-02   6.3406115E+00   5.5180550E-01
   4.4443396E-01  -4.8667394E-02   5.9945364E+00   5.0874203E-01
   4.4778919E-01   6.5452904E-02   6.0470572E+00   4.9597707E-01
   4.5099324E-01   2.6461003E-02   5.9622068E+00   4.9252254E-01
   4.5418298E-01   1.9935159E-02   5.7596831E+00   4.9214217E-01
   4.5782366E-01   3.6959596E-02   5.7013345E+00   5.0654894E-01
   4.6146625E-01   1.8553825E-02   5.5924168E+00   5.0272912E-01
   4.6462217E-01   2.3273164E-02   5.4800105E+00   5.0862628E-01
   4.6764338E-01   1.9925222E-02   5.3333735E+00   5.1063639E-01
   4.7090268E-01   2.6856549E-02   5.2516451E+00   5.1024282E-01
   4.7409269E-01   2.4041994E-02   5.1621404E+00   5.0509620E-01
   4.7802165E-01  -5.2071613E-04   5.0209379E+00   4.8801652E-01
   4.8135799E-01   2.5261290E-02   4.8855519E+00   4.8155180E-01
   4.8432416E-01   2.7236838E-03   4.7681837E+00   4.7875461E-01
   4.8770621E-01   2.5901802E-02   4.6748080E+00   4.7232008E-01
   4.9101338E-01   5.1728074E-02   4.5303102E+00   4.5983133E-01
   4.9430579E-01   3.2553308E-02   4.2934999E+00   4.5766652E-01
   4.9830773E-01   6.1455220E-03   4.1868620E+00   4.6337479E-01
   5.0060302E-01   3.5218965E-02   4.1611247E+00   4.6248689E-01
   5.0413436E-01   3.6279543E-04   4.0470953E+00   4.6010408E-01
   5.0768429E-01   3.4525871E-02   3.8914855E+00   4.5856798E-01
   5.1141161E-01   2.6659803E-03   3.7008791E+00   4.5919350E-01
   5.1391208E-01   1.0381384E-02   3.6390209E+00   4.5840511E-01
   5.1764518E-01   2.5722736E-03   3.4458370E+00   4.5363858E-01
   5.2136344E-01   4.2726905E-03   3.3157625E+00   4.4865003E-01
   5.2507311E-01   4.8150267E-03   3.1689987E+00   4.4166201E-01
   5.2754700E-01   7.3532742E-03   3.0886097E+00   4.3870735E-01
   5.3124672E-01   7.0344284E-03   2.8474097E+00   4.3174961E-01
   5.3467423E-01  -8.5912114E-03   2.7608585E+00   4.2758900E-01
   5.3778219E-01   4.1436227E-03   2.6825471E+00   4.2352089E-01
   5.4154134E-01  -5.0004129E-03   2.5268729E+00   4.2229795E-01
   5.4420006E-01  -4.2144428E-03   2.3583064E+00   4.2108864E-01
   5.4771602E-01  -2.7686732E-03   2.1502972E+00   4.2372116E-01
   5.5096239E-01  -5.9009595E-03   2.0422640E+00   4.2568770E-01
   5.5426443E-01  -1.1982242E-02   1.9587082E+00   4.2430079E-01
   5.5783540E-01  -9.0648960E-03   1.7445427E+00   4.2307791E-01
   5.6127083E-01  -3.9619203E-03   1.5198622E+00   4.2182395E-01
   5.6472665E-01  -2.0295270E-02   1.4117912E+00   4.1451806E-01
   5.6789589E-01  -1.2312669E-02   1.3105230E+00   4.0626684E-01
   5.7118285E-01  -3.0659547E-02   1.1495324E+00   4.0545690E-01
   5.7473457E-01  -9.3676606E-03   9.9422938E-01   4.0398550E-01
   5.7775396E-01  -1.6985724E-02   9.1634947E-01   4.0510273E-01
   5.8114088E-01  -2.1474848E-02   7.4749130E-01   4.0815324E-01
   5.8465916E-01  -2.7834594E-02   6.4761502E-01   4.1030425E-01
   5.8793437E-01  -2.3734815E-02   4.9594340E-01   4.1054595E-01
   5.9144545E-01  -2.8474541E-02   3.4778967E-01   4.0971774E-01
   5.9474939E-01  -9.1523118E-03   2.2540697E-01   4.0832150E-01
   5.9797007E-01  -2.7085149E-03   1.2609866E-01   4.0448657E-01
   6.0095179E-01  -3.1377472E-02  -7.4371085E-02   4.0127930E-01
   6.0442042E-01  -2.4498977E-02  -2.6807430E-01   3.9957720E-01
   6.0797048E-01  -4.3175872E-02  -2.7476871E-01   3.9708304E-01
   6.1139435E-01  -2.4256827E-02  -5.4711938E-01   3.9570892E-01
   6.1480284E-01  -2.6693262E-02  -6.5025085E-01   3.9932325E-01
   6.1765844E-01  -3.2301817E-02  -7.0519310E-01   4.0133110E-01
   6.2179291E-01  -3.6606811E-02  -9.0758163E-01   4.0264210E-01
   6.2410688E-01  -1.9030232E-02  -1.0667399E+00   4.0348768E-01
   6.2798488E-01  -1.3262283E-02  -1.1712025E+00   4.0339375E-01
   6.3189238E-01  -6.3519619E-02  -1.2613581E+00   4.0371138E-01
   6.3447803E-01  -5.5414061E-03  -1.4331983E+00   4.0217373E-01
   6.3825727E-01  -3.0527730E-02  -1.5396385E+00   4.0111297E-01
   6.4077002E-01  -3.6198761E-02  -1.6225849E+00   4.0161246E-01
   6.4443767E-01  -5.7159763E-02  -1.7980556E+00   4.0439472E-01
   6.4795560E-01  -3.7693068E-02  -1.9213456E+00   4.0306938E-01
   6.5160251E-01  -2.3443649E-02  -2.0679917E+00   4.0537277E-01
   6.5496224E-01  -3.0533865E-02  -2.2754614E+00   4.0769130E-01
   6.5794927E-01  -2.5105223E-02  -2.2848442E+00   4.1004243E-01
   6.6134340E-01  -4.5142192E-02  -2.3629410E+00   4.1218591E-01
   6.6435319E-01  -4.5202121E-02  -2.4560823E+00   4.1567740E-01
   6.6853392E-01  -3.4144368E-02  -2.7214851E+00   4.1647741E-01
   6.7169517E-01  -2.8451664E-02  -2.7551463E+00   4.1930029E-01
   6.7456895E-01  -3.7933276E-03  -2.8732059E+00   4.2133895E-01
   6.7768931E-01  -5.2011378E-02  -3.0110319E+00   4.2123446E-01
   6.8201143E-01  -3.9896306E-02  -3.0920284E+00   4.2473584E-01
   6.8516493E-01  -2.5940513E-02  -3.2379346E+00   4.2687014E-01
   6.8825549E-01  -2.5964584E-02  -3.3026166E+00   4.2937380E-01
   6.9129241E-01  -3.0800443E-02  -3.4619799E+00   4.3198445E-01
   6.9528550E-01  -2.9495556E-02  -3.5913491E+00   4.3478474E-01
   6.9826323E-01  -9.0650674E-03  -3.6700523E+00   4.3844488E-01
   7.0121706E-01  -1.7345624E-02  -3.7107205E+00   4.4198036E-01
   7.0513648E-01  -1.5429970E-02  -3.8359151E+00   4.4214556E-01
   7.0804715E-01  -1.5346086E-02  -3.8722951E+00   4.5116514E-01
   7.1190661E-01   1.7574758E-04  -4.1651545E+00   4.4895265E-01
   7.1481752E-01  -7.1503309E-04  -4.1552372E+00   4.5166332E-01
   7.1865833E-01  -8.4521417E-03  -4.2106385E+00   4.4700047E-01
   7.2165757E-01  -2.3083968E-02  -4.2931786E+00   4.4960731E-01
   7.2462046E-01  -1.8225146E-03  -4.3468838E+00   4.7525975E-01
   7.2853178E-01   1.6928181E-02  -4.5111542E+00   4.5250171E-01
   7.3144722E-01  -1.0941928E-02  -4.5662742E+00   4.5463076E-01
   7.3524088E-01  -3.2598176E-03  -4.6338005E+00   4.6119916E-01
   7.3802769E-01  -6.3890293E-03  -4.6856956E+00   4.6117499E-01
   7.4176896E-01  -9.6764266E-03  -4.7728786E+00   4.6344411E-01
   7.4453652E-01  -3.8614698E-02  -4.8668447E+00   4.6579084E-01
   7.4849963E-01   1.8622743E-02  -4.9881868E+00   4.7064477E-01
   7.5124836E-01   1.1065661E-02  -4.9826322E+00   4.6857792E-01
   7.5531286E-01  -3.7320122E-02  -5.1127687E+00   4.8472679E-01
   7.5827992E-01  -5.2495198E-03  -5.1572690E+00   4.8119989E-01
   7.6181358E-01  -4.7136308E-03  -5.2337508E+00   4.8901501E-01
   7.6481384E-01   3.4992674E-03  -5.3200326E+00   4.9128249E-01
   7.6831961E-01   7.1426230E-03  -5.3854690E+00   5.0476754E-01
   7.7154487E-01   3.7793140E-03  -5.4284372E+00   5.0579387E-01
   7.7491367E-01   2.2422429E-02  -5.4860778E+00   5.0641376E-01
