  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   20:32:44  03/20/2024 txso     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.6739094E-01   1.7822590E-02   8.7490559E+00   6.6827857E-01
   2.7053994E-01   1.1036872E-02   8.8224335E+00   6.4246309E-01
   2.7365401E-01   1.4595154E-02   8.8535442E+00   6.3984936E-01
   2.7751401E-01   1.6557284E-02   8.8731871E+00   6.2720948E-01
   2.8057802E-01   1.6953701E-02   8.8765955E+00   6.4956307E-01
   2.8360566E-01   2.5358714E-02   8.8534012E+00   6.4130223E-01
   2.8736222E-01   3.3882499E-02   8.8752823E+00   6.3413030E-01
   2.9035941E-01   2.1877920E-02   8.8818083E+00   6.3312644E-01
   2.9413176E-01   2.0668274E-02   8.8910131E+00   6.2659287E-01
   2.9704010E-01   1.9733883E-02   8.8061018E+00   6.2190014E-01
   3.0067256E-01   5.7531860E-02   8.8293371E+00   6.1838794E-01
   3.0371240E-01   8.4578969E-02   8.8636885E+00   6.1698532E-01
   3.0699196E-01  -4.6261642E-02   8.8931198E+00   6.1271363E-01
   3.1100276E-01   2.1509498E-02   8.8047628E+00   6.1464107E-01
   3.1382069E-01   2.2320056E-02   8.7828093E+00   6.1240441E-01
   3.1768999E-01   2.6545029E-02   8.7883434E+00   6.0788357E-01
   3.2060242E-01   2.3668097E-02   8.7604055E+00   6.0434282E-01
   3.2402965E-01   2.3631399E-02   8.6747780E+00   6.0131782E-01
   3.2764146E-01   1.6270304E-02   8.7866411E+00   6.0861391E-01
   3.3072931E-01   2.6181554E-02   8.7395935E+00   5.9831613E-01
   3.3380333E-01   2.5689702E-02   8.6148491E+00   5.8680630E-01
   3.3753985E-01   2.8092070E-02   8.5348225E+00   5.8267635E-01
   3.4074581E-01   2.4582023E-02   8.5006924E+00   5.8018261E-01
   3.4431589E-01   2.5710437E-02   8.5248423E+00   5.6715685E-01
   3.4754819E-01   4.4858564E-02   8.4750929E+00   5.7425928E-01
   3.5104877E-01   2.1793269E-02   8.3952789E+00   5.7878470E-01
   3.5392573E-01   2.2018574E-02   8.3536692E+00   5.7428408E-01
   3.5742274E-01   2.2122931E-02   8.2457323E+00   5.7020199E-01
   3.6076480E-01   2.3667386E-02   8.0913076E+00   5.4872125E-01
   3.6414599E-01   2.9825717E-02   8.2148590E+00   5.6390721E-01
   3.6746028E-01   3.0549346E-02   8.1104527E+00   5.5697262E-01
   3.7062523E-01  -1.2186472E-02   7.9516344E+00   5.6281161E-01
   3.7377602E-01   6.1744448E-02   7.8662100E+00   5.6476480E-01
   3.7743384E-01   2.5426328E-02   7.8671923E+00   5.5888349E-01
   3.8038236E-01   1.9920256E-02   7.8231401E+00   5.5196756E-01
   3.8430890E-01   3.9980441E-02   7.7257257E+00   5.4491985E-01
   3.8723138E-01   4.3802325E-02   7.3919959E+00   5.2020925E-01
   3.9113900E-01   3.4868043E-02   7.6404939E+00   5.2580893E-01
   3.9432260E-01  -8.6771566E-03   7.1064658E+00   5.7389528E-01
   3.9768332E-01   2.6389331E-02   7.3545771E+00   5.4772419E-01
   4.0089938E-01   3.2930512E-02   7.2766042E+00   5.3263366E-01
   4.0440056E-01   2.0872913E-02   7.0368795E+00   5.0711346E-01
   4.0754119E-01   3.4493335E-02   6.9670920E+00   5.0748897E-01
   4.1085491E-01   9.4350167E-03   6.8078923E+00   5.0672072E-01
   4.1400948E-01   4.5719281E-02   6.7921133E+00   5.1588160E-01
   4.1749129E-01   4.5672465E-02   6.6780853E+00   5.3224427E-01
   4.2131522E-01   3.6409594E-02   6.5889368E+00   5.3117007E-01
   4.2462343E-01   8.8244997E-04   6.4437952E+00   5.2454346E-01
   4.2790112E-01  -1.3728781E-02   6.2519789E+00   5.2069038E-01
   4.3065360E-01   2.5374798E-02   6.1810613E+00   5.0661701E-01
   4.3468001E-01   3.0926036E-02   6.0858130E+00   4.9531451E-01
   4.3732396E-01  -2.5633755E-03   5.9944625E+00   4.7861996E-01
   4.4053772E-01   2.2018023E-02   5.7884684E+00   4.7753832E-01
   4.4436929E-01   2.1108927E-02   5.7334585E+00   4.8032463E-01
   4.4735804E-01   3.8967371E-02   5.5534477E+00   4.8425439E-01
   4.5143104E-01   9.1292913E-04   5.4375033E+00   4.8477867E-01
   4.5442504E-01   4.4482443E-02   5.3891182E+00   4.8414668E-01
   4.5741403E-01   4.6394775E-03   5.2071013E+00   4.7995028E-01
   4.6133256E-01   2.2939190E-02   5.0523520E+00   4.7566912E-01
   4.6426278E-01   1.5446138E-02   4.8860488E+00   4.6858215E-01
   4.6814957E-01   1.5736330E-02   4.7357011E+00   4.5840445E-01
   4.7105363E-01   5.1200464E-03   4.6475954E+00   4.5246679E-01
   4.7392732E-01   1.3803654E-02   4.5306439E+00   4.4474915E-01
   4.7782072E-01   8.3849924E-03   4.3494496E+00   4.3891829E-01
   4.8077503E-01   9.4856853E-03   4.1840143E+00   4.3518090E-01
   4.8474929E-01   2.2114250E-03   4.0717349E+00   4.3100739E-01
   4.8774880E-01   7.0862207E-03   3.9492984E+00   4.2910227E-01
   4.9074805E-01  -1.8820188E-04   3.7713144E+00   4.2790866E-01
   4.9474323E-01  -1.3770681E-03   3.6228411E+00   4.2700997E-01
   4.9778676E-01  -1.1130246E-02   3.4905229E+00   4.2637920E-01
   5.0085390E-01   9.7131263E-03   3.3704824E+00   4.2212144E-01
   5.0400043E-01  -6.3283243E-03   3.2011766E+00   4.1732222E-01
   5.0817358E-01  -9.2536993E-03   3.0155563E+00   4.0953323E-01
   5.1129079E-01  -1.0308787E-02   2.8254614E+00   4.0318590E-01
   5.1439959E-01  -4.0402792E-02   2.6996763E+00   3.9787194E-01
   5.1750565E-01  -4.6179020E-03   2.5602458E+00   3.9285558E-01
   5.2061725E-01  -4.8281670E-02   2.4207573E+00   3.8914508E-01
   5.2478397E-01   1.4712058E-03   2.2698038E+00   3.8492575E-01
   5.2793169E-01  -2.9450324E-03   2.0671735E+00   3.8378572E-01
   5.3112459E-01  -1.9228747E-02   1.8780309E+00   3.8171664E-01
   5.3490084E-01  -1.6361956E-02   1.7267274E+00   3.8068637E-01
   5.3802228E-01  -3.0507809E-02   1.6052111E+00   3.7957522E-01
   5.4149860E-01  -1.4482721E-02   1.5044315E+00   3.8007808E-01
   5.4492295E-01  -3.0689627E-02   1.3211215E+00   3.7883604E-01
   5.4804564E-01  -1.6446242E-02   1.1093664E+00   3.7464121E-01
   5.5088151E-01  -3.3395060E-03   9.6903783E-01   3.6994442E-01
   5.5447632E-01  -3.1129366E-03   8.6967337E-01   3.6653924E-01
   5.5814672E-01  -9.5645599E-03   7.0067108E-01   3.6667639E-01
   5.6115901E-01  -3.0494571E-02   4.9987930E-01   3.6603874E-01
   5.6416035E-01   7.6975338E-03   3.7430021E-01   3.6556962E-01
   5.6828851E-01  -7.1448751E-02   1.9218008E-01   3.6437246E-01
   5.7140428E-01  -3.5230663E-02   1.1680796E-01   3.6092371E-01
   5.7444632E-01  -1.7734813E-02  -1.2881809E-01   3.6435807E-01
   5.7757813E-01   7.4961204E-03  -2.0426916E-01   3.6379454E-01
   5.8135939E-01  -4.1633833E-02  -3.9194050E-01   3.6386278E-01
   5.8429366E-01  -2.9992944E-02  -4.9603435E-01   3.6883327E-01
   5.8805281E-01  -2.7253833E-03  -7.2402138E-01   3.6837217E-01
   5.9162372E-01  -3.9450128E-02  -7.8964025E-01   3.6558732E-01
   5.9497964E-01  -1.7197104E-02  -9.9000639E-01   3.6622021E-01
   5.9794235E-01  -3.9564546E-02  -1.1328715E+00   3.6686710E-01
   6.0121012E-01  -1.4590137E-02  -1.2720892E+00   3.6680636E-01
   6.0433334E-01  -3.9236352E-02  -1.5452865E+00   3.6398003E-01
   6.0807133E-01  -3.6050458E-02  -1.5302866E+00   3.6824122E-01
   6.1149418E-01  -2.8486311E-02  -1.6142318E+00   3.7301865E-01
   6.1501950E-01  -3.5441726E-02  -1.8335922E+00   3.7586880E-01
   6.1807954E-01  -2.5845679E-02  -2.0139832E+00   3.7682009E-01
   6.2112725E-01  -3.9041784E-02  -2.1019018E+00   3.7921986E-01
   6.2465739E-01  -1.9007232E-02  -2.1135726E+00   3.8146415E-01
   6.2766802E-01  -4.5714065E-02  -2.2919359E+00   3.8307059E-01
   6.3182533E-01  -2.1090779E-02  -2.5369289E+00   3.8434741E-01
   6.3440877E-01  -2.5981041E-02  -2.5898495E+00   3.8322926E-01
   6.3815552E-01  -3.2457449E-02  -2.7183168E+00   3.8415655E-01
   6.4171576E-01  -7.4643254E-02  -2.7234962E+00   3.8797984E-01
   6.4494073E-01  -2.8448669E-02  -2.9436018E+00   3.8962370E-01
   6.4807701E-01  -2.4090344E-02  -3.0983648E+00   3.9469081E-01
   6.5133888E-01  -2.2562010E-02  -3.2423551E+00   3.9739761E-01
   6.5495712E-01  -1.5042491E-02  -3.3474455E+00   4.0434751E-01
   6.5821540E-01  -3.1336278E-02  -3.4130759E+00   4.0607122E-01
   6.6166031E-01  -2.0411165E-02  -3.5688944E+00   4.0875787E-01
   6.6438711E-01  -1.3100523E-02  -3.6414180E+00   4.0838268E-01
   6.6809130E-01  -1.9236831E-02  -3.7493761E+00   4.1308761E-01
   6.7100614E-01  -2.3054361E-02  -3.8709555E+00   4.1462940E-01
   6.7502052E-01  -1.7006001E-02  -3.9702177E+00   4.1723508E-01
   6.7797673E-01  -6.2762224E-03  -4.0796514E+00   4.1916412E-01
   6.8187082E-01  -3.2590054E-02  -4.4259353E+00   4.2474833E-01
   6.8468630E-01  -7.7675153E-03  -4.3030844E+00   4.2130503E-01
   6.8819392E-01  -1.7089767E-02  -4.2676358E+00   4.2467451E-01
   6.9173491E-01  -2.7854366E-02  -4.4131660E+00   4.3119705E-01
   6.9447654E-01  -3.1838242E-02  -4.8048606E+00   4.4191378E-01
   6.9817197E-01  -5.2770041E-03  -4.5334134E+00   4.3801475E-01
   7.0183676E-01  -1.5037076E-02  -4.6351247E+00   4.4257277E-01
   7.0457417E-01  -3.2204803E-02  -4.9810762E+00   4.4089720E-01
   7.0824194E-01   1.1537287E-02  -5.0142794E+00   4.4492075E-01
   7.1179259E-01  -2.3939416E-02  -5.0499444E+00   4.4313544E-01
   7.1526819E-01  -2.0673037E-02  -5.1089725E+00   4.4445771E-01
   7.1786153E-01  -8.2696928E-03  -5.1233940E+00   4.4408336E-01
   7.2139448E-01  -6.7551001E-03  -5.3332453E+00   4.5026112E-01
