  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   18:04:42  03/14/2024 ttgt     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       4     1001      1.033E-02      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.7689731E-01   1.1624827E-03   1.0349637E+01   1.9156182E+00
   2.8101158E-01   3.1105091E-03   1.0316319E+01   1.9159504E+00
   2.8494444E-01   1.8036267E-03   1.0189177E+01   1.9185482E+00
   2.8693482E-01   2.2477082E-03   1.0180057E+01   1.9186662E+00
   2.9086244E-01   1.8250392E-03   1.0181185E+01   1.9184480E+00
   2.9468617E-01  -5.2355779E-05   1.0007030E+01   1.9204367E+00
   2.9659271E-01   3.7398441E-03   9.9963045E+00   1.9206103E+00
   3.0034861E-01   4.5604198E-03   9.9739695E+00   1.9208672E+00
   3.0398107E-01   3.1324103E-03   9.9108744E+00   1.9211625E+00
   3.0749610E-01   5.0532795E-04   9.7904005E+00   1.9224094E+00
   3.1101546E-01   5.2083535E-03   9.6598196E+00   1.9237359E+00
   3.1445029E-01   3.1208252E-03   9.5395041E+00   1.9243649E+00
   3.1781030E-01   4.8562610E-03   9.4778748E+00   1.9247334E+00
   3.2105866E-01   3.7360140E-03   9.3671551E+00   1.9253335E+00
   3.2426497E-01   2.6219659E-03   9.2725420E+00   1.9259175E+00
   3.2743245E-01   2.5382035E-03   9.1703892E+00   1.9263970E+00
   3.3053941E-01   2.4182096E-03   9.0689697E+00   1.9268599E+00
   3.3359373E-01   3.7275720E-03   8.9265957E+00   1.9274467E+00
   3.3808202E-01   4.5253527E-03   8.7826033E+00   1.9280995E+00
   3.4098426E-01   1.4003310E-03   8.6700916E+00   1.9282703E+00
   3.4382981E-01   2.4324709E-03   8.5931215E+00   1.9284382E+00
   3.4802538E-01   3.5755823E-03   8.3872681E+00   1.9287925E+00
   3.5083932E-01   3.9966530E-03   8.2561722E+00   1.9290514E+00
   3.5360879E-01   2.7602825E-03   8.1918449E+00   1.9291446E+00
   3.5767394E-01   3.3734436E-03   8.0447512E+00   1.9290661E+00
   3.6029533E-01   3.5743946E-03   7.9534941E+00   1.9290316E+00
   3.6412838E-01   3.6044342E-03   7.7270899E+00   1.9292008E+00
   3.6785850E-01   4.3630805E-03   7.5797648E+00   1.9293231E+00
   3.7030506E-01   4.4598626E-03   7.5005374E+00   1.9292253E+00
   3.7392873E-01   5.8018663E-03   7.3605647E+00   1.9289764E+00
   3.7749994E-01   2.8020563E-03   7.2280707E+00   1.9289631E+00
   3.8101608E-01  -4.5372234E-04   7.0421200E+00   1.9291158E+00
   3.8451156E-01   7.2334320E-03   6.8631105E+00   1.9291711E+00
   3.8800448E-01   3.3786710E-04   6.7202344E+00   1.9291983E+00
   3.9138201E-01   1.4520730E-03   6.5841460E+00   1.9293554E+00
   3.9469087E-01   1.2599527E-03   6.4582500E+00   1.9293652E+00
   3.9792621E-01   4.5330197E-04   6.3548346E+00   1.9292653E+00
   4.0109608E-01  -4.3438619E-04   6.1353092E+00   1.9292473E+00
   4.0420541E-01   6.2412192E-04   6.0220246E+00   1.9293394E+00
   4.0726361E-01   9.5600111E-04   5.9132843E+00   1.9293469E+00
   4.1127121E-01  -7.1707473E-04   5.7187834E+00   1.9292750E+00
   4.1423041E-01  -1.6671584E-03   5.5459929E+00   1.9292984E+00
   4.1715673E-01  -2.8097460E-03   5.3900285E+00   1.9292411E+00
   4.2100468E-01  -3.6620689E-03   5.2767925E+00   1.9290689E+00
   4.2384839E-01  -3.9907391E-03   5.1383762E+00   1.9288625E+00
   4.2758712E-01  -4.8328862E-03   4.9265633E+00   1.9287839E+00
   4.3127266E-01  -4.5063556E-03   4.8193588E+00   1.9288069E+00
   4.3400443E-01  -6.4021358E-03   4.6654940E+00   1.9288481E+00
   4.3760481E-01  -6.4614955E-03   4.4950314E+00   1.9288654E+00
   4.4115931E-01  -6.6785570E-03   4.2889967E+00   1.9289705E+00
   4.4467148E-01  -7.1975668E-03   4.1823883E+00   1.9291091E+00
   4.4728097E-01  -8.0077490E-03   4.0841870E+00   1.9291621E+00
   4.5073316E-01  -9.1838641E-03   3.8046443E+00   1.9292227E+00
   4.5416364E-01  -6.0891281E-03   3.7405913E+00   1.9293748E+00
   4.5757607E-01  -9.1481777E-03   3.6275856E+00   1.9295508E+00
   4.6098024E-01  -9.8692393E-03   3.4373968E+00   1.9293356E+00
   4.6439207E-01  -1.1724834E-02   3.2135465E+00   1.9290826E+00
   4.6782336E-01  -9.8328004E-03   3.0490363E+00   1.9289335E+00
   4.7128174E-01  -1.1196614E-02   2.9223063E+00   1.9288765E+00
   4.7481757E-01  -1.6545491E-02   2.7981424E+00   1.9287947E+00
   4.7753897E-01  -1.4595771E-02   2.6744778E+00   1.9286693E+00
   4.8110464E-01  -1.7460644E-02   2.4249883E+00   1.9284095E+00
   4.8469663E-01  -1.0962006E-02   2.2575276E+00   1.9282527E+00
   4.8745689E-01  -1.1566324E-02   2.1916044E+00   1.9289514E+00
   4.9097973E-01  -8.7306974E-03   1.9779704E+00   1.9288059E+00
   4.9446118E-01  -1.6191732E-02   1.8958997E+00   1.9284031E+00
   4.9811608E-01  -2.5417995E-02   1.7249528E+00   1.9278445E+00
   5.0082242E-01  -1.9252870E-02   1.6350262E+00   1.9279327E+00
   5.0441897E-01  -1.0595948E-02   1.3682604E+00   1.9277354E+00
   5.0799197E-01  -1.7713910E-02   1.2884557E+00   1.9275301E+00
   5.1067716E-01  -1.5596842E-02   1.1905978E+00   1.9272263E+00
   5.1429015E-01  -1.3515065E-02   1.0504944E+00   1.9265618E+00
   5.1787782E-01  -1.1815085E-02   7.0792150E-01   1.9250270E+00
   5.2145153E-01  -3.4168597E-02   6.3103527E-01   1.9242091E+00
   5.2409172E-01  -1.5706109E-02   5.7314456E-01   1.9243954E+00
   5.2764213E-01  -1.1806043E-02   4.5313808E-01   1.9239722E+00
   5.3120536E-01  -2.2489194E-02   2.1987209E-01   1.9231379E+00
   5.3485811E-01  -1.4542442E-02   1.2605168E-01   1.9227176E+00
   5.3760260E-01  -2.2815323E-02  -5.6305367E-02   1.9221389E+00
   5.4115129E-01  -1.1592636E-02  -2.2685269E-01   1.9208766E+00
   5.4468709E-01  -9.0240585E-03  -3.5683110E-01   1.9208639E+00
   5.4821241E-01  -2.0448668E-02  -4.7158870E-01   1.9202909E+00
