  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:38:25  03/07/2024 ntjb     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.6654530E-01   3.8504417E-03   1.2051927E+01   1.9227344E+00
   2.7015805E-01   6.1657680E-03   1.1855165E+01   1.9277440E+00
   2.7370834E-01   6.6931178E-03   1.1929331E+01   1.9265285E+00
   2.7704322E-01   4.8256591E-03   1.1975978E+01   1.9259852E+00
   2.8047907E-01   3.5762824E-03   1.1680729E+01   1.9303443E+00
   2.8385988E-01   7.2001158E-03   1.1740664E+01   1.9302788E+00
   2.8719646E-01   5.7518533E-03   1.1730483E+01   1.9295335E+00
   2.9048598E-01   3.9599198E-03   1.1685045E+01   1.9296769E+00
   2.9373097E-01   3.5337636E-03   1.1417064E+01   1.9329273E+00
   2.9692930E-01   5.7313372E-03   1.1432588E+01   1.9324529E+00
   3.0005524E-01   6.9204527E-03   1.1459502E+01   1.9318328E+00
   3.0449668E-01   5.5668126E-03   1.1260690E+01   1.9330424E+00
   3.0746415E-01   9.3171364E-03   1.0841998E+01   1.9376644E+00
   3.1036183E-01   8.2331896E-03   1.0944551E+01   1.9368707E+00
   3.1460074E-01   5.7447841E-03   1.1024171E+01   1.9353833E+00
   3.1736892E-01   3.6151002E-03   1.0954866E+01   1.9351751E+00
   3.2008246E-01   6.9480147E-03   1.0797255E+01   1.9360272E+00
   3.2409355E-01   7.8781107E-03   1.0356298E+01   1.9393389E+00
   3.2799855E-01   6.0702064E-03   1.0560155E+01   1.9374158E+00
   3.3055356E-01   4.4603674E-03   1.0486856E+01   1.9373002E+00
   3.3428809E-01   6.5916302E-03   1.0039386E+01   1.9391232E+00
   3.3790344E-01   5.9796576E-03   9.8493299E+00   1.9397663E+00
   3.4025818E-01   7.7171940E-03   9.8426352E+00   1.9397640E+00
   3.4372884E-01   5.8485786E-03   9.7440767E+00   1.9395990E+00
   3.4714007E-01   6.0872794E-03   9.6214342E+00   1.9397897E+00
   3.5049042E-01   4.8033814E-03   9.3752480E+00   1.9403589E+00
   3.5375392E-01   7.2566094E-03   9.1311388E+00   1.9409094E+00
   3.5795015E-01   6.2599871E-03   9.0653315E+00   1.9406503E+00
   3.6103109E-01   4.8575299E-03   8.9315987E+00   1.9403970E+00
   3.6407748E-01   4.5235846E-03   8.7125015E+00   1.9406207E+00
   3.6709118E-01   4.7787237E-03   8.4780979E+00   1.9410278E+00
   3.7104279E-01   3.3570882E-03   8.3282242E+00   1.9409850E+00
   3.7395450E-01   7.4085784E-03   8.2581921E+00   1.9408203E+00
   3.7778300E-01   2.1013983E-04   8.0451527E+00   1.9405576E+00
   3.8062507E-01   1.5402719E-03   7.8328815E+00   1.9405361E+00
   3.8438430E-01   1.1626346E-03   7.6634498E+00   1.9404464E+00
   3.8717297E-01  -2.9863798E-04   7.5562558E+00   1.9402786E+00
   3.9085135E-01  -3.7502714E-03   7.3651843E+00   1.9400692E+00
   3.9450473E-01  -2.2888193E-03   7.2021585E+00   1.9399300E+00
   3.9721036E-01  -4.4690105E-03   7.0725751E+00   1.9398767E+00
   4.0076455E-01  -3.3884582E-03   6.7114668E+00   1.9397821E+00
