  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   15:28:01  03/14/2024 upci     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.6739609E-01   2.8539885E-02   8.6780214E+00   6.6108608E-01
   2.7052227E-01   8.2968613E-03   8.7568512E+00   6.4795399E-01
   2.7363911E-01   3.1816505E-02   8.8619518E+00   6.4867944E-01
   2.7750185E-01   1.4924460E-02   8.8068962E+00   6.6500026E-01
   2.8057069E-01   1.5137995E-02   8.7860956E+00   6.4093274E-01
   2.8360239E-01   3.6697038E-02   8.7804728E+00   6.3595790E-01
   2.8714874E-01   2.5793195E-02   8.9153900E+00   6.2896937E-01
   2.9035577E-01   2.6437093E-02   8.8207664E+00   6.2869817E-01
   2.9383591E-01   1.9329064E-02   8.8453417E+00   6.3257641E-01
   2.9747251E-01   7.9525309E-03   8.8111935E+00   6.2285203E-01
   3.0055878E-01   5.8901191E-02   8.7825918E+00   6.1337274E-01
   3.0369568E-01  -2.2049921E-02   8.7897463E+00   6.2050050E-01
   3.0767500E-01  -5.1483843E-02   8.8291330E+00   6.1252588E-01
   3.1040221E-01   5.9755273E-02   8.7818966E+00   6.1678016E-01
   3.1417769E-01   2.1251868E-02   8.7652283E+00   6.1123133E-01
   3.1707907E-01   2.0774227E-02   8.7607756E+00   6.1325902E-01
   3.2098719E-01   2.6383555E-02   8.6639919E+00   6.0235506E-01
   3.2396445E-01   1.7727505E-02   8.6568985E+00   6.0149717E-01
   3.2754344E-01   1.9905131E-02   8.6616926E+00   6.0288173E-01
   3.3069608E-01   2.1187928E-02   8.6993752E+00   6.0366791E-01
   3.3412820E-01   1.3714003E-02   8.6294050E+00   5.9550554E-01
   3.3754495E-01   2.6065374E-02   8.4535952E+00   5.8093125E-01
   3.4058261E-01   2.7433984E-02   8.3967009E+00   5.8058888E-01
   3.4435838E-01   1.4563079E-02   8.5058222E+00   5.6828862E-01
   3.4717086E-01   2.4771053E-02   8.4263391E+00   5.7344151E-01
