  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   13:53:40  12/14/2023 lwbb     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing p, p       
       1     1002      0.000E+00      1.688E+01
   time              p_1             p_2
   0.0000000E+00   4.1565483E+03   4.1488818E+03
   8.8658482E-03   4.1047827E+03   4.1513154E+03
   1.7294815E-02   4.2070742E+03   4.1999580E+03
   3.4903571E-02   4.2403286E+03   4.2325532E+03
   5.2376397E-02   4.2694150E+03   4.2611733E+03
   6.9814704E-02   4.2859370E+03   4.2772202E+03
   8.7074108E-02   4.3597979E+03   4.3501860E+03
   1.0006660E-01   4.3439639E+03   4.3341792E+03
   1.2209446E-01   4.4250278E+03   4.4143096E+03
   1.3867654E-01   4.4113154E+03   4.4001851E+03
   1.5531233E-01   4.4506089E+03   4.4384863E+03
   1.7225388E-01   4.4876060E+03   4.4745591E+03
   1.8893817E-01   4.5105322E+03   4.4964341E+03
   2.0441736E-01   4.5397793E+03   4.5244536E+03
   2.1802570E-01   4.5414512E+03   4.5248091E+03
   2.3700382E-01   4.6061611E+03   4.5883174E+03
   2.5470421E-01   4.5878218E+03   4.5680723E+03
   2.7028170E-01   4.6489194E+03   4.6283804E+03
   2.8506100E-01   4.6273638E+03   4.6049878E+03
   3.0337086E-01   4.6972754E+03   4.6743530E+03
   3.2052222E-01   4.6671055E+03   4.6420059E+03
   3.3683026E-01   4.7200317E+03   4.6947798E+03
   3.5633603E-01   4.6991050E+03   4.6719399E+03
   3.7136334E-01   4.7424302E+03   4.7164561E+03
   3.8967261E-01   4.7520483E+03   4.7246064E+03
   4.0398782E-01   4.7355337E+03   4.7068286E+03
   4.2148647E-01   4.7302158E+03   4.7034009E+03
   4.3828079E-01   4.7343623E+03   4.7060137E+03
   4.5729971E-01   4.7281514E+03   4.7009985E+03
   4.7099462E-01   4.7259419E+03   4.6998770E+03
   4.8831296E-01   4.7185659E+03   4.6934639E+03
   5.0578368E-01   4.7025068E+03   4.6791821E+03
   5.2338040E-01   4.6921069E+03   4.6706914E+03
   5.4143018E-01   4.6544932E+03   4.6365142E+03
   5.5551183E-01   4.6810063E+03   4.6627461E+03
   5.7324058E-01   4.6266846E+03   4.6122388E+03
   5.9084588E-01   4.6278950E+03   4.6151333E+03
   6.0808045E-01   4.5976343E+03   4.5874683E+03
   6.2356216E-01   4.5525625E+03   4.5451465E+03
   6.4097095E-01   4.5682480E+03   4.5623242E+03
   6.5681237E-01   4.4799575E+03   4.4776787E+03
   6.7517930E-01   4.4931836E+03   4.4924810E+03
   6.9313800E-01   4.4507280E+03   4.4524639E+03
   7.0776331E-01   4.4408628E+03   4.4442227E+03
   7.2713423E-01   4.3947690E+03   4.4002085E+03
   7.4306542E-01   4.3372148E+03   4.3440771E+03
   7.5931507E-01   4.3097583E+03   4.3176333E+03
   7.7693844E-01   4.3170537E+03   4.3258838E+03
   7.9446745E-01   4.2656929E+03   4.2754917E+03
   8.0810028E-01   4.2064868E+03   4.2169614E+03
   8.2967716E-01   4.1622329E+03   4.1735562E+03
   8.4200835E-01   4.1838096E+03   4.1953242E+03
   8.5877395E-01   4.1113774E+03   4.1229019E+03
   8.7833214E-01   4.1188882E+03   4.1317637E+03
   8.9617795E-01   4.0101985E+03   4.0234717E+03
   9.1340148E-01   4.0054229E+03   4.0203379E+03
   9.3050969E-01   4.0215835E+03   4.0381594E+03
   9.4338214E-01   4.0063457E+03   4.0244265E+03
   9.6069294E-01   3.9556580E+03   3.9753264E+03
   9.7765851E-01   3.9283162E+03   3.9498835E+03
   9.9544477E-01   3.9209700E+03   3.9446582E+03
   1.0134823E+00   3.8881057E+03   3.9132112E+03
   1.0301852E+00   3.8619062E+03   3.8880374E+03
   1.0457277E+00   3.8568496E+03   3.8837058E+03
   1.0617683E+00   3.8422468E+03   3.8691360E+03
   1.0788002E+00   3.8286960E+03   3.8549641E+03
   1.0970013E+00   3.8166440E+03   3.8419707E+03
   1.1151886E+00   3.8090542E+03   3.8328752E+03
   1.1323979E+00   3.7998127E+03   3.8219392E+03
   1.1484933E+00   3.7972383E+03   3.8179082E+03
   1.1632537E+00   3.7935212E+03   3.8122356E+03
   1.1804240E+00   3.7957188E+03   3.8134446E+03
   1.1995938E+00   3.7935994E+03   3.8085981E+03
   1.2148738E+00   3.8067856E+03   3.8208416E+03
   1.2316524E+00   3.7969470E+03   3.8097664E+03
   1.2498721E+00   3.8009448E+03   3.8118748E+03
   1.2668287E+00   3.8072964E+03   3.8167922E+03
   1.2829705E+00   3.8130891E+03   3.8213413E+03
   1.2998850E+00   3.8200303E+03   3.8267749E+03
   1.3179271E+00   3.8276772E+03   3.8332053E+03
   1.3327655E+00   3.8326724E+03   3.8372854E+03
   1.3492049E+00   3.8475242E+03   3.8507275E+03
   1.3668069E+00   3.8561006E+03   3.8581926E+03
   1.3838493E+00   3.8706477E+03   3.8714382E+03
   1.4007258E+00   3.8946184E+03   3.8941868E+03
   1.4175503E+00   3.8961191E+03   3.8948330E+03
   1.4344028E+00   3.9139446E+03   3.9117139E+03
   1.4533192E+00   3.9334380E+03   3.9302346E+03
