  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   11:55:37  02/12/2024 urib     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      997      0.000E+00      3.376E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.8630838E-01  -4.7079016E-02   1.1903401E+01   2.3220005E+00
   2.9068559E-01  -2.7564332E-02   1.1982752E+01   2.3204105E+00
   2.9353994E-01  -1.9874291E-02   1.2014359E+01   2.3171015E+00
   2.9772773E-01  -3.2349618E-03   1.2026118E+01   2.3130896E+00
   3.0045831E-01   3.5921540E-03   1.2003539E+01   2.3087716E+00
   3.0447823E-01  -3.0641861E-02   1.2014376E+01   2.3005273E+00
   3.0710411E-01   8.1537319E-03   1.1963216E+01   2.3032382E+00
   3.1096935E-01  -2.3818780E-02   1.2073282E+01   2.2967687E+00
   3.1350559E-01  -5.4879386E-02   1.1883122E+01   2.3004084E+00
   3.1732821E-01  -1.6511431E-02   1.2022146E+01   2.2963145E+00
   3.2102346E-01  -2.2843609E-02   1.2024329E+01   2.2954128E+00
   3.2380515E-01  -1.0527739E-02   1.2017186E+01   2.2943299E+00
   3.2687196E-01  -1.8169593E-02   1.1998319E+01   2.2905970E+00
   3.3025312E-01  -3.0633569E-02   1.1962811E+01   2.2867222E+00
   3.3425179E-01  -1.8258305E-02   1.1873738E+01   2.2857211E+00
   3.3790174E-01  -1.9415459E-02   1.1838285E+01   2.2853131E+00
   3.4064937E-01  -4.0153265E-02   1.1822007E+01   2.2880065E+00
   3.4367859E-01  -1.7745325E-02   1.1772899E+01   2.2918520E+00
   3.4701833E-01  -6.8685196E-02   1.1765694E+01   2.2892838E+00
   3.5155302E-01  -2.7922772E-02   1.1681768E+01   2.2844551E+00
   3.5478681E-01  -3.8442530E-02   1.1626554E+01   2.2839689E+00
   3.5835207E-01  -3.4453474E-02   1.1510857E+01   2.2852795E+00
   3.6228275E-01  -1.8315157E-02   1.1471348E+01   2.2735431E+00
   3.6427867E-01  -2.3494359E-02   1.1476517E+01   2.2750440E+00
   3.6738941E-01  -6.4241223E-02   1.1434978E+01   2.2708149E+00
   3.7209830E-01  -3.4480307E-02   1.1314949E+01   2.2708170E+00
   3.7553194E-01  -3.0191055E-02   1.1183590E+01   2.2642665E+00
   3.7737858E-01  -3.7377983E-02   1.1135131E+01   2.2584155E+00
   3.8102302E-01  -5.9248198E-02   1.0910955E+01   2.2592735E+00
   3.8443577E-01  -4.8169136E-02   1.0866256E+01   2.2576725E+00
   3.8767776E-01  -8.0377415E-02   1.0794381E+01   2.2548950E+00
   3.9215127E-01  -6.5499894E-02   1.0767035E+01   2.2521012E+00
   3.9501709E-01  -5.9384681E-02   1.0682350E+01   2.2502992E+00
   3.9780989E-01  -4.4445027E-02   1.0561277E+01   2.2485418E+00
   4.0190676E-01  -3.6761731E-02   1.0314527E+01   2.2606118E+00
   4.0458608E-01  -3.0761424E-02   1.0252187E+01   2.2469087E+00
   4.0856507E-01  -3.5060901E-02   1.0082140E+01   2.2337496E+00
   4.1128686E-01  -4.0140532E-02   1.0009766E+01   2.2343357E+00
   4.1551679E-01  -7.9405725E-02   9.9935675E+00   2.2286830E+00
   4.1830555E-01  -8.9396089E-02   9.8409472E+00   2.2360013E+00
   4.2260936E-01  -2.7480016E-02   9.5307369E+00   2.2171710E+00
   4.2556545E-01  -6.7501880E-02   9.3889666E+00   2.2187901E+00
   4.2845502E-01  -1.0026883E-01   9.2241707E+00   2.2179573E+00
   4.3146935E-01  -2.8187841E-02   9.2317848E+00   2.2176559E+00
   4.3537283E-01  -1.5456668E-02   9.0765438E+00   2.2186410E+00
   4.3945158E-01  -7.3281877E-02   8.9215708E+00   2.1939006E+00
   4.4247240E-01  -5.3905834E-02   8.6642656E+00   2.1950080E+00
   4.4578561E-01  -5.7544969E-02   8.5440807E+00   2.1778498E+00
   4.4911042E-01  -6.1888169E-02   8.3369541E+00   2.1908100E+00
   4.5237291E-01  -6.6906951E-02   8.0443993E+00   2.1657579E+00
   4.5632070E-01  -5.3280305E-02   7.8456984E+00   2.1826010E+00
   4.5889366E-01  -5.4867428E-02   7.7235050E+00   2.1803713E+00
   4.6254125E-01  -3.7560880E-02   7.4902334E+00   2.1631174E+00
   4.6621111E-01  -5.3052481E-02   7.2853408E+00   2.1551921E+00
   4.6947375E-01  -1.1013146E-01   7.0932083E+00   2.1481454E+00
   4.7289020E-01  -9.4180964E-02   7.0104337E+00   2.1472270E+00
   4.7648710E-01  -1.6089845E-02   6.7001781E+00   2.1416640E+00
   4.7898689E-01  -5.2533444E-02   6.5523376E+00   2.1414175E+00
   4.8320985E-01  -3.7273679E-02   6.2751369E+00   2.1306376E+00
   4.8612890E-01  -5.8230303E-02   6.1845460E+00   2.1259255E+00
   4.8902634E-01  -5.8316674E-02   5.9470258E+00   2.1172552E+00
   4.9333769E-01  -6.5811254E-02   5.6552796E+00   2.1147723E+00
   4.9619484E-01  -4.1391719E-02   5.4543343E+00   2.1061969E+00
   4.9904379E-01  -3.7848480E-02   5.3281479E+00   2.1033955E+00
   5.0330931E-01  -5.6043524E-02   5.1015406E+00   2.0973513E+00
   5.0615335E-01   2.8272071E-03   4.9360790E+00   2.1009357E+00
   5.1043320E-01  -4.6474293E-02   4.7179079E+00   2.0846918E+00
   5.1330417E-01  -6.3010715E-02   4.4625850E+00   2.0835483E+00
   5.1619971E-01  -4.9004339E-02   4.2095513E+00   2.0805454E+00
   5.2063072E-01  -9.9489100E-02   3.7772923E+00   2.0707328E+00
   5.2371275E-01   3.7863269E-02   3.6841469E+00   2.0667913E+00
   5.2702445E-01  -2.4107812E-02   3.4596584E+00   2.0623488E+00
   5.3031492E-01   1.7049525E-02   3.2518418E+00   2.0609720E+00
   5.3352875E-01  -4.8612703E-02   3.1154203E+00   2.0564733E+00
   5.3649241E-01  -1.4781243E-01   2.8480628E+00   2.0367975E+00
   5.3943419E-01  -1.1546388E-02   2.6637850E+00   2.0492613E+00
   5.4442185E-01  -5.1951919E-02   2.3527024E+00   2.0369482E+00
   5.4625338E-01  -6.8050019E-02   2.2688766E+00   2.0383728E+00
   5.5019569E-01  -5.9914827E-02   2.0649731E+00   2.0367682E+00
   5.5343103E-01  -5.9334427E-02   1.8375808E+00   2.0364134E+00
   5.5699795E-01  -6.2775940E-02   1.5792367E+00   2.0144413E+00
   5.6093055E-01  -2.7893463E-02   1.2462627E+00   2.0165095E+00
   5.6299263E-01  -5.3005675E-03   1.1843212E+00   2.0168657E+00
   5.6697351E-01  -7.2482444E-02   9.6831650E-01   2.0065210E+00
   5.7091808E-01  -1.2548299E-02   6.4155841E-01   1.9999869E+00
   5.7303947E-01  -1.1800630E-01   5.0275040E-01   2.0014236E+00
   5.7721233E-01  -8.7466631E-03   2.9111773E-01   1.9825146E+00
   5.8152074E-01   4.9208019E-02   3.5631608E-02   1.9920439E+00
   5.8359480E-01  -5.2597816E-03  -9.4751880E-02   1.9885161E+00
   5.8711535E-01  -1.3316527E-01  -4.8557314E-01   1.9637980E+00
   5.9066433E-01  -1.0534155E-01  -7.4245191E-01   1.9733921E+00
   5.9432673E-01  -5.2277120E-03  -8.2350016E-01   1.9540131E+00
   5.9813887E-01  -7.1771634E-03  -9.4807333E-01   1.9648046E+00
