  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   11:24:00  02/13/2024 cero     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.376E+00
   time              pfxob_1         pfyob_1         pfzob_1
   0.0000000E+00   8.8860532E-03   5.5154519E+00   2.2882769E+00
   1.4999404E-03  -4.8850715E-01  -2.8541736E+02   3.5560712E-01
   2.9248837E-03   2.4603365E-02   3.5687027E+00   2.2911398E+00
   6.9149034E-03   2.5040509E-02   4.7661839E+00   2.4549022E+00
   9.8214494E-03   2.2024494E-02   4.8594575E+00   2.4251130E+00
   1.3025917E-02   1.5618528E-02   4.9635544E+00   2.4076691E+00
   1.6558843E-02   1.8277613E-02   5.0501637E+00   2.3961558E+00
   2.0453893E-02   1.6104858E-02   5.1500511E+00   2.3999951E+00
   2.4748186E-02   1.4941687E-02   5.2673407E+00   2.4076231E+00
   2.7057678E-02   1.6285472E-02   5.3126774E+00   2.4043806E+00
   2.9482644E-02   1.8351633E-02   5.3680253E+00   2.3988488E+00
   3.4702383E-02   1.9347288E-02   5.4767318E+00   2.3999722E+00
   3.7509587E-02   2.2004860E-02   5.5452342E+00   2.3983388E+00
   4.0457148E-02   2.6663113E-02   5.6083312E+00   2.3977962E+00
   4.3552086E-02   1.7743208E-02   5.6774774E+00   2.3969305E+00
   4.6801772E-02   1.5863342E-02   5.7518940E+00   2.4010735E+00
   5.0157044E-02   9.3800751E-03   5.8437295E+00   2.4025080E+00
   5.3587954E-02   4.6883821E-03   5.9097533E+00   2.4018724E+00
   5.6875058E-02   9.0775853E-03   5.9863267E+00   2.4044223E+00
   6.0042705E-02   6.6990973E-03   6.0754957E+00   2.4088099E+00
   6.3117892E-02   1.6286744E-02   6.1615043E+00   2.4101286E+00
   6.6207893E-02   1.7258206E-03   6.2324314E+00   2.4091759E+00
   7.2422273E-02   6.4124390E-03   6.3964119E+00   2.4074593E+00
   7.5542964E-02   3.3342298E-03   6.4569898E+00   2.4079342E+00
   7.8548849E-02   8.7243272E-03   6.5299459E+00   2.4078581E+00
   8.1447177E-02   1.4351698E-02   6.6916609E+00   2.4144042E+00
   8.4417365E-02   1.5580549E-02   6.7385569E+00   2.4152932E+00
   8.7448984E-02   4.5044404E-03   6.7893124E+00   2.4137735E+00
   9.0336934E-02   7.5721354E-03   6.8454647E+00   2.4122691E+00
   9.3171969E-02   4.3600638E-04   6.9166017E+00   2.4111769E+00
   9.8996453E-02   7.6441825E-03   7.0961909E+00   2.4091070E+00
   1.0184859E-01   8.4237466E-03   7.2878509E+00   2.4189081E+00
   1.0484334E-01   1.0371290E-02   7.3175602E+00   2.4199073E+00
   1.0772708E-01   8.1335381E-03   7.3468008E+00   2.4187040E+00
   1.1058372E-01   8.8425409E-03   7.3916554E+00   2.4139185E+00
   1.1358320E-01  -2.2683804E-05   7.4616723E+00   2.4112911E+00
   1.1947527E-01   6.3767931E-03   7.6662593E+00   2.4085336E+00
   1.2241682E-01  -8.7438407E-04   7.8630953E+00   2.4155571E+00
