  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   19:27:43  02/12/2024 xsog     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.376E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.6331753E-01  -1.2244294E-02   8.4516211E+00  -4.5547080E-01
   2.6694423E-01  -7.5416728E-03   8.5124016E+00  -4.6935835E-01
   2.6982734E-01   9.2030494E-03   8.4874067E+00  -4.6299827E-01
   2.7344459E-01   3.9495714E-02   8.5259762E+00  -4.6546105E-01
   2.7693936E-01  -1.6032191E-02   8.5683928E+00  -4.7871959E-01
   2.8014976E-01  -2.1801693E-02   8.4741125E+00  -4.8517767E-01
   2.8381971E-01   1.8641777E-02   8.5611753E+00  -5.1967800E-01
   2.8677991E-01  -9.7271912E-03   8.5801563E+00  -5.2464706E-01
   2.9041415E-01  -1.5239851E-02   8.5284176E+00  -5.3839928E-01
   2.9399607E-01  -9.4596595E-03   8.5587435E+00  -5.3757375E-01
   2.9691428E-01  -1.9288778E-03   8.5612993E+00  -5.5839998E-01
   3.0059052E-01  -6.1158753E-05   8.5959940E+00  -5.5739135E-01
   3.0360177E-01  -1.5602265E-02   8.6296263E+00  -5.7567811E-01
   3.0729660E-01  -1.7072236E-02   8.4978371E+00  -5.5598527E-01
   3.1058681E-01  -1.2043066E-02   8.4861174E+00  -5.8550042E-01
   3.1384999E-01  -1.4507236E-02   8.5651445E+00  -5.9250915E-01
   3.1707430E-01  -1.2310849E-02   8.6191854E+00  -6.1304998E-01
   3.2102585E-01   3.2568533E-02   8.3522968E+00  -6.0881537E-01
   3.2418308E-01  -1.3037100E-02   8.4148903E+00  -6.0534680E-01
   3.2731953E-01  -2.3298774E-02   8.4706593E+00  -6.1847740E-01
   3.3084267E-01  -1.5737146E-02   8.4103632E+00  -6.2186074E-01
   3.3439967E-01  -2.4475062E-02   8.3637867E+00  -6.0202044E-01
   3.3750555E-01  -1.1688548E-02   8.3770514E+00  -6.1491191E-01
   3.4121665E-01  -2.0710669E-02   8.2556190E+00  -6.2647200E-01
   3.4432328E-01  -4.8282715E-03   8.2900562E+00  -6.2310785E-01
   3.4742680E-01  -5.7623633E-03   8.2671232E+00  -6.4186454E-01
   3.5116968E-01  -1.6151307E-02   8.1515064E+00  -6.4981365E-01
   3.5421965E-01   3.5255249E-03   8.1265621E+00  -6.4636552E-01
   3.5790434E-01  -6.0070930E-03   8.1182232E+00  -6.6602397E-01
   3.6116797E-01  -3.4687265E-03   7.9910936E+00  -6.7231524E-01
   3.6473304E-01   2.2458264E-03   7.9974155E+00  -6.7407727E-01
   3.6797574E-01   1.8423202E-02   7.9437199E+00  -7.0389718E-01
   3.7143525E-01   3.2881855E-03   7.8332748E+00  -6.8948233E-01
   3.7474588E-01  -2.1495007E-02   7.8459334E+00  -7.0831680E-01
   3.7842968E-01   1.4137208E-03   7.6764460E+00  -7.1820736E-01
   3.8155788E-01  -1.6483494E-04   7.5676913E+00  -7.2918284E-01
   3.8479307E-01   2.6603313E-02   7.6447730E+00  -7.5064260E-01
   3.8810027E-01  -2.2034865E-02   7.4851446E+00  -7.7418333E-01
   3.9191455E-01   1.1764623E-02   7.3973947E+00  -7.7334756E-01
   3.9510974E-01   9.0954835E-03   7.3534465E+00  -7.8284121E-01
   3.9806172E-01   9.0979701E-03   7.2347684E+00  -7.9333156E-01
   4.0168998E-01   1.4112592E-02   7.1500497E+00  -8.0134535E-01
   4.0524131E-01  -3.2917861E-02   7.1239343E+00  -8.1511635E-01
   4.0883061E-01   5.3905207E-04   6.9605069E+00  -8.3616078E-01
   4.1162562E-01  -1.2109183E-02   6.9630847E+00  -8.3591127E-01
   4.1525355E-01  -1.0283644E-02   6.7437353E+00  -8.9199007E-01
   4.1833428E-01   2.0449277E-02   6.7033620E+00  -8.5231298E-01
   4.2231134E-01   9.4652008E-03   6.5454321E+00  -8.8957822E-01
   4.2505527E-01   7.2999094E-03   6.5431161E+00  -9.0731502E-01
   4.2894843E-01   1.8256005E-02   6.3712864E+00  -9.3702614E-01
   4.3223289E-01   4.1148295E-03   6.2062912E+00  -9.4362319E-01
   4.3551373E-01   3.8540394E-03   6.1432986E+00  -9.5285594E-01
   4.3862191E-01   6.2854171E-02   6.0362864E+00  -9.8558140E-01
   4.4219890E-01  -1.7245743E-02   5.7179456E+00  -1.0293978E+00
   4.4569740E-01  -6.6227853E-02   5.4576373E+00  -1.0144589E+00
   4.4916242E-01   5.1459353E-02   5.4511442E+00  -1.0347673E+00
   4.5265695E-01   1.6762711E-02   5.4579449E+00  -1.0547941E+00
   4.5542830E-01   9.5275920E-03   5.3552146E+00  -1.0585296E+00
   4.5900509E-01  -4.7772368E-03   5.2052317E+00  -1.0816243E+00
   4.6239883E-01   4.2617586E-02   5.0003924E+00  -1.0913756E+00
   4.6606967E-01   2.8160764E-02   4.8620257E+00  -1.0844810E+00
   4.6970776E-01   7.1221944E-03   4.7291017E+00  -1.1283841E+00
   4.7246671E-01   2.0908065E-02   4.6390610E+00  -1.1244001E+00
   4.7606224E-01   1.6311644E-02   4.4926295E+00  -1.1506701E+00
   4.7966412E-01   3.4481925E-03   4.3160911E+00  -1.1791071E+00
   4.8237520E-01   1.0206497E-02   4.1585894E+00  -1.1743342E+00
   4.8605058E-01   1.9426998E-02   4.0285707E+00  -1.1957946E+00
   4.8977187E-01   1.2031442E-02   3.8868959E+00  -1.2193407E+00
   4.9260932E-01   2.0958781E-02   3.7169626E+00  -1.2288638E+00
   4.9650899E-01   1.4753418E-02   3.5516806E+00  -1.2443277E+00
   4.9963874E-01   1.6441770E-02   3.3903346E+00  -1.2588696E+00
   5.0284100E-01   1.4641984E-02   3.1022327E+00  -1.2702376E+00
   5.0604415E-01   1.7574318E-02   3.2483704E+00  -1.2901816E+00
   5.0925779E-01   1.4297875E-02   3.1092584E+00  -1.3067037E+00
   5.1353824E-01   1.3836756E-02   2.5600190E+00  -1.3229859E+00
   5.1698303E-01   1.8456437E-02   2.8031199E+00  -1.3461353E+00
   5.1998609E-01   5.4391753E-03   2.4827943E+00  -1.3476764E+00
   5.2313697E-01   2.7136784E-02   2.1830518E+00  -1.3726170E+00
   5.2676815E-01   1.0218095E-02   2.0850928E+00  -1.3814367E+00
   5.2967113E-01   1.1561660E-02   1.9356223E+00  -1.3904877E+00
   5.3386062E-01   4.1921460E-03   1.7621112E+00  -1.4193754E+00
   5.3707176E-01   1.6112437E-02   1.5822138E+00  -1.4207730E+00
   5.4025632E-01   1.2259110E-02   1.3638260E+00  -1.4282801E+00
   5.4358351E-01   1.4447561E-02   1.2704798E+00  -1.4457986E+00
   5.4696411E-01   2.1803237E-02   1.1000352E+00  -1.4501007E+00
   5.5038226E-01   1.2766427E-03   8.9231145E-01  -1.4712803E+00
   5.5382252E-01   5.7840939E-03   7.5550276E-01  -1.4781777E+00
   5.5723298E-01  -2.5857374E-04   5.5456591E-01  -1.4892654E+00
   5.6063551E-01   2.0362495E-02   3.8999584E-01  -1.4969645E+00
   5.6345296E-01   1.2536705E-02   2.6584601E-01  -1.5052789E+00
   5.6695867E-01   3.5980374E-02   6.2212866E-02  -1.5093381E+00
   5.7050884E-01   1.3351663E-02  -1.4116940E-01  -1.5138279E+00
   5.7410252E-01   6.1850101E-03  -2.9089978E-01  -1.5230362E+00
   5.7704014E-01   1.8192921E-02  -4.3507919E-01  -1.5275726E+00
   5.8076411E-01   1.5301912E-02  -5.9090739E-01  -1.5328785E+00
   5.8379340E-01   3.8399685E-03  -7.4126166E-01  -1.5316072E+00
   5.8740920E-01   2.5210550E-02  -9.8647344E-01  -1.5218658E+00
   5.9047961E-01   1.6230994E-03  -1.0648992E+00  -1.5382055E+00
   5.9398210E-01  -4.3675274E-02  -1.2030596E+00  -1.5321224E+00
   5.9767318E-01  -4.1489035E-02  -1.4529659E+00  -1.5321749E+00
   6.0046834E-01   1.4727929E-02  -1.5847343E+00  -1.5311818E+00
   6.0447657E-01   4.1113134E-02  -1.7648822E+00  -1.5225276E+00
   6.0776770E-01   2.3166142E-02  -1.9820304E+00  -1.5200193E+00
   6.1095572E-01   4.4725899E-02  -2.0423861E+00  -1.4930483E+00
   6.1433601E-01  -3.0101417E-04  -2.2070732E+00  -1.4787682E+00
   6.1794263E-01  -3.1699091E-02  -2.3234830E+00  -1.5072707E+00
   6.2100482E-01   7.1337060E-03  -2.4604998E+00  -1.4786992E+00
   6.2477994E-01   2.9380975E-02  -2.6056085E+00  -1.4699608E+00
   6.2778050E-01   2.9908039E-03  -2.7182989E+00  -1.4639626E+00
   6.3142866E-01   1.9422995E-02  -2.9991302E+00  -1.4497238E+00
   6.3454860E-01   7.4344543E-03  -3.0075951E+00  -1.4508048E+00
   6.3829291E-01  -9.1662857E-04  -3.1050889E+00  -1.4311917E+00
   6.4123327E-01   3.1255450E-02  -3.3133025E+00  -1.4176779E+00
   6.4517891E-01   1.5493488E-03  -3.4349556E+00  -1.3991008E+00
   6.4833277E-01   2.0080937E-02  -3.5204849E+00  -1.3838054E+00
   6.5162414E-01   1.1493991E-02  -3.6189823E+00  -1.3816820E+00
   6.5501589E-01   6.5790556E-02  -3.8151612E+00  -1.3673564E+00
   6.5853834E-01  -1.2203081E-01  -3.8920405E+00  -1.3301010E+00
   6.6181237E-01   8.1139438E-02  -3.9890306E+00  -1.3270376E+00
   6.6491556E-01  -1.3973000E-02  -4.1077604E+00  -1.3044516E+00
   6.6873115E-01   2.5428193E-02  -4.1882629E+00  -1.2715083E+00
   6.7174554E-01   3.1332679E-02  -4.3345008E+00  -1.2659011E+00
   6.7526561E-01   4.9061310E-02  -4.4257088E+00  -1.2342585E+00
   6.7886460E-01   1.0509073E-02  -4.4981709E+00  -1.2198721E+00
   6.8208921E-01   1.0172138E-02  -4.6171517E+00  -1.2063415E+00
   6.8540972E-01  -2.8432092E-02  -4.7471151E+00  -1.1856390E+00
   6.8886864E-01  -5.7892497E-03  -4.8203273E+00  -1.1657218E+00
   6.9242787E-01  -1.0676054E-02  -4.8874669E+00  -1.1486573E+00
   6.9585967E-01   3.9140094E-02  -5.0331545E+00  -1.1287349E+00
   6.9855350E-01  -2.3118118E-03  -5.0872235E+00  -1.1197536E+00
   7.0197165E-01   3.0803315E-02  -5.1349049E+00  -1.1126248E+00
   7.0524317E-01   2.0515641E-02  -5.2280493E+00  -1.0929782E+00
   7.0922238E-01   9.4394134E-03  -5.3277855E+00  -1.0756205E+00
   7.1215248E-01  -2.9152174E-02  -5.4434733E+00  -1.0493329E+00
   7.1597183E-01   1.3780351E-02  -5.5206852E+00  -1.0547916E+00
   7.1917349E-01  -2.1689497E-03  -5.5721426E+00  -1.0253007E+00
   7.2236079E-01  -2.2793902E-02  -5.6424475E+00  -1.0245150E+00
   7.2595388E-01  -1.4422737E-02  -5.6925669E+00  -1.0035428E+00
   7.2943026E-01   1.6591765E-02  -5.8266358E+00  -1.0037549E+00
   7.3225057E-01  -7.9065533E-03  -5.8379025E+00  -9.8111224E-01
   7.3589551E-01  -1.7224541E-02  -5.9238663E+00  -9.6491563E-01
   7.3905563E-01   2.4343207E-02  -5.9625707E+00  -9.5199913E-01
   7.4281883E-01  -8.9923199E-04  -6.0322018E+00  -9.2988312E-01
   7.4607790E-01  -9.9434759E-03  -6.0664778E+00  -9.0722418E-01
   7.4937230E-01  -1.1086936E-02  -6.1679549E+00  -8.9620006E-01
   7.5286800E-01  -5.5112448E-03  -6.2198901E+00  -8.8474995E-01
   7.5601178E-01   8.7164342E-03  -6.2617354E+00  -8.5244018E-01
   7.5977707E-01  -1.1241267E-02  -6.3360219E+00  -8.4722942E-01
   7.6304209E-01   5.2932594E-03  -6.3815532E+00  -8.3003324E-01
   7.6635557E-01  -2.4476188E-04  -6.4318228E+00  -8.1388777E-01
   7.6975626E-01   1.7755914E-02  -6.4776692E+00  -8.1180513E-01
   7.7323353E-01  -2.2488741E-02  -6.4948626E+00  -7.6984817E-01
   7.7653253E-01   1.0917946E-02  -6.5558357E+00  -7.5035673E-01
   7.7951765E-01   1.5692443E-02  -6.5959229E+00  -7.5008529E-01
   7.8305852E-01   9.9525321E-03  -6.6776490E+00  -7.2947234E-01
   7.8664196E-01   3.6357991E-02  -6.6447854E+00  -7.1376044E-01
   7.8995651E-01   1.5874039E-02  -6.7611670E+00  -6.9956100E-01
   7.9320103E-01   1.6428033E-03  -6.8184986E+00  -6.9251430E-01
   7.9685342E-01   2.7008098E-02  -6.7968869E+00  -6.7234093E-01
   7.9988575E-01  -1.4428400E-02  -6.8390784E+00  -6.6311532E-01
   8.0326557E-01   1.9913904E-02  -6.9003391E+00  -6.5858018E-01
   8.0654144E-01   2.9188810E-02  -6.9320931E+00  -6.3490784E-01
   8.0993301E-01  -6.0474430E-03  -6.9631495E+00  -6.2653333E-01
   8.1339699E-01   2.0779338E-02  -6.9666719E+00  -6.0751390E-01
   8.1672949E-01   1.3824684E-02  -7.0495772E+00  -6.0020673E-01
   8.2027477E-01  -1.1479190E-02  -7.0578036E+00  -5.9433168E-01
   8.2376134E-01   1.9150931E-02  -7.0743413E+00  -5.6622589E-01
   8.2719225E-01  -7.7395043E-03  -7.0889688E+00  -5.7079262E-01
   8.3057010E-01  -6.3667423E-04  -7.1472249E+00  -5.6212187E-01
   8.3389753E-01   9.3774283E-03  -7.1791883E+00  -5.4217792E-01
   8.3717680E-01  -2.4470370E-02  -7.2085748E+00  -5.4445547E-01
   8.4041011E-01   8.2241185E-03  -7.2141180E+00  -5.3075069E-01
   8.4426576E-01   4.8608206E-02  -7.2178979E+00  -5.2705622E-01
   8.4710342E-01   8.1415512E-03  -7.2640271E+00  -5.1654458E-01
   8.5092229E-01   4.7359165E-02  -7.2731667E+00  -4.8594257E-01
   8.5397720E-01   4.5765642E-02  -7.2986150E+00  -5.0206745E-01
   8.5763377E-01   8.7251574E-02  -7.2721462E+00  -4.7566628E-01
   8.6122423E-01  -1.9437816E-03  -7.3391275E+00  -4.6543610E-01
   8.6415899E-01  -1.5803602E-03  -7.3332357E+00  -4.6055886E-01
   8.6778212E-01   3.3018138E-02  -7.3635087E+00  -4.3846104E-01
   8.7135690E-01   2.5862325E-02  -7.3270316E+00  -4.4044650E-01
   8.7418330E-01   8.8995434E-03  -7.3689275E+00  -4.2410314E-01
   8.7767607E-01   1.6344268E-02  -7.3925848E+00  -4.1126731E-01
   8.8101602E-01   7.0491591E-03  -7.3692274E+00  -4.0001705E-01
   8.8422781E-01   1.7590528E-02  -7.3755646E+00  -3.9551553E-01
   8.8759255E-01  -1.3625120E-02  -7.3983459E+00  -3.8124266E-01
   8.9157367E-01   2.7587319E-02  -7.3594613E+00  -3.7835374E-01
   8.9486361E-01   9.7870771E-03  -7.4079771E+00  -3.6631697E-01
   8.9811820E-01   1.0849403E-03  -7.4455628E+00  -3.6392123E-01
   9.0133852E-01  -9.2806648E-03  -7.3859062E+00  -3.4763369E-01
   9.0452582E-01  -1.2216143E-02  -7.3765025E+00  -3.4700373E-01
   9.0830857E-01   1.2410144E-02  -7.4400935E+00  -3.4067446E-01
   9.1142702E-01   1.9029375E-02  -7.4300075E+00  -3.4632269E-01
   9.1512996E-01   1.4973706E-02  -7.3640361E+00  -3.3283943E-01
   9.1818422E-01   1.4478601E-02  -7.4317727E+00  -3.2505795E-01
   9.2181283E-01   3.3398509E-02  -7.4143968E+00  -3.2096541E-01
   9.2480713E-01   9.7230822E-03  -7.3597436E+00  -3.0382067E-01
   9.2836607E-01   1.3460295E-02  -7.3787761E+00  -2.9292038E-01
   9.3188888E-01   1.6670333E-03  -7.3813591E+00  -2.9532105E-01
   9.3537676E-01   5.3982899E-02  -7.2732358E+00  -2.7703744E-01
   9.3825752E-01   4.4585480E-03  -7.3276505E+00  -2.6853862E-01
   9.4168425E-01   4.1389060E-03  -7.3349438E+00  -2.5532824E-01
   9.4507921E-01  -2.2799717E-02  -7.2981367E+00  -2.5392655E-01
