  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   11:24:45  02/13/2024 txso     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.376E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.6336899E-01   5.6228396E-02   8.5654011E+00  -4.6211439E-01
   2.6680556E-01   3.6096167E-02   8.5494776E+00  -4.3734518E-01
   2.7034411E-01   5.7730123E-02   8.5531130E+00  -4.4986349E-01
   2.7339357E-01   4.2700570E-02   8.5423450E+00  -4.3182734E-01
   2.7642938E-01   3.6837883E-02   8.6059322E+00  -4.7689033E-01
   2.8011194E-01   1.2321419E-01   8.6494522E+00  -4.9772367E-01
   2.8353897E-01   5.3061500E-02   8.6117363E+00  -4.8595163E-01
   2.8715250E-01   7.7992618E-02   8.6307096E+00  -4.8858470E-01
   2.9012552E-01   4.3341763E-02   8.5389585E+00  -5.1813984E-01
   2.9389843E-01   5.6521349E-02   8.6126280E+00  -5.1713121E-01
   2.9736474E-01   4.9902789E-02   8.7279406E+00  -5.2996159E-01
   3.0069867E-01   6.7961276E-02   8.6898384E+00  -5.3522182E-01
   3.0391848E-01   6.9280364E-02   8.5575790E+00  -5.6297654E-01
   3.0724129E-01   8.7067932E-02   8.5357714E+00  -5.6199265E-01
   3.1050047E-01   8.1433475E-02   8.6144934E+00  -5.6915051E-01
   3.1369904E-01   8.0195986E-02   8.6773081E+00  -5.6245577E-01
   3.1744817E-01   1.0416305E-01   8.5730085E+00  -5.7440335E-01
   3.2095599E-01   3.4853473E-02   8.4386644E+00  -5.8189034E-01
   3.2407585E-01   1.0255982E-01   8.5902786E+00  -5.9179574E-01
   3.2740179E-01   8.1946582E-02   8.5311718E+00  -5.8168608E-01
   3.3065733E-01   1.1767768E-01   8.5120373E+00  -5.9180617E-01
   3.3409473E-01   1.1708276E-01   8.4144640E+00  -5.9354705E-01
   3.3761260E-01   8.3906628E-02   8.3883677E+00  -6.0062361E-01
   3.4121519E-01   1.1092208E-01   8.3799591E+00  -6.0363728E-01
   3.4434614E-01   7.8827985E-02   8.3066187E+00  -6.0225099E-01
   3.4783858E-01   1.0138572E-01   8.2982197E+00  -6.1367840E-01
   3.5133529E-01   8.5852377E-02   8.2660513E+00  -6.1192507E-01
   3.5454062E-01   1.1390650E-01   8.2035885E+00  -6.3870972E-01
   3.5763171E-01   1.0754680E-01   8.1401920E+00  -6.3849360E-01
   3.6105189E-01   1.2287851E-01   8.1764755E+00  -6.4657074E-01
   3.6496061E-01   9.2719689E-02   8.0593061E+00  -6.5840524E-01
   3.6828110E-01   1.4612578E-01   8.0099888E+00  -6.6916656E-01
   3.7164229E-01   6.4865626E-02   7.9187737E+00  -6.8598062E-01
   3.7500122E-01   8.7492734E-02   7.9001017E+00  -6.8774074E-01
   3.7791055E-01   1.0533465E-01   7.8620429E+00  -7.1169209E-01
   3.8121715E-01   9.4657831E-02   7.7008181E+00  -7.0955187E-01
   3.8508445E-01   8.6599693E-02   7.7019520E+00  -7.2206700E-01
   3.8800672E-01   6.6553168E-02   7.6261826E+00  -7.3314375E-01
   3.9157608E-01   9.6415743E-02   7.4734573E+00  -7.5544423E-01
   3.9523107E-01   8.4547430E-02   7.4664917E+00  -7.7092445E-01
   3.9844126E-01   9.8672047E-02   7.4014053E+00  -7.6429331E-01
   4.0196025E-01   1.0921288E-01   7.2807069E+00  -8.0044615E-01
   4.0505943E-01   7.8103751E-02   7.1733222E+00  -8.1374288E-01
   4.0822867E-01   6.5513015E-02   7.1633129E+00  -8.0958861E-01
   4.1175011E-01   1.0693824E-01   6.9576321E+00  -8.2697612E-01
   4.1531751E-01   1.0251743E-01   6.9314694E+00  -8.3307940E-01
   4.1829604E-01   1.0205477E-01   6.8094263E+00  -8.6314929E-01
   4.2208055E-01   1.2055438E-01   6.6653676E+00  -8.6816758E-01
   4.2548206E-01   1.5963820E-01   6.6703343E+00  -8.9470059E-01
   4.2890295E-01   1.6504577E-01   6.2982626E+00  -8.9370942E-01
   4.3220982E-01   1.0074994E-01   6.3469396E+00  -9.4925100E-01
   4.3571714E-01   1.6057441E-01   6.2948527E+00  -9.3804157E-01
   4.3882722E-01   1.7721571E-01   5.9737368E+00  -9.3373567E-01
   4.4218695E-01   1.0207090E-01   6.0685506E+00  -9.5847988E-01
   4.4548017E-01   1.2719439E-01   5.6859384E+00  -9.7884268E-01
   4.4893831E-01   1.1067864E-01   5.7328401E+00  -1.0051363E+00
   4.5250851E-01   2.6434354E-02   5.3777766E+00  -1.0030819E+00
   4.5582470E-01   1.3384359E-01   5.3972073E+00  -1.0388141E+00
   4.5899144E-01   1.1558043E-01   5.2928028E+00  -1.0490030E+00
   4.6214402E-01   9.4000265E-02   5.2226954E+00  -1.0652119E+00
   4.6555144E-01   1.3733689E-01   5.0141740E+00  -1.0835378E+00
   4.6895018E-01   1.2733854E-01   4.9090352E+00  -1.1087861E+00
   4.7303578E-01   1.0830144E-01   4.7052045E+00  -1.1231996E+00
   4.7620985E-01   1.3413598E-01   4.5593572E+00  -1.1296676E+00
   4.7964782E-01   1.3344300E-01   4.4416652E+00  -1.1640077E+00
   4.8264620E-01   1.2303017E-01   4.2967610E+00  -1.1681231E+00
   4.8630723E-01   1.2598148E-01   4.1222024E+00  -1.1861196E+00
   4.8986945E-01   1.2891884E-01   3.9109633E+00  -1.1979964E+00
   4.9266276E-01   1.4022674E-01   3.8468032E+00  -1.2116525E+00
   4.9607185E-01   9.6291251E-02   3.6954708E+00  -1.2215495E+00
   4.9938741E-01   1.2389948E-01   3.4962735E+00  -1.2458072E+00
   5.0332153E-01   1.1290643E-01   3.3361232E+00  -1.2575167E+00
   5.0651997E-01   9.1608390E-02   3.1603026E+00  -1.2676716E+00
   5.0964165E-01   1.0048751E-01   2.9883521E+00  -1.2793126E+00
   5.1291353E-01   1.1800931E-01   2.8221242E+00  -1.2963396E+00
   5.1640326E-01   1.1802830E-01   2.7271619E+00  -1.3086344E+00
   5.1985019E-01   8.3903365E-02   2.5643704E+00  -1.3037931E+00
   5.2352536E-01   1.0770919E-01   2.2806304E+00  -1.3450123E+00
   5.2646476E-01   1.0701766E-01   2.2098808E+00  -1.3560108E+00
   5.2992034E-01   1.1552516E-01   2.0638375E+00  -1.3617260E+00
   5.3366172E-01   1.0478473E-01   1.8105375E+00  -1.3623263E+00
   5.3673536E-01   8.0756165E-02   1.7128352E+00  -1.3838670E+00
   5.4033148E-01   8.9281112E-02   1.5667591E+00  -1.4067352E+00
   5.4326087E-01   9.0369344E-02   1.3252287E+00  -1.4092278E+00
   5.4688841E-01   8.1795700E-02   1.1555492E+00  -1.4122170E+00
   5.5028903E-01   7.5190820E-02   1.1434674E+00  -1.4326615E+00
   5.5376476E-01   6.7224339E-02   7.9050845E-01  -1.4293189E+00
   5.5710226E-01   4.9862206E-02   5.9769869E-01  -1.4465109E+00
   5.6037366E-01   5.3343471E-02   6.8759292E-01  -1.4522041E+00
   5.6410807E-01   4.7355026E-02   2.6992005E-01  -1.4671481E+00
   5.6739336E-01   4.0254008E-02   1.2022045E-01  -1.4750954E+00
   5.7073212E-01   1.9607840E-02   4.0177677E-02  -1.4811925E+00
   5.7412356E-01   4.3536540E-02  -9.3598932E-02  -1.4911671E+00
   5.7737327E-01   3.0551618E-02  -4.5117462E-01  -1.4916618E+00
   5.8047652E-01  -9.0333596E-03  -4.7948411E-01  -1.4990089E+00
   5.8398712E-01   3.0084081E-02  -5.7702553E-01  -1.4964229E+00
   5.8702183E-01   2.8756233E-02  -8.1590509E-01  -1.5043616E+00
   5.9097183E-01   1.4066513E-02  -1.0381733E+00  -1.5107791E+00
   5.9402663E-01   1.7304689E-02  -1.1150802E+00  -1.5090066E+00
   5.9757167E-01   1.2222371E-02  -1.2889147E+00  -1.5048004E+00
   6.0108066E-01   1.6561513E-03  -1.5163136E+00  -1.5044289E+00
   6.0415435E-01   1.4246178E-02  -1.6763042E+00  -1.5031440E+00
   6.0750610E-01   1.1571468E-02  -1.7515613E+00  -1.4956117E+00
   6.1141610E-01   2.0762956E-02  -1.9326020E+00  -1.4928390E+00
   6.1442709E-01   1.7482410E-03  -2.1385026E+00  -1.4792427E+00
   6.1771625E-01  -1.2067531E-03  -2.2696571E+00  -1.4682283E+00
   6.2148505E-01  -1.2667430E-02  -2.3771899E+00  -1.4543575E+00
   6.2435770E-01   1.8933881E-02  -2.5295956E+00  -1.4557846E+00
   6.2784046E-01  -5.9019495E-03  -2.7506919E+00  -1.4326639E+00
