  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   13:15:46  02/12/2024 gpju     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       5      505      1.034E-02      1.698E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.7686849E-01   5.4935418E-02   8.4772367E+00  -5.7950222E-01
   2.8015089E-01  -9.1302777E-03   8.5166140E+00  -5.4866618E-01
   2.8351077E-01   7.5951647E-03   8.5576763E+00  -5.3867102E-01
   2.8699091E-01  -9.2253424E-03   8.6156521E+00  -5.8456737E-01
   2.9044819E-01  -5.6005293E-03   8.5138760E+00  -5.7870984E-01
   2.9381338E-01  -5.8733029E-03   8.6034460E+00  -5.9445930E-01
   2.9720116E-01  -6.5172100E-03   8.6148663E+00  -6.0175222E-01
   3.0030623E-01  -6.6443230E-03   8.5355740E+00  -6.1479688E-01
   3.0397072E-01   2.1836467E-02   8.6390295E+00  -6.1655426E-01
   3.0701160E-01   4.6234811E-03   8.5719862E+00  -6.0475343E-01
   3.1063244E-01   3.7565324E-02   8.4190941E+00  -6.5995610E-01
   3.1384981E-01  -5.3435159E-03   8.5416470E+00  -6.2952393E-01
   3.1720665E-01   2.7140398E-03   8.5535774E+00  -6.5557140E-01
   3.2089874E-01   3.4353889E-03   8.4555731E+00  -6.6235673E-01
   3.2399589E-01   5.4530855E-03   8.3729095E+00  -6.7677104E-01
   3.2770565E-01  -5.6942832E-03   8.4349604E+00  -6.4868289E-01
   3.3094907E-01   1.0981802E-02   8.5156794E+00  -6.6074640E-01
   3.3417130E-01  -1.7221197E-02   8.3356094E+00  -6.6016954E-01
   3.3773836E-01  -1.4316534E-02   8.2594728E+00  -7.1140641E-01
   3.4118250E-01   5.1478911E-03   8.3152657E+00  -6.8329102E-01
   3.4402984E-01  -1.7253205E-02   8.2841511E+00  -7.2519565E-01
   3.4743774E-01  -6.4670667E-03   8.3138094E+00  -7.1284586E-01
   3.5141352E-01  -6.3731312E-03   8.2376118E+00  -7.1160704E-01
   3.5458899E-01  -1.9150209E-02   8.1295633E+00  -7.2956073E-01
   3.5764131E-01  -4.5880277E-02   8.0021095E+00  -7.3021203E-01
   3.6111066E-01   3.1880137E-02   8.0671110E+00  -7.4246007E-01
   3.6475345E-01  -3.6271042E-04   8.0940857E+00  -7.5804842E-01
   3.6787647E-01  -3.3835556E-02   7.9162426E+00  -7.5566792E-01
   3.7119567E-01  -3.6176774E-03   7.9104867E+00  -7.6731718E-01
   3.7505555E-01  -7.8581814E-03   7.7903709E+00  -7.7536416E-01
   3.7835783E-01  -5.9949514E-04   7.7393861E+00  -7.9309160E-01
   3.8159934E-01   1.8254807E-03   7.6598225E+00  -8.0386275E-01
   3.8487163E-01   3.5939098E-03   7.6669421E+00  -8.0456173E-01
   3.8796371E-01  -1.4944907E-02   7.5402799E+00  -8.2490391E-01
   3.9173082E-01  -2.5897354E-03   7.4291296E+00  -8.5532045E-01
   3.9487693E-01  -2.2841303E-02   7.2955008E+00  -8.6046201E-01
   3.9814290E-01   5.6937891E-03   7.2680616E+00  -8.5256648E-01
   4.0199560E-01   3.3923209E-02   7.1982546E+00  -9.0565968E-01
   4.0490320E-01  -6.5897987E-03   7.0837436E+00  -8.9590007E-01
   4.0880492E-01  -1.5020102E-02   7.0134397E+00  -9.0991718E-01
   4.1198534E-01   9.2882011E-03   6.8924732E+00  -9.3273199E-01
   4.1498029E-01   9.3830703E-03   6.8541985E+00  -9.3007964E-01
   4.1857997E-01  -1.2225924E-02   6.6437993E+00  -9.5984310E-01
   4.2217514E-01  -5.0003815E-02   6.5002098E+00  -9.4467050E-01
   4.2541951E-01   3.4980759E-02   6.5313592E+00  -9.6801496E-01
   4.2890829E-01   8.4872097E-03   6.3241558E+00  -1.0071206E+00
   4.3248314E-01   2.9072867E-04   6.1079507E+00  -1.0113337E+00
   4.3536514E-01  -6.6428892E-03   6.0818701E+00  -1.0294126E+00
   4.3859848E-01  -1.1144868E-02   6.0945907E+00  -1.0380974E+00
   4.4253802E-01   2.9860754E-04   5.8624301E+00  -1.0461709E+00
   4.4569424E-01  -3.0843688E-03   5.6861362E+00  -1.0788494E+00
   4.4921890E-01   2.8323425E-02   5.6132135E+00  -1.0703661E+00
   4.5259190E-01  -1.0793775E-02   5.3667641E+00  -1.0999413E+00
   4.5595524E-01  -7.3730261E-03   5.3529816E+00  -1.1137946E+00
   4.5890218E-01  -6.3288128E-03   5.2119355E+00  -1.1534759E+00
   4.6293479E-01  -2.5625030E-02   5.0111032E+00  -1.1531955E+00
   4.6616805E-01  -4.7629788E-03   4.8313699E+00  -1.1890597E+00
   4.6952865E-01  -3.5894912E-02   4.7598567E+00  -1.1771495E+00
   4.7250381E-01  -1.8836020E-02   4.5905962E+00  -1.2085459E+00
   4.7609442E-01  -8.3186626E-03   4.4769778E+00  -1.2123569E+00
   4.7911170E-01  -1.0141032E-02   4.3019300E+00  -1.2480180E+00
   4.8258981E-01  -1.7149389E-02   4.1744971E+00  -1.2521161E+00
   4.8604405E-01  -1.6251286E-02   4.0317755E+00  -1.2701175E+00
   4.8976782E-01  -2.0817365E-02   3.8233244E+00  -1.2897711E+00
   4.9260151E-01  -8.9220572E-03   3.7075350E+00  -1.3177111E+00
   4.9642369E-01  -1.6386615E-02   3.5108430E+00  -1.3269891E+00
   4.9935353E-01  -1.0703241E-02   3.3597715E+00  -1.3395716E+00
   5.0334352E-01  -1.6243532E-02   3.1988287E+00  -1.3464016E+00
   5.0627345E-01  -2.9702635E-02   3.0511506E+00  -1.3662810E+00
   5.0988519E-01  -1.1419519E-02   2.8326983E+00  -1.3802339E+00
   5.1339525E-01  -2.5039230E-02   2.7420571E+00  -1.3946712E+00
   5.1621526E-01  -2.6183546E-02   2.5319400E+00  -1.3952014E+00
   5.2032793E-01  -2.5324734E-02   2.3673701E+00  -1.4182276E+00
   5.2338779E-01  -2.7236372E-02   2.2546396E+00  -1.4287416E+00
   5.2655953E-01  -1.5594246E-02   2.0332940E+00  -1.4428110E+00
   5.2987605E-01  -1.5586151E-02   1.8194906E+00  -1.4697261E+00
   5.3333688E-01  -2.3308815E-02   1.7429224E+00  -1.4672185E+00
   5.3674650E-01  -2.6589094E-02   1.5296768E+00  -1.4964758E+00
   5.4032451E-01  -2.3273084E-02   1.2753986E+00  -1.4925619E+00
   5.4387087E-01  -4.1393608E-02   1.2016838E+00  -1.5173028E+00
   5.4688233E-01  -2.0689316E-02   1.0852131E+00  -1.5041541E+00
   5.4996258E-01  -2.6718128E-02   8.4019452E-01  -1.5158678E+00
   5.5387115E-01  -2.7387105E-02   6.7272705E-01  -1.5350678E+00
   5.5720031E-01  -2.3674496E-02   5.5935597E-01  -1.5451578E+00
   5.6065899E-01  -2.1117549E-02   3.3255908E-01  -1.5543044E+00
   5.6390637E-01  -3.4004271E-02   1.5311827E-01  -1.5655262E+00
   5.6745702E-01  -3.3925064E-02  -3.0703775E-03  -1.5639956E+00
   5.7027662E-01  -3.0914281E-02  -1.4757465E-01  -1.5760674E+00
   5.7357603E-01  -3.4280371E-02  -2.7704498E-01  -1.5746870E+00
   5.7726645E-01  -5.4194670E-02  -5.2632719E-01  -1.5814457E+00
   5.8070713E-01  -2.0298488E-03  -6.8389255E-01  -1.5871712E+00
   5.8429378E-01  -2.1359948E-02  -8.1079769E-01  -1.5830331E+00
   5.8725607E-01  -2.6463496E-02  -9.6613103E-01  -1.5966797E+00
   5.9118712E-01  -1.2482741E-02  -1.1431720E+00  -1.5850511E+00
   5.9458107E-01  -3.1787399E-02  -1.3690552E+00  -1.5811094E+00
   5.9734535E-01  -8.7728072E-03  -1.4483461E+00  -1.5847683E+00
   6.0137051E-01  -2.9018797E-02  -1.5865499E+00  -1.5870117E+00
   6.0418469E-01   4.8932363E-03  -1.7193348E+00  -1.5717593E+00
   6.0815835E-01  -2.7576908E-02  -1.9563217E+00  -1.5707004E+00
   6.1098886E-01  -2.4566540E-02  -2.0706553E+00  -1.5687026E+00
   6.1480182E-01  -1.5795801E-02  -2.1874692E+00  -1.5698701E+00
   6.1788493E-01  -3.6825270E-03  -2.3399539E+00  -1.5437437E+00
   6.2121487E-01   1.8161548E-02  -2.5263016E+00  -1.5451204E+00
   6.2422442E-01  -3.2625444E-02  -2.6343281E+00  -1.5375295E+00
   6.2824529E-01  -1.3997592E-02  -2.7869601E+00  -1.5152065E+00
   6.3124174E-01   9.4840759E-03  -2.9039190E+00  -1.5062575E+00
   6.3471305E-01  -4.6386875E-02  -3.0602341E+00  -1.4861706E+00
   6.3778579E-01   5.4322816E-03  -3.1379597E+00  -1.4780136E+00
   6.4138383E-01  -4.3528054E-02  -3.2737894E+00  -1.4634427E+00
   6.4465141E-01  -1.5892534E-02  -3.4202487E+00  -1.4445686E+00
   6.4822328E-01  -3.6522076E-02  -3.5243683E+00  -1.4324734E+00
   6.5176523E-01  -3.6737870E-02  -3.6370690E+00  -1.4167665E+00
   6.5495265E-01   2.2631565E-03  -3.7693698E+00  -1.4028910E+00
   6.5852207E-01  -5.9219776E-03  -3.9968624E+00  -1.3826168E+00
   6.6137993E-01  -2.4142142E-02  -4.0132632E+00  -1.3872492E+00
   6.6491383E-01  -1.6611295E-02  -4.0863500E+00  -1.3632936E+00
   6.6808426E-01  -2.4099879E-02  -4.2389483E+00  -1.3440984E+00
   6.7208511E-01   1.1414914E-02  -4.3589191E+00  -1.3078389E+00
   6.7521495E-01  -2.6463235E-02  -4.4003973E+00  -1.3025631E+00
   6.7870963E-01  -3.3082712E-02  -4.5322514E+00  -1.2903218E+00
   6.8173450E-01   3.0081375E-03  -4.6124444E+00  -1.2653881E+00
