  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   13:48:07  02/09/2024 bnvl     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.378E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.7367356E-01   2.7268376E-02   1.3262388E+01   3.5663576E+00
   2.7626634E-01   5.2421462E-02   1.3319687E+01   3.5654531E+00
   2.8013363E-01  -9.5574528E-02   1.3417038E+01   3.5690448E+00
   2.8400865E-01  -6.5660156E-02   1.3405035E+01   3.5575678E+00
   2.8660527E-01  -5.4265354E-03   1.3386273E+01   3.5567853E+00
   2.9050493E-01  -2.7135033E-02   1.3408489E+01   3.5568056E+00
   2.9312974E-01  -1.6319981E-02   1.3355036E+01   3.5553341E+00
   2.9708210E-01   7.0800511E-03   1.3341570E+01   3.5492098E+00
   3.0103636E-01  -1.4248717E-02   1.3324921E+01   3.5481868E+00
   3.0366915E-01  -4.2449817E-02   1.3257505E+01   3.5504341E+00
   3.0771083E-01  -1.3448839E-01   1.3278525E+01   3.5461919E+00
   3.1070834E-01  -7.5836152E-02   1.3297888E+01   3.5986981E+00
   3.1393316E-01   4.8533268E-02   1.3219654E+01   3.5709956E+00
   3.1690419E-01  -9.6698530E-02   1.3240823E+01   3.5661318E+00
   3.2098934E-01   2.4834096E-02   1.2984424E+01   3.5321274E+00
   3.2382119E-01  -4.4089440E-02   1.3025409E+01   3.5485952E+00
   3.2748175E-01  -2.8045259E-02   1.2390974E+01   3.5811796E+00
   3.3094722E-01  -2.5702968E-02   1.3471098E+01   3.5812395E+00
   3.3422548E-01  -9.4697969E-03   1.2772530E+01   3.4952393E+00
   3.3730379E-01  -6.6345766E-02   1.2404001E+01   3.5307236E+00
   3.4123260E-01   1.3355481E-02   1.2310287E+01   3.5281348E+00
   3.4409332E-01  -8.4124766E-02   1.2423977E+01   3.4907017E+00
   3.4776345E-01  -3.0489041E-02   1.2620075E+01   3.5297098E+00
   3.5089472E-01   6.6061015E-03   1.2649599E+01   3.4655859E+00
   3.5451952E-01  -6.5220885E-02   1.2397654E+01   3.5434582E+00
   3.5723242E-01  -5.4931235E-02   1.2136120E+01   3.5243061E+00
   3.6136705E-01  -6.3196890E-02   1.2001258E+01   3.5333035E+00
   3.6410451E-01  -5.2542210E-02   1.1855350E+01   3.5193343E+00
   3.6820477E-01  -8.1534006E-02   1.1753195E+01   3.5144486E+00
   3.7092736E-01  -3.8512461E-02   1.1716335E+01   3.5050123E+00
   3.7499267E-01  -8.0880761E-02   1.1550205E+01   3.4911032E+00
   3.7770134E-01  -7.2283812E-02   1.1495650E+01   3.4814396E+00
   3.8174769E-01  -5.0967619E-02   1.1395046E+01   3.4834816E+00
   3.8444594E-01  -9.0276070E-02   1.1301549E+01   3.4649460E+00
   3.8848686E-01  -6.7132287E-02   1.1127562E+01   3.4589562E+00
   3.9111811E-01  -7.5877257E-02   1.1018449E+01   3.4555693E+00
   3.9517343E-01  -8.6553477E-02   1.0790681E+01   3.4466989E+00
   3.9788595E-01   5.4104663E-03   1.0606344E+01   3.4434197E+00
   4.0196085E-01  -8.5858308E-02   1.0393270E+01   3.4426320E+00
   4.0468144E-01  -1.8965802E-01   1.0322316E+01   3.4390645E+00
   4.0877485E-01  -1.4530698E-02   1.0203643E+01   3.4382854E+00
   4.1150516E-01  -1.3378944E-01   1.0087342E+01   3.4420662E+00
   4.1561180E-01  -5.5568460E-02   9.8203831E+00   3.4353807E+00
   4.1835654E-01  -1.0325050E-01   9.7284651E+00   3.4290249E+00
   4.2249188E-01  -7.0607401E-02   9.5495319E+00   3.4192114E+00
   4.2529637E-01  -1.4896338E-01   9.4535837E+00   3.4246995E+00
   4.2812154E-01  -1.6152377E-01   9.2380323E+00   3.4010022E+00
   4.3245146E-01  -1.1539321E-01   8.5743752E+00   3.3950319E+00
   4.3564546E-01  -9.8976448E-02   8.3553448E+00   3.3811159E+00
   4.3869346E-01  -2.4572359E-01   8.5427170E+00   3.4027064E+00
   4.4258353E-01   1.3186587E-01   8.5594988E+00   3.3829467E+00
   4.4541612E-01  -1.2258194E-01   8.4602747E+00   3.3796127E+00
   4.4869515E-01  -2.1926931E-01   8.1406031E+00   3.3791015E+00
   4.5249107E-01   8.1511043E-02   7.5126672E+00   3.3758974E+00
   4.5534855E-01  -1.3227907E-01   7.3720388E+00   3.3651123E+00
   4.5849892E-01  -1.2588564E-01   7.2678943E+00   3.3657582E+00
   4.6177298E-01  -8.5098743E-02   7.0898962E+00   3.3567884E+00
   4.6662745E-01  -8.5469328E-02   6.9167562E+00   3.3547525E+00
   4.6983773E-01  -6.7702852E-02   6.6762323E+00   3.3514845E+00
   4.7304279E-01  -1.3902687E-01   6.4501867E+00   3.3417277E+00
   4.7625798E-01  -1.0871117E-01   6.1076674E+00   3.3323748E+00
   4.7945714E-01  -4.8822317E-02   6.0093279E+00   3.3313012E+00
   4.8262149E-01  -1.5369217E-01   5.6186056E+00   3.3190243E+00
   4.8577368E-01  -6.5210178E-02   5.3259444E+00   3.3213940E+00
   4.8890516E-01  -7.0944376E-02   5.2507997E+00   3.3175330E+00
   4.9345714E-01  -9.1290772E-02   5.1458774E+00   3.3108091E+00
   4.9651885E-01  -8.0842473E-02   4.7916274E+00   3.3103523E+00
   4.9960667E-01  -2.8208675E-02   4.6440983E+00   3.3052502E+00
   5.0272316E-01  -8.9412190E-02   4.4081755E+00   3.2985296E+00
   5.0586498E-01  -1.5060832E-02   4.2102375E+00   3.2918310E+00
   5.0904274E-01  -7.0539616E-02   3.9525285E+00   3.2905140E+00
   5.1384723E-01  -2.3192999E-01   3.5607114E+00   3.2831414E+00
   5.1702273E-01   2.1507178E-02   3.2103951E+00   3.2769608E+00
   5.2019000E-01  -5.1523261E-02   2.9856777E+00   3.2743480E+00
   5.2332634E-01  -1.0279512E-01   2.8257039E+00   3.2739308E+00
   5.2643508E-01  -1.1288034E-01   2.7211840E+00   3.2704341E+00
   5.2952504E-01  -7.9396911E-02   2.5384834E+00   3.2670088E+00
   5.3415740E-01   5.7488983E-03   2.2000844E+00   3.2606173E+00
   5.3749466E-01  -1.3113907E-01   1.9317096E+00   3.2606645E+00
   5.4085660E-01  -2.5536600E-01   1.6346143E+00   3.2456563E+00
   5.4414397E-01  -1.2772515E-01   1.4580346E+00   3.2525513E+00
   5.4736441E-01  -4.8497889E-02   1.2808141E+00   3.2526996E+00
   5.5050433E-01  -1.2127056E-01   1.0533961E+00   3.2482138E+00
   5.5356926E-01  -9.5980100E-02   8.1409615E-01   3.2439206E+00
   5.5654788E-01  -5.4924123E-02   5.7083350E-01   3.2399087E+00
   5.6085891E-01  -6.1128102E-03   4.1753715E-01   3.2339664E+00
   5.6362528E-01  -6.2685303E-02   2.0098573E-01   3.2413993E+00
   5.6763375E-01  -6.1865989E-02  -5.8475111E-02   3.2463808E+00
   5.7024497E-01  -1.2729469E-01  -1.6626297E-01   3.2321429E+00
   5.7411420E-01  -1.7760846E-01  -6.2202936E-01   3.2329628E+00
   5.7781219E-01   4.2644255E-02  -8.7988806E-01   3.2217119E+00
   5.8013535E-01  -7.3070638E-02  -9.4916058E-01   3.2230058E+00
   5.8367616E-01  -1.4615296E-01  -1.0071293E+00   3.2529061E+00
   5.8771825E-01  -1.6395219E-01  -1.4158810E+00   3.2246332E+00
   5.9076101E-01  -1.6130331E-01  -1.5930116E+00   3.2393224E+00
   5.9411567E-01  -7.7078700E-02  -1.8310843E+00   3.2316847E+00
   5.9775549E-01  -2.7348204E-02  -2.1326947E+00   3.2335374E+00
   6.0170662E-01  -1.5947612E-01  -2.3333759E+00   3.2345037E+00
   6.0379773E-01  -8.1036076E-02  -2.4090922E+00   3.2350273E+00
   6.0740209E-01  -1.7681886E-01  -2.5772243E+00   3.2373810E+00
   6.1108655E-01   1.7758979E-02  -2.7951517E+00   3.2319586E+00
   6.1513078E-01  -9.8894417E-02  -3.0321751E+00   3.2315669E+00
   6.1719412E-01  -1.4503200E-01  -3.2489223E+00   3.2324963E+00
   6.2126422E-01  -1.4660719E-01  -3.4740956E+00   3.2304971E+00
   6.2523824E-01  -2.1392912E-02  -3.5798635E+00   3.2260208E+00
   6.2718201E-01  -1.3907687E-01  -3.8199668E+00   3.2253113E+00
   6.3093925E-01  -1.4558147E-01  -3.9622898E+00   3.2273040E+00
   6.3458854E-01  -1.7327243E-02  -4.2040610E+00   3.2221339E+00
   6.3817483E-01  -1.3765071E-01  -4.4389100E+00   3.2209020E+00
   6.4158911E-01  -1.8073152E-01  -4.7165365E+00   3.2223837E+00
   6.4481336E-01  -2.1934050E-01  -4.8239369E+00   3.2176979E+00
   6.4782286E-01  -3.2393363E-01  -4.8387322E+00   3.2222893E+00
   6.5194851E-01  -1.4614844E-01  -5.2474647E+00   3.2269092E+00
   6.5480971E-01  -1.4070553E-01  -5.3242893E+00   3.2215323E+00
