  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   06:11:40  09/07/2023 qrjj     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob, pfob       
       1     1002      0.000E+00      2.280E+01
   time              pfxob_1         pfyob_1         pfzob_1         pfob_1
   1.3907607E+00  -4.6655848E-03   2.0150962E+00  -5.8587343E-01   2.0985429E+00
   1.4137892E+00  -1.7821165E-03   2.1121078E+00  -5.8985323E-01   2.1929271E+00
   1.4367685E+00  -1.6607499E-03   2.2232585E+00  -5.9575188E-01   2.3016953E+00
   1.4589381E+00  -5.3156179E-04   2.2874892E+00  -6.0273099E-01   2.3655636E+00
   1.4818292E+00   1.0395920E-04   2.3576994E+00  -6.0892951E-01   2.4350650E+00
   1.5046790E+00  -1.5443806E-02   2.4438162E+00  -6.1800349E-01   2.5207944E+00
   1.5274898E+00   1.0238882E-03   2.4722652E+00  -6.2691414E-01   2.5505133E+00
   1.5502242E+00   7.3411949E-03   2.6175778E+00  -6.3672388E-01   2.6939163E+00
   1.5731342E+00   9.8960213E-03   2.6788869E+00  -6.4340049E-01   2.7550857E+00
   1.5957040E+00   5.7543521E-03   2.7683971E+00  -6.5186852E-01   2.8441148E+00
   1.6186992E+00   3.9238962E-03   2.8691647E+00  -6.6226512E-01   2.9446080E+00
   1.6409885E+00   5.1219191E-04   2.9439297E+00  -6.7204052E-01   3.0196624E+00
   1.6641072E+00  -1.9467255E-03   3.0098376E+00  -6.7959177E-01   3.0856071E+00
   1.6871837E+00  -1.8173563E-03   3.0519266E+00  -6.8689084E-01   3.1282709E+00
   1.7096231E+00  -2.2839941E-03   3.0823159E+00  -6.9044381E-01   3.1587005E+00
   1.7320502E+00   8.0084731E-04   3.0863428E+00  -6.9670475E-01   3.1640022E+00
   1.7551155E+00  -7.0086005E-04   3.0732336E+00  -7.0014775E-01   3.1519792E+00
   1.7779120E+00   2.6957283E-03   3.0233340E+00  -7.0600587E-01   3.1046739E+00
   1.8010556E+00   5.4964223E-03   2.9702687E+00  -7.0932400E-01   3.0537956E+00
   1.8233954E+00   8.1580095E-03   2.8542039E+00  -7.1255559E-01   2.9418161E+00
   1.8470494E+00   7.9780445E-03   2.7910008E+00  -7.1337724E-01   2.8807387E+00
   1.8689940E+00   1.0425352E-02   2.6524458E+00  -7.1445876E-01   2.7470036E+00
   1.8925241E+00   9.4841197E-03   2.5250051E+00  -7.1473593E-01   2.6242309E+00
   1.9154826E+00   7.5501041E-03   2.3844299E+00  -7.1502906E-01   2.4893434E+00
   1.9377928E+00   6.3027190E-03   2.2081380E+00  -7.1386611E-01   2.3206718E+00
