  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   22:15:24  02/09/2024 jjxh     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      500      0.000E+00      1.688E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.7398559E-01   3.6952708E-02   1.1782906E+01   2.7909725E+00
   2.7727175E-01   3.6265627E-02   1.1843247E+01   2.7828739E+00
   2.8039947E-01   3.6828618E-02   1.1889175E+01   2.7788608E+00
   2.8364950E-01   1.3775329E-01   1.1934868E+01   2.7709479E+00
   2.8653893E-01   1.6568644E-02   1.1962732E+01   2.7738066E+00
   2.8988379E-01   7.2960071E-02   1.2035115E+01   2.7741580E+00
   2.9375589E-01   7.2517395E-02   1.2109689E+01   2.7643690E+00
   2.9667071E-01   1.5779257E-01   1.2181598E+01   2.7656944E+00
   2.9984528E-01   5.6677055E-02   1.2076563E+01   2.7476764E+00
   3.0317089E-01   1.0190477E-01   1.2014123E+01   2.7321582E+00
   3.0668181E-01   6.8652563E-02   1.2018188E+01   2.7352235E+00
   3.1106734E-01   3.4625400E-02   1.2002482E+01   2.7438226E+00
   3.1412816E-01   1.3105927E-01   1.1957124E+01   2.7527392E+00
   3.1738007E-01   4.0275395E-02   1.2106235E+01   2.7361078E+00
   3.2064471E-01   6.4582370E-02   1.2101317E+01   2.7352414E+00
   3.2383153E-01   4.3456282E-02   1.2059688E+01   2.7366679E+00
   3.2700837E-01   5.2684244E-02   1.1989013E+01   2.7351778E+00
   3.3159095E-01   5.2175343E-02   1.1945017E+01   2.7348785E+00
   3.3472255E-01   7.5792022E-02   1.1923555E+01   2.7307181E+00
   3.3778000E-01   7.6366678E-02   1.1842605E+01   2.7305102E+00
   3.4084010E-01   5.8872815E-02   1.1829200E+01   2.7222369E+00
   3.4401804E-01   9.2281356E-02   1.1809895E+01   2.7205191E+00
   3.4720287E-01   9.4711505E-02   1.1724741E+01   2.7230823E+00
   3.5187453E-01   6.1468579E-02   1.1680175E+01   2.7262785E+00
   3.5498321E-01   8.6969525E-02   1.1606763E+01   2.7248547E+00
   3.5805318E-01   1.5688083E-01   1.1570424E+01   2.7201552E+00
