  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   23:36:55  12/12/2023 tcgi     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing p, p       
       1     1002      0.000E+00      1.688E+01
   time              p_1             p_2
   0.0000000E+00   4.1561934E+03   4.1485239E+03
   8.8658482E-03   4.1057051E+03   4.1522939E+03
   1.7219579E-02   4.2075215E+03   4.2004009E+03
   3.4752045E-02   4.2401235E+03   4.2323467E+03
   5.2227523E-02   4.2694263E+03   4.2611880E+03
   6.9667466E-02   4.3149990E+03   4.3061328E+03
   8.4486015E-02   4.3289277E+03   4.3196201E+03
   9.9629782E-02   4.3627583E+03   4.3529268E+03
   1.1466561E-01   4.3653247E+03   4.3550415E+03
   1.3913472E-01   4.4085386E+03   4.3972837E+03
   1.4796476E-01   4.4451914E+03   4.4335430E+03
   1.6555588E-01   4.4725845E+03   4.4599980E+03
   1.8267162E-01   4.5037236E+03   4.4900200E+03
   2.0528187E-01   4.5292129E+03   4.5137100E+03
   2.1962102E-01   4.5512373E+03   4.5345742E+03
   2.3850942E-01   4.5951523E+03   4.5770693E+03
   2.5522247E-01   4.5916167E+03   4.5718154E+03
   2.7044240E-01   4.6360239E+03   4.6152852E+03
   2.8894860E-01   4.6353652E+03   4.6126196E+03
   3.0201176E-01   4.6442544E+03   4.6209370E+03
   3.2227987E-01   4.6946455E+03   4.6698774E+03
   3.3787444E-01   4.6882705E+03   4.6622012E+03
   3.5345596E-01   4.7167793E+03   4.6902822E+03
   3.7042916E-01   4.7158682E+03   4.6882549E+03
   3.8835800E-01   4.7285098E+03   4.7007764E+03
   4.0434465E-01   4.7270605E+03   4.6986997E+03
   4.2199004E-01   4.7304844E+03   4.7023491E+03
   4.3966287E-01   4.7333901E+03   4.7059683E+03
   4.5619172E-01   4.7181729E+03   4.6916943E+03
   4.7283792E-01   4.7261294E+03   4.6995142E+03
   4.9018261E-01   4.7174780E+03   4.6925723E+03
   5.0542545E-01   4.7004370E+03   4.6772998E+03
   5.2447975E-01   4.6916289E+03   4.6704897E+03
   5.3878945E-01   4.6817729E+03   4.6622065E+03
   5.5678952E-01   4.6600884E+03   4.6428887E+03
   5.7350242E-01   4.6446904E+03   4.6295767E+03
