  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   20:48:56  12/14/2023 ntjb     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing p, p       
       1     1002      0.000E+00      1.680E+01
   time              p_1             p_2
   0.0000000E+00   4.2076421E+03   4.1579072E+03
   3.9440678E-03   3.7981404E+03   4.1054233E+03
   1.7082628E-02   4.2730908E+03   4.2212402E+03
   3.2900363E-02   4.3013804E+03   4.2488452E+03
   5.1187448E-02   4.3287964E+03   4.2759736E+03
   6.7223571E-02   4.3583818E+03   4.3044214E+03
   8.2928948E-02   4.3926631E+03   4.3371895E+03
   1.0074759E-01   4.4245000E+03   4.3680581E+03
   1.1829485E-01   4.4456128E+03   4.3881860E+03
   1.3452648E-01   4.4801265E+03   4.4209604E+03
   1.5180665E-01   4.5108145E+03   4.4500059E+03
   1.6893892E-01   4.5400278E+03   4.4774229E+03
   1.8426019E-01   4.5640991E+03   4.5000566E+03
   2.0076287E-01   4.5927939E+03   4.5270669E+03
   2.1766694E-01   4.6177397E+03   4.5502603E+03
   2.3537122E-01   4.6411040E+03   4.5719102E+03
   2.5117812E-01   4.6623018E+03   4.5917593E+03
   2.6879695E-01   4.6827876E+03   4.6107373E+03
   2.8542230E-01   4.7050601E+03   4.6318325E+03
   3.0234534E-01   4.7155088E+03   4.6414409E+03
   3.1863740E-01   4.7291978E+03   4.6548823E+03
   3.3638147E-01   4.7425874E+03   4.6679814E+03
   3.5234332E-01   4.7499043E+03   4.6754873E+03
   3.6905959E-01   4.7566064E+03   4.6827959E+03
   3.8654059E-01   4.7599062E+03   4.6869785E+03
   4.0351364E-01   4.7600142E+03   4.6892515E+03
   4.2040306E-01   4.7596963E+03   4.6902554E+03
   4.3611404E-01   4.7561162E+03   4.6886055E+03
   4.5313978E-01   4.7505981E+03   4.6860366E+03
   4.7113502E-01   4.7384868E+03   4.6781440E+03
   4.8622552E-01   4.7209580E+03   4.6658286E+03
   5.0473154E-01   4.7125532E+03   4.6598452E+03
   5.2114362E-01   4.7014331E+03   4.6517964E+03
   5.3717053E-01   4.6796030E+03   4.6348989E+03
   5.5384386E-01   4.6634126E+03   4.6230444E+03
   5.7184392E-01   4.6372866E+03   4.6019463E+03
   5.8875406E-01   4.6154546E+03   4.5844233E+03
   6.0525876E-01   4.5833174E+03   4.5577241E+03
   6.2147272E-01   4.5638813E+03   4.5419771E+03
   6.3843966E-01   4.5316870E+03   4.5143813E+03
   6.5493602E-01   4.5040005E+03   4.4904766E+03
   6.7161447E-01   4.4794185E+03   4.4684619E+03
   6.8823230E-01   4.4432607E+03   4.4365430E+03
   7.0471287E-01   4.4181978E+03   4.4138286E+03
   7.2288930E-01   4.3817998E+03   4.3801167E+03
   7.3875076E-01   4.3449292E+03   4.3455166E+03
   7.5560319E-01   4.3177432E+03   4.3198867E+03
   7.7338672E-01   4.2847354E+03   4.2877119E+03
   7.8992063E-01   4.2487769E+03   4.2531890E+03
   8.0595613E-01   4.2139961E+03   4.2187925E+03
   8.2304311E-01   4.1886743E+03   4.1933022E+03
   8.4080815E-01   4.1515322E+03   4.1561426E+03
   8.5636014E-01   4.1177783E+03   4.1219097E+03
   8.7387389E-01   4.0964722E+03   4.0995049E+03
   8.9057326E-01   4.0681946E+03   4.0701230E+03
   9.0700781E-01   4.0420769E+03   4.0428594E+03
   9.2416096E-01   4.0212292E+03   4.0204126E+03
   9.4101697E-01   4.0020786E+03   3.9995422E+03
   9.5785564E-01   3.9716775E+03   3.9677681E+03
   9.7490543E-01   3.9567615E+03   3.9505002E+03
   9.9059999E-01   3.9389062E+03   3.9308704E+03
   1.0084555E+00   3.9227559E+03   3.9125647E+03
   1.0249801E+00   3.9055549E+03   3.8930686E+03
   1.0419792E+00   3.8956282E+03   3.8811987E+03
   1.0581133E+00   3.8834482E+03   3.8668447E+03
   1.0756670E+00   3.8736958E+03   3.8547224E+03
   1.0913978E+00   3.8653584E+03   3.8445962E+03
   1.1082217E+00   3.8589089E+03   3.8361741E+03
   1.1262475E+00   3.8523230E+03   3.8273740E+03
   1.1426392E+00   3.8490715E+03   3.8220779E+03
   1.1594392E+00   3.8470691E+03   3.8183596E+03
   1.1760572E+00   3.8458635E+03   3.8156697E+03
   1.1925262E+00   3.8452458E+03   3.8135530E+03
   1.2088711E+00   3.8460881E+03   3.8128557E+03
   1.2265830E+00   3.8478318E+03   3.8135659E+03
   1.2427260E+00   3.8511462E+03   3.8155598E+03
   1.2601755E+00   3.8554773E+03   3.8187942E+03
   1.2765834E+00   3.8603801E+03   3.8228401E+03
   1.2931265E+00   3.8677815E+03   3.8293660E+03
   1.3109291E+00   3.8750798E+03   3.8362036E+03
   1.3276044E+00   3.8828774E+03   3.8434119E+03
   1.3443629E+00   3.8938840E+03   3.8534287E+03
   1.3611913E+00   3.9045540E+03   3.8638147E+03
   1.3770330E+00   3.9164072E+03   3.8748992E+03
   1.3938122E+00   3.9276104E+03   3.8859915E+03
   1.4108990E+00   3.9407764E+03   3.8987695E+03
   1.4279591E+00   3.9581733E+03   3.9154072E+03
   1.4449954E+00   3.9704883E+03   3.9278792E+03
   1.4620104E+00   3.9894729E+03   3.9460916E+03
   1.4790063E+00   4.0064531E+03   3.9628162E+03
   1.4958971E+00   4.0203813E+03   3.9769531E+03
   1.5122150E+00   4.0429875E+03   3.9984089E+03
   1.5291667E+00   4.0618403E+03   4.0169792E+03
   1.5461069E+00   4.0818342E+03   4.0365579E+03
   1.5626754E+00   4.1074194E+03   4.0613181E+03
   1.5793923E+00   4.1251699E+03   4.0789832E+03
   1.5961980E+00   4.1524487E+03   4.1042642E+03
   1.6131355E+00   4.1767524E+03   4.1271470E+03
   1.6296214E+00   4.1993970E+03   4.1491899E+03
   1.6465294E+00   4.2221172E+03   4.1707285E+03
   1.6634395E+00   4.2534390E+03   4.1998892E+03
   1.6803477E+00   4.2762271E+03   4.2214565E+03
   1.6972396E+00   4.3036968E+03   4.2471260E+03
   1.7141211E+00   4.3238340E+03   4.2655928E+03
   1.7309976E+00   4.3552695E+03   4.2945366E+03
   1.7478738E+00   4.3823892E+03   4.3192461E+03
   1.7633445E+00   4.4066123E+03   4.3415049E+03
   1.7801600E+00   4.4282051E+03   4.3606719E+03
   1.7976650E+00   4.4573706E+03   4.3871714E+03
   1.8150063E+00   4.4806387E+03   4.4079741E+03
   1.8320053E+00   4.5061655E+03   4.4310215E+03
   1.8479320E+00   4.5329668E+03   4.4551943E+03
   1.8640381E+00   4.5471484E+03   4.4676367E+03
