  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   12:11:24  12/15/2023 xhtx     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing p, p       
       1     1002      0.000E+00      1.680E+01
   time              p_1             p_2
   1.7976794E+00   4.4737188E+03   4.4030049E+03
   1.8145767E+00   4.5095103E+03   4.4358184E+03
   1.8311200E+00   4.5016860E+03   4.4261567E+03
   1.8478483E+00   4.5562095E+03   4.4808730E+03
   1.8647504E+00   4.5768579E+03   4.4898193E+03
   1.8819664E+00   4.5725674E+03   4.4927910E+03
   1.8982158E+00   4.6013296E+03   4.5175391E+03
   1.9154752E+00   4.6163540E+03   4.5307100E+03
   1.9324474E+00   4.6369604E+03   4.5495811E+03
   1.9491580E+00   4.6508687E+03   4.5617549E+03
   1.9658290E+00   4.6658179E+03   4.5752007E+03
   1.9825106E+00   4.6734155E+03   4.5812803E+03
   1.9994819E+00   4.6911655E+03   4.5984404E+03
   2.0161347E+00   4.6970542E+03   4.6044922E+03
   2.0322049E+00   4.6993979E+03   4.6055986E+03
   2.0499644E+00   4.7029150E+03   4.6096968E+03
   2.0669417E+00   4.7048926E+03   4.6123862E+03
   2.0833244E+00   4.7005249E+03   4.6087656E+03
   2.1003821E+00   4.6973091E+03   4.6068984E+03
   2.1164918E+00   4.6898911E+03   4.6011191E+03
   2.1335077E+00   4.6806929E+03   4.5935220E+03
   2.1507330E+00   4.6637402E+03   4.5801919E+03
   2.1670432E+00   4.6399595E+03   4.5618564E+03
   2.1841238E+00   4.6325688E+03   4.5549634E+03
   2.2008066E+00   4.6081719E+03   4.5365522E+03
   2.2175076E+00   4.5871416E+03   4.5178906E+03
   2.2347479E+00   4.5565552E+03   4.4924194E+03
   2.2510943E+00   4.5432251E+03   4.4831436E+03
   2.2675986E+00   4.4971655E+03   4.4423018E+03
   2.2844515E+00   4.4770386E+03   4.4263657E+03
   2.3010237E+00   4.4409980E+03   4.3951934E+03
   2.3180091E+00   4.4006831E+03   4.3600776E+03
   2.3345661E+00   4.3678701E+03   4.3310381E+03
   2.3522503E+00   4.3238247E+03   4.2916108E+03
   2.3684640E+00   4.2940298E+03   4.2650239E+03
   2.3859606E+00   4.2517817E+03   4.2268599E+03
   2.4023159E+00   4.2116729E+03   4.1896494E+03
   2.4198143E+00   4.1740713E+03   4.1554258E+03
   2.4363480E+00   4.1328677E+03   4.1166138E+03
   2.4526160E+00   4.0969932E+03   4.0829529E+03
   2.4698005E+00   4.0487922E+03   4.0370996E+03
   2.4870059E+00   4.0217712E+03   4.0108269E+03
   2.5029330E+00   3.9889048E+03   3.9787549E+03
   2.5205164E+00   3.9373523E+03   3.9289714E+03
   2.5366609E+00   3.9108359E+03   3.9025679E+03
   2.5537782E+00   3.8760085E+03   3.8680701E+03
   2.5708954E+00   3.8391472E+03   3.8315676E+03
   2.5869427E+00   3.8099668E+03   3.8022466E+03
   2.6040599E+00   3.7800469E+03   3.7720295E+03
   2.6211772E+00   3.7514023E+03   3.7430146E+03
   2.6372244E+00   3.7241116E+03   3.7154072E+03
   2.6543417E+00   3.6969119E+03   3.6876108E+03
   2.6714590E+00   3.6734226E+03   3.6633088E+03
   2.6875062E+00   3.6528594E+03   3.6419883E+03
   2.7046235E+00   3.6318284E+03   3.6202119E+03
   2.7217405E+00   3.6085435E+03   3.5959834E+03
   2.7388577E+00   3.5904092E+03   3.5769573E+03
   2.7549052E+00   3.5633489E+03   3.5488406E+03
   2.7720222E+00   3.5577314E+03   3.5429507E+03
   2.7891395E+00   3.5424819E+03   3.5261130E+03
   2.8051870E+00   3.5241729E+03   3.5064270E+03
   2.8223040E+00   3.5223171E+03   3.5037498E+03
   2.8394213E+00   3.5172502E+03   3.4973833E+03
   2.8554688E+00   3.5038901E+03   3.4836086E+03
   2.8725858E+00   3.5048801E+03   3.4839812E+03
   2.8897030E+00   3.4946211E+03   3.4711755E+03
   2.9068203E+00   3.4928564E+03   3.4695430E+03
   2.9228675E+00   3.4914661E+03   3.4669644E+03
   2.9399848E+00   3.4939536E+03   3.4684338E+03
   2.9571021E+00   3.4899724E+03   3.4639270E+03
   2.9731493E+00   3.4918931E+03   3.4644517E+03
   2.9900570E+00   3.4940754E+03   3.4656792E+03
   3.0067675E+00   3.4938887E+03   3.4653879E+03
   3.0238593E+00   3.5002979E+03   3.4699690E+03
   3.0409763E+00   3.5103787E+03   3.4778896E+03
   3.0580935E+00   3.5153325E+03   3.4820591E+03
   3.0742178E+00   3.5295632E+03   3.4949060E+03
   3.0908136E+00   3.5451982E+03   3.5081260E+03
   3.1078298E+00   3.5499194E+03   3.5126001E+03
   3.1252470E+00   3.5673267E+03   3.5277375E+03
   3.1412017E+00   3.5725723E+03   3.5327205E+03
   3.1585343E+00   3.6044626E+03   3.5613645E+03
   3.1754014E+00   3.6275215E+03   3.5812090E+03
   3.1918564E+00   3.6357632E+03   3.5890933E+03
   3.2092245E+00   3.6368943E+03   3.5894619E+03
   3.2261362E+00   3.6867563E+03   3.6339019E+03
   3.2416322E+00   3.7106658E+03   3.6553040E+03
   3.2595699E+00   3.7278357E+03   3.6705620E+03
   3.2755640E+00   3.7444360E+03   3.6842805E+03
   3.2928095E+00   3.7778540E+03   3.7138813E+03
   3.3097668E+00   3.8121914E+03   3.7436438E+03
   3.3264925E+00   3.8351724E+03   3.7631506E+03
   3.3430266E+00   3.8670200E+03   3.7902461E+03
   3.3593993E+00   3.8995317E+03   3.8180466E+03
   3.3768253E+00   3.9369407E+03   3.8486545E+03
   3.3939171E+00   3.9633926E+03   3.8711768E+03
   3.4110508E+00   4.0044080E+03   3.9055896E+03
   3.4269397E+00   4.0375010E+03   3.9325291E+03
   3.4441774E+00   4.0787319E+03   3.9666260E+03
   3.4603317E+00   4.1102256E+03   3.9918274E+03
   3.4772904E+00   4.1488960E+03   4.0239414E+03
   3.4942846E+00   4.1720649E+03   4.0405925E+03
   3.5111520E+00   4.2123623E+03   4.0737178E+03
   3.5284147E+00   4.2488398E+03   4.1030503E+03
   3.5444441E+00   4.2621841E+03   4.1115933E+03
   3.5620685E+00   4.2992339E+03   4.1416118E+03
   3.5785131E+00   4.3225215E+03   4.1583018E+03
   3.5947068E+00   4.3404624E+03   4.1724390E+03
   3.6114676E+00   4.3565454E+03   4.1844653E+03
   3.6292090E+00   4.3764370E+03   4.2004087E+03
   3.6455345E+00   4.3951802E+03   4.2177852E+03
   3.6624639E+00   4.4062534E+03   4.2273350E+03
   3.6794558E+00   4.4108389E+03   4.2315957E+03
   3.6960659E+00   4.4115737E+03   4.2328291E+03
   3.7129216E+00   4.4213018E+03   4.2365327E+03
   3.7298744E+00   4.4157495E+03   4.2408721E+03
   3.7469051E+00   4.4020513E+03   4.2302383E+03
   3.7631986E+00   4.3846987E+03   4.2175566E+03
   3.7800171E+00   4.3767734E+03   4.2146284E+03
   3.7970853E+00   4.3581294E+03   4.2026572E+03
   3.8134048E+00   4.3346250E+03   4.1860791E+03
   3.8302042E+00   4.3109639E+03   4.1698774E+03
   3.8474963E+00   4.2807515E+03   4.1480820E+03
   3.8641531E+00   4.2478921E+03   4.1231841E+03
   3.8807704E+00   4.2202798E+03   4.1030840E+03
   3.8980069E+00   4.1897871E+03   4.0810330E+03
   3.9147480E+00   4.1497622E+03   4.0499343E+03
   3.9313281E+00   4.1137041E+03   4.0206646E+03
   3.9485929E+00   4.0818538E+03   3.9954668E+03
   3.9644303E+00   4.0481855E+03   3.9692432E+03
   3.9817991E+00   4.0051147E+03   3.9339827E+03
   3.9987171E+00   3.9604006E+03   3.8951235E+03
   4.0151854E+00   3.9288823E+03   3.8689485E+03
   4.0315661E+00   3.8848428E+03   3.8303010E+03
   4.0484738E+00   3.8467595E+03   3.7968076E+03
   4.0655360E+00   3.8199307E+03   3.7739277E+03
   4.0820231E+00   3.7886912E+03   3.7465486E+03
   4.0988817E+00   3.7524062E+03   3.7141787E+03
   4.1158657E+00   3.7198235E+03   3.6842151E+03
   4.1330886E+00   3.6824958E+03   3.6499617E+03
   4.1494102E+00   3.6656050E+03   3.6346636E+03
   4.1664119E+00   3.6363054E+03   3.6076404E+03
   4.1837015E+00   3.6011152E+03   3.5747715E+03
   4.1995802E+00   3.5867620E+03   3.5614990E+03
   4.2174392E+00   3.5578091E+03   3.5345603E+03
   4.2340493E+00   3.5347747E+03   3.5127415E+03
   4.2495375E+00   3.5151677E+03   3.4939226E+03
   4.2668190E+00   3.4964648E+03   3.4762488E+03
   4.2847295E+00   3.4793184E+03   3.4600273E+03
   4.3002334E+00   3.4612771E+03   3.4426841E+03
   4.3182383E+00   3.4474045E+03   3.4294688E+03
   4.3341289E+00   3.4353203E+03   3.4179009E+03
   4.3503232E+00   3.4244568E+03   3.4075691E+03
   4.3671355E+00   3.4116272E+03   3.3951831E+03
   4.3838367E+00   3.4034951E+03   3.3875439E+03
   4.4011478E+00   3.3935894E+03   3.3778560E+03
   4.4188724E+00   3.3865098E+03   3.3707800E+03
   4.4361167E+00   3.3804055E+03   3.3648108E+03
   4.4513545E+00   3.3752678E+03   3.3595771E+03
   4.4690866E+00   3.3735818E+03   3.3578213E+03
   4.4856043E+00   3.3716550E+03   3.3557722E+03
   4.5023298E+00   3.3712217E+03   3.3550952E+03
   4.5195746E+00   3.3715059E+03   3.3550703E+03
   4.5355353E+00   3.3728418E+03   3.3560562E+03
   4.5520825E+00   3.3753752E+03   3.3580376E+03
   4.5691247E+00   3.3791201E+03   3.3612295E+03
   4.5865927E+00   3.3845400E+03   3.3657217E+03
   4.6030974E+00   3.3900505E+03   3.3704609E+03
   4.6200728E+00   3.3975471E+03   3.3770159E+03
   4.6362534E+00   3.4052842E+03   3.3839609E+03
   4.6540847E+00   3.4227405E+03   3.3990994E+03
   4.6700315E+00   3.4244014E+03   3.4009331E+03
   4.6875472E+00   3.3948135E+03   3.3762666E+03
   4.7044044E+00   3.4389814E+03   3.4138184E+03
   4.7206855E+00   3.4620854E+03   3.4352710E+03
   4.7375140E+00   3.4832861E+03   3.4537822E+03
   4.7538366E+00   3.4960813E+03   3.4646851E+03
   4.7718062E+00   3.5184158E+03   3.4847219E+03
   4.7876248E+00   3.5334751E+03   3.4982563E+03
   4.8050613E+00   3.5541211E+03   3.5168774E+03
   4.8225393E+00   3.5800742E+03   3.5400481E+03
   4.8376770E+00   3.6012134E+03   3.5589795E+03
   4.8548746E+00   3.6259412E+03   3.5810312E+03
   4.8716540E+00   3.6523772E+03   3.6045068E+03
   4.8889661E+00   3.6763176E+03   3.6256196E+03
   4.9052777E+00   3.7075540E+03   3.6534294E+03
   4.9219880E+00   3.7416846E+03   3.6831753E+03
   4.9391651E+00   3.7712327E+03   3.7092498E+03
   4.9556608E+00   3.7979968E+03   3.7319114E+03
   4.9732018E+00   3.8333904E+03   3.7631355E+03
   4.9901690E+00   3.8651035E+03   3.7904097E+03
   5.0072746E+00   3.9032883E+03   3.8232114E+03
   5.0223713E+00   3.9337861E+03   3.8490212E+03
   5.0398440E+00   3.9860896E+03   3.8937317E+03
   5.0572524E+00   4.0145513E+03   3.9171748E+03
   5.0740919E+00   4.0407759E+03   3.9385295E+03
   5.0903707E+00   4.0759526E+03   3.9676306E+03
   5.1068363E+00   4.1113594E+03   3.9969451E+03
   5.1243138E+00   4.1484102E+03   4.0272290E+03
   5.1414247E+00   4.1794712E+03   4.0523840E+03
   5.1569042E+00   4.2085991E+03   4.0759885E+03
   5.1743512E+00   4.2469497E+03   4.1079248E+03
   5.1913462E+00   4.2731475E+03   4.1283120E+03
   5.2080784E+00   4.2980679E+03   4.1487827E+03
   5.2246423E+00   4.3252441E+03   4.1716577E+03
   5.2418079E+00   4.3420059E+03   4.1846221E+03
   5.2582726E+00   4.3622310E+03   4.2017837E+03
   5.2750244E+00   4.3797344E+03   4.2171411E+03
   5.2916799E+00   4.3889194E+03   4.2253594E+03
   5.3089314E+00   4.3939995E+03   4.2299683E+03
   5.3252072E+00   4.4128828E+03   4.2497212E+03
   5.3420730E+00   4.4033208E+03   4.2428608E+03
   5.3591461E+00   4.4092222E+03   4.2503750E+03
   5.3756137E+00   4.4033330E+03   4.2495049E+03
   5.3923469E+00   4.3871992E+03   4.2379126E+03
   5.4094701E+00   4.3745278E+03   4.2299404E+03
   5.4263825E+00   4.3597593E+03   4.2215918E+03
   5.4436731E+00   4.3402886E+03   4.2086221E+03
   5.4598465E+00   4.3145854E+03   4.1902686E+03
   5.4764376E+00   4.2941802E+03   4.1764404E+03
   5.4931827E+00   4.2685908E+03   4.1571001E+03
   5.5097151E+00   4.2338130E+03   4.1315049E+03
   5.5269775E+00   4.2002310E+03   4.1050830E+03
   5.5436158E+00   4.1639033E+03   4.0774990E+03
   5.5602803E+00   4.1260933E+03   4.0467446E+03
   5.5772676E+00   4.0969390E+03   4.0237629E+03
   5.5950274E+00   4.0504575E+03   3.9850737E+03
   5.6106877E+00   4.0222842E+03   3.9619983E+03
   5.6277132E+00   3.9928301E+03   3.9380916E+03
   5.6445923E+00   3.9515002E+03   3.9021504E+03
   5.6613927E+00   3.9054565E+03   3.8620632E+03
   5.6786699E+00   3.8724187E+03   3.8332605E+03
   5.6946993E+00   3.8398313E+03   3.8045405E+03
   5.7120070E+00   3.8085737E+03   3.7765847E+03
   5.7286315E+00   3.7714893E+03   3.7420232E+03
   5.7455440E+00   3.7417683E+03   3.7159453E+03
   5.7628007E+00   3.7099463E+03   3.6865293E+03
   5.7794909E+00   3.6769204E+03   3.6557654E+03
   5.7954774E+00   3.6547144E+03   3.6352109E+03
   5.8129172E+00   3.6280701E+03   3.6099177E+03
   5.8296676E+00   3.6008503E+03   3.5839111E+03
   5.8471651E+00   3.5788245E+03   3.5631729E+03
   5.8628187E+00   3.5599619E+03   3.5451050E+03
   5.8796196E+00   3.5364441E+03   3.5224409E+03
   5.8969345E+00   3.5195076E+03   3.5059773E+03
   5.9137416E+00   3.4996296E+03   3.4867749E+03
   5.9298496E+00   3.4846204E+03   3.4721550E+03
   5.9469452E+00   3.4709519E+03   3.4588113E+03
   5.9638429E+00   3.4540754E+03   3.4421360E+03
   5.9803576E+00   3.4432051E+03   3.4314219E+03
   5.9970345E+00   3.4313765E+03   3.4196309E+03
   6.0148525E+00   3.4219465E+03   3.4103713E+03
   6.0320511E+00   3.4121865E+03   3.4005188E+03
   6.0485921E+00   3.4030645E+03   3.3912744E+03
   6.0648046E+00   3.3962803E+03   3.3844788E+03
   6.0810666E+00   3.3894175E+03   3.3773755E+03
   6.0987897E+00   3.3773293E+03   3.3651724E+03
   6.1152191E+00   3.3806572E+03   3.3679597E+03
   6.1322641E+00   3.3724707E+03   3.3596389E+03
   6.1496558E+00   3.3716506E+03   3.3582551E+03
   6.1654701E+00   3.3688220E+03   3.3551736E+03
   6.1816058E+00   3.3679309E+03   3.3539312E+03
   6.1983881E+00   3.3665505E+03   3.3520000E+03
   6.2157316E+00   3.3666536E+03   3.3513376E+03
   6.2327209E+00   3.3680056E+03   3.3520637E+03
   6.2502651E+00   3.3691013E+03   3.3525110E+03
   6.2668195E+00   3.3704763E+03   3.3531392E+03
   6.2826986E+00   3.3729841E+03   3.3549143E+03
   6.2994065E+00   3.3768330E+03   3.3577888E+03
   6.3170810E+00   3.3805547E+03   3.3606362E+03
   6.3328323E+00   3.3834685E+03   3.3629414E+03
   6.3494563E+00   3.3883569E+03   3.3669536E+03
   6.3673515E+00   3.3952256E+03   3.3725579E+03
   6.3830304E+00   3.4006504E+03   3.3769927E+03
   6.4009161E+00   3.4071038E+03   3.3824214E+03
   6.4179349E+00   3.4139202E+03   3.3882046E+03
   6.4338126E+00   3.4207773E+03   3.3941370E+03
   6.4509597E+00   3.4292979E+03   3.4013955E+03
   6.4676833E+00   3.4392141E+03   3.4099644E+03
   6.4847388E+00   3.4475598E+03   3.4173682E+03
   6.5012736E+00   3.4585859E+03   3.4271384E+03
   6.5189075E+00   3.4699788E+03   3.4373008E+03
   6.5359287E+00   3.4765483E+03   3.4433203E+03
   6.5516543E+00   3.4868079E+03   3.4526399E+03
   6.5696778E+00   3.5035583E+03   3.4680137E+03
   6.5847111E+00   3.5153296E+03   3.4791001E+03
   6.6032720E+00   3.5319690E+03   3.4933486E+03
   6.6190634E+00   3.5419407E+03   3.5029026E+03
   6.6361346E+00   3.5598127E+03   3.5191199E+03
   6.6527810E+00   3.5731013E+03   3.5313474E+03
   6.6687140E+00   3.5910847E+03   3.5477065E+03
   6.6860313E+00   3.6068325E+03   3.5622014E+03
   6.7028508E+00   3.6288147E+03   3.5819329E+03
   6.7193007E+00   3.6441833E+03   3.5960120E+03
   6.7366529E+00   3.6666279E+03   3.6165198E+03
   6.7540574E+00   3.6903237E+03   3.6376624E+03
   6.7701406E+00   3.7051372E+03   3.6511418E+03
   6.7876959E+00   3.7285679E+03   3.6722407E+03
   6.8050647E+00   3.7510178E+03   3.6923123E+03
   6.8211875E+00   3.7728652E+03   3.7117615E+03
   6.8369832E+00   3.7938254E+03   3.7303628E+03
   6.8540535E+00   3.8187688E+03   3.7526631E+03
   6.8720689E+00   3.8438540E+03   3.7746050E+03
   6.8884673E+00   3.8696475E+03   3.7973999E+03
   6.9050846E+00   3.8895430E+03   3.8145811E+03
   6.9214272E+00   3.9126670E+03   3.8348274E+03
   6.9383445E+00   3.9349783E+03   3.8543630E+03
   6.9556308E+00   3.9573875E+03   3.8739072E+03
   6.9721012E+00   3.9736711E+03   3.8878586E+03
   6.9895015E+00   3.9934873E+03   3.9050381E+03
   7.0051227E+00   4.0104641E+03   3.9197671E+03
   7.0219359E+00   4.0258110E+03   3.9328398E+03
   7.0385985E+00   4.0412102E+03   3.9470276E+03
   7.0564804E+00   4.0528015E+03   3.9570767E+03
   7.0730405E+00   4.0641658E+03   3.9680728E+03
   7.0895205E+00   4.0671777E+03   3.9697310E+03
   7.1059866E+00   4.0758933E+03   3.9796013E+03
   7.1233974E+00   4.0774470E+03   3.9818093E+03
   7.1403980E+00   4.0765388E+03   3.9826506E+03
   7.1564269E+00   4.0743152E+03   3.9810894E+03
   7.1737142E+00   4.0693096E+03   3.9782166E+03
   7.1899390E+00   4.0597830E+03   3.9724336E+03
   7.2072191E+00   4.0471702E+03   3.9636689E+03
   7.2245374E+00   4.0363027E+03   3.9558347E+03
   7.2411342E+00   4.0176604E+03   3.9422744E+03
   7.2570934E+00   4.0037236E+03   3.9320449E+03
   7.2739539E+00   3.9778972E+03   3.9121406E+03
   7.2917652E+00   3.9606660E+03   3.8993042E+03
   7.3082709E+00   3.9419136E+03   3.8848770E+03
   7.3247995E+00   3.9117686E+03   3.8603123E+03
   7.3410411E+00   3.8876682E+03   3.8414292E+03
   7.3583851E+00   3.8569683E+03   3.8161484E+03
   7.3753085E+00   3.8380156E+03   3.8010334E+03
   7.3916879E+00   3.8052866E+03   3.7734636E+03
   7.4082084E+00   3.7804534E+03   3.7526113E+03
   7.4259219E+00   3.7470872E+03   3.7237351E+03
   7.4422531E+00   3.7136992E+03   3.6945320E+03
   7.4591842E+00   3.6847893E+03   3.6681443E+03
   7.4762464E+00   3.6581582E+03   3.6452251E+03
