  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   04:17:49  12/14/2023 iqbp     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing p, p       
       1     1002      0.000E+00      1.688E+01
   time              p_1             p_2
   1.8058490E+00   4.4151694E+03   4.3716055E+03
   1.8209853E+00   4.4881924E+03   4.4423579E+03
   1.8418670E+00   4.4790493E+03   4.4307671E+03
   1.8547140E+00   4.5442896E+03   4.4947852E+03
   1.8725644E+00   4.5282651E+03   4.4766191E+03
   1.8882287E+00   4.6071636E+03   4.5544893E+03
   1.9076114E+00   4.5756147E+03   4.5208838E+03
   1.9262513E+00   4.6406958E+03   4.5855391E+03
   1.9431782E+00   4.6127090E+03   4.5553345E+03
   1.9590114E+00   4.6609351E+03   4.6035024E+03
   1.9739735E+00   4.6402710E+03   4.5813623E+03
   1.9917798E+00   4.6643047E+03   4.6055728E+03
   2.0088167E+00   4.6923516E+03   4.6335347E+03
   2.0252817E+00   4.6977524E+03   4.6393530E+03
   2.0413215E+00   4.6965542E+03   4.6386704E+03
   2.0601630E+00   4.7059692E+03   4.6486816E+03
   2.0756428E+00   4.7116816E+03   4.6550601E+03
   2.0940909E+00   4.7087148E+03   4.6532900E+03
   2.1094508E+00   4.7046377E+03   4.6505322E+03
   2.1279306E+00   4.7026035E+03   4.6502524E+03
   2.1434145E+00   4.6961240E+03   4.6456870E+03
   2.1621640E+00   4.6838804E+03   4.6357261E+03
   2.1767640E+00   4.6730278E+03   4.6273081E+03
   2.1958320E+00   4.6552495E+03   4.6126826E+03
   2.2122202E+00   4.6437139E+03   4.6033750E+03
   2.2272112E+00   4.6178086E+03   4.5811914E+03
   2.2442863E+00   4.6043491E+03   4.5703120E+03
   2.2631547E+00   4.5716533E+03   4.5418135E+03
   2.2783024E+00   4.5295244E+03   4.5037998E+03
   2.2969005E+00   4.5409668E+03   4.5169307E+03
   2.3114367E+00   4.5315210E+03   4.5093521E+03
   2.3279984E+00   4.4639814E+03   4.4476094E+03
   2.3480284E+00   4.4144395E+03   4.4021431E+03
   2.3652284E+00   4.4166289E+03   4.4065981E+03
   2.3780861E+00   4.3206104E+03   4.3151211E+03
   2.3969920E+00   4.3585503E+03   4.3542065E+03
   2.4122782E+00   4.2521450E+03   4.2515830E+03
   2.4285507E+00   4.2835186E+03   4.2845210E+03
   2.4459138E+00   4.2376118E+03   4.2410703E+03
   2.4645178E+00   4.1053667E+03   4.1119062E+03
   2.4815402E+00   4.1438584E+03   4.1522324E+03
   2.4983582E+00   4.0948843E+03   4.1052607E+03
   2.5144181E+00   4.0519983E+03   4.0638264E+03
   2.5304065E+00   4.0208303E+03   4.0343667E+03
   2.5498402E+00   3.9895793E+03   4.0050630E+03
   2.5665042E+00   3.9181235E+03   3.9347405E+03
   2.5835552E+00   3.9243054E+03   3.9427156E+03
   2.5997379E+00   3.8548940E+03   3.8743652E+03
   2.6168892E+00   3.8252754E+03   3.8458743E+03
   2.6367378E+00   3.8277156E+03   3.8495361E+03
   2.6489770E+00   3.7404426E+03   3.7617517E+03
   2.6670156E+00   3.7597695E+03   3.7824971E+03
   2.6851466E+00   3.7551824E+03   3.7793306E+03
   2.7017996E+00   3.6876116E+03   3.7113730E+03
   2.7175453E+00   3.7004712E+03   3.7254587E+03
   2.7328515E+00   3.6125034E+03   3.6362070E+03
   2.7531586E+00   3.6353479E+03   3.6606074E+03
   2.7685239E+00   3.6456680E+03   3.6718159E+03
   2.7840984E+00   3.5788367E+03   3.6031436E+03
   2.8000443E+00   3.5938982E+03   3.6194124E+03
   2.8163886E+00   3.5914639E+03   3.6174534E+03
   2.8331802E+00   3.5232444E+03   3.5462698E+03
   2.8502927E+00   3.5522751E+03   3.5764810E+03
   2.8675232E+00   3.5629065E+03   3.5875906E+03
   2.8845949E+00   3.5189128E+03   3.5402334E+03
   2.9048429E+00   3.5493530E+03   3.5721399E+03
   2.9218736E+00   3.5255051E+03   3.5459333E+03
   2.9388855E+00   3.5124099E+03   3.5296035E+03
   2.9536734E+00   3.5262883E+03   3.5440359E+03
   2.9720652E+00   3.5258850E+03   3.5418228E+03
   2.9893322E+00   3.5298162E+03   3.5452886E+03
   3.0053470E+00   3.5320010E+03   3.5436411E+03
   3.0204144E+00   3.5429592E+03   3.5546003E+03
   3.0381732E+00   3.5436538E+03   3.5521724E+03
   3.0549622E+00   3.5601245E+03   3.5669172E+03
   3.0708885E+00   3.5635049E+03   3.5681121E+03
   3.0889676E+00   3.5701392E+03   3.5729985E+03
   3.1059525E+00   3.5859475E+03   3.5868450E+03
   3.1220307E+00   3.5900703E+03   3.5896084E+03
   3.1406894E+00   3.6358865E+03   3.6317744E+03
   3.1578236E+00   3.6430981E+03   3.6373730E+03
   3.1738651E+00   3.6426772E+03   3.6367844E+03
   3.1892228E+00   3.6700618E+03   3.6620237E+03
   3.2072217E+00   3.6880225E+03   3.6780591E+03
   3.2247715E+00   3.7164348E+03   3.7045662E+03
   3.2420130E+00   3.7361028E+03   3.7223081E+03
   3.2584310E+00   3.7629724E+03   3.7470095E+03
   3.2751157E+00   3.7878066E+03   3.7695217E+03
   3.2904851E+00   3.8102485E+03   3.7897449E+03
   3.3081958E+00   3.8392131E+03   3.8159023E+03
   3.3271587E+00   3.8712278E+03   3.8448826E+03
   3.3432612E+00   3.9022881E+03   3.8729189E+03
   3.3575773E+00   3.9440591E+03   3.9118459E+03
   3.3741498E+00   3.9417319E+03   3.9071597E+03
   3.3927042E+00   3.9876411E+03   3.9491824E+03
   3.4113617E+00   4.0232712E+03   3.9810571E+03
   3.4237993E+00   4.1027227E+03   4.0569429E+03
   3.4425111E+00   4.0690054E+03   4.0202842E+03
   3.4612749E+00   4.1862842E+03   4.1329453E+03
   3.4794297E+00   4.1554868E+03   4.0985786E+03
   3.4959371E+00   4.1745547E+03   4.1136255E+03
   3.5111945E+00   4.2366685E+03   4.1726270E+03
   3.5300386E+00   4.2602529E+03   4.1920381E+03
   3.5432684E+00   4.3658560E+03   4.2960972E+03
   3.5635257E+00   4.3396104E+03   4.2657578E+03
   3.5785704E+00   4.3533613E+03   4.2761304E+03
   3.5963743E+00   4.3881353E+03   4.3083115E+03
   3.6133051E+00   4.4364468E+03   4.3550059E+03
   3.6294873E+00   4.4155386E+03   4.3302690E+03
   3.6450796E+00   4.4832783E+03   4.3988237E+03
   3.6630902E+00   4.4804707E+03   4.3933281E+03
   3.6804769E+00   4.4718003E+03   4.3820513E+03
   3.6973286E+00   4.4826328E+03   4.3916992E+03
   3.7137439E+00   4.4914043E+03   4.4005386E+03
   3.7298210E+00   4.5110220E+03   4.4240034E+03
   3.7482157E+00   4.5065249E+03   4.4178037E+03
   3.7637603E+00   4.5052642E+03   4.4196216E+03
   3.7818367E+00   4.4996797E+03   4.4151611E+03
   3.7974370E+00   4.4899199E+03   4.4091997E+03
   3.8158913E+00   4.4820669E+03   4.4040688E+03
   3.8321319E+00   4.4673267E+03   4.3933428E+03
   3.8476439E+00   4.4503262E+03   4.3806279E+03
   3.8650563E+00   4.4339585E+03   4.3687012E+03
   3.8813679E+00   4.4106924E+03   4.3507744E+03
   3.9000988E+00   4.3879224E+03   4.3331792E+03
   3.9161580E+00   4.3638564E+03   4.3141660E+03
   3.9324296E+00   4.3354785E+03   4.2911191E+03
   3.9489932E+00   4.3140859E+03   4.2744985E+03
   3.9661002E+00   4.2727900E+03   4.2389429E+03
   3.9842248E+00   4.2596426E+03   4.2305400E+03
   4.0001554E+00   4.1791572E+03   4.1556055E+03
   4.0160880E+00   4.2166338E+03   4.1961372E+03
   4.0345173E+00   4.1497080E+03   4.1340073E+03
   4.0491152E+00   4.1440161E+03   4.1316797E+03
   4.0703535E+00   4.0967798E+03   4.0890508E+03
   4.0867972E+00   4.0116145E+03   4.0069565E+03
   4.1008840E+00   4.0324561E+03   4.0308125E+03
   4.1209435E+00   3.9656753E+03   3.9669229E+03
   4.1375756E+00   3.9749575E+03   3.9793162E+03
   4.1535354E+00   3.8687788E+03   3.8744497E+03
   4.1688099E+00   3.8980300E+03   3.9066082E+03
   4.1866837E+00   3.8877354E+03   3.8986106E+03
   4.2022386E+00   3.8798152E+03   3.8930522E+03
   4.2207012E+00   3.8059758E+03   3.8196489E+03
   4.2366095E+00   3.8056360E+03   3.8215879E+03
   4.2530327E+00   3.7644067E+03   3.7810378E+03
   4.2727947E+00   3.7180042E+03   3.7353247E+03
   4.2872944E+00   3.7056060E+03   3.7239839E+03
   4.3057580E+00   3.6969932E+03   3.7165735E+03
   4.3192191E+00   3.6446619E+03   3.6636250E+03
   4.3374324E+00   3.6838372E+03   3.7052798E+03
   4.3554621E+00   3.6345327E+03   3.6556611E+03
   4.3734307E+00   3.6199680E+03   3.6418076E+03
   4.3870268E+00   3.6118767E+03   3.6341460E+03
   4.4054427E+00   3.5998313E+03   3.6225500E+03
   4.4243197E+00   3.5955396E+03   3.6187986E+03
   4.4388547E+00   3.5644819E+03   3.5874685E+03
   4.4588432E+00   3.5752271E+03   3.5993135E+03
   4.4743395E+00   3.5646633E+03   3.5881514E+03
   4.4903059E+00   3.5479868E+03   3.5706597E+03
