  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   23:26:36  02/09/2024 urib     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       4      541      1.008E-02      1.824E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.0076692E-02   2.1528283E-03   4.9322124E+00   2.9772456E+00
   1.2405034E-02  -1.1991926E-03   5.0275755E+00   2.9787605E+00
   1.6721591E-02  -2.0630215E-03   5.2270327E+00   2.9591215E+00
   2.0717999E-02   5.2573701E-04   5.3292465E+00   2.9486291E+00
   2.4548704E-02  -6.7953505E-03   5.4787531E+00   2.9387794E+00
   2.6437635E-02  -2.5128112E-03   5.5431757E+00   2.9389348E+00
   3.0210881E-02   2.5369751E-04   5.6472282E+00   2.9445345E+00
   3.4023635E-02  -2.3989359E-04   5.7282739E+00   2.9488890E+00
   3.7917294E-02  -5.1005307E-04   5.8633466E+00   2.9596725E+00
   3.9905027E-02  -4.0290481E-03   5.9322925E+00   2.9642694E+00
   4.3978747E-02  -1.9192640E-03   6.0281935E+00   2.9656591E+00
   4.8200637E-02   1.4198013E-03   6.2267933E+00   2.9683948E+00
   5.0372757E-02  -1.9171434E-03   6.2658434E+00   2.9701097E+00
   5.4848589E-02  -9.1527170E-03   6.3576331E+00   2.9735951E+00
   5.7156313E-02  -1.2841659E-04   6.4313660E+00   2.9758425E+00
   6.1921984E-02   8.1763056E-04   6.5955176E+00   2.9821930E+00
   6.4385161E-02   3.9682328E-03   6.6960278E+00   2.9869971E+00
   6.6906363E-02   8.9741155E-04   6.7547989E+00   2.9899082E+00
   7.2136782E-02   6.5091299E-03   6.9418135E+00   2.9961321E+00
   7.4853398E-02   2.0334597E-03   7.0315061E+00   3.0014009E+00
   7.7593282E-02   5.1736576E-03   7.1499982E+00   3.0062156E+00
   8.0208324E-02   6.2633809E-03   7.2594233E+00   3.0110412E+00
   8.5127577E-02   1.6289271E-03   7.4360933E+00   3.0204618E+00
   8.7457336E-02   1.0233258E-02   7.5368266E+00   3.0245056E+00
   9.0732880E-02  -5.0403731E-04   7.6932216E+00   3.0291975E+00
   9.4344161E-02  -1.4916502E-02   7.7830105E+00   3.0324283E+00
   9.8325603E-02   1.4642958E-02   7.9433765E+00   3.0348794E+00
   1.0033082E-01  -1.0775574E-02   8.0255165E+00   3.0355456E+00
   1.0424042E-01   4.0631797E-03   8.1685610E+00   3.0381172E+00
   1.0803557E-01   3.7131691E-03   8.3271980E+00   3.0394890E+00
   1.1173494E-01   6.7319237E-03   8.4610786E+00   3.0405834E+00
   1.1535275E-01   7.1787247E-03   8.6225023E+00   3.0470982E+00
   1.1889984E-01   1.1006153E-02   8.7687082E+00   3.0476487E+00
   1.2238581E-01   7.2548846E-03   8.9159203E+00   3.0532174E+00
   1.2410860E-01   9.3377512E-03   8.9860716E+00   3.0528469E+00
   1.2751806E-01   5.6831450E-03   9.1364861E+00   3.0630577E+00
   1.3088426E-01   8.7596877E-03   9.2718687E+00   3.0646622E+00
