  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   21:00:13  02/09/2024 bpnh     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      554      0.000E+00      1.866E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.7384692E-01   7.6342532E-03   1.3303358E+01   3.5885279E+00
   2.7723446E-01   3.7818901E-02   1.3313242E+01   3.5857201E+00
   2.8059980E-01   1.9094564E-02   1.3343082E+01   3.5884454E+00
   2.8388566E-01   4.2130746E-02   1.3380382E+01   3.5902648E+00
   2.8717640E-01  -1.3803408E-02   1.3368003E+01   3.5878108E+00
   2.9048690E-01   4.0124647E-02   1.3301539E+01   3.5852640E+00
   2.9377958E-01   2.7255341E-02   1.3368447E+01   3.5850260E+00
   2.9705849E-01   3.3635072E-02   1.3337005E+01   3.5780449E+00
   3.0032948E-01   1.2225614E-02   1.3337013E+01   3.5901470E+00
   3.0359522E-01   6.4026029E-03   1.3329793E+01   3.5795622E+00
   3.0685824E-01   3.0148854E-02   1.3304914E+01   3.5704341E+00
   3.1092691E-01   1.9518380E-01   1.3292981E+01   3.5626249E+00
   3.1418240E-01   9.6987844E-02   1.3183935E+01   3.5713463E+00
   3.1746632E-01  -2.3272745E-02   1.3148561E+01   3.5707858E+00
   3.2077914E-01  -2.4032328E-02   1.3122300E+01   3.5809717E+00
   3.2411921E-01   5.4530814E-02   1.3030379E+01   3.5690601E+00
   3.2748070E-01   4.5764796E-02   1.3043999E+01   3.5364742E+00
   3.3085167E-01   1.0788130E-01   1.2944722E+01   3.5425322E+00
   3.3450237E-01  -2.5894561E-01   1.2833582E+01   3.5277541E+00
   3.3774799E-01   1.8926488E-02   1.2701882E+01   3.5286894E+00
   3.4140742E-01   7.7913396E-02   1.2482394E+01   3.5307786E+00
   3.4388044E-01   5.7049375E-02   1.2496353E+01   3.5269637E+00
   3.4763026E-01   3.9120965E-02   1.2427510E+01   3.5164521E+00
   3.5138544E-01   1.6606633E-02   1.2223750E+01   3.5451567E+00
   3.5498461E-01   1.8223563E-02   1.2136550E+01   3.5289295E+00
   3.5822514E-01   3.7259333E-02   1.2020823E+01   3.5225637E+00
   3.6173180E-01   5.7575375E-02   1.1990181E+01   3.5282261E+00
   3.6471885E-01   4.2956606E-02   1.1902620E+01   3.5103168E+00
   3.6794797E-01   3.8687471E-02   1.1851323E+01   3.5166485E+00
   3.7109762E-01   7.4893840E-02   1.1711536E+01   3.5097170E+00
   3.7507778E-01   5.7373423E-02   1.1518403E+01   3.4988303E+00
   3.7791061E-01   5.9548412E-02   1.1411072E+01   3.4991980E+00
   3.8162658E-01   8.1412129E-02   1.1261932E+01   3.4920743E+00
   3.8530383E-01   6.6718526E-02   1.1158856E+01   3.4903140E+00
   3.8804239E-01   6.1927762E-02   1.1080019E+01   3.4882183E+00
   3.9166942E-01   8.3497100E-02   1.1007835E+01   3.4994025E+00
   3.9526805E-01   8.6070612E-02   1.0798542E+01   3.4788980E+00
   3.9794788E-01   1.0491788E-01   1.0659273E+01   3.4801369E+00
   4.0149513E-01   2.2291848E-02   1.0475927E+01   3.4752479E+00
   4.0501133E-01   3.4552909E-02   1.0312266E+01   3.4715657E+00
   4.0849030E-01   6.9083720E-02   1.0184835E+01   3.4650652E+00
   4.1192907E-01   2.1749675E-02   1.0029237E+01   3.4633381E+00
   4.1532764E-01   1.0458129E-01   9.8351049E+00   3.4581401E+00
   4.1869041E-01   1.1744070E-01   9.6385555E+00   3.4507835E+00
   4.2215893E-01   1.7649916E-01   9.4753428E+00   3.4464917E+00
   4.2520607E-01   9.2281990E-02   9.2324867E+00   3.4373372E+00
   4.2841122E-01   3.7090134E-02   9.0781460E+00   3.4431956E+00
