  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:08:25  02/06/2024 httg     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing p, p, pfyob       
       3      996      5.409E-03      2.376E+00
   time              p_1             p_2             pfyob_1
   2.0842978E-01   4.6225137E+03   4.5443799E+03   1.2876945E+01
   2.1069808E-01   4.6269482E+03   4.5484424E+03   1.2956215E+01
   2.1307981E-01   4.6273975E+03   4.5485972E+03   1.2986100E+01
   2.1558061E-01   4.6339419E+03   4.5552539E+03   1.3025378E+01
   2.1792313E-01   4.6383970E+03   4.5592461E+03   1.3087862E+01
   2.2033764E-01   4.6390122E+03   4.5598101E+03   1.3129174E+01
   2.2254284E-01   4.6403462E+03   4.5606646E+03   1.3171439E+01
   2.2477113E-01   4.6494062E+03   4.5696216E+03   1.3224370E+01
   2.2706726E-01   4.6518252E+03   4.5718105E+03   1.3209611E+01
   2.3154889E-01   4.6560483E+03   4.5757622E+03   1.3335444E+01
   2.3373738E-01   4.6598628E+03   4.5792344E+03   1.3333961E+01
   2.3589295E-01   4.6602603E+03   4.5793203E+03   1.3360363E+01
   2.3800337E-01   4.6654268E+03   4.5845459E+03   1.3396475E+01
   2.4007033E-01   4.6687207E+03   4.5875444E+03   1.3386668E+01
   2.4213557E-01   4.6691152E+03   4.5875938E+03   1.3417546E+01
   2.4417292E-01   4.6730747E+03   4.5916504E+03   1.3440189E+01
   2.4618338E-01   4.6738696E+03   4.5920869E+03   1.3452249E+01
   2.5012779E-01   4.6796196E+03   4.5975234E+03   1.3450435E+01
   2.5206363E-01   4.6835068E+03   4.6013770E+03   1.3449712E+01
   2.5397637E-01   4.6842163E+03   4.6017852E+03   1.3465567E+01
   2.5586683E-01   4.6884224E+03   4.6059331E+03   1.3460713E+01
   2.5958410E-01   4.6892100E+03   4.6062129E+03   1.3491954E+01
   2.6141229E-01   4.6959595E+03   4.6133267E+03   1.3459011E+01
   2.6322106E-01   4.6964946E+03   4.6135635E+03   1.3457105E+01
   2.6678294E-01   4.7010068E+03   4.6178403E+03   1.3459181E+01
   2.6853719E-01   4.7014141E+03   4.6180576E+03   1.3449520E+01
   2.7027443E-01   4.7021885E+03   4.6182539E+03   1.3472856E+01
   2.7369982E-01   4.7116357E+03   4.6282300E+03   1.3358449E+01
   2.7538896E-01   4.7120483E+03   4.6282935E+03   1.3355191E+01
   2.7869406E-01   4.7110503E+03   4.6266440E+03   1.3384686E+01
   2.8033960E-01   4.7106450E+03   4.6264136E+03   1.3394492E+01
   2.8197134E-01   4.7115347E+03   4.6272993E+03   1.3381643E+01
   2.8519499E-01   4.7165708E+03   4.6320503E+03   1.3329408E+01
   2.8675538E-01   4.7198286E+03   4.6351685E+03   1.3266645E+01
   2.8990439E-01   4.7250454E+03   4.6402339E+03   1.3168922E+01
   2.9300657E-01   4.7275566E+03   4.6425718E+03   1.3147289E+01
   2.9454085E-01   4.7286709E+03   4.6434868E+03   1.3083720E+01
   2.9750833E-01   4.7306494E+03   4.6454927E+03   1.3078650E+01
   2.9901141E-01   4.7320239E+03   4.6466992E+03   1.3020461E+01
   3.0198768E-01   4.7344609E+03   4.6490830E+03   1.2916030E+01
   3.0344650E-01   4.7350957E+03   4.6496338E+03   1.2922881E+01
   3.0634886E-01   4.7368721E+03   4.6512354E+03   1.2825622E+01
   3.0916336E-01   4.7389878E+03   4.6533374E+03   1.2743247E+01
   3.1192765E-01   4.7499897E+03   4.6648745E+03   1.2455251E+01
   3.1328362E-01   4.7477837E+03   4.6617114E+03   1.2471218E+01
   3.1594080E-01   4.7436074E+03   4.6574023E+03   1.2582777E+01
   3.1854698E-01   4.7417476E+03   4.6554536E+03   1.2633892E+01
   3.2116443E-01   4.7442085E+03   4.6583486E+03   1.2371707E+01
   3.2369247E-01   4.7503208E+03   4.6645122E+03   1.2212586E+01
   3.2493210E-01   4.7521763E+03   4.6664038E+03   1.2137531E+01
   3.2736373E-01   4.7538530E+03   4.6678350E+03   1.2014122E+01
   3.2973757E-01   4.7546270E+03   4.6685112E+03   1.1983567E+01
   3.3207381E-01   4.7556396E+03   4.6695024E+03   1.1969452E+01
   3.3552706E-01   4.7578301E+03   4.6715112E+03   1.1797215E+01
   3.3781102E-01   4.7590127E+03   4.6727451E+03   1.1729172E+01
   3.4005761E-01   4.7599966E+03   4.6738735E+03   1.1564799E+01
   3.4223783E-01   4.7610713E+03   4.6751069E+03   1.1451277E+01
   3.4437209E-01   4.7619189E+03   4.6758506E+03   1.1349352E+01
   3.4647661E-01   4.7628579E+03   4.6769707E+03   1.1276485E+01
   3.4959474E-01   4.7637056E+03   4.6777305E+03   1.1158759E+01
   3.5165185E-01   4.7644751E+03   4.6784878E+03   1.1043042E+01
   3.5369462E-01   4.7655098E+03   4.6795723E+03   1.0944452E+01
   3.5670164E-01   4.7667144E+03   4.6809678E+03   1.0802740E+01
   3.5868230E-01   4.7679077E+03   4.6821274E+03   1.0702687E+01
   3.6158544E-01   4.7695312E+03   4.6839888E+03   1.0484544E+01
   3.6346638E-01   4.7698569E+03   4.6843999E+03   1.0449753E+01
   3.6624524E-01   4.7704307E+03   4.6847700E+03   1.0355538E+01
   3.6808240E-01   4.7705225E+03   4.6850635E+03   1.0210406E+01
   3.7082157E-01   4.7706821E+03   4.6855127E+03   1.0093154E+01
   3.7263513E-01   4.7712002E+03   4.6861753E+03   9.9668074E+00
   3.7533557E-01   4.7717812E+03   4.6869351E+03   9.8053150E+00
   3.7800699E-01   4.7722754E+03   4.6873540E+03   9.7051754E+00
   3.7977287E-01   4.7726606E+03   4.6878813E+03   9.5812712E+00
   3.8241172E-01   4.7733364E+03   4.6889971E+03   9.4080505E+00
   3.8503760E-01   4.7740366E+03   4.6896523E+03   9.2738705E+00
   3.8764653E-01   4.7739751E+03   4.6898384E+03   9.1101990E+00
   3.8937375E-01   4.7739175E+03   4.6899629E+03   9.0649548E+00
   3.9192253E-01   4.7741055E+03   4.6902026E+03   8.9557419E+00
   3.9441124E-01   4.7742998E+03   4.6906470E+03   8.7794437E+00
   3.9685151E-01   4.7742227E+03   4.6909009E+03   8.6053438E+00
   3.9927694E-01   4.7743955E+03   4.6913677E+03   8.4230976E+00
   4.0161246E-01   4.7744600E+03   4.6915752E+03   8.3359909E+00
   4.0389493E-01   4.7745200E+03   4.6917368E+03   8.2098074E+00
   4.0616199E-01   4.7740503E+03   4.6917734E+03   7.9940686E+00
