  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   11:14:12  02/13/2024 iqiq     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.377E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.6976907E-01   1.3342462E-02   1.3263577E+01   3.2163665E+00
   2.7339959E-01   1.7149135E-02   1.3290359E+01   3.2151880E+00
   2.7699733E-01  -7.7209277E-03   1.3361648E+01   3.2192404E+00
   2.8057200E-01   3.6862351E-02   1.3360542E+01   3.2092550E+00
   2.8324673E-01   6.7771323E-02   1.3430848E+01   3.2180517E+00
   2.8675136E-01   1.9776635E-02   1.3406490E+01   3.2185693E+00
   2.9021141E-01   3.8141867E-03   1.3348390E+01   3.2150185E+00
   2.9371303E-01   2.0240135E-02   1.3355726E+01   3.2047052E+00
   2.9719329E-01  -4.1076902E-02   1.3368118E+01   3.2453554E+00
   3.0065581E-01   3.5998520E-02   1.3344967E+01   3.2169287E+00
   3.0411014E-01   2.8632384E-02   1.3311011E+01   3.1930885E+00
   3.0755544E-01   2.7858395E-02   1.3290223E+01   3.1968274E+00
   3.1098506E-01  -3.3839468E-02   1.3279770E+01   3.1925116E+00
   3.1355858E-01  -1.0626367E-01   1.3226001E+01   3.2199583E+00
   3.1701073E-01  -1.1644523E-02   1.3159708E+01   3.1796968E+00
   3.2048225E-01  -2.8967613E-02   1.3082871E+01   3.1845014E+00
   3.2397795E-01  -3.4982637E-02   1.3025365E+01   3.1704576E+00
   3.2763502E-01  -2.2034636E-02   1.3007749E+01   3.1505809E+00
   3.3077413E-01   3.1476405E-02   1.3057233E+01   3.1426215E+00
   3.3402035E-01   1.9306211E-03   1.2829447E+01   3.1565697E+00
   3.3713049E-01  -8.9002997E-02   1.2494364E+01   3.1575477E+00
   3.4105214E-01  -4.6353970E-02   1.2573876E+01   3.1567109E+00
   3.4417638E-01   1.9594001E-02   1.2419743E+01   3.1498244E+00
   3.4732217E-01  -1.4231611E-02   1.2420815E+01   3.1463799E+00
   3.5160387E-01   1.1139694E-03   1.2302647E+01   3.1500933E+00
   3.5470095E-01  -3.3825282E-02   1.2200935E+01   3.1462185E+00
   3.5790345E-01   1.7336585E-02   1.2124017E+01   3.1429830E+00
   3.6122677E-01   2.1995956E-02   1.1983804E+01   3.1366305E+00
   3.6458382E-01   8.4197391E-03   1.1930902E+01   3.1377280E+00
   3.6798266E-01  -3.9635401E-02   1.1766038E+01   3.1174023E+00
   3.7131819E-01  -9.2045208E-03   1.1686729E+01   3.1219618E+00
   3.7445822E-01  -4.7254423E-03   1.1512366E+01   3.1123047E+00
   3.7758335E-01   8.7699126E-03   1.1418537E+01   3.1121125E+00
   3.8181996E-01  -1.0260496E-03   1.1293502E+01   3.1083837E+00
   3.8494894E-01  -3.0214580E-02   1.1179374E+01   3.1167884E+00
   3.8833070E-01  -1.2313531E-02   1.1095449E+01   3.1029289E+00
   3.9141774E-01   2.4978367E-03   1.0924370E+01   3.0947635E+00
   3.9499134E-01  -4.5016188E-02   1.0802970E+01   3.0980692E+00
   3.9856288E-01   1.4123694E-02   1.0598703E+01   3.0905693E+00
   4.0157351E-01   1.1621241E-02   1.0305405E+01   3.0848799E+00
   4.0540007E-01  -1.9554168E-02   1.0194489E+01   3.0808780E+00
   4.0822384E-01   4.2827106E-03   1.0077735E+01   3.0717576E+00
   4.1225839E-01  -5.5800840E-02   1.0046306E+01   3.0740316E+00
   4.1558307E-01  -7.4472278E-02   9.9028177E+00   3.0769136E+00
   4.1882101E-01   2.3043193E-02   9.3266716E+00   3.0607536E+00
   4.2209896E-01  -3.8236316E-02   9.2333832E+00   3.0609813E+00
   4.2538774E-01   1.8650394E-02   9.1169672E+00   3.0628507E+00
   4.2900366E-01  -3.3010202E-03   9.1319399E+00   3.0591149E+00
   4.3248066E-01   7.9602852E-02   8.9662027E+00   3.0556469E+00
   4.3576679E-01  -4.5134526E-02   8.5030708E+00   3.0472710E+00
   4.3877855E-01   1.4741361E-02   8.3894205E+00   3.0466533E+00
   4.4226506E-01  -5.5055998E-02   8.1025295E+00   3.0465341E+00
   4.4630113E-01  -8.0263168E-03   7.9192967E+00   3.0404911E+00
   4.4905117E-01  -4.1462939E-02   7.8327146E+00   3.0407543E+00
   4.5306808E-01   2.6917789E-02   7.6649375E+00   3.0252063E+00
   4.5588452E-01   2.5023354E-02   7.4307976E+00   3.0269394E+00
   4.5892122E-01  -2.1141735E-03   7.1164885E+00   3.0237935E+00
   4.6194145E-01  -1.8353961E-01   6.9797988E+00   3.0161076E+00
   4.6626320E-01  -7.2700991E-03   6.6101961E+00   3.0212660E+00
   4.6907252E-01   1.9393161E-02   6.5242653E+00   3.0095725E+00
   4.7198844E-01  -1.6650809E-02   6.3277645E+00   3.0098908E+00
   4.7630826E-01  -8.3079204E-02   5.8975062E+00   3.0042541E+00
   4.7915223E-01  -1.1498176E-02   5.7665782E+00   3.0067132E+00
   4.8310384E-01  -2.6321659E-02   5.3328042E+00   3.0055935E+00
   4.8637357E-01  -7.7644952E-02   5.2603526E+00   2.9982889E+00
   4.8980066E-01  -1.0303736E-01   5.0148206E+00   2.9948347E+00
   4.9231565E-01  -1.0215826E-01   4.9151177E+00   2.9923463E+00
   4.9643111E-01  -9.8801263E-02   4.6861935E+00   2.9923460E+00
   4.9918866E-01  -8.6545415E-02   4.4882097E+00   2.9889526E+00
   5.0326163E-01  -9.0969235E-02   4.3064303E+00   2.9898708E+00
   5.0595176E-01  -2.2101697E-01   3.9765148E+00   2.9742823E+00
   5.0995964E-01  -8.4886387E-02   3.5073605E+00   2.9672186E+00
   5.1262021E-01  -4.4903211E-02   3.3221858E+00   2.9650812E+00
   5.1660877E-01  -1.6340728E-01   3.2318037E+00   2.9641633E+00
   5.2058995E-01  -2.8430021E-01   3.0073643E+00   2.9613414E+00
   5.2342701E-01  -1.4111882E-01   2.8834517E+00   2.9553814E+00
   5.2696049E-01  -4.0778015E-02   2.6105986E+00   2.9560313E+00
   5.3046548E-01  -4.6494506E-02   2.2824030E+00   2.9532640E+00
   5.3297466E-01  -6.3185014E-02   2.1031022E+00   2.9518611E+00
   5.3683639E-01  -1.9800594E-01   1.9043950E+00   2.9499693E+00
   5.4046208E-01   5.5719260E-02   1.4397444E+00   2.9490657E+00
   5.4319143E-01  -2.5883419E-02   1.3166364E+00   2.9442441E+00
   5.4620051E-01  -1.4694467E-01   1.2736260E+00   2.9394584E+00
   5.5092931E-01  -1.5537554E-01   1.0304685E+00   2.9361448E+00
   5.5416119E-01  -8.7088771E-02   9.4669926E-01   2.9349680E+00
   5.5715853E-01  -8.4834822E-02   4.7292021E-01   2.9297233E+00
   5.6020010E-01  -9.5434867E-02   5.7501715E-02   2.9184358E+00
   5.6449926E-01  -1.2588575E-01   5.7532404E-02   2.9237604E+00
   5.6732416E-01  -1.2847309E-01  -2.0250449E-01   2.9149883E+00
   5.7034671E-01  -1.0560368E-01  -2.9888558E-01   2.9186196E+00
   5.7367903E-01  -7.6893501E-02  -4.1664246E-01   2.9141157E+00
   5.7735294E-01  -2.1183649E-01  -7.6420194E-01   2.9159760E+00
   5.8125532E-01  -1.6260473E-01  -1.0467628E+00   2.9169669E+00
   5.8327812E-01  -1.9846851E-01  -1.1617692E+00   2.9159219E+00
   5.8697373E-01  -5.6282155E-02  -1.5366608E+00   2.9097726E+00
   5.9035665E-01  -1.4827867E-01  -1.7467506E+00   2.9070463E+00
   5.9408611E-01  -9.7992659E-02  -1.8591741E+00   2.9062390E+00
   5.9819788E-01  -1.5982705E-01  -1.9218223E+00   2.9042976E+00
   6.0030997E-01  -1.6754068E-01  -2.1654220E+00   2.9099991E+00
   6.0440153E-01  -1.5657222E-01  -2.5078251E+00   2.9057896E+00
   6.0844243E-01  -6.1105952E-02  -2.6540451E+00   2.9162169E+00
   6.1018759E-01  -2.9610693E-02  -2.8361776E+00   2.9150605E+00
   6.1358738E-01  -1.8658914E-01  -3.0168746E+00   2.9026935E+00
   6.1795717E-01  -1.2981103E-01  -3.1782613E+00   2.9114640E+00
   6.2075168E-01  -3.6239292E-02  -3.2768769E+00   2.9047303E+00
   6.2487018E-01  -1.1530834E-01  -3.5177226E+00   2.9068477E+00
   6.2761366E-01  -2.0626083E-01  -3.7458322E+00   2.9041958E+00
   6.3191485E-01  -1.4384688E-01  -4.0809250E+00   2.9000814E+00
   6.3481134E-01  -6.6274814E-02  -4.0714025E+00   2.8936002E+00
   6.3800466E-01  -1.7253773E-01  -4.4864821E+00   2.8944466E+00
   6.4152533E-01  -1.2345819E-01  -4.5537286E+00   2.8897700E+00
   6.4534837E-01   1.4980652E-03  -4.6925693E+00   2.8913229E+00
   6.4727437E-01  -6.7937979E-03  -4.7624173E+00   2.8999691E+00
   6.5163815E-01  -1.6227087E-01  -5.0410700E+00   2.8971419E+00
   6.5432948E-01  -7.1704842E-02  -5.1298285E+00   2.8982298E+00
   6.5889251E-01  -1.4121956E-01  -5.4890294E+00   2.8995259E+00
   6.6232741E-01  -1.5937124E-01  -5.5209417E+00   2.9002259E+00
   6.6417474E-01  -1.1021150E-01  -5.7098751E+00   2.9046376E+00
   6.6797066E-01  -6.4572215E-02  -5.9115324E+00   2.9000201E+00
   6.7175865E-01  -1.5993181E-01  -6.1071024E+00   2.9023421E+00
   6.7498416E-01   1.0899400E-03  -6.4587040E+00   2.8899319E+00
