  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   15:03:44  02/09/2024 rjju     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      113      0.000E+00      1.874E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.3156270E+00   1.7440159E-02  -3.1937315E+00   2.5377343E+00
   1.3330178E+00  -4.0191714E-02  -3.0036039E+00   2.5595818E+00
   1.3513421E+00  -1.9333655E-02  -2.2580462E+00   2.5646563E+00
   1.3673725E+00  -1.4598931E-02  -1.9131846E+00   2.5621748E+00
   1.3834007E+00  -3.1668525E-02  -1.5384518E+00   2.5711236E+00
   1.4017169E+00  -4.5666907E-02  -1.0663836E+00   2.5753710E+00
   1.4177426E+00  -7.7446327E-02  -6.4505458E-01   2.5829985E+00
   1.4346501E+00  -3.8824342E-02  -1.6700460E-01   2.5922127E+00
   1.4527541E+00  -8.5456111E-02   3.6973855E-01   2.6032765E+00
   1.4687792E+00  -5.3488746E-02   8.0664861E-01   2.6056247E+00
   1.4848037E+00  -8.3477400E-02   1.3790900E+00   2.6259246E+00
   1.5031172E+00  -6.5438092E-02   1.8614459E+00   2.6222613E+00
   1.5200105E+00  -8.1504226E-02   2.4207709E+00   2.6320777E+00
   1.5355103E+00  -6.6017345E-02   2.9263365E+00   2.6392114E+00
   1.5531789E+00  -4.8863020E-02   3.4554408E+00   2.6467540E+00
   1.5692031E+00  -4.7600895E-02   4.0670533E+00   2.6547966E+00
   1.5875152E+00  -4.7608178E-02   4.6631227E+00   2.6658833E+00
   1.6036512E+00  -5.2888546E-02   5.1839042E+00   2.6747355E+00
   1.6203918E+00  -4.2313792E-02   5.7223830E+00   2.6793303E+00
   1.6384693E+00  -4.0813494E-02   6.2525334E+00   2.6882923E+00
   1.6548830E+00  -3.3577401E-02   6.8213100E+00   2.6957741E+00
   1.6702093E+00  -4.3801405E-02   7.4456859E+00   2.7159417E+00
   1.6869444E+00  -3.7869483E-03   7.9371548E+00   2.7270923E+00
   1.7041371E+00  -4.2988405E-02   8.5285292E+00   2.7518926E+00
   1.7216363E+00  -8.1974175E-03   9.0306177E+00   2.7635729E+00
   1.7388541E+00   5.2148425E-03   9.6114693E+00   2.7753496E+00
   1.7552737E+00  -7.0519787E-03   1.0108534E+01   2.7847133E+00
   1.7726849E+00   2.3126516E-02   1.0629931E+01   2.7922661E+00
   1.7888306E+00   2.3907319E-02   1.1146002E+01   2.7927914E+00
   1.8058462E+00   4.3523139E-03   1.1614326E+01   2.7883205E+00
