  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   16:31:12  02/12/2024 cero     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.376E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.6323122E-01   5.6093119E-02   8.5318403E+00  -3.4775087E-01
   2.6653135E-01   4.4477705E-02   8.5282393E+00  -3.1005818E-01
   2.6998773E-01   6.6391610E-02   8.5397272E+00  -3.5909203E-01
   2.7331126E-01   6.2402073E-02   8.4677620E+00  -3.4947276E-01
   2.7697700E-01   7.4847199E-02   8.5732918E+00  -3.8162535E-01
   2.8010139E-01  -4.2911086E-02   8.5319748E+00  -3.6408579E-01
   2.8369924E-01   6.7224599E-02   8.5150251E+00  -3.8821319E-01
   2.8715518E-01   6.7597903E-02   8.5924759E+00  -4.0480730E-01
   2.9029393E-01   6.5667905E-02   8.6390238E+00  -4.2582947E-01
   2.9357943E-01   5.9506111E-02   8.6266699E+00  -4.0669873E-01
   2.9696846E-01   5.2967768E-02   8.5624390E+00  -4.2631784E-01
   3.0038559E-01   5.2049819E-02   8.5722466E+00  -4.3577453E-01
   3.0374250E-01   2.6927907E-02   8.5952721E+00  -4.3157813E-01
   3.0733141E-01   3.5089809E-02   8.5952377E+00  -4.6234211E-01
   3.1040940E-01   4.7260541E-02   8.5760965E+00  -4.6206191E-01
   3.1381491E-01   3.2337017E-02   8.5750151E+00  -4.6871310E-01
   3.1720203E-01   2.2462055E-02   8.5699339E+00  -4.7225803E-01
   3.2086948E-01   5.8595665E-02   8.5240564E+00  -4.7628659E-01
   3.2417312E-01   8.4097311E-03   8.5932894E+00  -4.8685008E-01
   3.2742324E-01   3.6450800E-02   8.4776926E+00  -4.8054761E-01
   3.3073092E-01   9.0062935E-03   8.4318581E+00  -4.6256784E-01
   3.3403197E-01   1.5861096E-02   8.4414577E+00  -4.8026565E-01
   3.3733413E-01   9.7591775E-03   8.3617992E+00  -4.9290973E-01
   3.4065536E-01   1.8183120E-02   8.3825254E+00  -5.0015497E-01
   3.4447405E-01   1.3273093E-02   8.3092117E+00  -4.6595350E-01
   3.4778106E-01   2.4961405E-02   8.2482281E+00  -5.0500321E-01
   3.5134965E-01   2.8274421E-02   8.2789335E+00  -5.2461648E-01
   3.5448027E-01   1.0773541E-02   8.2318850E+00  -5.2954978E-01
   3.5782847E-01   2.9701242E-02   8.1304092E+00  -5.3135914E-01
   3.6115786E-01   1.6272502E-02   8.1174965E+00  -5.4978353E-01
   3.6494032E-01   3.1509154E-02   8.0569239E+00  -5.5491525E-01
   3.6792648E-01   1.9479830E-02   8.0176287E+00  -5.7043356E-01
   3.7127700E-01   3.0193573E-02   7.9356847E+00  -5.6787378E-01
   3.7494323E-01   1.5302099E-02   7.8473091E+00  -5.9054822E-01
   3.7809432E-01   1.9580284E-02   7.8455782E+00  -5.9600407E-01
   3.8133654E-01   3.7581675E-02   7.7711840E+00  -6.1128730E-01
   3.8459992E-01   2.5151975E-02   7.6174006E+00  -6.2520087E-01
   3.8821819E-01   5.1556166E-02   7.5837212E+00  -6.4893210E-01
   3.9140394E-01  -1.1430206E-04   7.4422855E+00  -6.7651063E-01
   3.9519295E-01   4.5762490E-02   7.4735169E+00  -6.4945251E-01
   3.9816719E-01   2.2932436E-02   7.2928028E+00  -6.8192190E-01
   4.0174934E-01  -1.2366224E-02   7.1765232E+00  -6.7281759E-01
   4.0506637E-01   7.9584226E-02   7.2493463E+00  -6.7177480E-01
   4.0835711E-01  -1.5427246E-02   7.0531044E+00  -7.3777026E-01
   4.1180351E-01   1.0408886E-02   6.9669437E+00  -7.2911447E-01
   4.1541213E-01   2.1282895E-02   6.8896103E+00  -7.2589999E-01
   4.1859618E-01   4.4834659E-02   6.7675581E+00  -7.3980767E-01
   4.2200840E-01   3.4912501E-02   6.6412878E+00  -7.9811716E-01
   4.2526078E-01  -1.1004101E-02   6.5367212E+00  -7.8768927E-01
   4.2884588E-01   3.4186099E-02   6.4348531E+00  -7.8949815E-01
   4.3233186E-01   1.4991120E-02   6.2881742E+00  -8.2916391E-01
   4.3557948E-01   1.8121229E-02   6.1929355E+00  -8.5744005E-01
   4.3914858E-01   2.6978958E-02   6.0223837E+00  -8.7708008E-01
   4.4211662E-01   1.7271973E-02   5.9193411E+00  -8.7182492E-01
   4.4568571E-01   3.7352186E-02   5.8167233E+00  -8.8606828E-01
   4.4887555E-01   3.0790787E-02   5.6390018E+00  -9.2679298E-01
   4.5227480E-01   1.1431064E-03   5.5389080E+00  -9.7818768E-01
   4.5574018E-01   2.1370426E-02   5.3735113E+00  -9.4528949E-01
   4.5905644E-01   3.6628901E-03   5.2474270E+00  -9.5497823E-01
   4.6251139E-01   2.8911168E-02   4.9756999E+00  -1.0125402E+00
   4.6597981E-01   5.4084240E-03   5.0666943E+00  -9.5654064E-01
   4.6928304E-01   2.8003082E-02   4.7745137E+00  -1.0010895E+00
   4.7262532E-01   1.7732343E-02   4.8097429E+00  -1.0334232E+00
   4.7612527E-01   2.9651523E-03   4.5564685E+00  -1.0393894E+00
   4.7915524E-01   1.7642115E-03   4.4183841E+00  -1.0566916E+00
   4.8307934E-01   3.4969398E-03   4.2563486E+00  -1.0705186E+00
   4.8597673E-01   1.2671772E-02   4.1340594E+00  -1.0895802E+00
