  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   23:25:45  02/28/2024 bpnh     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.342E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.6684362E-01   3.8089165E-03   1.0792684E+01   1.8981854E+00
   2.6935259E-01   4.7265072E-03   1.0797662E+01   1.8982619E+00
   2.7425474E-01   3.1986514E-03   1.0750259E+01   1.9008334E+00
   2.7665147E-01   4.4242260E-03   1.0762258E+01   1.9008607E+00
   2.8134429E-01   3.7951248E-03   1.0728242E+01   1.9020107E+00
   2.8364334E-01   3.9070467E-03   1.0676805E+01   1.9034231E+00
   2.8815332E-01   3.3036494E-03   1.0668060E+01   1.9036504E+00
   2.9036656E-01   1.9432721E-03   1.0592977E+01   1.9056377E+00
   2.9468590E-01   5.1222681E-03   1.0549214E+01   1.9068441E+00
   2.9682347E-01   2.9551040E-03   1.0547100E+01   1.9069507E+00
   3.0102900E-01   3.0273625E-03   1.0484053E+01   1.9072042E+00
   3.0307853E-01   1.2967357E-03   1.0327622E+01   1.9103680E+00
   3.0714408E-01   4.7156648E-03   1.0315100E+01   1.9105300E+00
   3.1114349E-01   5.9266109E-03   1.0299701E+01   1.9103447E+00
   3.1311542E-01   4.6375124E-03   1.0268725E+01   1.9107354E+00
   3.1666702E-01   5.1218281E-03   9.9638224E+00   1.9153796E+00
   3.2047981E-01   3.5187588E-03   9.9558172E+00   1.9148319E+00
   3.2424814E-01   4.5254882E-03   1.0056437E+01   1.9127049E+00
   3.2791147E-01   3.3474462E-03   9.7637014E+00   1.9155965E+00
   3.3142364E-01   4.4691763E-03   9.7384939E+00   1.9152189E+00
   3.3487114E-01   4.9347291E-03   9.6951780E+00   1.9150068E+00
   3.3657509E-01   1.9504466E-03   9.6427212E+00   1.9154285E+00
   3.3991951E-01   4.2080320E-03   9.4506435E+00   1.9167316E+00
   3.4478620E-01   3.3270644E-03   9.2611208E+00   1.9174695E+00
   3.4791330E-01   4.5059412E-03   9.1853552E+00   1.9175506E+00
   3.5096624E-01   1.0754224E-03   9.1205311E+00   1.9175869E+00
   3.5396490E-01   4.6082344E-03   8.9867001E+00   1.9177728E+00
   3.5696381E-01   4.0714787E-03   8.8724289E+00   1.9181668E+00
   3.6135224E-01   4.6404880E-03   8.6772394E+00   1.9189227E+00
   3.6421844E-01   3.1410626E-03   8.6061983E+00   1.9191958E+00
   3.6700565E-01   4.6176086E-03   8.5071630E+00   1.9193289E+00
   3.7107113E-01   2.6053397E-03   8.3671131E+00   1.9194517E+00
   3.7371895E-01   5.5660792E-03   8.2525063E+00   1.9195913E+00
   3.7761757E-01   4.3036668E-03   8.0948820E+00   1.9196997E+00
   3.8144726E-01   4.7437274E-03   7.9573288E+00   1.9196640E+00
   3.8400683E-01   3.6090142E-03   7.8506927E+00   1.9196154E+00
   3.8774875E-01   4.9071247E-03   7.7129741E+00   1.9194492E+00
   3.9137629E-01   6.0592438E-03   7.5099773E+00   1.9190118E+00
   3.9373448E-01   5.3158686E-03   7.4517846E+00   1.9187202E+00
   3.9719570E-01   6.1727101E-03   7.3871388E+00   1.9182826E+00
   4.0060112E-01   7.2590355E-03   7.2225809E+00   1.9177158E+00
   4.0396479E-01   5.6308592E-03   7.0775580E+00   1.9176859E+00
   4.0729225E-01   4.7740699E-03   6.9110246E+00   1.9178437E+00
   4.1058043E-01   4.4972398E-03   6.7778959E+00   1.9180129E+00
   4.1382357E-01   2.2828630E-03   6.6194401E+00   1.9184055E+00
   4.1809008E-01   4.1877576E-03   6.4457936E+00   1.9189858E+00
   4.2127198E-01   2.9613585E-03   6.3019171E+00   1.9194595E+00
   4.2443469E-01   3.0860417E-03   6.2521648E+00   1.9196875E+00
   4.2758265E-01   1.7947145E-03   6.0430689E+00   1.9201069E+00
   4.3067920E-01   2.1064915E-03   5.9092989E+00   1.9204619E+00
   4.3468553E-01   8.9566951E-04   5.7450309E+00   1.9207128E+00
   4.3760967E-01   9.0908399E-04   5.6252975E+00   1.9207730E+00
   4.4140214E-01  -1.5547380E-03   5.4786196E+00   1.9207444E+00
   4.4420427E-01  -2.7751571E-03   5.3451715E+00   1.9206198E+00
   4.4787854E-01  -1.1411671E-03   5.0680242E+00   1.9204550E+00
   4.5059219E-01   7.6305040E-04   5.0133467E+00   1.9204367E+00
   4.5416388E-01  -2.0444926E-03   4.9456887E+00   1.9203635E+00
   4.5768547E-01  -1.7751894E-03   4.6809039E+00   1.9202420E+00
   4.6116254E-01  -2.6659039E-03   4.1659484E+00   1.9211246E+00
   4.6460107E-01  -3.9499504E-03   4.5542293E+00   1.9219159E+00
   4.6800718E-01  -3.6769062E-03   4.5243287E+00   1.9219564E+00
   4.7138935E-01  -5.7999734E-03   3.7543774E+00   1.9215107E+00
   4.7476012E-01  -4.8289169E-03   4.1376162E+00   1.9231477E+00
   4.7729200E-01  -9.1797616E-03   3.9311199E+00   1.9228524E+00
   4.8070249E-01  -7.3956493E-03   3.6584301E+00   1.9219811E+00
   4.8424733E-01  -3.1405287E-03   3.5068910E+00   1.9216015E+00
   4.8784441E-01  -2.7489211E-02   3.4397521E+00   1.9214759E+00
   4.9138469E-01  -9.2107961E-03   3.2700262E+00   1.9213644E+00
   4.9403349E-01  -8.8639613E-03   3.1225169E+00   1.9212134E+00
   4.9758816E-01  -8.8254120E-03   2.9340978E+00   1.9209869E+00
   5.0114119E-01  -8.4238872E-03   2.7908521E+00   1.9209759E+00
   5.0469023E-01  -1.2392595E-02   2.6156266E+00   1.9210513E+00
   5.0737005E-01  -1.4973788E-02   2.5361648E+00   1.9210508E+00
   5.1098883E-01  -8.5521126E-03   2.3832510E+00   1.9211926E+00
   5.1462150E-01  -1.2996229E-02   2.2675450E+00   1.9210203E+00
   5.1817942E-01  -1.6601680E-02   2.0233767E+00   1.9209472E+00
