  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   05:11:31  02/29/2024 jcer     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.6766208E-01   2.1711227E-02   8.5816212E+00   6.9269055E-01
   2.7034435E-01   1.4965224E-02   8.6367607E+00   6.8892556E-01
   2.7384764E-01   1.3744309E-02   8.6378336E+00   6.8476516E-01
   2.7727330E-01   2.6466273E-02   8.6640186E+00   6.7973423E-01
   2.8063089E-01   3.0139754E-02   8.6912127E+00   6.6471320E-01
   2.8392932E-01   1.4331034E-02   8.7095051E+00   6.7629403E-01
   2.8717330E-01   3.2914411E-02   8.7623367E+00   6.7791843E-01
   2.9036930E-01   1.8142907E-02   8.7832193E+00   6.6258466E-01
   2.9365310E-01   2.1370523E-02   8.7912369E+00   6.4391130E-01
   2.9751214E-01   1.9077178E-02   8.7733727E+00   6.5714324E-01
   3.0057994E-01   3.1319004E-02   8.7994251E+00   6.5387410E-01
   3.0362502E-01   3.0640114E-02   8.8253565E+00   6.4290226E-01
   3.0740139E-01   3.1951584E-02   8.8420391E+00   6.4283925E-01
   3.1039545E-01   2.6684267E-02   8.8325920E+00   6.4025015E-01
   3.1405133E-01   2.9987747E-02   8.8631067E+00   6.3155568E-01
   3.1760862E-01   1.8289957E-02   8.8341646E+00   6.3314408E-01
   3.2054093E-01   2.4061421E-02   8.8429127E+00   6.3150120E-01
   3.2417783E-01   2.0039242E-02   8.8135805E+00   6.2688029E-01
   3.2702002E-01   1.5639633E-02   8.8206596E+00   6.1810094E-01
   3.3075106E-01   3.3522885E-02   8.7142792E+00   6.2944108E-01
   3.3378980E-01  -5.5156354E-02   8.8171320E+00   6.0840207E-01
   3.3735615E-01   7.6515712E-02   8.8097944E+00   6.1656046E-01
   3.4070125E-01   1.2070970E-02   8.7959766E+00   6.0871661E-01
   3.4445056E-01   1.1072186E-02   8.7512169E+00   6.0688126E-01
   3.4735265E-01   1.2476990E-02   8.6594963E+00   6.0271651E-01
   3.5124743E-01   1.7932171E-02   8.6511955E+00   5.9715647E-01
   3.5424304E-01   2.0279946E-02   8.6428747E+00   5.9548205E-01
   3.5730684E-01   2.4754271E-02   8.6532822E+00   5.9194726E-01
   3.6085105E-01   4.2701703E-02   8.5649719E+00   5.8774704E-01
   3.6443901E-01   3.5736069E-02   8.4975214E+00   5.9220517E-01
   3.6748582E-01   9.9493181E-03   8.5552359E+00   5.8677197E-01
