  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   07:57:11  02/29/2024 urib     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.6402500E-01   8.2372042E-04   6.4181256E+00  -4.8470962E-01
   2.6743034E-01   1.7298614E-03   6.4366717E+00  -4.9902424E-01
   2.7060175E-01   6.7718769E-03   6.4049397E+00  -4.9806723E-01
   2.7380720E-01   2.4084309E-02   6.3579235E+00  -5.0426668E-01
   2.7747902E-01   1.1697649E-02   6.5020189E+00  -5.0751585E-01
   2.8098539E-01   5.5520432E-03   6.4223294E+00  -5.3471386E-01
   2.8353852E-01   1.5918324E-02   6.4445910E+00  -5.3930587E-01
   2.8751826E-01  -4.3375581E-03   6.4636064E+00  -5.4544061E-01
   2.9057989E-01   2.6344969E-03   6.5073919E+00  -5.4536355E-01
   2.9437548E-01  -6.2912800E-03   6.5088124E+00  -5.7612473E-01
   2.9732835E-01   2.1786899E-03   6.4766393E+00  -5.4989451E-01
   3.0084783E-01  -8.2940254E-03   6.4873567E+00  -5.7901126E-01
   3.0368805E-01  -6.2712776E-03   6.5057745E+00  -5.9088135E-01
   3.0703899E-01  -5.4917498E-03   6.5277019E+00  -6.0696399E-01
   3.1041113E-01  -1.6738392E-02   6.4844112E+00  -6.3819635E-01
   3.1396633E-01   1.9788891E-02   6.4319005E+00  -6.2915981E-01
   3.1726757E-01  -1.3349262E-02   6.4527330E+00  -6.3407093E-01
   3.2040149E-01  -2.8695017E-02   6.4525614E+00  -6.2933993E-01
   3.2431343E-01  -1.0419320E-02   6.3956604E+00  -6.5558815E-01
   3.2752204E-01  -3.3575047E-03   6.3742428E+00  -6.7348409E-01
   3.3066148E-01  -3.8731764E-03   6.3964176E+00  -6.7487383E-01
   3.3373743E-01  -9.7092241E-03   6.3408737E+00  -6.8696046E-01
   3.3750159E-01  -4.2104926E-03   6.3341732E+00  -6.9462073E-01
   3.4045473E-01  -1.5789350E-02   6.3386726E+00  -7.0290738E-01
   3.4409255E-01  -1.2230280E-02   6.2700005E+00  -7.0640028E-01
   3.4767365E-01  -1.7105688E-03   6.2566667E+00  -7.1640468E-01
   3.5094544E-01  -1.3298783E-02   6.2579389E+00  -7.2580808E-01
   3.5442111E-01  -2.6017145E-04   6.1782017E+00  -7.3399508E-01
   3.5724449E-01  -1.9800061E-02   6.1953759E+00  -7.3158157E-01
   3.6080888E-01  -4.0815677E-03   6.1198902E+00  -7.4816191E-01
   3.6410359E-01  -3.0613001E-02   6.0954933E+00  -7.5630307E-01
   3.6725417E-01   1.4318821E-02   6.0351396E+00  -7.5612813E-01
   3.7095767E-01   3.7639120E-04   6.1122699E+00  -7.5235933E-01
   3.7415344E-01   3.0083503E-03   5.8099957E+00  -7.8491277E-01
   3.7746659E-01  -1.8343672E-02   6.0294642E+00  -7.6825726E-01
   3.8095334E-01   1.7524628E-03   5.9755235E+00  -7.7351654E-01
   3.8391420E-01   5.9850030E-03   5.8031926E+00  -7.9568332E-01
   3.8721785E-01  -1.1862063E-02   5.7334642E+00  -7.9732060E-01
   3.9080793E-01  -1.0387574E-02   5.7080002E+00  -8.1184214E-01
   3.9374709E-01   2.1257432E-02   5.7448592E+00  -8.0433512E-01
   3.9767188E-01  -1.3259224E-02   5.6294494E+00  -8.1712204E-01
   4.0071866E-01   3.9458801E-03   5.5389857E+00  -8.4347099E-01
   4.0435150E-01  -3.0022829E-03   5.5371947E+00  -8.3304852E-01
   4.0714550E-01  -1.5083605E-02   5.4733248E+00  -8.3638304E-01
   4.1064659E-01  -1.2620036E-02   5.4024439E+00  -8.5284209E-01
   4.1458696E-01   2.5005084E-03   5.2746024E+00  -8.6359298E-01
   4.1716272E-01  -2.7025254E-02   5.2586575E+00  -8.6604202E-01
   4.2077723E-01  -2.8088954E-03   5.2393413E+00  -8.7553865E-01
   4.2400712E-01  -1.0654449E-02   5.1014819E+00  -8.5793120E-01
   4.2731959E-01  -1.7739914E-02   5.0187111E+00  -8.7783200E-01
   4.3114951E-01  -3.9298008E-03   5.0134864E+00  -8.9164281E-01
   4.3401060E-01  -2.4118409E-02   4.8992572E+00  -8.9975458E-01
   4.3748826E-01   3.2470025E-02   4.8446207E+00  -9.0072978E-01
   4.4058004E-01  -7.4164779E-03   4.7700176E+00  -9.0779442E-01
   4.4449148E-01   4.2595778E-04   4.6878033E+00  -9.2412847E-01
   4.4733059E-01  -2.5457274E-03   4.6132050E+00  -9.3147445E-01
   4.5061725E-01   2.1337927E-03   4.5246329E+00  -9.3961483E-01
   4.5409262E-01   4.0891045E-03   4.4510036E+00  -9.4661540E-01
   4.5770893E-01   9.8039526E-03   4.2982674E+00  -9.7353679E-01
   4.6108043E-01  -3.3609945E-07   4.2728152E+00  -9.6320504E-01
   4.6473625E-01   6.2200138E-03   4.2535591E+00  -9.8230416E-01
   4.6750394E-01   4.8179803E-03   4.0430336E+00  -9.8771298E-01
   4.7067556E-01   1.1750931E-02   3.9585786E+00  -9.9762791E-01
   4.7427654E-01   3.3760551E-02   3.9357753E+00  -1.0047528E+00
   4.7802329E-01   4.9782116E-03   3.8385701E+00  -1.0165757E+00
   4.8131773E-01  -1.5494193E-02   3.7108200E+00  -1.0261865E+00
   4.8461381E-01  -3.8012909E-03   3.6326180E+00  -1.0333434E+00
   4.8776066E-01   5.5500243E-02   3.5325871E+00  -1.0467447E+00
   4.9077502E-01  -1.8628825E-02   3.3513927E+00  -1.0539078E+00
   4.9463326E-01  -5.3794426E-04   3.2775280E+00  -1.0631218E+00
   4.9739739E-01   2.2674356E-04   3.2530637E+00  -1.0694112E+00
   5.0093669E-01   6.8205772E-03   3.1117535E+00  -1.0807530E+00
   5.0433546E-01   1.3848969E-02   2.9915087E+00  -1.0898768E+00
   5.0761569E-01   5.6641200E-03   2.8908041E+00  -1.1030282E+00
   5.1145875E-01   1.7419099E-03   2.7324860E+00  -1.1120909E+00
   5.1442575E-01  -7.7668545E-03   2.6138222E+00  -1.1179134E+00
   5.1742893E-01  -6.5480592E-04   2.5717204E+00  -1.1241125E+00
   5.2107310E-01  -9.7432034E-03   2.4727266E+00  -1.1374664E+00
   5.2462023E-01  -4.3727658E-03   2.3178968E+00  -1.1476231E+00
   5.2808481E-01  -2.9228732E-03   2.1831508E+00  -1.1574686E+00
   5.3147942E-01   1.6716342E-02   2.0789292E+00  -1.1671141E+00
   5.3482139E-01  -2.2763612E-02   1.9958912E+00  -1.1736659E+00
   5.3814548E-01   9.5061176E-03   1.8592061E+00  -1.1833452E+00
   5.4148960E-01  -4.5968471E-03   1.7373943E+00  -1.1914686E+00
   5.4420161E-01  -5.8515253E-03   1.6404114E+00  -1.1974448E+00
   5.4765940E-01  -1.1384191E-02   1.5280340E+00  -1.2063433E+00
   5.5110490E-01  -7.2138049E-03   1.4109988E+00  -1.2111661E+00
   5.5433947E-01  -1.0442056E-02   1.2921466E+00  -1.2196648E+00
   5.5798340E-01  -1.3146704E-02   1.1759379E+00  -1.2263247E+00
   5.6141257E-01  -1.4623374E-02   1.0336250E+00  -1.2347592E+00
   5.6466520E-01  -9.7834338E-03   8.8475466E-01  -1.2390280E+00
   5.6791276E-01  -2.7851490E-02   1.0308226E+00  -1.2447369E+00
   5.7106912E-01  -1.2412809E-02   6.1087137E-01  -1.2412519E+00
   5.7439089E-01  -1.7518509E-02   6.2002009E-01  -1.2563031E+00
   5.7800710E-01  -2.0098217E-02   4.7963533E-01  -1.2563275E+00
   5.8117467E-01  -1.3488381E-02   3.1836993E-01  -1.2624100E+00
   5.8431238E-01   5.3752721E-03   2.2883230E-01  -1.2698145E+00
   5.8822644E-01  -2.2936016E-02   1.2287709E-01  -1.2662113E+00
   5.9138340E-01  -9.7576799E-03  -3.8449630E-02  -1.2708522E+00
   5.9455597E-01  -1.4465941E-02  -1.3670446E-01  -1.2742430E+00
   5.9773666E-01  -3.5667777E-02  -2.2543639E-01  -1.2707278E+00
   6.0170364E-01   1.8321872E-02  -3.9191562E-01  -1.2692481E+00
   6.0491139E-01  -1.6928637E-02  -4.7309536E-01  -1.2735851E+00
   6.0814065E-01  -2.0518852E-02  -5.4409587E-01  -1.2736273E+00
   6.1139494E-01  -2.7780445E-02  -7.0111680E-01  -1.2684418E+00
   6.1460829E-01  -2.8458679E-02  -8.1445885E-01  -1.2686858E+00
   6.1771673E-01  -3.9415188E-02  -9.3009859E-01  -1.2680475E+00
   6.2157297E-01  -2.0217679E-02  -1.0065598E+00  -1.2605520E+00
   6.2485880E-01  -1.9355517E-02  -1.1751534E+00  -1.2584835E+00
   6.2807196E-01  -5.5570686E-03  -1.2695545E+00  -1.2557905E+00
   6.3103878E-01  -3.3348913E-03  -1.3445820E+00  -1.2527778E+00
   6.3461185E-01  -2.4092436E-02  -1.4498416E+00  -1.2511253E+00
   6.3773406E-01  -1.8956367E-02  -1.5687767E+00  -1.2472064E+00
   6.4170307E-01   1.8559503E-03  -1.6778661E+00  -1.2405218E+00
   6.4474028E-01  -1.0105012E-02  -1.8124253E+00  -1.2365779E+00
   6.4783090E-01  -3.4817755E-02  -1.8507230E+00  -1.2355893E+00
   6.5105945E-01   8.4100561E-03  -1.8745072E+00  -1.2183571E+00
   6.5486079E-01  -2.2264987E-02  -2.1115861E+00  -1.2203254E+00
   6.5827727E-01  -1.2036468E-02  -2.1716216E+00  -1.2181250E+00
   6.6105080E-01   9.6209487E-04  -2.2746038E+00  -1.2079947E+00
   6.6462481E-01  -8.1755919E-03  -2.3336508E+00  -1.1993642E+00
   6.6822326E-01  -5.5466397E-03  -2.4504943E+00  -1.1910542E+00
   6.7152858E-01  -3.4509618E-02  -2.5438881E+00  -1.1854533E+00
   6.7464781E-01  -1.0592286E-02  -2.6045139E+00  -1.1763659E+00
   6.7821431E-01  -2.1743631E-02  -2.7859561E+00  -1.1632376E+00
   6.8122560E-01  -1.7065726E-02  -2.8307233E+00  -1.1583776E+00
   6.8503940E-01   6.4551277E-04  -2.8495638E+00  -1.1462533E+00
   6.8804252E-01  -9.4836615E-03  -2.9634340E+00  -1.1386456E+00
   6.9185841E-01   3.3502996E-03  -3.1205072E+00  -1.1248461E+00
   6.9484890E-01   4.1305348E-03  -3.1691608E+00  -1.1201344E+00
   6.9846493E-01  -1.1610337E-02  -3.1650236E+00  -1.1107477E+00
   7.0127064E-01   1.7906626E-03  -3.2925773E+00  -1.1093682E+00
   7.0467335E-01  -3.2797139E-02  -3.3813245E+00  -1.0901148E+00
   7.0795596E-01  -2.0931719E-02  -3.4744337E+00  -1.0772480E+00
   7.1180916E-01   8.7058946E-04  -3.5142264E+00  -1.0677091E+00
   7.1496958E-01  -1.7346557E-02  -3.6316578E+00  -1.0518953E+00
   7.1805698E-01  -1.4761512E-02  -3.6636674E+00  -1.0499538E+00
   7.2172946E-01  -3.7575627E-03  -3.7713525E+00  -1.0373896E+00
   7.2486198E-01  -1.1545437E-02  -3.8325574E+00  -1.0182477E+00
   7.2808510E-01  -9.7480426E-03  -3.9093204E+00  -1.0216432E+00
   7.3142374E-01  -2.2629330E-02  -3.9693253E+00  -9.9537390E-01
   7.3499316E-01  -3.6781669E-02  -4.0613360E+00  -1.0083512E+00
   7.3836219E-01  -1.1230602E-02  -4.0965686E+00  -9.9216241E-01
   7.4181068E-01  -1.0386795E-02  -4.1728597E+00  -9.7144276E-01
   7.4492294E-01  -3.9401334E-03  -4.2170873E+00  -9.7769475E-01
   7.4816519E-01   4.0082564E-03  -4.2626009E+00  -9.6649933E-01
   7.5178868E-01  -1.7000208E-02  -4.3743110E+00  -9.5494980E-01
   7.5487244E-01  -1.6789408E-02  -4.4029183E+00  -9.4808280E-01
   7.5806546E-01  -1.4641491E-02  -4.4463153E+00  -9.3808019E-01
   7.6126862E-01   7.4034708E-04  -4.4997778E+00  -9.2715877E-01
   7.6480800E-01  -1.8029077E-02  -4.5943637E+00  -9.2258459E-01
   7.6834041E-01  -9.6983798E-03  -4.6481290E+00  -9.1030562E-01
   7.7163386E-01  -2.1279741E-02  -4.6723552E+00  -9.0825933E-01
   7.7496773E-01  -1.0702572E-02  -4.7215314E+00  -8.9260000E-01
   7.7838647E-01  -1.6113592E-02  -4.7683649E+00  -8.9976823E-01
   7.8169042E-01  -1.4127929E-02  -4.8712516E+00  -8.5702813E-01
   7.8506160E-01  -4.0011760E-03  -4.8763947E+00  -8.6454624E-01
   7.8825158E-01   1.3055420E-02  -4.8232660E+00  -8.9817858E-01
   7.9163522E-01  -5.1213135E-03  -4.9822664E+00  -8.3865935E-01
   7.9519618E-01  -7.2133318E-03  -4.9909463E+00  -8.3051085E-01
   7.9810613E-01  -1.8779088E-03  -5.0341806E+00  -8.2001126E-01
   8.0181295E-01  -1.1356680E-02  -5.0604548E+00  -8.1218410E-01
   8.0539799E-01  -8.8690175E-03  -5.1522751E+00  -8.0275667E-01
   8.0852312E-01   2.8517118E-02  -5.1804585E+00  -7.9170018E-01
   8.1185299E-01  -1.6055988E-02  -5.1962128E+00  -7.7199727E-01
   8.1540281E-01  -5.3350544E-03  -5.2598143E+00  -7.6537168E-01
   8.1825644E-01   4.3352167E-03  -5.2854686E+00  -7.5681752E-01
   8.2210481E-01  -2.8935794E-02  -5.3025713E+00  -7.5826919E-01
   8.2523614E-01   1.1922671E-03  -5.3475528E+00  -7.4370927E-01
   8.2837987E-01   1.6799210E-02  -5.3667588E+00  -7.3577881E-01
   8.3150262E-01  -2.3822160E-02  -5.4003482E+00  -7.2130549E-01
   8.3563346E-01  -8.4905541E-03  -5.4403834E+00  -7.1035647E-01
   8.3868849E-01  -3.7420619E-02  -5.4607081E+00  -7.0333475E-01
   8.4173995E-01   3.0121848E-04  -5.4790993E+00  -6.9470346E-01
   8.4483123E-01   1.9530455E-02  -5.4928408E+00  -6.8226177E-01
   8.4881079E-01  -1.8370856E-02  -5.5488997E+00  -6.7840993E-01
   8.5175312E-01  -1.4677552E-03  -5.5691175E+00  -6.7122257E-01
   8.5476726E-01   2.8369104E-02  -5.5889401E+00  -6.6106427E-01
   8.5878760E-01   1.1260683E-04  -5.5999107E+00  -6.5699452E-01
   8.6176527E-01  -1.5827617E-02  -5.6140599E+00  -6.3289762E-01
   8.6551762E-01  -3.7597127E-02  -5.6309571E+00  -6.2813663E-01
   8.6847705E-01   3.7749119E-03  -5.6691060E+00  -6.2117589E-01
   8.7146896E-01  -5.0336886E-03  -5.6756425E+00  -6.1647743E-01
   8.7535441E-01   6.5377797E-04  -5.7116575E+00  -6.0807961E-01
   8.7819576E-01  -1.5762199E-03  -5.7222185E+00  -5.9881985E-01
   8.8195676E-01  -8.3754687E-03  -5.7560916E+00  -6.0160363E-01
   8.8480461E-01  -1.9147657E-03  -5.7431068E+00  -5.8325934E-01
   8.8872373E-01  -2.7013900E-02  -5.7740059E+00  -5.7190502E-01
   8.9170957E-01   7.9414779E-03  -5.7943764E+00  -5.6434631E-01
   8.9568222E-01   1.8607499E-02  -5.8028760E+00  -5.6014609E-01
   8.9864552E-01   2.9384973E-02  -5.8370261E+00  -5.5266404E-01
   9.0161806E-01   3.4901872E-03  -5.8108420E+00  -5.4477519E-01
   9.0556502E-01   1.4710660E-02  -5.8397570E+00  -5.3313923E-01
   9.0851897E-01  -2.8020053E-03  -5.8511429E+00  -5.3057796E-01
   9.1247749E-01  -1.0901790E-04  -5.8574142E+00  -5.2331454E-01
   9.1544533E-01   1.5749458E-02  -5.8882575E+00  -5.1759797E-01
   9.1822976E-01  -2.7911358E-03  -5.8561835E+00  -5.1272917E-01
   9.2211300E-01   1.2491751E-02  -5.8905540E+00  -5.0197554E-01
   9.2500883E-01   3.5677217E-03  -5.9084573E+00  -4.9529475E-01
   9.2888421E-01   1.7180460E-02  -5.9096460E+00  -4.9643263E-01
   9.3181926E-01   1.3202650E-02  -5.9004087E+00  -4.8318121E-01
