  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   02:11:33  02/29/2024 cero     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.6748303E-01   1.9496076E-02   1.0001201E+01   1.3960733E+00
   2.7076736E-01   1.9624257E-02   1.0004545E+01   1.3961765E+00
   2.7401367E-01   2.3621077E-02   9.9830990E+00   1.3962173E+00
   2.7722543E-01   2.9217144E-02   1.0030613E+01   1.3962635E+00
   2.8040591E-01   2.4034461E-02   1.0062629E+01   1.3937359E+00
   2.8418463E-01   2.0851621E-02   1.0038366E+01   1.3940941E+00
   2.8730854E-01   1.5071084E-02   1.0051542E+01   1.3935935E+00
   2.9041493E-01   2.2615762E-02   1.0047174E+01   1.3940885E+00
   2.9410848E-01   9.1307750E-03   1.0068134E+01   1.3905932E+00
   2.9716516E-01   1.7589735E-02   1.0054817E+01   1.3995652E+00
   3.0080625E-01   9.1830678E-03   1.0039503E+01   1.3882780E+00
   3.0382410E-01   2.5007892E-02   1.0034962E+01   1.3900627E+00
   3.0742773E-01   1.8033207E-03   1.0053606E+01   1.3842961E+00
   3.1041503E-01  -2.7969565E-02   1.0056097E+01   1.3828374E+00
   3.1397298E-01   7.3195547E-02   1.0010904E+01   1.3837235E+00
   3.1750920E-01  -5.7901081E-02   9.9994640E+00   1.3839686E+00
   3.2054013E-01  -2.3289561E-02   9.9818010E+00   1.3789908E+00
   3.2410970E-01  -1.9594017E-02   9.9739904E+00   1.3758123E+00
   3.2760385E-01   9.7705252E-02   9.9424696E+00   1.3699117E+00
   3.3048072E-01   1.7443845E-02   9.8431311E+00   1.3731508E+00
   3.3407736E-01   7.6082409E-03   9.8399296E+00   1.3701605E+00
   3.3739525E-01  -4.5179580E-03   9.7678165E+00   1.3806330E+00
   3.4036985E-01   4.7080923E-02   9.7063847E+00   1.3747857E+00
   3.4408119E-01   5.2932343E-03   9.6251783E+00   1.3746074E+00
   3.4757549E-01   1.4112541E-02   9.5856199E+00   1.3768696E+00
   3.5072917E-01   3.1999253E-02   9.4370813E+00   1.3719501E+00
   3.5408130E-01  -6.0866203E-02   9.3967829E+00   1.3845419E+00
   3.5741845E-01  -1.2796437E-02   9.3898668E+00   1.3754209E+00
   3.6121842E-01   1.8820370E-02   9.1409702E+00   1.3708671E+00
   3.6385173E-01  -2.7391820E-03   9.0901623E+00   1.3651408E+00
   3.6772075E-01   1.1012791E-02   9.1128607E+00   1.3244600E+00
   3.7049291E-01   8.6301491E-03   9.0457678E+00   1.3606474E+00
   3.7439695E-01  -1.9865120E-03   8.9084425E+00   1.3583046E+00
   3.7716597E-01   2.2600535E-02   8.8518429E+00   1.3604659E+00
   3.8066211E-01   7.4880466E-02   8.6814137E+00   1.3271034E+00
   3.8446197E-01   1.8556371E-02   8.5900793E+00   1.3331031E+00
   3.8777396E-01   1.7170811E-02   8.5116711E+00   1.3216486E+00
   3.9080703E-01   6.9456778E-02   8.4618092E+00   1.3443658E+00
   3.9416268E-01   1.9181442E-02   8.2834454E+00   1.3134682E+00
   3.9789444E-01   6.4602889E-02   8.2321281E+00   1.3116316E+00
   4.0059787E-01   1.2730610E-02   8.0611248E+00   1.2777512E+00
   4.0460792E-01  -2.6255978E-02   8.0072832E+00   1.2901387E+00
   4.0750962E-01   1.0414007E-02   7.8202105E+00   1.2894307E+00
   4.1073146E-01   4.9414620E-02   7.5794883E+00   1.2827954E+00
   4.1442204E-01  -1.7043395E-03   7.7049146E+00   1.2784257E+00
   4.1794634E-01   1.6403655E-02   7.4373732E+00   1.2717642E+00
   4.2092234E-01   1.4288635E-02   7.1638045E+00   1.2591432E+00
   4.2434418E-01   8.6863115E-03   7.1791940E+00   1.2611738E+00
   4.2774081E-01   5.1381630E-03   7.1490440E+00   1.2575829E+00
   4.3114564E-01  -1.2502517E-02   6.9720631E+00   1.2558495E+00
   4.3403691E-01  -4.7791181E-03   6.8214650E+00   1.2507327E+00
   4.3755126E-01  -1.0173974E-02   6.6508908E+00   1.2454865E+00
   4.4057155E-01   1.2614281E-02   6.4605360E+00   1.2394928E+00
   4.4458047E-01  -5.3942241E-03   6.4039769E+00   1.2367197E+00
   4.4756567E-01   5.6161539E-04   6.3550568E+00   1.2379667E+00
   4.5053902E-01   1.2852807E-02   6.2118449E+00   1.2216408E+00
   4.5447844E-01  -1.8979065E-02   5.9772701E+00   1.2284522E+00
   4.5741212E-01  -1.9015132E-03   5.8883152E+00   1.2218084E+00
   4.6128741E-01   7.2127313E-04   5.7035556E+00   1.2173525E+00
   4.6416536E-01  -1.4726535E-02   5.5758557E+00   1.2147563E+00
   4.6795318E-01  -8.0713071E-03   5.4504023E+00   1.2143836E+00
   4.7078055E-01   1.3950680E-02   5.3139749E+00   1.2102493E+00
   4.7477880E-01  -2.5024923E-02   5.1719093E+00   1.2098681E+00
   4.7746870E-01  -5.1289145E-02   4.9764638E+00   1.2076052E+00
   4.8112589E-01  -1.1957732E-02   4.8266940E+00   1.1965741E+00
   4.8474079E-01  -2.1650745E-02   4.7334142E+00   1.1954044E+00
   4.8742649E-01  -3.5783526E-02   4.5652208E+00   1.1904482E+00
   4.9097821E-01  -3.0221378E-02   4.4452286E+00   1.1879500E+00
   4.9450329E-01  -3.5615180E-02   4.2901173E+00   1.1842068E+00
   4.9800467E-01  -3.7555657E-02   4.0309401E+00   1.1795038E+00
   5.0147074E-01  -3.3229820E-02   3.8965492E+00   1.1774315E+00
   5.0405532E-01  -4.9046814E-02   3.7681637E+00   1.1713519E+00
   5.0749975E-01  -5.1848333E-02   3.6377156E+00   1.1696018E+00
   5.1089793E-01  -5.3935431E-02   3.4363177E+00   1.1670923E+00
   5.1428270E-01  -5.6164235E-02   3.2302358E+00   1.1634384E+00
   5.1765871E-01  -6.4246036E-02   3.1496243E+00   1.1602619E+00
   5.2104497E-01  -6.4301148E-02   3.0048935E+00   1.1577443E+00
   5.2446669E-01  -6.1961919E-02   2.7761071E+00   1.1556253E+00
   5.2796191E-01  -7.3277168E-02   2.5692987E+00   1.1534629E+00
   5.3142351E-01  -3.8838714E-02   2.4056232E+00   1.1382785E+00
   5.3487802E-01  -8.0740087E-02   2.3505621E+00   1.1529492E+00
   5.3781283E-01  -1.0334045E-01   2.1359310E+00   1.1424663E+00
   5.4105216E-01  -6.6580780E-02   1.9084576E+00   1.1422482E+00
   5.4427707E-01  -6.0474485E-02   1.8268098E+00   1.1367828E+00
   5.4816246E-01  -9.1270477E-02   1.6838816E+00   1.1410433E+00
   5.5123395E-01  -8.2475580E-02   1.4999403E+00   1.1382221E+00
   5.5431473E-01  -8.4002562E-02   1.3277839E+00   1.1379004E+00
   5.5740631E-01  -7.4713588E-02   1.1948608E+00   1.1348685E+00
   5.6130338E-01  -9.2488304E-02   9.2595547E-01   1.1172684E+00
   5.6487054E-01  -9.2700265E-02   8.0191422E-01   1.1404922E+00
   5.6796056E-01  -8.6752191E-02   6.6536617E-01   1.1292089E+00
   5.7111537E-01  -7.4119039E-02   5.5481589E-01   1.1283128E+00
   5.7467967E-01  -9.8109841E-02   2.0063069E-01   1.1242484E+00
   5.7788712E-01  -1.2328993E-01   7.7371195E-02   1.1262671E+00
   5.8108026E-01  -9.7474501E-02   1.0435319E-01   1.1260033E+00
   5.8496147E-01  -8.5159704E-02  -2.0064266E-01   1.1228527E+00
   5.8800459E-01  -1.0258442E-01  -3.9502150E-01   1.1215330E+00
   5.9134591E-01  -1.0015061E-01  -5.6587362E-01   1.1197819E+00
   5.9431642E-01  -9.0754628E-02  -6.8565124E-01   1.1192631E+00
   5.9749287E-01  -1.1412849E-01  -7.0376629E-01   1.1208324E+00
   6.0172915E-01  -9.4395578E-02  -1.0917684E+00   1.1173335E+00
   6.0493827E-01  -1.0161576E-01  -1.1765435E+00   1.1161948E+00
   6.0816419E-01  -1.0474321E-01  -1.3383090E+00   1.1162109E+00
   6.1141056E-01  -1.2455391E-01  -1.3917692E+00   1.1177046E+00
   6.1468351E-01  -7.6363392E-02  -1.6007754E+00   1.1183673E+00
   6.1797768E-01  -1.0669987E-01  -1.8263543E+00   1.1193581E+00
   6.2120473E-01  -1.5164395E-01  -1.7228034E+00   1.1203560E+00
   6.2429059E-01  -6.8707339E-02  -2.1243079E+00   1.1165676E+00
   6.2830830E-01  -1.3417861E-01  -2.1965613E+00   1.1181257E+00
   6.3133919E-01  -9.8829851E-02  -2.3075974E+00   1.1167843E+00
   6.3430279E-01  -1.0672555E-01  -2.4747951E+00   1.1224290E+00
   6.3815862E-01  -1.0019645E-01  -2.6155682E+00   1.1192044E+00
